Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-28 21:01:00,2006-06-29 06:32:00,571.0,28.843164335664337,23.22674825174825
Off,2006-06-29 06:32:00,2006-06-29 06:42:00,10.0,24.74,22.60727272727273
On,2006-06-29 06:42:00,2006-06-29 07:11:00,29.0,31.646,22.707333333333324
Off,2006-06-29 07:11:00,2006-06-29 07:22:00,11.0,24.21,22.81
On,2006-06-29 07:22:00,2006-06-29 08:03:00,41.0,32.79190476190476,23.71595238095238
Off,2006-06-29 08:03:00,2006-06-29 08:28:00,25.0,25.62,25.234230769230766
On,2006-06-29 08:28:00,2006-06-29 10:17:00,109.0,32.411545454545454,28.39172727272727
Off,2006-06-29 10:17:00,2006-06-29 10:25:00,8.0,29.81,28.16888888888889
On,2006-06-29 10:25:00,2006-06-29 10:32:00,7.0,32.3125,28.33125
Off,2006-06-29 10:32:00,2006-06-29 10:36:00,4.0,32.28,29.218
On,2006-06-29 10:36:00,2006-06-29 10:43:00,7.0,33.03,30.5175
Off,2006-06-29 10:43:00,2006-06-29 10:45:00,2.0,32.47,29.563333333333333
On,2006-06-29 10:45:00,2006-06-29 10:52:00,7.0,32.8825,30.37375
Off,2006-06-29 10:52:00,2006-06-29 10:54:00,2.0,32.08,31.13
On,2006-06-29 10:54:00,2006-06-29 11:12:00,18.0,32.398947368421055,30.510526315789463
Off,2006-06-29 11:12:00,2006-06-29 11:16:00,4.0,31.32,30.296000000000003
On,2006-06-29 11:16:00,2006-06-29 11:27:00,11.0,33.45666666666667,30.94
Off,2006-06-29 11:27:00,2006-06-29 11:32:00,5.0,31.7,31.28833333333333
On,2006-06-29 11:32:00,2006-06-29 11:38:00,6.0,32.92285714285714,31.674285714285716
Off,2006-06-29 11:38:00,2006-06-29 11:41:00,3.0,34.04,31.7975
On,2006-06-29 11:41:00,2006-06-29 11:44:00,3.0,35.037499999999994,30.5625
Off,2006-06-29 11:44:00,2006-06-29 11:46:00,2.0,33.44,30.12333333333333
On,2006-06-29 11:46:00,2006-06-29 11:51:00,5.0,34.401666666666664,30.33833333333333
Off,2006-06-29 11:51:00,2006-06-29 11:55:00,4.0,34.23,30.597999999999995
On,2006-06-29 11:55:00,2006-06-29 11:59:00,4.0,35.036,30.636000000000003
Off,2006-06-29 11:59:00,2006-06-29 12:01:00,2.0,33.84,31.256666666666664
On,2006-06-29 12:01:00,2006-06-29 12:33:00,32.0,35.0230303030303,31.78424242424242
Off,2006-06-29 12:33:00,2006-06-29 12:40:00,7.0,31.32,31.73
On,2006-06-29 12:40:00,2006-06-29 12:56:00,16.0,34.26882352941176,32.07647058823529
Off,2006-06-29 12:56:00,2006-06-29 12:59:00,3.0,32.08,32.3275
On,2006-06-29 12:59:00,2006-06-29 13:06:00,7.0,35.0925,32.1325
Off,2006-06-29 13:06:00,2006-06-29 13:10:00,4.0,35.64,32.122
On,2006-06-29 13:10:00,2006-06-29 13:19:00,9.0,36.589000000000006,32.645
Off,2006-06-29 13:19:00,2006-06-29 13:25:00,6.0,34.23,33.35857142857143
On,2006-06-29 13:25:00,2006-06-29 13:40:00,15.0,35.45437499999999,32.289375
Off,2006-06-29 13:40:00,2006-06-29 13:42:00,2.0,34.63,32.083333333333336
On,2006-06-29 13:42:00,2006-06-29 13:49:00,7.0,37.965,32.54375
Off,2006-06-29 13:49:00,2006-06-29 13:52:00,3.0,35.44,32.1325
On,2006-06-29 13:52:00,2006-06-29 14:03:00,11.0,36.8075,33.2025
Off,2006-06-29 14:03:00,2006-06-29 14:06:00,3.0,35.24,34.084999999999994
On,2006-06-29 14:06:00,2006-06-29 14:24:00,18.0,35.9778947368421,32.77473684210526
Off,2006-06-29 14:24:00,2006-06-29 14:26:00,2.0,35.03,32.47
On,2006-06-29 14:26:00,2006-06-29 14:27:00,1.0,35.44,33.445
Off,2006-06-29 14:27:00,2006-06-29 14:29:00,2.0,34.83,33.64333333333334
On,2006-06-29 14:29:00,2006-06-29 14:37:00,8.0,36.1,32.36333333333333
Off,2006-06-29 14:37:00,2006-06-29 14:39:00,2.0,35.03,31.953333333333333
On,2006-06-29 14:39:00,2006-06-29 14:41:00,2.0,35.71333333333333,31.700000000000003
Off,2006-06-29 14:41:00,2006-06-29 14:43:00,2.0,33.64,31.44666666666667
On,2006-06-29 14:43:00,2006-06-29 14:50:00,7.0,34.665,32.08624999999999
Off,2006-06-29 14:50:00,2006-06-29 14:52:00,2.0,33.84,32.473333333333336
On,2006-06-29 14:52:00,2006-06-29 15:07:00,15.0,34.974374999999995,33.190625
Off,2006-06-29 15:07:00,2006-06-29 15:14:00,7.0,34.43,33.4675
On,2006-06-29 15:14:00,2006-06-29 15:18:00,4.0,36.478,33.326
Off,2006-06-29 15:18:00,2006-06-29 15:22:00,4.0,34.04,32.510000000000005
On,2006-06-29 15:22:00,2006-06-29 15:32:00,10.0,37.43909090909092,32.841818181818184
Off,2006-06-29 15:32:00,2006-06-29 15:41:00,9.0,34.63,33.091
On,2006-06-29 15:41:00,2006-06-29 15:49:00,8.0,37.168888888888894,33.03
Off,2006-06-29 15:49:00,2006-06-29 15:54:00,5.0,34.04,32.275
On,2006-06-29 15:54:00,2006-06-29 15:57:00,3.0,35.1875,32.18
Off,2006-06-29 15:57:00,2006-06-29 16:00:00,3.0,34.83,32.5175
On,2006-06-29 16:00:00,2006-06-29 16:03:00,3.0,35.2375,33.2
Off,2006-06-29 16:03:00,2006-06-29 16:06:00,3.0,34.63,33.1025
On,2006-06-29 16:06:00,2006-06-29 16:22:00,16.0,35.910000000000004,33.28176470588235
Off,2006-06-29 16:22:00,2006-06-29 16:24:00,2.0,35.24,33.18333333333333
On,2006-06-29 16:24:00,2006-06-29 16:27:00,3.0,35.745000000000005,33.052499999999995
Off,2006-06-29 16:27:00,2006-06-29 16:29:00,2.0,34.83,32.72666666666667
On,2006-06-29 16:29:00,2006-06-29 16:31:00,2.0,35.10333333333333,32.919999999999995
Off,2006-06-29 16:31:00,2006-06-29 16:37:00,6.0,33.64,32.358571428571416
On,2006-06-29 16:37:00,2006-06-29 16:43:00,6.0,35.69,31.889999999999997
Off,2006-06-29 16:43:00,2006-06-29 16:48:00,5.0,33.05,31.98666666666666
On,2006-06-29 16:48:00,2006-06-29 16:57:00,9.0,34.963,32.083000000000006
Off,2006-06-29 16:57:00,2006-06-29 17:06:00,9.0,33.05,32.045
On,2006-06-29 17:06:00,2006-06-29 17:11:00,5.0,34.974999999999994,31.95333333333333
Off,2006-06-29 17:11:00,2006-06-29 17:16:00,5.0,33.44,32.083333333333336
On,2006-06-29 17:16:00,2006-06-29 17:18:00,2.0,34.50333333333333,32.14666666666667
Off,2006-06-29 17:18:00,2006-06-29 17:22:00,4.0,33.05,31.776
On,2006-06-29 17:22:00,2006-06-29 17:27:00,5.0,34.703333333333326,31.7
Off,2006-06-29 17:27:00,2006-06-29 17:29:00,2.0,34.23,31.89
On,2006-06-29 17:29:00,2006-06-29 17:34:00,5.0,35.74999999999999,31.89
Off,2006-06-29 17:34:00,2006-06-29 17:37:00,3.0,33.64,32.0325
On,2006-06-29 17:37:00,2006-06-29 17:42:00,5.0,35.656666666666666,32.08166666666666
Off,2006-06-29 17:42:00,2006-06-29 17:47:00,5.0,34.04,32.21333333333333
On,2006-06-29 17:47:00,2006-06-29 17:52:00,5.0,35.208333333333336,31.89
Off,2006-06-29 17:52:00,2006-06-29 17:55:00,3.0,33.25,31.6525
On,2006-06-29 17:55:00,2006-06-29 18:06:00,11.0,35.92666666666667,31.541666666666668
Off,2006-06-29 18:06:00,2006-06-29 18:18:00,12.0,32.66,31.61230769230769
On,2006-06-29 18:18:00,2006-06-29 18:27:00,9.0,34.697,31.624
Off,2006-06-29 18:27:00,2006-06-29 18:35:00,8.0,32.47,31.467777777777776
On,2006-06-29 18:35:00,2006-06-29 20:06:00,91.0,35.23173913043478,29.939130434782616
Off,2006-06-29 20:06:00,2006-06-29 20:09:00,3.0,34.63,28.93
On,2006-06-29 20:09:00,2006-06-29 20:30:00,21.0,35.848181818181814,27.95681818181818
Off,2006-06-29 20:30:00,2006-06-29 20:32:00,2.0,34.43,27.42
On,2006-06-29 20:32:00,2006-06-29 20:44:00,12.0,35.69230769230769,27.170769230769228
Off,2006-06-29 20:44:00,2006-06-29 20:52:00,8.0,28.7,26.84
Nocturnal,2006-06-29 20:52:00,2006-06-30 05:41:00,529.0,31.108490566037737,24.55488679245283
Off,2006-06-30 05:41:00,2006-06-30 06:15:00,34.0,27.42,23.000571428571423
On,2006-06-30 06:15:00,2006-06-30 06:35:00,20.0,32.437619047619044,23.100000000000005
Off,2006-06-30 06:35:00,2006-06-30 06:44:00,9.0,25.98,22.98
On,2006-06-30 06:44:00,2006-06-30 07:31:00,47.0,30.25,23.376875
Off,2006-06-30 07:31:00,2006-06-30 07:40:00,9.0,26.52,24.085
On,2006-06-30 07:40:00,2006-06-30 07:51:00,11.0,29.854166666666668,24.324166666666667
Off,2006-06-30 07:51:00,2006-06-30 07:56:00,5.0,27.6,24.59
On,2006-06-30 07:56:00,2006-06-30 08:16:00,20.0,33.969523809523814,25.015238095238093
Off,2006-06-30 08:16:00,2006-06-30 08:25:00,9.0,27.78,25.426
On,2006-06-30 08:25:00,2006-06-30 08:33:00,8.0,30.880000000000003,25.840000000000003
Off,2006-06-30 08:33:00,2006-06-30 08:37:00,4.0,29.07,26.196
On,2006-06-30 08:37:00,2006-06-30 09:03:00,26.0,34.04703703703704,27.66851851851852
Off,2006-06-30 09:03:00,2006-06-30 09:06:00,3.0,34.23,28.42
On,2006-06-30 09:06:00,2006-06-30 09:14:00,8.0,35.19777777777778,29.43777777777778
Off,2006-06-30 09:14:00,2006-06-30 09:21:00,7.0,34.23,29.06875
On,2006-06-30 09:21:00,2006-06-30 09:24:00,3.0,35.39,30.42
Off,2006-06-30 09:24:00,2006-06-30 09:26:00,2.0,34.43,30.30666666666666
On,2006-06-30 09:26:00,2006-06-30 09:57:00,31.0,36.663125,30.656875
Off,2006-06-30 09:57:00,2006-06-30 10:04:00,7.0,34.63,31.53375
On,2006-06-30 10:04:00,2006-06-30 10:22:00,18.0,36.3821052631579,31.785789473684208
Off,2006-06-30 10:22:00,2006-06-30 10:26:00,4.0,34.63,31.854000000000003
On,2006-06-30 10:26:00,2006-06-30 10:30:00,4.0,35.156,31.32
Off,2006-06-30 10:30:00,2006-06-30 10:35:00,5.0,34.23,31.161666666666665
On,2006-06-30 10:35:00,2006-06-30 10:53:00,18.0,36.28368421052632,31.93578947368421
Off,2006-06-30 10:53:00,2006-06-30 10:58:00,5.0,35.24,32.245
On,2006-06-30 10:58:00,2006-06-30 12:10:00,72.0,35.83041095890411,32.4745205479452
