Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-07-12 21:07:00,2006-07-12 22:51:00,104.0,30.492,24.701333333333334
Off,2006-07-12 22:51:00,2006-07-12 23:07:00,16.0,29.44,24.74
Nocturnal,2006-07-12 23:07:00,2006-07-12 23:10:00,3.0,31.765,24.74
Off,2006-07-12 23:10:00,2006-07-12 23:16:00,6.0,30.18,24.662857142857145
Nocturnal,2006-07-12 23:16:00,2006-07-13 02:48:00,212.0,30.02258215962441,24.57356807511737
Off,2006-07-13 02:48:00,2006-07-13 03:00:00,12.0,24.91,24.288461538461533
Nocturnal,2006-07-13 03:00:00,2006-07-13 06:38:00,218.0,30.02493150684932,24.356438356164382
Off,2006-07-13 06:38:00,2006-07-13 06:41:00,3.0,27.42,24.21
On,2006-07-13 06:41:00,2006-07-13 06:59:00,18.0,30.157894736842103,24.254736842105263
Off,2006-07-13 06:59:00,2006-07-13 07:02:00,3.0,27.96,24.38
On,2006-07-13 07:02:00,2006-07-13 07:13:00,11.0,30.102500000000003,24.280833333333334
Off,2006-07-13 07:13:00,2006-07-13 07:16:00,3.0,28.88,24.21
On,2006-07-13 07:16:00,2006-07-13 07:35:00,19.0,31.3105,24.5065
Off,2006-07-13 07:35:00,2006-07-13 07:40:00,5.0,27.42,24.74
On,2006-07-13 07:40:00,2006-07-13 07:53:00,13.0,30.290714285714284,25.013571428571424
Off,2006-07-13 07:53:00,2006-07-13 08:00:00,7.0,27.6,25.27
On,2006-07-13 08:00:00,2006-07-13 08:10:00,10.0,30.13272727272728,25.522727272727277
Off,2006-07-13 08:10:00,2006-07-13 08:16:00,6.0,28.33,25.877142857142854
On,2006-07-13 08:16:00,2006-07-13 08:25:00,9.0,31.192,26.016
Off,2006-07-13 08:25:00,2006-07-13 08:32:00,7.0,27.6,26.16
On,2006-07-13 08:32:00,2006-07-13 08:58:00,26.0,32.58296296296297,26.713333333333328
Off,2006-07-13 08:58:00,2006-07-13 09:06:00,8.0,28.15,27.28
On,2006-07-13 09:06:00,2006-07-13 09:14:00,8.0,35.419999999999995,27.380000000000003
Off,2006-07-13 09:14:00,2006-07-13 09:19:00,5.0,30.37,27.63
On,2006-07-13 09:19:00,2006-07-13 09:35:00,16.0,35.74,27.961176470588235
Off,2006-07-13 09:35:00,2006-07-13 09:41:00,6.0,29.62,28.095714285714287
On,2006-07-13 09:41:00,2006-07-13 09:51:00,10.0,32.10909090909092,27.74818181818182
Off,2006-07-13 09:51:00,2006-07-13 09:56:00,5.0,29.25,27.420000000000005
On,2006-07-13 09:56:00,2006-07-13 10:01:00,5.0,31.963333333333328,27.420000000000005
Off,2006-07-13 10:01:00,2006-07-13 10:08:00,7.0,32.66,27.465000000000003
On,2006-07-13 10:08:00,2006-07-13 10:17:00,9.0,35.342,28.019
Off,2006-07-13 10:17:00,2006-07-13 10:25:00,8.0,29.07,28.024444444444445
On,2006-07-13 10:25:00,2006-07-13 10:35:00,10.0,32.11818181818182,28.85
Off,2006-07-13 10:35:00,2006-07-13 10:38:00,3.0,30.56,29.53
On,2006-07-13 10:38:00,2006-07-13 10:59:00,21.0,32.48272727272726,28.24818181818182
Off,2006-07-13 10:59:00,2006-07-13 11:04:00,5.0,30.75,29.718333333333334
On,2006-07-13 11:04:00,2006-07-13 11:12:00,8.0,32.93555555555555,29.128888888888884
Off,2006-07-13 11:12:00,2006-07-13 11:18:00,6.0,30.94,29.49
On,2006-07-13 11:18:00,2006-07-13 11:39:00,21.0,34.96454545454545,29.60954545454545
Off,2006-07-13 11:39:00,2006-07-13 11:52:00,13.0,29.25,29.63714285714286
On,2006-07-13 11:52:00,2006-07-13 12:08:00,16.0,32.218823529411765,30.762941176470584
Off,2006-07-13 12:08:00,2006-07-13 12:13:00,5.0,30.0,30.09166666666667
On,2006-07-13 12:13:00,2006-07-13 12:31:00,18.0,33.561052631578946,30.554736842105267
Off,2006-07-13 12:31:00,2006-07-13 12:38:00,7.0,32.08,32.181250000000006
On,2006-07-13 12:38:00,2006-07-13 12:44:00,6.0,34.82857142857143,30.61428571428572
Off,2006-07-13 12:44:00,2006-07-13 12:47:00,3.0,32.08,30.135
On,2006-07-13 12:47:00,2006-07-13 13:00:00,13.0,35.06285714285714,31.22714285714286
Off,2006-07-13 13:00:00,2006-07-13 13:09:00,9.0,32.08,32.47099999999999
On,2006-07-13 13:09:00,2006-07-13 13:17:00,8.0,35.848888888888894,31.723333333333333
Off,2006-07-13 13:17:00,2006-07-13 13:27:00,10.0,32.86,32.61272727272728
On,2006-07-13 13:27:00,2006-07-13 13:40:00,13.0,34.42428571428572,32.116428571428564
Off,2006-07-13 13:40:00,2006-07-13 13:51:00,11.0,31.89,31.929166666666664
On,2006-07-13 13:51:00,2006-07-13 13:57:00,6.0,33.964285714285715,33.16857142857143
Off,2006-07-13 13:57:00,2006-07-13 14:01:00,4.0,34.04,33.84
On,2006-07-13 14:01:00,2006-07-13 14:10:00,9.0,35.145,33.271
Off,2006-07-13 14:10:00,2006-07-13 14:16:00,6.0,34.04,33.84
On,2006-07-13 14:16:00,2006-07-13 14:26:00,10.0,35.72636363636363,34.17909090909091
Off,2006-07-13 14:26:00,2006-07-13 14:35:00,9.0,34.63,34.731
On,2006-07-13 14:35:00,2006-07-13 14:40:00,5.0,36.05166666666666,34.696666666666665
Off,2006-07-13 14:40:00,2006-07-13 14:46:00,6.0,34.43,35.09142857142857
On,2006-07-13 14:46:00,2006-07-13 14:54:00,8.0,36.64111111111112,35.099999999999994
Off,2006-07-13 14:54:00,2006-07-13 15:04:00,10.0,33.44,34.96454545454546
On,2006-07-13 15:04:00,2006-07-13 15:16:00,12.0,36.39923076923077,34.69307692307692
Off,2006-07-13 15:16:00,2006-07-13 15:24:00,8.0,34.43,35.168888888888894
On,2006-07-13 15:24:00,2006-07-13 15:54:00,30.0,36.28032258064516,35.836129032258064
Off,2006-07-13 15:54:00,2006-07-13 16:02:00,8.0,34.04,33.66444444444445
On,2006-07-13 16:02:00,2006-07-13 16:08:00,6.0,35.03857142857144,33.98
Off,2006-07-13 16:08:00,2006-07-13 16:14:00,6.0,32.86,32.55285714285714
On,2006-07-13 16:14:00,2006-07-13 16:34:00,20.0,36.01619047619048,34.28571428571428
Off,2006-07-13 16:34:00,2006-07-13 16:40:00,6.0,35.64,34.402857142857144
On,2006-07-13 16:40:00,2006-07-13 17:25:00,45.0,36.41239130434783,33.08782608695652
Off,2006-07-13 17:25:00,2006-07-13 17:41:00,16.0,33.05,32.41411764705882
On,2006-07-13 17:41:00,2006-07-13 17:49:00,8.0,37.27666666666667,32.47
Off,2006-07-13 17:49:00,2006-07-13 17:53:00,4.0,34.23,32.584
On,2006-07-13 17:53:00,2006-07-13 18:01:00,8.0,37.31444444444444,32.364444444444445
Off,2006-07-13 18:01:00,2006-07-13 18:12:00,11.0,32.86,32.276666666666664
On,2006-07-13 18:12:00,2006-07-13 18:27:00,15.0,35.38499999999999,32.020624999999995
Off,2006-07-13 18:27:00,2006-07-13 18:41:00,14.0,32.47,31.87733333333333
On,2006-07-13 18:41:00,2006-07-13 18:49:00,8.0,34.33,31.446666666666665
Off,2006-07-13 18:49:00,2006-07-13 18:55:00,6.0,32.28,30.94
On,2006-07-13 18:55:00,2006-07-13 19:29:00,34.0,36.163428571428575,30.896571428571423
Off,2006-07-13 19:29:00,2006-07-13 19:38:00,9.0,31.89,30.218
On,2006-07-13 19:38:00,2006-07-13 20:03:00,25.0,34.488076923076925,29.93884615384615
Off,2006-07-13 20:03:00,2006-07-13 20:16:00,13.0,31.13,29.64785714285714
On,2006-07-13 20:16:00,2006-07-13 20:31:00,15.0,33.874375,29.345
Off,2006-07-13 20:31:00,2006-07-13 20:57:00,26.0,29.62,28.8762962962963
Nocturnal,2006-07-13 20:57:00,2006-07-14 05:06:00,489.0,32.161530612244896,25.73516326530612
Off,2006-07-14 05:06:00,2006-07-14 05:14:00,8.0,30.0,23.51
On,2006-07-14 05:14:00,2006-07-14 05:28:00,14.0,32.552,23.486
Off,2006-07-14 05:28:00,2006-07-14 06:21:00,53.0,29.62,23.6075925925926
On,2006-07-14 06:21:00,2006-07-14 06:40:00,19.0,33.623,23.68
Off,2006-07-14 06:40:00,2006-07-14 06:46:00,6.0,27.6,23.680000000000003
On,2006-07-14 06:46:00,2006-07-14 06:59:00,13.0,35.01714285714285,23.74428571428572
Off,2006-07-14 06:59:00,2006-07-14 07:11:00,12.0,33.05,23.860000000000007
On,2006-07-14 07:11:00,2006-07-14 07:20:00,9.0,36.268,23.877
Off,2006-07-14 07:20:00,2006-07-14 07:25:00,5.0,29.44,24.03
On,2006-07-14 07:25:00,2006-07-14 07:31:00,6.0,34.03857142857142,24.10714285714286
Off,2006-07-14 07:31:00,2006-07-14 07:34:00,3.0,31.51,24.2525
On,2006-07-14 07:34:00,2006-07-14 08:43:00,69.0,33.5147142857143,25.004285714285707
Off,2006-07-14 08:43:00,2006-07-14 08:50:00,7.0,28.33,25.845
On,2006-07-14 08:50:00,2006-07-14 09:17:00,27.0,36.0575,26.745
Off,2006-07-14 09:17:00,2006-07-14 09:25:00,8.0,29.62,27.18
On,2006-07-14 09:25:00,2006-07-14 09:43:00,18.0,36.15526315789473,28.23315789473684
Off,2006-07-14 09:43:00,2006-07-14 09:54:00,11.0,30.37,28.805833333333336
On,2006-07-14 09:54:00,2006-07-14 10:11:00,17.0,33.946666666666665,29.33611111111111
Off,2006-07-14 10:11:00,2006-07-14 10:19:00,8.0,30.56,29.56
On,2006-07-14 10:19:00,2006-07-14 10:37:00,18.0,33.50368421052631,29.87789473684211
Off,2006-07-14 10:37:00,2006-07-14 10:46:00,9.0,31.51,30.599
On,2006-07-14 10:46:00,2006-07-14 10:56:00,10.0,34.65909090909091,30.76727272727273
Off,2006-07-14 10:56:00,2006-07-14 11:02:00,6.0,33.44,30.912857142857145
On,2006-07-14 11:02:00,2006-07-14 11:21:00,19.0,35.56349999999999,31.491000000000003
Off,2006-07-14 11:21:00,2006-07-14 11:32:00,11.0,33.05,31.891666666666666
On,2006-07-14 11:32:00,2006-07-14 12:10:00,38.0,36.29538461538461,31.48692307692308
Off,2006-07-14 12:10:00,2006-07-14 12:20:00,10.0,32.86,32.82545454545454
On,2006-07-14 12:20:00,2006-07-14 12:23:00,3.0,33.79,32.1325
Off,2006-07-14 12:23:00,2006-07-14 12:27:00,4.0,33.25,32.122
On,2006-07-14 12:27:00,2006-07-14 12:59:00,32.0,35.43484848484848,33.410000000000004
Off,2006-07-14 12:59:00,2006-07-14 13:14:00,15.0,34.63,33.506874999999994
On,2006-07-14 13:14:00,2006-07-14 13:21:00,7.0,36.18375,33.03125
Off,2006-07-14 13:21:00,2006-07-14 13:23:00,2.0,36.26,33.053333333333335
On,2006-07-14 13:23:00,2006-07-14 13:30:00,7.0,37.325,33.42
Off,2006-07-14 13:30:00,2006-07-14 13:36:00,6.0,34.43,32.41428571428572
On,2006-07-14 13:36:00,2006-07-14 13:42:00,6.0,34.86142857142857,33.89857142857143
Off,2006-07-14 13:42:00,2006-07-14 13:44:00,2.0,34.63,34.10666666666666
On,2006-07-14 13:44:00,2006-07-14 14:39:00,55.0,36.60982142857143,34.48535714285715
Off,2006-07-14 14:39:00,2006-07-14 14:49:00,10.0,36.67,35.17999999999999
On,2006-07-14 14:49:00,2006-07-14 15:09:00,20.0,37.42428571428572,35.06619047619047
Off,2006-07-14 15:09:00,2006-07-14 15:15:00,6.0,36.26,34.43857142857143
