Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-03-26 21:10:00,2006-03-26 21:31:00,21.0,25.685,9.229090909090909
Off,2006-03-26 21:31:00,2006-03-26 21:41:00,10.0,25.09,9.52272727272727
Nocturnal,2006-03-26 21:41:00,2006-03-26 22:04:00,23.0,26.13875,9.415833333333332
Off,2006-03-26 22:04:00,2006-03-26 22:12:00,8.0,23.68,9.354444444444445
Nocturnal,2006-03-26 22:12:00,2006-03-26 23:10:00,58.0,25.704406779661017,8.032542372881355
Off,2006-03-26 23:10:00,2006-03-26 23:49:00,39.0,19.89,7.342499999999999
Nocturnal,2006-03-26 23:49:00,2006-03-27 00:19:00,30.0,24.4583870967742,6.776774193548386
Off,2006-03-27 00:19:00,2006-03-27 00:42:00,23.0,21.26,6.53
Nocturnal,2006-03-27 00:42:00,2006-03-27 01:08:00,26.0,24.70037037037037,6.395185185185186
Off,2006-03-27 01:08:00,2006-03-27 01:27:00,19.0,19.38,6.1545000000000005
Nocturnal,2006-03-27 01:27:00,2006-03-27 01:45:00,18.0,21.814210526315787,5.992105263157895
Off,2006-03-27 01:45:00,2006-03-27 01:56:00,11.0,17.51,5.840000000000001
Nocturnal,2006-03-27 01:56:00,2006-03-27 02:59:00,63.0,23.084375,5.62109375
Off,2006-03-27 02:59:00,2006-03-27 03:24:00,25.0,16.17,5.319999999999999
Nocturnal,2006-03-27 03:24:00,2006-03-27 06:56:00,212.0,17.437793427230048,4.724882629107981
Nocturnal,2006-03-27 05:46:00,2006-03-27 05:47:00,1.0,15.33,4.62
Off,2006-03-27 05:47:00,2006-03-27 07:03:00,76.0,10.11,4.41974025974026
On,2006-03-27 07:03:00,2006-03-27 07:23:00,20.0,22.29476190476191,5.157619047619046
Off,2006-03-27 07:23:00,2006-03-27 07:32:00,9.0,11.46,6.045
On,2006-03-27 07:32:00,2006-03-27 07:58:00,26.0,24.26518518518519,7.928148148148149
Off,2006-03-27 07:58:00,2006-03-27 08:03:00,5.0,17.85,10.11
On,2006-03-27 08:03:00,2006-03-27 08:41:00,38.0,27.90846153846153,11.806923076923075
Off,2006-03-27 08:41:00,2006-03-27 08:51:00,10.0,18.19,13.311818181818182
On,2006-03-27 08:51:00,2006-03-27 09:09:00,18.0,27.12210526315789,14.29
Off,2006-03-27 09:09:00,2006-03-27 09:17:00,8.0,20.74,14.971111111111112
On,2006-03-27 09:17:00,2006-03-27 09:35:00,18.0,27.31684210526316,15.626315789473685
Off,2006-03-27 09:35:00,2006-03-27 09:38:00,3.0,25.8,16.0425
On,2006-03-27 09:38:00,2006-03-27 09:55:00,17.0,29.37,16.167777777777776
Off,2006-03-27 09:55:00,2006-03-27 10:05:00,10.0,24.91,16.67
On,2006-03-27 10:05:00,2006-03-27 10:18:00,13.0,29.64428571428571,16.572857142857142
Off,2006-03-27 10:18:00,2006-03-27 10:22:00,4.0,27.6,17.212000000000003
On,2006-03-27 10:22:00,2006-03-27 11:01:00,39.0,31.09325,17.526
Off,2006-03-27 11:01:00,2006-03-27 11:05:00,4.0,25.8,18.258000000000003
On,2006-03-27 11:05:00,2006-03-27 11:23:00,18.0,29.34684210526316,18.735789473684207
Off,2006-03-27 11:23:00,2006-03-27 11:31:00,8.0,26.52,18.756666666666668
On,2006-03-27 11:31:00,2006-03-27 12:06:00,35.0,31.62416666666666,19.153333333333336
Off,2006-03-27 12:06:00,2006-03-27 12:16:00,10.0,25.09,19.225454545454543
On,2006-03-27 12:16:00,2006-03-27 12:26:00,10.0,30.34,19.95181818181818
Off,2006-03-27 12:26:00,2006-03-27 12:35:00,9.0,27.24,20.4
On,2006-03-27 12:35:00,2006-03-27 13:04:00,29.0,32.911333333333324,20.752333333333336
