Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-09 20:42:00,2006-06-10 06:24:00,582.0,35.20022298456261,25.9557461406518
Off,2006-06-10 06:24:00,2006-06-10 06:31:00,7.0,30.37,24.165
On,2006-06-10 06:31:00,2006-06-10 06:54:00,23.0,35.415416666666665,24.135
Off,2006-06-10 06:54:00,2006-06-10 07:02:00,8.0,30.56,24.21
On,2006-06-10 07:02:00,2006-06-10 07:10:00,8.0,34.65222222222222,24.30444444444445
Off,2006-06-10 07:10:00,2006-06-10 07:17:00,7.0,30.0,24.38
On,2006-06-10 07:17:00,2006-06-10 07:38:00,21.0,36.566818181818185,24.388181818181817
Off,2006-06-10 07:38:00,2006-06-10 07:44:00,6.0,32.66,24.56
On,2006-06-10 07:44:00,2006-06-10 07:56:00,12.0,36.28846153846154,24.79076923076923
Off,2006-06-10 07:56:00,2006-06-10 08:03:00,7.0,32.08,25.0
On,2006-06-10 08:03:00,2006-06-10 08:21:00,18.0,35.47789473684211,25.36105263157895
Off,2006-06-10 08:21:00,2006-06-10 08:31:00,10.0,32.08,26.110909090909093
On,2006-06-10 08:31:00,2006-06-10 08:53:00,22.0,35.85695652173913,25.10478260869565
Off,2006-06-10 08:53:00,2006-06-10 09:02:00,9.0,32.28,25.090000000000003
On,2006-06-10 09:02:00,2006-06-10 09:37:00,35.0,35.147777777777776,25.976666666666663
Off,2006-06-10 09:37:00,2006-06-10 09:49:00,12.0,32.28,27.558461538461533
On,2006-06-10 09:49:00,2006-06-10 10:02:00,13.0,35.830714285714286,28.02714285714285
Off,2006-06-10 10:02:00,2006-06-10 10:09:00,7.0,33.44,28.33
On,2006-06-10 10:09:00,2006-06-10 10:25:00,16.0,36.75411764705882,29.100588235294115
Off,2006-06-10 10:25:00,2006-06-10 10:38:00,13.0,34.23,30.049285714285716
On,2006-06-10 10:38:00,2006-06-10 10:51:00,13.0,37.18071428571428,30.424285714285716
Off,2006-06-10 10:51:00,2006-06-10 11:02:00,11.0,35.85,30.7975
On,2006-06-10 11:02:00,2006-06-10 11:07:00,5.0,37.156666666666666,31.636666666666667
Off,2006-06-10 11:07:00,2006-06-10 11:18:00,11.0,36.05,31.89
On,2006-06-10 11:18:00,2006-06-10 11:28:00,10.0,37.23727272727273,32.1890909090909
Off,2006-06-10 11:28:00,2006-06-10 11:45:00,17.0,35.24,32.69555555555555
On,2006-06-10 11:45:00,2006-06-10 11:58:00,13.0,37.28714285714285,32.77285714285715
Off,2006-06-10 11:58:00,2006-06-10 12:05:00,7.0,35.85,33.31999999999999
On,2006-06-10 12:05:00,2006-06-10 12:11:00,6.0,36.99714285714286,33.46857142857142
Off,2006-06-10 12:11:00,2006-06-10 12:18:00,7.0,36.46,33.715
On,2006-06-10 12:18:00,2006-06-10 12:26:00,8.0,37.577777777777776,33.72888888888889
Off,2006-06-10 12:26:00,2006-06-10 12:38:00,12.0,37.5,33.93153846153847
On,2006-06-10 12:38:00,2006-06-10 12:56:00,18.0,38.170526315789466,34.577368421052626
Off,2006-06-10 12:56:00,2006-06-10 13:16:00,20.0,36.46,34.957142857142856
On,2006-06-10 13:16:00,2006-06-10 13:20:00,4.0,37.93,35.19800000000001
Off,2006-06-10 13:20:00,2006-06-10 13:32:00,12.0,36.88,35.361538461538466
On,2006-06-10 13:32:00,2006-06-10 13:37:00,5.0,38.14,35.645
Off,2006-06-10 13:37:00,2006-06-10 13:40:00,3.0,37.92,35.95
On,2006-06-10 13:40:00,2006-06-10 13:45:00,5.0,38.385,36.25833333333333
Off,2006-06-10 13:45:00,2006-06-10 13:55:00,10.0,37.5,35.64545454545455
On,2006-06-10 13:55:00,2006-06-10 15:05:00,70.0,38.4581690140845,36.23830985915495
Off,2006-06-10 15:05:00,2006-06-10 15:11:00,6.0,37.92,36.14
On,2006-06-10 15:11:00,2006-06-10 15:54:00,43.0,38.78363636363636,36.51545454545455
Off,2006-06-10 15:54:00,2006-06-10 16:01:00,7.0,38.35,36.59125
On,2006-06-10 16:01:00,2006-06-10 16:06:00,5.0,39.06666666666666,36.428333333333335
Off,2006-06-10 16:06:00,2006-06-10 16:23:00,17.0,37.29,35.371666666666655
On,2006-06-10 16:23:00,2006-06-10 16:30:00,7.0,38.1375,35.49125000000001
Off,2006-06-10 16:30:00,2006-06-10 16:42:00,12.0,37.29,35.50076923076923
On,2006-06-10 16:42:00,2006-06-10 16:50:00,8.0,38.28111111111111,35.284444444444446
Off,2006-06-10 16:50:00,2006-06-10 17:01:00,11.0,36.46,34.03750000000001
On,2006-06-10 17:01:00,2006-06-10 17:12:00,11.0,37.719166666666666,34.531666666666666
Off,2006-06-10 17:12:00,2006-06-10 17:27:00,15.0,36.67,35.046875
On,2006-06-10 17:27:00,2006-06-10 17:43:00,16.0,37.74117647058823,35.05882352941177
Off,2006-06-10 17:43:00,2006-06-10 18:18:00,35.0,35.64,34.34916666666666
On,2006-06-10 18:18:00,2006-06-10 18:31:00,13.0,37.07285714285714,33.940000000000005
Off,2006-06-10 18:31:00,2006-06-10 18:52:00,21.0,34.43,33.604545454545466
On,2006-06-10 18:52:00,2006-06-10 19:02:00,10.0,36.548181818181824,33.35363636363636
Off,2006-06-10 19:02:00,2006-06-10 19:12:00,10.0,34.83,33.06909090909091
On,2006-06-10 19:12:00,2006-06-10 19:21:00,9.0,37.156,32.936
Off,2006-06-10 19:21:00,2006-06-10 19:35:00,14.0,35.03,32.97533333333334
On,2006-06-10 19:35:00,2006-06-10 19:44:00,9.0,37.193000000000005,32.71999999999999
Off,2006-06-10 19:44:00,2006-06-10 19:54:00,10.0,35.24,32.417272727272724
On,2006-06-10 19:54:00,2006-06-10 19:58:00,4.0,36.468,32.08
Off,2006-06-10 19:58:00,2006-06-10 20:11:00,13.0,34.04,31.781428571428567
On,2006-06-10 20:11:00,2006-06-10 20:27:00,16.0,36.78,31.197058823529414
Off,2006-06-10 20:27:00,2006-06-10 20:42:00,15.0,33.64,30.738125
On,2006-06-10 20:42:00,2006-06-10 21:05:00,23.0,36.287083333333335,30.199583333333333
Off,2006-06-10 21:05:00,2006-06-10 21:16:00,11.0,33.25,29.87333333333333
On,2006-06-10 21:16:00,2006-06-10 21:36:00,20.0,35.44428571428571,29.53428571428572
Off,2006-06-10 21:36:00,2006-06-10 21:39:00,3.0,34.83,29.25
On,2006-06-10 21:39:00,2006-06-10 21:53:00,14.0,35.766000000000005,29.094
Off,2006-06-10 21:53:00,2006-06-10 22:03:00,10.0,33.64,28.849090909090908
Nocturnal,2006-06-10 22:03:00,2006-06-11 06:16:00,493.0,33.76342105263158,25.488036437246965
Off,2006-06-11 06:16:00,2006-06-11 06:24:00,8.0,28.51,23.68
On,2006-06-11 06:24:00,2006-06-11 06:30:00,6.0,32.37142857142857,23.680000000000003
Off,2006-06-11 06:30:00,2006-06-11 06:36:00,6.0,30.75,23.731428571428573
On,2006-06-11 06:36:00,2006-06-11 06:43:00,7.0,35.04375,23.86
Off,2006-06-11 06:43:00,2006-06-11 06:51:00,8.0,29.81,23.954444444444444
On,2006-06-11 06:51:00,2006-06-11 06:56:00,5.0,32.81333333333333,24.001666666666665
Off,2006-06-11 06:56:00,2006-06-11 07:02:00,6.0,29.62,24.03
On,2006-06-11 07:02:00,2006-06-11 07:15:00,13.0,34.917142857142856,24.12
Off,2006-06-11 07:15:00,2006-06-11 07:21:00,6.0,30.37,24.381428571428568
On,2006-06-11 07:21:00,2006-06-11 07:37:00,16.0,35.469411764705875,24.882941176470588
Off,2006-06-11 07:37:00,2006-06-11 07:45:00,8.0,30.75,25.581111111111117
On,2006-06-11 07:45:00,2006-06-11 07:57:00,12.0,35.76,26.24307692307692
Off,2006-06-11 07:57:00,2006-06-11 08:06:00,9.0,31.51,26.916
On,2006-06-11 08:06:00,2006-06-11 08:15:00,9.0,36.19,27.42
Off,2006-06-11 08:15:00,2006-06-11 08:21:00,6.0,33.25,27.574285714285715
On,2006-06-11 08:21:00,2006-06-11 08:30:00,9.0,36.668,28.275
Off,2006-06-11 08:30:00,2006-06-11 08:37:00,7.0,33.84,28.46625
On,2006-06-11 08:37:00,2006-06-11 08:45:00,8.0,36.28777777777778,28.84222222222222
Off,2006-06-11 08:45:00,2006-06-11 08:53:00,8.0,34.43,28.922222222222224
On,2006-06-11 08:53:00,2006-06-11 09:49:00,56.0,36.52157894736841,29.89859649122807
Off,2006-06-11 09:49:00,2006-06-11 10:11:00,22.0,33.25,30.65913043478261
On,2006-06-11 10:11:00,2006-06-11 10:30:00,19.0,36.85300000000001,30.940000000000005
Off,2006-06-11 10:30:00,2006-06-11 10:41:00,11.0,34.23,31.54166666666666
On,2006-06-11 10:41:00,2006-06-11 10:48:00,7.0,37.18625,31.581250000000004
Off,2006-06-11 10:48:00,2006-06-11 10:54:00,6.0,36.26,32.25
On,2006-06-11 10:54:00,2006-06-11 11:22:00,28.0,37.43310344827586,33.1596551724138
Off,2006-06-11 11:22:00,2006-06-11 11:28:00,6.0,36.26,33.58428571428572
