Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-04-27 20:14:00,2006-04-28 06:45:00,631.0,32.0825,20.4206170886076
Off,2006-04-28 06:45:00,2006-04-28 06:51:00,6.0,22.29,17.825714285714287
On,2006-04-28 06:51:00,2006-04-28 07:14:00,23.0,32.159166666666664,17.68
Off,2006-04-28 07:14:00,2006-04-28 07:20:00,6.0,23.51,17.584285714285716
On,2006-04-28 07:20:00,2006-04-28 07:55:00,35.0,32.23,17.818888888888893
Off,2006-04-28 07:55:00,2006-04-28 08:02:00,7.0,24.74,18.36
On,2006-04-28 08:02:00,2006-04-28 08:49:00,47.0,33.20208333333333,19.429583333333333
Off,2006-04-28 08:49:00,2006-04-28 08:54:00,5.0,25.44,20.23
On,2006-04-28 08:54:00,2006-04-28 09:33:00,39.0,32.15749999999999,20.4935
Off,2006-04-28 09:33:00,2006-04-28 09:42:00,9.0,24.21,20.859
On,2006-04-28 09:42:00,2006-04-28 09:48:00,6.0,28.604285714285712,20.83714285714285
Off,2006-04-28 09:48:00,2006-04-28 09:51:00,3.0,27.06,21.08
On,2006-04-28 09:51:00,2006-04-28 10:28:00,37.0,31.23631578947369,21.89684210526316
Off,2006-04-28 10:28:00,2006-04-28 10:33:00,5.0,27.24,22.460000000000004
On,2006-04-28 10:33:00,2006-04-28 10:50:00,17.0,35.58277777777778,22.87611111111111
Off,2006-04-28 10:50:00,2006-04-28 10:56:00,6.0,28.51,23.43285714285715
On,2006-04-28 10:56:00,2006-04-28 11:06:00,10.0,35.07545454545454,23.522727272727277
Off,2006-04-28 11:06:00,2006-04-28 11:12:00,6.0,28.7,23.86
On,2006-04-28 11:12:00,2006-04-28 11:30:00,18.0,35.62210526315789,24.237368421052636
Off,2006-04-28 11:30:00,2006-04-28 11:35:00,5.0,30.37,24.74
On,2006-04-28 11:35:00,2006-04-28 11:42:00,7.0,35.88125,24.82625
Off,2006-04-28 11:42:00,2006-04-28 11:49:00,7.0,28.88,25.332500000000003
On,2006-04-28 11:49:00,2006-04-28 12:01:00,12.0,35.78538461538462,25.592307692307696
Off,2006-04-28 12:01:00,2006-04-28 12:09:00,8.0,29.25,25.98
On,2006-04-28 12:09:00,2006-04-28 12:31:00,22.0,36.44608695652175,26.56695652173913
Off,2006-04-28 12:31:00,2006-04-28 12:40:00,9.0,33.64,27.078000000000003
On,2006-04-28 12:40:00,2006-04-28 12:46:00,6.0,37.05142857142857,27.625714285714285
Off,2006-04-28 12:46:00,2006-04-28 12:52:00,6.0,34.43,28.042857142857144
On,2006-04-28 12:52:00,2006-04-28 13:04:00,12.0,38.59769230769231,28.076923076923077
Off,2006-04-28 13:04:00,2006-04-28 13:12:00,8.0,33.44,28.453333333333333
On,2006-04-28 13:12:00,2006-04-28 13:21:00,9.0,38.375,28.883
Off,2006-04-28 13:21:00,2006-04-28 13:31:00,10.0,33.64,28.966363636363635
On,2006-04-28 13:31:00,2006-04-28 13:41:00,10.0,37.97636363636364,30.373636363636365
Off,2006-04-28 13:41:00,2006-04-28 13:46:00,5.0,35.44,31.066666666666663
On,2006-04-28 13:46:00,2006-04-28 13:54:00,8.0,38.27666666666666,30.940000000000005
Off,2006-04-28 13:54:00,2006-04-28 14:08:00,14.0,33.44,30.66133333333333
On,2006-04-28 14:08:00,2006-04-28 14:18:00,10.0,37.03818181818182,31.14727272727273
Off,2006-04-28 14:18:00,2006-04-28 14:20:00,2.0,37.71,31.25666666666667
On,2006-04-28 14:20:00,2006-04-28 14:26:00,6.0,38.78142857142858,31.15714285714285
Off,2006-04-28 14:26:00,2006-04-28 14:34:00,8.0,35.85,31.91555555555556
On,2006-04-28 14:34:00,2006-04-28 14:39:00,5.0,37.23666666666667,32.47
Off,2006-04-28 14:39:00,2006-04-28 14:43:00,4.0,37.08,32.432
On,2006-04-28 14:43:00,2006-04-28 14:46:00,3.0,38.2475,32.3275
Off,2006-04-28 14:46:00,2006-04-28 14:54:00,8.0,35.44,32.47
On,2006-04-28 14:54:00,2006-04-28 15:13:00,19.0,37.7315,32.8675
Off,2006-04-28 15:13:00,2006-04-28 15:23:00,10.0,36.05,33.51636363636365
On,2006-04-28 15:23:00,2006-04-28 15:28:00,5.0,37.51,33.63999999999999
Off,2006-04-28 15:28:00,2006-04-28 15:44:00,16.0,36.26,33.86058823529412
On,2006-04-28 15:44:00,2006-04-28 15:54:00,10.0,37.75727272727273,34.03545454545454
Off,2006-04-28 15:54:00,2006-04-28 16:04:00,10.0,36.26,33.67818181818182
On,2006-04-28 16:04:00,2006-04-28 16:17:00,13.0,38.71642857142857,34.17928571428571
Off,2006-04-28 16:17:00,2006-04-28 16:27:00,10.0,36.46,33.981818181818184
On,2006-04-28 16:27:00,2006-04-28 16:31:00,4.0,37.804,34.154
Off,2006-04-28 16:31:00,2006-04-28 16:38:00,7.0,35.85,34.455
On,2006-04-28 16:38:00,2006-04-28 16:48:00,10.0,37.50545454545455,32.78999999999999
Off,2006-04-28 16:48:00,2006-04-28 17:02:00,14.0,35.03,33.13199999999999
On,2006-04-28 17:02:00,2006-04-28 17:08:00,6.0,37.46714285714285,33.78285714285715
Off,2006-04-28 17:08:00,2006-04-28 17:21:00,13.0,34.43,32.89071428571428
On,2006-04-28 17:21:00,2006-04-28 17:29:00,8.0,38.90222222222222,31.108888888888885
Off,2006-04-28 17:29:00,2006-04-28 17:41:00,12.0,32.66,30.633076923076924
On,2006-04-28 17:41:00,2006-04-28 17:47:00,6.0,36.97428571428571,30.424285714285716
Off,2006-04-28 17:47:00,2006-04-28 17:54:00,7.0,31.13,30.655
On,2006-04-28 17:54:00,2006-04-28 18:06:00,12.0,36.55153846153846,30.185384615384613
Off,2006-04-28 18:06:00,2006-04-28 18:14:00,8.0,29.81,29.66555555555556
On,2006-04-28 18:14:00,2006-04-28 18:44:00,30.0,37.285806451612906,28.366774193548387
Off,2006-04-28 18:44:00,2006-04-28 18:58:00,14.0,27.78,27.264
On,2006-04-28 18:58:00,2006-04-28 19:22:00,24.0,36.948,26.592
Off,2006-04-28 19:22:00,2006-04-28 19:29:00,7.0,28.15,26.475
On,2006-04-28 19:29:00,2006-04-28 20:10:00,41.0,37.24761904761905,25.967857142857145
Off,2006-04-28 20:10:00,2006-04-28 20:28:00,18.0,24.21,24.68157894736842
Nocturnal,2006-04-28 20:28:00,2006-04-29 04:15:00,467.0,35.264316239316244,20.89944444444444
Off,2006-04-29 04:15:00,2006-04-29 05:07:00,52.0,16.84,17.419056603773583
On,2006-04-29 05:07:00,2006-04-29 06:46:00,99.0,34.88000000000001,17.316599999999998
Off,2006-04-29 06:46:00,2006-04-29 06:50:00,4.0,26.52,16.669999999999998
On,2006-04-29 06:50:00,2006-04-29 07:06:00,16.0,33.23705882352941,16.369999999999997
Off,2006-04-29 07:06:00,2006-04-29 07:11:00,5.0,24.56,16.5
On,2006-04-29 07:11:00,2006-04-29 07:55:00,44.0,35.12711111111112,17.135555555555552
Off,2006-04-29 07:55:00,2006-04-29 08:00:00,5.0,24.21,17.680000000000003
On,2006-04-29 08:00:00,2006-04-29 08:40:00,40.0,36.19243902439024,18.612926829268293
Off,2006-04-29 08:40:00,2006-04-29 08:48:00,8.0,24.91,19.64444444444444
On,2006-04-29 08:48:00,2006-04-29 09:15:00,27.0,33.72464285714286,20.345357142857143
Off,2006-04-29 09:15:00,2006-04-29 09:21:00,6.0,28.51,21.031428571428567
On,2006-04-29 09:21:00,2006-04-29 09:56:00,35.0,37.20916666666668,21.50944444444445
Off,2006-04-29 09:56:00,2006-04-29 10:05:00,9.0,26.88,22.358
On,2006-04-29 10:05:00,2006-04-29 10:31:00,26.0,35.67148148148148,23.00444444444445
Off,2006-04-29 10:31:00,2006-04-29 10:37:00,6.0,28.51,23.782857142857143
On,2006-04-29 10:37:00,2006-04-29 10:52:00,15.0,35.235,23.87875
Off,2006-04-29 10:52:00,2006-04-29 10:57:00,5.0,29.25,24.411666666666665
On,2006-04-29 10:57:00,2006-04-29 11:19:00,22.0,37.079565217391306,24.981739130434782
Off,2006-04-29 11:19:00,2006-04-29 11:26:00,7.0,28.88,25.2025
On,2006-04-29 11:26:00,2006-04-29 11:40:00,14.0,35.284,25.860666666666663
Off,2006-04-29 11:40:00,2006-04-29 11:47:00,7.0,30.37,26.295
On,2006-04-29 11:47:00,2006-04-29 12:02:00,15.0,37.596250000000005,26.52
Off,2006-04-29 12:02:00,2006-04-29 12:09:00,7.0,31.32,27.465
On,2006-04-29 12:09:00,2006-04-29 12:22:00,13.0,37.036428571428566,27.612857142857138
Off,2006-04-29 12:22:00,2006-04-29 12:28:00,6.0,32.86,28.06857142857143
On,2006-04-29 12:28:00,2006-04-29 12:39:00,11.0,36.415,28.805833333333336
Off,2006-04-29 12:39:00,2006-04-29 12:49:00,10.0,30.56,28.030000000000005
On,2006-04-29 12:49:00,2006-04-29 13:03:00,14.0,38.316,28.355333333333327
Off,2006-04-29 13:03:00,2006-04-29 13:10:00,7.0,33.05,29.205
On,2006-04-29 13:10:00,2006-04-29 13:15:00,5.0,35.553333333333335,29.561666666666667
