Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-04-14 20:12:00,2006-04-15 06:37:00,625.0,28.450623003194888,18.767284345047923
Off,2006-04-15 06:37:00,2006-04-15 06:44:00,7.0,21.26,15.7025
On,2006-04-15 06:44:00,2006-04-15 06:56:00,12.0,25.463846153846152,15.441538461538467
Off,2006-04-15 06:56:00,2006-04-15 07:05:00,9.0,23.68,15.211000000000002
On,2006-04-15 07:05:00,2006-04-15 07:15:00,10.0,27.80363636363636,15.12909090909091
Off,2006-04-15 07:15:00,2006-04-15 07:22:00,7.0,21.77,14.99
On,2006-04-15 07:22:00,2006-04-15 07:38:00,16.0,27.118823529411767,15.11
Off,2006-04-15 07:38:00,2006-04-15 07:44:00,6.0,21.77,15.33
On,2006-04-15 07:44:00,2006-04-15 08:08:00,24.0,25.3992,15.614
Off,2006-04-15 08:08:00,2006-04-15 08:12:00,4.0,23.16,15.966
On,2006-04-15 08:12:00,2006-04-15 08:40:00,28.0,27.96,16.96172413793104
Off,2006-04-15 08:40:00,2006-04-15 08:46:00,6.0,25.62,18.117142857142856
On,2006-04-15 08:46:00,2006-04-15 08:58:00,12.0,29.27230769230769,18.935384615384613
Off,2006-04-15 08:58:00,2006-04-15 09:03:00,5.0,27.06,19.691666666666663
On,2006-04-15 09:03:00,2006-04-15 09:21:00,18.0,29.664210526315788,20.67105263157895
Off,2006-04-15 09:21:00,2006-04-15 09:28:00,7.0,28.7,21.70875
On,2006-04-15 09:28:00,2006-04-15 10:14:00,46.0,32.54808510638298,23.0968085106383
Off,2006-04-15 10:14:00,2006-04-15 10:23:00,9.0,30.94,24.807
On,2006-04-15 10:23:00,2006-04-15 11:27:00,64.0,32.46307692307692,26.72276923076923
Off,2006-04-15 11:27:00,2006-04-15 11:35:00,8.0,33.84,28.676666666666662
On,2006-04-15 11:35:00,2006-04-15 11:38:00,3.0,35.095,28.88
Off,2006-04-15 11:38:00,2006-04-15 11:44:00,6.0,34.04,28.93714285714285
On,2006-04-15 11:44:00,2006-04-15 17:17:00,333.0,37.06853293413174,34.085209580838324
Off,2006-04-15 17:17:00,2006-04-15 17:26:00,9.0,33.25,30.413
On,2006-04-15 17:26:00,2006-04-15 17:42:00,16.0,35.515882352941176,29.844117647058823
Off,2006-04-15 17:42:00,2006-04-15 17:59:00,17.0,33.44,30.508333333333333
On,2006-04-15 17:59:00,2006-04-15 18:05:00,6.0,34.55428571428572,29.942857142857147
Off,2006-04-15 18:05:00,2006-04-15 18:13:00,8.0,33.05,29.026666666666667
On,2006-04-15 18:13:00,2006-04-15 18:18:00,5.0,34.73500000000001,27.751666666666665
Off,2006-04-15 18:18:00,2006-04-15 18:22:00,4.0,31.7,27.348000000000003
