Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-04-16 20:25:00,2006-04-17 06:50:00,625.0,30.24642172523962,20.942923322683708
Off,2006-04-17 06:50:00,2006-04-17 06:58:00,8.0,25.09,20.91
On,2006-04-17 06:58:00,2006-04-17 07:11:00,13.0,29.04642857142857,20.91
Off,2006-04-17 07:11:00,2006-04-17 07:20:00,9.0,24.74,20.91
On,2006-04-17 07:20:00,2006-04-17 07:33:00,13.0,29.493571428571425,20.91
Off,2006-04-17 07:33:00,2006-04-17 07:40:00,7.0,26.88,20.91
On,2006-04-17 07:40:00,2006-04-17 07:47:00,7.0,28.9875,21.0375
Off,2006-04-17 07:47:00,2006-04-17 07:53:00,6.0,25.8,21.18285714285714
On,2006-04-17 07:53:00,2006-04-17 08:44:00,51.0,32.739807692307686,21.99307692307692
Off,2006-04-17 08:44:00,2006-04-17 08:50:00,6.0,26.88,22.76142857142857
On,2006-04-17 08:50:00,2006-04-17 09:04:00,14.0,30.250666666666664,22.81
Off,2006-04-17 09:04:00,2006-04-17 09:11:00,7.0,27.6,22.9375
On,2006-04-17 09:11:00,2006-04-17 10:05:00,54.0,31.107090909090907,24.40563636363636
Off,2006-04-17 10:05:00,2006-04-17 10:17:00,12.0,26.88,25.00923076923077
On,2006-04-17 10:17:00,2006-04-17 10:30:00,13.0,30.398571428571422,25.60571428571429
Off,2006-04-17 10:30:00,2006-04-17 10:39:00,9.0,28.51,26.503
On,2006-04-17 10:39:00,2006-04-17 11:09:00,30.0,31.606774193548382,26.797419354838716
Off,2006-04-17 11:09:00,2006-04-17 11:15:00,6.0,30.18,27.94714285714286
On,2006-04-17 11:15:00,2006-04-17 11:37:00,22.0,33.27217391304348,27.32565217391304
Off,2006-04-17 11:37:00,2006-04-17 11:46:00,9.0,30.56,26.628
On,2006-04-17 11:46:00,2006-04-17 12:09:00,23.0,34.16291666666667,29.695000000000004
Off,2006-04-17 12:09:00,2006-04-17 12:17:00,8.0,29.81,28.064444444444444
On,2006-04-17 12:17:00,2006-04-17 12:29:00,12.0,33.040000000000006,29.941538461538464
Off,2006-04-17 12:29:00,2006-04-17 12:34:00,5.0,31.89,30.058333333333334
On,2006-04-17 12:34:00,2006-04-17 12:50:00,16.0,34.09470588235294,30.35
Off,2006-04-17 12:50:00,2006-04-17 12:57:00,7.0,31.7,29.29875
On,2006-04-17 12:57:00,2006-04-17 13:10:00,13.0,33.45142857142857,29.75857142857143
Off,2006-04-17 13:10:00,2006-04-17 13:18:00,8.0,31.51,30.18555555555556
On,2006-04-17 13:18:00,2006-04-17 13:45:00,27.0,33.91535714285714,30.416428571428565
Off,2006-04-17 13:45:00,2006-04-17 13:49:00,4.0,32.08,29.624
On,2006-04-17 13:49:00,2006-04-17 14:10:00,21.0,34.04727272727272,30.17136363636364
Off,2006-04-17 14:10:00,2006-04-17 14:16:00,6.0,32.08,29.65142857142857
