Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-09 20:46:00,2006-06-10 06:19:00,573.0,37.63907665505227,26.02419860627177
Off,2006-06-10 06:19:00,2006-06-10 06:23:00,4.0,32.47,24.138
On,2006-06-10 06:23:00,2006-06-10 06:35:00,12.0,37.03846153846153,24.03
Off,2006-06-10 06:35:00,2006-06-10 06:37:00,2.0,35.85,24.15
On,2006-06-10 06:37:00,2006-06-10 06:42:00,5.0,36.70499999999999,24.210000000000004
Off,2006-06-10 06:42:00,2006-06-10 06:46:00,4.0,33.64,24.21
On,2006-06-10 06:46:00,2006-06-10 07:00:00,14.0,37.404,24.206666666666667
Off,2006-06-10 07:00:00,2006-06-10 07:07:00,7.0,32.47,24.4475
On,2006-06-10 07:07:00,2006-06-10 07:22:00,15.0,37.594375,24.54875
Off,2006-06-10 07:22:00,2006-06-10 07:27:00,5.0,33.84,24.5
On,2006-06-10 07:27:00,2006-06-10 07:54:00,27.0,37.80142857142857,24.72392857142857
Off,2006-06-10 07:54:00,2006-06-10 08:00:00,6.0,33.64,24.91
On,2006-06-10 08:00:00,2006-06-10 08:17:00,17.0,36.99888888888889,25.149999999999995
Off,2006-06-10 08:17:00,2006-06-10 08:23:00,6.0,33.05,25.19142857142857
On,2006-06-10 08:23:00,2006-06-10 08:54:00,31.0,36.038125,25.755000000000003
Off,2006-06-10 08:54:00,2006-06-10 09:02:00,8.0,33.44,26.28
On,2006-06-10 09:02:00,2006-06-10 09:13:00,11.0,36.25083333333334,26.535
Off,2006-06-10 09:13:00,2006-06-10 09:20:00,7.0,33.84,27.0375
On,2006-06-10 09:20:00,2006-06-10 09:29:00,9.0,36.929,27.420000000000005
Off,2006-06-10 09:29:00,2006-06-10 09:39:00,10.0,33.44,27.76363636363636
On,2006-06-10 09:39:00,2006-06-10 09:54:00,15.0,36.61375,28.249375
Off,2006-06-10 09:54:00,2006-06-10 10:02:00,8.0,34.83,28.966666666666665
On,2006-06-10 10:02:00,2006-06-10 10:17:00,15.0,37.641875,29.751875
Off,2006-06-10 10:17:00,2006-06-10 10:30:00,13.0,34.83,30.465714285714284
On,2006-06-10 10:30:00,2006-06-10 10:40:00,10.0,37.00272727272727,31.026363636363637
Off,2006-06-10 10:40:00,2006-06-10 10:46:00,6.0,36.26,31.83714285714285
On,2006-06-10 10:46:00,2006-06-10 10:51:00,5.0,37.895,31.954999999999995
Off,2006-06-10 10:51:00,2006-06-10 11:00:00,9.0,36.67,32.044
