Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-07-01 23:06:00,2005-07-02 07:04:00,478.0,29.865490605427976,26.20058455114823
Off,2005-07-02 07:04:00,2005-07-02 07:17:00,13.0,26.52,25.595714285714283
On,2005-07-02 07:17:00,2005-07-02 07:35:00,18.0,30.75473684210526,25.88684210526316
Off,2005-07-02 07:35:00,2005-07-02 07:42:00,7.0,27.78,26.025
On,2005-07-02 07:42:00,2005-07-02 07:59:00,17.0,32.36222222222223,26.37
Off,2005-07-02 07:59:00,2005-07-02 08:05:00,6.0,29.07,26.494285714285716
On,2005-07-02 08:05:00,2005-07-02 08:21:00,16.0,32.85235294117647,26.7
Off,2005-07-02 08:21:00,2005-07-02 08:26:00,5.0,29.62,26.879999999999995
On,2005-07-02 08:26:00,2005-07-02 08:59:00,33.0,31.59588235294117,27.04941176470588
Off,2005-07-02 08:59:00,2005-07-02 09:08:00,9.0,28.7,27.006
On,2005-07-02 09:08:00,2005-07-02 09:27:00,19.0,33.0305,27.285000000000004
Off,2005-07-02 09:27:00,2005-07-02 09:34:00,7.0,30.0,27.42
On,2005-07-02 09:34:00,2005-07-02 09:45:00,11.0,32.2675,27.676666666666662
Off,2005-07-02 09:45:00,2005-07-02 09:54:00,9.0,30.18,27.979000000000003
On,2005-07-02 09:54:00,2005-07-02 10:05:00,11.0,33.11416666666667,27.932499999999997
Off,2005-07-02 10:05:00,2005-07-02 10:16:00,11.0,30.94,28.2075
On,2005-07-02 10:16:00,2005-07-02 10:26:00,10.0,34.546363636363644,28.915454545454544
Off,2005-07-02 10:26:00,2005-07-02 10:32:00,6.0,31.7,29.41
On,2005-07-02 10:32:00,2005-07-02 10:46:00,14.0,34.591333333333324,29.178
Off,2005-07-02 10:46:00,2005-07-02 10:59:00,13.0,31.32,29.250714285714285
On,2005-07-02 10:59:00,2005-07-02 11:24:00,25.0,33.82346153846154,28.96884615384616
Off,2005-07-02 11:24:00,2005-07-02 11:35:00,11.0,29.81,28.48333333333333
On,2005-07-02 11:35:00,2005-07-02 12:11:00,36.0,33.70324324324326,28.47594594594595
Off,2005-07-02 12:11:00,2005-07-02 12:35:00,24.0,31.13,29.1488
On,2005-07-02 12:35:00,2005-07-02 13:00:00,25.0,34.277307692307694,30.14153846153846
Off,2005-07-02 13:00:00,2005-07-02 13:09:00,9.0,31.7,30.408
On,2005-07-02 13:09:00,2005-07-02 13:25:00,16.0,33.99294117647059,30.19117647058824
Off,2005-07-02 13:25:00,2005-07-02 13:42:00,17.0,31.51,30.274999999999995
On,2005-07-02 13:42:00,2005-07-02 13:59:00,17.0,35.18222222222222,30.855555555555554
Off,2005-07-02 13:59:00,2005-07-02 14:07:00,8.0,32.66,31.151111111111117
On,2005-07-02 14:07:00,2005-07-02 14:54:00,47.0,33.31145833333333,29.746458333333333
Off,2005-07-02 14:54:00,2005-07-02 15:08:00,14.0,28.15,28.488666666666663
On,2005-07-02 15:08:00,2005-07-02 15:27:00,19.0,30.47150000000001,28.018999999999995
Off,2005-07-02 15:27:00,2005-07-02 15:34:00,7.0,27.96,27.8725
On,2005-07-02 15:34:00,2005-07-02 16:01:00,27.0,31.250357142857144,27.25928571428571
Off,2005-07-02 16:01:00,2005-07-02 16:04:00,3.0,28.33,26.745
On,2005-07-02 16:04:00,2005-07-02 16:33:00,29.0,31.134666666666668,26.50200000000001
Off,2005-07-02 16:33:00,2005-07-02 16:41:00,8.0,27.24,26.48
On,2005-07-02 16:41:00,2005-07-02 16:51:00,10.0,30.83181818181818,26.716363636363635
Off,2005-07-02 16:51:00,2005-07-02 16:59:00,8.0,29.07,27.76
On,2005-07-02 16:59:00,2005-07-02 17:18:00,19.0,32.2305,28.6895
Off,2005-07-02 17:18:00,2005-07-02 17:28:00,10.0,28.88,28.682727272727263
On,2005-07-02 17:28:00,2005-07-02 17:44:00,16.0,31.935294117647057,28.179411764705883
Off,2005-07-02 17:44:00,2005-07-02 18:00:00,16.0,27.96,27.54705882352941
On,2005-07-02 18:00:00,2005-07-02 18:12:00,12.0,31.967692307692317,28.09384615384615
Off,2005-07-02 18:12:00,2005-07-02 18:24:00,12.0,29.25,28.896153846153844
On,2005-07-02 18:24:00,2005-07-02 18:40:00,16.0,31.832941176470587,28.39588235294117
Off,2005-07-02 18:40:00,2005-07-02 18:50:00,10.0,29.81,28.71636363636363
On,2005-07-02 18:50:00,2005-07-02 19:12:00,22.0,32.47521739130434,28.746521739130444
Off,2005-07-02 19:12:00,2005-07-02 19:19:00,7.0,29.44,28.7675
On,2005-07-02 19:19:00,2005-07-02 20:46:00,87.0,30.61852272727273,25.68227272727273
Off,2005-07-02 20:46:00,2005-07-02 21:00:00,14.0,24.74,24.547999999999995
Nocturnal,2005-07-02 21:00:00,2005-07-03 06:08:00,548.0,28.552604735883424,24.52200364298725
Off,2005-07-03 06:08:00,2005-07-03 06:16:00,8.0,26.34,25.21
On,2005-07-03 06:16:00,2005-07-03 06:40:00,24.0,30.5396,25.3572
Off,2005-07-03 06:40:00,2005-07-03 06:49:00,9.0,26.88,25.461
On,2005-07-03 06:49:00,2005-07-03 07:06:00,17.0,31.11,25.39388888888889
Off,2005-07-03 07:06:00,2005-07-03 07:13:00,7.0,27.24,25.5525
