Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-07-03 23:46:00,2005-07-04 06:12:00,386.0,37.47687338501292,26.271627906976743
Off,2005-07-04 06:12:00,2005-07-04 06:30:00,18.0,29.62,25.406842105263152
On,2005-07-04 06:30:00,2005-07-04 06:36:00,6.0,34.888571428571424,25.294285714285717
Off,2005-07-04 06:36:00,2005-07-04 06:38:00,2.0,34.83,25.44
On,2005-07-04 06:38:00,2005-07-04 06:44:00,6.0,37.15285714285714,25.415714285714284
Off,2005-07-04 06:44:00,2005-07-04 06:46:00,2.0,36.67,25.44
On,2005-07-04 06:46:00,2005-07-04 06:50:00,4.0,37.632,25.44
Off,2005-07-04 06:50:00,2005-07-04 07:00:00,10.0,30.94,25.39363636363636
On,2005-07-04 07:00:00,2005-07-04 07:12:00,12.0,37.0223076923077,25.661538461538463
Off,2005-07-04 07:12:00,2005-07-04 07:21:00,9.0,32.86,25.548
On,2005-07-04 07:21:00,2005-07-04 07:39:00,18.0,37.40631578947369,25.951578947368414
Off,2005-07-04 07:39:00,2005-07-04 07:48:00,9.0,34.63,26.088
On,2005-07-04 07:48:00,2005-07-04 07:51:00,3.0,36.21,26.025
Off,2005-07-04 07:51:00,2005-07-04 07:55:00,4.0,34.63,26.268
On,2005-07-04 07:55:00,2005-07-04 08:07:00,12.0,37.64692307692307,26.49230769230769
Off,2005-07-04 08:07:00,2005-07-04 08:24:00,17.0,32.86,26.96
On,2005-07-04 08:24:00,2005-07-04 08:47:00,23.0,37.13833333333333,27.894583333333333
Off,2005-07-04 08:47:00,2005-07-04 08:55:00,8.0,34.63,28.105555555555554
On,2005-07-04 08:55:00,2005-07-04 08:59:00,4.0,36.642,28.294
Off,2005-07-04 08:59:00,2005-07-04 09:05:00,6.0,35.24,28.35571428571428
On,2005-07-04 09:05:00,2005-07-04 09:21:00,16.0,37.81,28.68764705882353
Off,2005-07-04 09:21:00,2005-07-04 09:32:00,11.0,33.84,29.485
On,2005-07-04 09:32:00,2005-07-04 09:39:00,7.0,37.445,29.76375
Off,2005-07-04 09:39:00,2005-07-04 09:52:00,13.0,34.23,29.22571428571428
On,2005-07-04 09:52:00,2005-07-04 10:04:00,12.0,37.41923076923077,29.396153846153847
Off,2005-07-04 10:04:00,2005-07-04 10:14:00,10.0,35.24,29.64181818181818
On,2005-07-04 10:14:00,2005-07-04 10:22:00,8.0,37.3,30.45555555555556
Off,2005-07-04 10:22:00,2005-07-04 10:32:00,10.0,35.85,31.19909090909091
On,2005-07-04 10:32:00,2005-07-04 10:42:00,10.0,37.70545454545455,31.095454545454547
Off,2005-07-04 10:42:00,2005-07-04 11:03:00,21.0,34.23,30.38090909090909
On,2005-07-04 11:03:00,2005-07-04 11:37:00,34.0,38.01428571428573,31.11
Off,2005-07-04 11:37:00,2005-07-04 12:04:00,27.0,33.44,31.84571428571428
On,2005-07-04 12:04:00,2005-07-04 12:13:00,9.0,35.414,30.712
Off,2005-07-04 12:13:00,2005-07-04 12:22:00,9.0,36.26,32.17999999999999
On,2005-07-04 12:22:00,2005-07-04 12:26:00,4.0,37.554,32.354
Off,2005-07-04 12:26:00,2005-07-04 12:37:00,11.0,36.05,32.24333333333333
On,2005-07-04 12:37:00,2005-07-04 13:03:00,26.0,36.595925925925926,33.025925925925925
Off,2005-07-04 13:03:00,2005-07-04 13:19:00,16.0,34.43,32.01823529411765
On,2005-07-04 13:19:00,2005-07-04 13:39:00,20.0,37.12619047619047,29.240476190476187
Off,2005-07-04 13:39:00,2005-07-04 13:43:00,4.0,36.26,27.78
On,2005-07-04 13:43:00,2005-07-04 13:51:00,8.0,37.81444444444444,28.72
Off,2005-07-04 13:51:00,2005-07-04 13:53:00,2.0,37.29,29.81
On,2005-07-04 13:53:00,2005-07-04 14:03:00,10.0,38.33,29.471818181818183
Off,2005-07-04 14:03:00,2005-07-04 14:06:00,3.0,37.29,30.2775
On,2005-07-04 14:06:00,2005-07-04 14:08:00,2.0,37.92666666666667,31.00333333333333
Off,2005-07-04 14:08:00,2005-07-04 14:17:00,9.0,36.26,31.567
On,2005-07-04 14:17:00,2005-07-04 14:23:00,6.0,37.60142857142857,31.94428571428571
Off,2005-07-04 14:23:00,2005-07-04 14:39:00,16.0,36.67,32.69823529411764
On,2005-07-04 14:39:00,2005-07-04 14:51:00,12.0,37.800769230769234,32.99230769230769
Off,2005-07-04 14:51:00,2005-07-04 15:01:00,10.0,36.46,32.36545454545455
On,2005-07-04 15:01:00,2005-07-04 15:10:00,9.0,38.44200000000001,29.908
Off,2005-07-04 15:10:00,2005-07-04 15:13:00,3.0,38.35,28.835
On,2005-07-04 15:13:00,2005-07-04 15:22:00,9.0,39.168,28.642
Off,2005-07-04 15:22:00,2005-07-04 15:25:00,3.0,37.29,28.33
On,2005-07-04 15:25:00,2005-07-04 15:30:00,5.0,37.96,28.575
Off,2005-07-04 15:30:00,2005-07-04 15:39:00,9.0,35.44,28.568
On,2005-07-04 15:39:00,2005-07-04 15:46:00,7.0,36.8,29.95125
Off,2005-07-04 15:46:00,2005-07-04 15:50:00,4.0,35.85,30.034
On,2005-07-04 15:50:00,2005-07-04 16:07:00,17.0,37.226666666666674,31.02555555555556
Off,2005-07-04 16:07:00,2005-07-04 16:12:00,5.0,36.05,31.51
On,2005-07-04 16:12:00,2005-07-04 16:32:00,20.0,38.58285714285714,32.11
Off,2005-07-04 16:32:00,2005-07-04 16:37:00,5.0,38.35,32.343333333333334
On,2005-07-04 16:37:00,2005-07-04 18:23:00,106.0,37.64672897196262,31.95542056074766
Off,2005-07-04 18:23:00,2005-07-04 19:03:00,40.0,31.7,30.93536585365853
On,2005-07-04 19:03:00,2005-07-04 19:11:00,8.0,35.02555555555556,30.72888888888889
Off,2005-07-04 19:11:00,2005-07-04 19:13:00,2.0,35.03,30.876666666666665
On,2005-07-04 19:13:00,2005-07-04 19:20:00,7.0,37.5425,30.94
Off,2005-07-04 19:20:00,2005-07-04 20:15:00,55.0,31.7,30.15892857142857
