Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-07-06 21:17:00,2005-07-07 00:34:00,197.0,34.22535353535354,29.404545454545453
Off,2005-07-07 00:34:00,2005-07-07 02:38:00,124.0,26.88,27.634560000000004
Nocturnal,2005-07-07 02:38:00,2005-07-07 06:13:00,215.0,32.41476851851852,26.88583333333333
Off,2005-07-07 06:13:00,2005-07-07 06:19:00,6.0,29.44,26.442857142857143
On,2005-07-07 06:19:00,2005-07-07 06:29:00,10.0,32.86636363636364,26.34
Off,2005-07-07 06:29:00,2005-07-07 06:34:00,5.0,29.81,26.34
On,2005-07-07 06:34:00,2005-07-07 06:42:00,8.0,33.02777777777778,26.26
Off,2005-07-07 06:42:00,2005-07-07 06:45:00,3.0,31.89,26.34
On,2005-07-07 06:45:00,2005-07-07 07:04:00,19.0,34.482000000000006,26.303999999999995
Off,2005-07-07 07:04:00,2005-07-07 07:14:00,10.0,30.37,26.241818181818186
On,2005-07-07 07:14:00,2005-07-07 07:21:00,7.0,32.65875,26.16
Off,2005-07-07 07:21:00,2005-07-07 07:30:00,9.0,30.0,26.106
On,2005-07-07 07:30:00,2005-07-07 07:42:00,12.0,32.94538461538462,26.035384615384626
Off,2005-07-07 07:42:00,2005-07-07 07:48:00,6.0,30.56,26.16
On,2005-07-07 07:48:00,2005-07-07 07:53:00,5.0,31.638333333333332,26.25
Off,2005-07-07 07:53:00,2005-07-07 07:59:00,6.0,29.81,26.34
On,2005-07-07 07:59:00,2005-07-07 08:19:00,20.0,34.78761904761905,26.614285714285717
Off,2005-07-07 08:19:00,2005-07-07 08:24:00,5.0,32.47,27.06
On,2005-07-07 08:24:00,2005-07-07 08:31:00,7.0,34.29375,27.1275
Off,2005-07-07 08:31:00,2005-07-07 08:35:00,4.0,33.25,27.348000000000003
On,2005-07-07 08:35:00,2005-07-07 08:43:00,8.0,35.06444444444445,27.540000000000003
Off,2005-07-07 08:43:00,2005-07-07 08:49:00,6.0,32.28,27.911428571428576
On,2005-07-07 08:49:00,2005-07-07 08:54:00,5.0,33.885000000000005,28.24
Off,2005-07-07 08:54:00,2005-07-07 08:58:00,4.0,33.44,28.476
On,2005-07-07 08:58:00,2005-07-07 09:04:00,6.0,35.04,28.829999999999995
Off,2005-07-07 09:04:00,2005-07-07 09:12:00,8.0,33.25,29.27333333333333
On,2005-07-07 09:12:00,2005-07-07 09:19:00,7.0,34.94625,29.692500000000003
