Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-05-19 20:54:00,2006-05-20 06:12:00,558.0,35.491341681574234,22.16733452593918
Off,2006-05-20 06:12:00,2006-05-20 06:19:00,7.0,33.05,20.91
On,2006-05-20 06:19:00,2006-05-20 06:34:00,15.0,35.171875,20.995
Off,2006-05-20 06:34:00,2006-05-20 06:39:00,5.0,34.04,21.14
On,2006-05-20 06:39:00,2006-05-20 07:17:00,38.0,35.73948717948717,21.29794871794871
Off,2006-05-20 07:17:00,2006-05-20 07:27:00,10.0,32.47,21.52272727272727
On,2006-05-20 07:27:00,2006-05-20 07:37:00,10.0,34.73454545454546,21.677272727272733
Off,2006-05-20 07:37:00,2006-05-20 07:44:00,7.0,33.25,21.7925
On,2006-05-20 07:44:00,2006-05-20 08:00:00,16.0,35.387647058823525,22.020000000000003
Off,2006-05-20 08:00:00,2006-05-20 08:07:00,7.0,33.25,22.26875
On,2006-05-20 08:07:00,2006-05-20 08:24:00,17.0,35.278333333333336,22.327777777777776
Off,2006-05-20 08:24:00,2006-05-20 08:34:00,10.0,32.66,22.55818181818182
On,2006-05-20 08:34:00,2006-05-20 09:07:00,33.0,36.05705882352942,23.122352941176462
Off,2006-05-20 09:07:00,2006-05-20 09:18:00,11.0,33.64,24.12
On,2006-05-20 09:18:00,2006-05-20 09:30:00,12.0,35.94923076923077,24.846153846153843
Off,2006-05-20 09:30:00,2006-05-20 09:42:00,12.0,34.04,25.87
On,2006-05-20 09:42:00,2006-05-20 09:54:00,12.0,36.298461538461545,27.351538461538457
Off,2006-05-20 09:54:00,2006-05-20 10:02:00,8.0,35.85,28.41111111111111
On,2006-05-20 10:02:00,2006-05-20 10:11:00,9.0,36.649,28.848000000000003
Off,2006-05-20 10:11:00,2006-05-20 10:17:00,6.0,36.46,29.97
On,2006-05-20 10:17:00,2006-05-20 10:25:00,8.0,37.035555555555554,30.582222222222224
Off,2006-05-20 10:25:00,2006-05-20 10:47:00,22.0,35.24,31.55130434782609
On,2006-05-20 10:47:00,2006-05-20 10:54:00,7.0,36.33875,31.58125
Off,2006-05-20 10:54:00,2006-05-20 10:59:00,5.0,36.46,31.985
On,2006-05-20 10:59:00,2006-05-20 11:05:00,6.0,37.26285714285715,32.19428571428571
Off,2006-05-20 11:05:00,2006-05-20 11:13:00,8.0,36.05,32.10666666666666
On,2006-05-20 11:13:00,2006-05-20 11:20:00,7.0,36.95625,31.89
Off,2006-05-20 11:20:00,2006-05-20 11:29:00,9.0,36.46,31.624
On,2006-05-20 11:29:00,2006-05-20 11:37:00,8.0,37.17666666666667,31.89
Off,2006-05-20 11:37:00,2006-05-20 11:43:00,6.0,36.67,32.30571428571429
On,2006-05-20 11:43:00,2006-05-20 14:15:00,152.0,37.849673202614376,35.116993464052285
Off,2006-05-20 14:15:00,2006-05-20 15:00:00,45.0,36.46,33.95782608695653
On,2006-05-20 15:00:00,2006-05-20 15:11:00,11.0,37.71666666666666,33.3275
Off,2006-05-20 15:11:00,2006-05-20 15:57:00,46.0,35.03,33.00382978723404
On,2006-05-20 15:57:00,2006-05-20 16:07:00,10.0,36.693636363636365,32.75090909090908
Off,2006-05-20 16:07:00,2006-05-20 16:24:00,17.0,35.64,32.58888888888889
On,2006-05-20 16:24:00,2006-05-20 16:57:00,33.0,37.16735294117647,32.58970588235294
Off,2006-05-20 16:57:00,2006-05-20 17:02:00,5.0,36.26,32.31
On,2006-05-20 17:02:00,2006-05-20 17:08:00,6.0,36.93571428571428,32.07999999999999
Off,2006-05-20 17:08:00,2006-05-20 17:18:00,10.0,35.85,32.11636363636363
On,2006-05-20 17:18:00,2006-05-20 17:26:00,8.0,36.510000000000005,32.016666666666666
Off,2006-05-20 17:26:00,2006-05-20 17:38:00,12.0,35.64,31.846153846153843
On,2006-05-20 17:38:00,2006-05-20 17:51:00,13.0,36.81,31.59142857142857
Off,2006-05-20 17:51:00,2006-05-20 18:07:00,16.0,35.64,31.320000000000004
On,2006-05-20 18:07:00,2006-05-20 18:12:00,5.0,36.705,31.225
Off,2006-05-20 18:12:00,2006-05-20 18:30:00,18.0,34.83,30.64
On,2006-05-20 18:30:00,2006-05-20 18:46:00,16.0,36.65176470588235,30.4035294117647
Off,2006-05-20 18:46:00,2006-05-20 19:09:00,23.0,33.44,29.847916666666663
On,2006-05-20 19:09:00,2006-05-20 20:14:00,65.0,37.05075757575757,28.53212121212121
Off,2006-05-20 20:14:00,2006-05-20 20:46:00,32.0,31.13,26.99454545454545
Nocturnal,2006-05-20 20:46:00,2006-05-21 06:17:00,571.0,35.76080419580419,22.40120629370629
Off,2006-05-21 06:17:00,2006-05-21 06:23:00,6.0,33.84,21.770000000000003
On,2006-05-21 06:23:00,2006-05-21 06:50:00,27.0,36.247857142857136,21.815000000000005
Off,2006-05-21 06:50:00,2006-05-21 07:00:00,10.0,32.86,21.98090909090909
On,2006-05-21 07:00:00,2006-05-21 07:21:00,21.0,35.682272727272725,21.941363636363636
Off,2006-05-21 07:21:00,2006-05-21 07:32:00,11.0,32.47,21.905
On,2006-05-21 07:32:00,2006-05-21 07:50:00,18.0,35.59736842105264,21.690000000000005
Off,2006-05-21 07:50:00,2006-05-21 08:09:00,19.0,30.75,21.8945
On,2006-05-21 08:09:00,2006-05-21 08:29:00,20.0,35.055238095238096,22.306190476190476
Off,2006-05-21 08:29:00,2006-05-21 08:38:00,9.0,33.64,22.603
On,2006-05-21 08:38:00,2006-05-21 09:06:00,28.0,35.80413793103448,23.241724137931023
Off,2006-05-21 09:06:00,2006-05-21 09:16:00,10.0,33.84,24.30454545454546
On,2006-05-21 09:16:00,2006-05-21 09:38:00,22.0,36.39869565217391,25.530434782608697
Off,2006-05-21 09:38:00,2006-05-21 09:50:00,12.0,35.85,27.53307692307692
On,2006-05-21 09:50:00,2006-05-21 10:04:00,14.0,36.57466666666667,28.56333333333333
Off,2006-05-21 10:04:00,2006-05-21 10:17:00,13.0,35.85,29.932142857142857
On,2006-05-21 10:17:00,2006-05-21 10:54:00,37.0,36.47973684210526,31.62078947368422
Off,2006-05-21 10:54:00,2006-05-21 11:00:00,6.0,36.46,31.618571428571425
On,2006-05-21 11:00:00,2006-05-21 11:09:00,9.0,37.398,32.217
Off,2006-05-21 11:09:00,2006-05-21 11:21:00,12.0,36.05,32.08461538461538
On,2006-05-21 11:21:00,2006-05-21 15:12:00,231.0,37.93448275862069,35.07926724137931
Off,2006-05-21 15:12:00,2006-05-21 15:24:00,12.0,36.88,34.41538461538462
On,2006-05-21 15:24:00,2006-05-21 15:31:00,7.0,37.53125,34.1125
Off,2006-05-21 15:31:00,2006-05-21 16:10:00,39.0,35.64,34.03525
On,2006-05-21 16:10:00,2006-05-21 16:55:00,45.0,37.0208695652174,33.701521739130435
Off,2006-05-21 16:55:00,2006-05-21 17:09:00,14.0,35.64,33.326
On,2006-05-21 17:09:00,2006-05-21 17:24:00,15.0,37.68,33.15
Off,2006-05-21 17:24:00,2006-05-21 17:37:00,13.0,36.46,32.96857142857143
On,2006-05-21 17:37:00,2006-05-21 17:53:00,16.0,37.50294117647059,33.14411764705882
Off,2006-05-21 17:53:00,2006-05-21 18:20:00,27.0,35.44,32.55928571428571
On,2006-05-21 18:20:00,2006-05-21 18:28:00,8.0,36.28333333333333,32.14666666666667
Off,2006-05-21 18:28:00,2006-05-21 18:42:00,14.0,35.24,31.97866666666666
On,2006-05-21 18:42:00,2006-05-21 19:24:00,42.0,37.34325581395349,31.297906976744184
Off,2006-05-21 19:24:00,2006-05-21 19:48:00,24.0,34.04,30.3556
On,2006-05-21 19:48:00,2006-05-21 20:11:00,23.0,36.919583333333335,29.570000000000004
Off,2006-05-21 20:11:00,2006-05-21 20:37:00,26.0,32.86,28.54851851851852
Nocturnal,2006-05-21 20:37:00,2006-05-22 06:11:00,574.0,35.695965217391304,23.25281739130435
