Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-04-17 06:46:00,2006-04-17 07:16:00,30.0,31.598064516129035,20.399999999999995
Off,2006-04-17 07:16:00,2006-04-17 07:31:00,15.0,22.12,20.4
On,2006-04-17 07:31:00,2006-04-17 07:51:00,20.0,31.092857142857135,20.51333333333333
Off,2006-04-17 07:51:00,2006-04-17 08:06:00,15.0,22.64,20.76125
On,2006-04-17 08:06:00,2006-04-17 08:21:00,15.0,29.469375,21.08375
Off,2006-04-17 08:21:00,2006-04-17 08:41:00,20.0,24.03,21.668095238095237
On,2006-04-17 08:41:00,2006-04-17 08:49:00,8.0,29.290000000000003,22.101111111111116
Off,2006-04-17 08:49:00,2006-04-17 09:06:00,17.0,24.38,22.376666666666665
On,2006-04-17 09:06:00,2006-04-17 09:34:00,28.0,29.80862068965517,22.94172413793104
Off,2006-04-17 09:34:00,2006-04-17 09:54:00,20.0,26.88,24.16761904761905
On,2006-04-17 09:54:00,2006-04-17 10:02:00,8.0,30.026666666666667,24.834444444444443
Off,2006-04-17 10:02:00,2006-04-17 10:16:00,14.0,26.52,24.76266666666667
On,2006-04-17 10:16:00,2006-04-17 10:41:00,25.0,29.775,25.070769230769237
Off,2006-04-17 10:41:00,2006-04-17 10:56:00,15.0,27.42,25.8675
On,2006-04-17 10:56:00,2006-04-17 11:10:00,14.0,28.492666666666665,25.980000000000004
Off,2006-04-17 11:10:00,2006-04-17 11:26:00,16.0,26.88,25.82117647058824
On,2006-04-17 11:26:00,2006-04-17 11:46:00,20.0,30.225714285714293,26.47714285714285
Off,2006-04-17 11:46:00,2006-04-17 11:55:00,9.0,28.7,26.772
On,2006-04-17 11:55:00,2006-04-17 13:01:00,66.0,30.28776119402985,28.586268656716413
Off,2006-04-17 13:01:00,2006-04-17 13:13:00,12.0,29.81,28.995384615384616
On,2006-04-17 13:13:00,2006-04-17 17:50:00,277.0,31.31154676258993,29.320251798561152
Off,2006-04-17 17:50:00,2006-04-17 18:06:00,16.0,28.33,27.11294117647059
On,2006-04-17 18:06:00,2006-04-17 18:46:00,40.0,29.753902439024397,26.27853658536585
Off,2006-04-17 18:46:00,2006-04-17 18:58:00,12.0,27.42,25.62
On,2006-04-17 18:58:00,2006-04-17 19:17:00,19.0,27.854000000000003,25.2405
Off,2006-04-17 19:17:00,2006-04-17 19:26:00,9.0,26.52,25.072
On,2006-04-17 19:26:00,2006-04-17 19:57:00,31.0,27.936875,24.72625
Off,2006-04-17 19:57:00,2006-04-17 20:27:00,30.0,24.74,24.13451612903226
Nocturnal,2006-04-17 20:27:00,2006-04-18 07:01:00,634.0,26.04489763779528,22.265732283464565
Off,2006-04-18 07:01:00,2006-04-18 07:13:00,12.0,22.46,20.74
On,2006-04-18 07:13:00,2006-04-18 07:17:00,4.0,23.51,20.842
Off,2006-04-18 07:17:00,2006-04-18 07:22:00,5.0,22.98,20.91
On,2006-04-18 07:22:00,2006-04-18 07:34:00,12.0,25.83769230769231,21.001538461538452
Off,2006-04-18 07:34:00,2006-04-18 07:45:00,11.0,24.03,21.094999999999995
On,2006-04-18 07:45:00,2006-04-18 08:15:00,30.0,26.37129032258064,21.52322580645161
Off,2006-04-18 08:15:00,2006-04-18 08:29:00,14.0,23.68,21.900666666666663
On,2006-04-18 08:29:00,2006-04-18 08:32:00,3.0,25.05,22.12
Off,2006-04-18 08:32:00,2006-04-18 08:35:00,3.0,24.38,22.12
