Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-04-09 20:29:00,2006-04-10 06:51:00,622.0,26.98054574638844,12.6823113964687
Off,2006-04-10 06:51:00,2006-04-10 07:36:00,45.0,13.14,10.47217391304348
On,2006-04-10 07:36:00,2006-04-10 08:12:00,36.0,21.88297297297297,11.297027027027028
Off,2006-04-10 08:12:00,2006-04-10 08:22:00,10.0,19.72,12.134545454545457
On,2006-04-10 08:22:00,2006-04-10 09:07:00,45.0,24.733913043478264,13.479347826086956
Off,2006-04-10 09:07:00,2006-04-10 09:14:00,7.0,22.98,14.92625
On,2006-04-10 09:14:00,2006-04-10 09:43:00,29.0,27.167000000000005,17.387999999999998
Off,2006-04-10 09:43:00,2006-04-10 09:53:00,10.0,24.56,19.565454545454543
On,2006-04-10 09:53:00,2006-04-10 12:09:00,136.0,30.21919708029197,23.503795620437955
Off,2006-04-10 12:09:00,2006-04-10 12:26:00,17.0,28.15,24.46611111111111
On,2006-04-10 12:26:00,2006-04-10 12:48:00,22.0,30.08652173913044,25.86391304347826
Off,2006-04-10 12:48:00,2006-04-10 12:55:00,7.0,28.88,25.155
On,2006-04-10 12:55:00,2006-04-10 13:15:00,20.0,31.96190476190477,25.93761904761905
Off,2006-04-10 13:15:00,2006-04-10 13:23:00,8.0,30.18,26.781111111111112
On,2006-04-10 13:23:00,2006-04-10 14:20:00,57.0,32.26655172413793,26.069310344827585
Off,2006-04-10 14:20:00,2006-04-10 14:36:00,16.0,29.07,25.527647058823533
On,2006-04-10 14:36:00,2006-04-10 14:57:00,21.0,31.850454545454543,26.044090909090905
Off,2006-04-10 14:57:00,2006-04-10 15:08:00,11.0,30.56,26.326666666666668
On,2006-04-10 15:08:00,2006-04-10 15:24:00,16.0,32.07823529411764,26.605294117647052
Off,2006-04-10 15:24:00,2006-04-10 15:38:00,14.0,29.81,25.651333333333337
On,2006-04-10 15:38:00,2006-04-10 16:02:00,24.0,31.801600000000004,26.0484
Off,2006-04-10 16:02:00,2006-04-10 16:17:00,15.0,29.62,25.070625000000003
