Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-20 20:56:00,2006-06-21 06:15:00,559.0,32.34726785714286,25.13967857142857
Off,2006-06-21 06:15:00,2006-06-21 06:24:00,9.0,25.98,23.492
On,2006-06-21 06:24:00,2006-06-21 06:36:00,12.0,33.142307692307696,23.50923076923077
Off,2006-06-21 06:36:00,2006-06-21 06:46:00,10.0,26.7,23.51
On,2006-06-21 06:46:00,2006-06-21 07:00:00,14.0,34.07600000000001,23.752
Off,2006-06-21 07:00:00,2006-06-21 07:17:00,17.0,27.6,24.040000000000003
On,2006-06-21 07:17:00,2006-06-21 07:28:00,11.0,33.8025,24.162500000000005
Off,2006-06-21 07:28:00,2006-06-21 07:32:00,4.0,29.44,24.416
On,2006-06-21 07:32:00,2006-06-21 08:09:00,37.0,34.091842105263154,27.671315789473685
Off,2006-06-21 08:09:00,2006-06-21 08:20:00,11.0,31.7,28.74333333333333
On,2006-06-21 08:20:00,2006-06-21 08:33:00,13.0,35.519285714285715,29.38714285714286
Off,2006-06-21 08:33:00,2006-06-21 08:45:00,12.0,31.7,30.185384615384617
On,2006-06-21 08:45:00,2006-06-21 09:07:00,22.0,37.42173913043478,29.6795652173913
Off,2006-06-21 09:07:00,2006-06-21 09:20:00,13.0,32.66,29.82357142857143
On,2006-06-21 09:20:00,2006-06-21 09:34:00,14.0,35.85466666666666,30.198
Off,2006-06-21 09:34:00,2006-06-21 09:52:00,18.0,32.66,30.800000000000008
On,2006-06-21 09:52:00,2006-06-21 10:04:00,12.0,38.07,30.61846153846154
Off,2006-06-21 10:04:00,2006-06-21 10:13:00,9.0,31.89,30.126
On,2006-06-21 10:13:00,2006-06-21 10:37:00,24.0,36.044,30.9036
Off,2006-06-21 10:37:00,2006-06-21 10:49:00,12.0,34.43,31.670769230769224
On,2006-06-21 10:49:00,2006-06-21 10:59:00,10.0,36.62727272727273,31.51
Off,2006-06-21 10:59:00,2006-06-21 11:11:00,12.0,35.24,31.920769230769224
On,2006-06-21 11:11:00,2006-06-21 11:23:00,12.0,37.94461538461539,32.64846153846153
Off,2006-06-21 11:23:00,2006-06-21 11:27:00,4.0,35.24,32.82000000000001
On,2006-06-21 11:27:00,2006-06-21 11:42:00,15.0,36.9325,33.125625
Off,2006-06-21 11:42:00,2006-06-21 11:50:00,8.0,34.83,32.835555555555544
On,2006-06-21 11:50:00,2006-06-21 11:58:00,8.0,37.07888888888889,32.66444444444444
Off,2006-06-21 11:58:00,2006-06-21 12:08:00,10.0,36.67,33.300909090909094
On,2006-06-21 12:08:00,2006-06-21 12:12:00,4.0,37.672,32.664
Off,2006-06-21 12:12:00,2006-06-21 12:18:00,6.0,35.24,32.52571428571429
On,2006-06-21 12:18:00,2006-06-21 12:23:00,5.0,36.15833333333333,32.95666666666667
Off,2006-06-21 12:23:00,2006-06-21 12:26:00,3.0,35.64,32.7625
On,2006-06-21 12:26:00,2006-06-21 13:15:00,49.0,37.1074,33.2138
Off,2006-06-21 13:15:00,2006-06-21 13:21:00,6.0,36.26,33.41571428571429
On,2006-06-21 13:21:00,2006-06-21 15:11:00,110.0,37.90459459459459,34.795315315315314
Off,2006-06-21 15:11:00,2006-06-21 15:16:00,5.0,36.46,34.03666666666666
On,2006-06-21 15:16:00,2006-06-21 15:27:00,11.0,37.17,35.59416666666667
Off,2006-06-21 15:27:00,2006-06-21 15:31:00,4.0,36.26,34.797999999999995
On,2006-06-21 15:31:00,2006-06-21 15:43:00,12.0,37.534615384615385,35.08846153846153
