Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-06-10 20:57:00,2005-06-11 06:40:00,583.0,32.94368150684931,27.12958904109589
Off,2005-06-11 06:40:00,2005-06-11 06:55:00,15.0,24.74,24.59125
On,2005-06-11 06:55:00,2005-06-11 07:22:00,27.0,28.41821428571428,25.12035714285715
Off,2005-06-11 07:22:00,2005-06-11 07:28:00,6.0,25.44,25.214285714285715
On,2005-06-11 07:28:00,2005-06-11 07:54:00,26.0,29.072222222222223,24.9525925925926
Off,2005-06-11 07:54:00,2005-06-11 08:04:00,10.0,24.74,24.930000000000003
On,2005-06-11 08:04:00,2005-06-11 08:35:00,31.0,27.9634375,25.129375
Off,2005-06-11 08:35:00,2005-06-11 08:38:00,3.0,25.98,25.71
On,2005-06-11 08:38:00,2005-06-11 08:53:00,15.0,27.571875,25.2225
Off,2005-06-11 08:53:00,2005-06-11 08:56:00,3.0,26.34,25.3975
On,2005-06-11 08:56:00,2005-06-11 09:00:00,4.0,28.342,25.162
Off,2005-06-11 09:00:00,2005-06-11 09:07:00,7.0,27.06,25.3975
On,2005-06-11 09:07:00,2005-06-11 09:12:00,5.0,28.581666666666667,25.47
Off,2005-06-11 09:12:00,2005-06-11 09:15:00,3.0,26.88,25.53
On,2005-06-11 09:15:00,2005-06-11 09:21:00,6.0,27.842857142857135,25.267142857142854
Off,2005-06-11 09:21:00,2005-06-11 09:27:00,6.0,25.98,25.192857142857143
On,2005-06-11 09:27:00,2005-06-11 09:33:00,6.0,26.985714285714288,25.16714285714286
Off,2005-06-11 09:33:00,2005-06-11 09:47:00,14.0,25.09,25.125999999999998
On,2005-06-11 09:47:00,2005-06-11 10:07:00,20.0,28.342857142857145,25.56238095238096
Off,2005-06-11 10:07:00,2005-06-11 10:10:00,3.0,27.42,25.935
On,2005-06-11 10:10:00,2005-06-11 10:25:00,15.0,30.3825,26.0925
Off,2005-06-11 10:25:00,2005-06-11 10:27:00,2.0,28.33,26.16
On,2005-06-11 10:27:00,2005-06-11 10:38:00,11.0,29.50166666666667,26.100000000000005
Off,2005-06-11 10:38:00,2005-06-11 10:49:00,11.0,25.8,25.725
On,2005-06-11 10:49:00,2005-06-11 10:57:00,8.0,29.192222222222224,25.8
Off,2005-06-11 10:57:00,2005-06-11 11:15:00,18.0,25.8,25.63052631578947
On,2005-06-11 11:15:00,2005-06-11 11:37:00,22.0,29.74217391304348,25.97304347826087
Off,2005-06-11 11:37:00,2005-06-11 11:41:00,4.0,27.06,26.232
On,2005-06-11 11:41:00,2005-06-11 12:10:00,29.0,30.006666666666668,26.262000000000004
Off,2005-06-11 12:10:00,2005-06-11 12:13:00,3.0,27.96,26.16
