Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-07-08 18:58:00,2006-07-08 20:48:00,110.0,32.21405405405405,27.37135135135135
Off,2006-07-08 20:48:00,2006-07-08 20:55:00,7.0,27.24,25.8225
Nocturnal,2006-07-08 20:55:00,2006-07-09 06:42:00,587.0,29.58192176870748,21.4322619047619
Off,2006-07-09 06:42:00,2006-07-09 06:50:00,8.0,22.98,18.397777777777776
On,2006-07-09 06:50:00,2006-07-09 07:15:00,25.0,28.857692307692307,18.58230769230769
Off,2006-07-09 07:15:00,2006-07-09 07:19:00,4.0,24.03,19.04
On,2006-07-09 07:19:00,2006-07-09 08:13:00,54.0,29.029090909090908,20.65090909090909
Off,2006-07-09 08:13:00,2006-07-09 08:18:00,5.0,24.91,21.74333333333333
On,2006-07-09 08:18:00,2006-07-09 08:40:00,22.0,30.595652173913034,23.95434782608696
Off,2006-07-09 08:40:00,2006-07-09 08:47:00,7.0,28.15,25.0025
On,2006-07-09 08:47:00,2006-07-09 08:57:00,10.0,31.179090909090917,25.55909090909091
Off,2006-07-09 08:57:00,2006-07-09 09:03:00,6.0,28.88,26.10857142857143
On,2006-07-09 09:03:00,2006-07-09 09:25:00,22.0,32.74739130434782,26.20695652173913
Off,2006-07-09 09:25:00,2006-07-09 09:31:00,6.0,30.75,26.88
On,2006-07-09 09:31:00,2006-07-09 09:37:00,6.0,32.777142857142856,26.982857142857146
Off,2006-07-09 09:37:00,2006-07-09 09:44:00,7.0,30.18,27.33
On,2006-07-09 09:44:00,2006-07-09 09:59:00,15.0,33.9125,27.99875
Off,2006-07-09 09:59:00,2006-07-09 10:04:00,5.0,31.51,27.72
On,2006-07-09 10:04:00,2006-07-09 10:13:00,9.0,33.356,28.367
Off,2006-07-09 10:13:00,2006-07-09 10:18:00,5.0,32.08,28.48333333333333
On,2006-07-09 10:18:00,2006-07-09 10:30:00,12.0,34.58538461538462,28.442307692307686
Off,2006-07-09 10:30:00,2006-07-09 10:39:00,9.0,32.28,28.884
On,2006-07-09 10:39:00,2006-07-09 10:46:00,7.0,34.295,29.09
Off,2006-07-09 10:46:00,2006-07-09 10:53:00,7.0,33.25,29.53
On,2006-07-09 10:53:00,2006-07-09 11:05:00,12.0,34.74461538461539,29.23692307692308
Off,2006-07-09 11:05:00,2006-07-09 11:14:00,9.0,33.25,29.792
On,2006-07-09 11:14:00,2006-07-09 11:25:00,11.0,35.345000000000006,29.855833333333337
Off,2006-07-09 11:25:00,2006-07-09 11:34:00,9.0,32.66,30.034
On,2006-07-09 11:34:00,2006-07-09 11:49:00,15.0,35.400625000000005,30.47875
Off,2006-07-09 11:49:00,2006-07-09 11:55:00,6.0,34.04,30.587142857142855
On,2006-07-09 11:55:00,2006-07-09 12:25:00,30.0,35.00225806451612,29.529677419354837
Off,2006-07-09 12:25:00,2006-07-09 12:33:00,8.0,32.47,30.456666666666667
On,2006-07-09 12:33:00,2006-07-09 12:40:00,7.0,34.5625,31.13
Off,2006-07-09 12:40:00,2006-07-09 12:45:00,5.0,34.43,31.47833333333333
On,2006-07-09 12:45:00,2006-07-09 12:54:00,9.0,35.629000000000005,31.282
Off,2006-07-09 12:54:00,2006-07-09 12:59:00,5.0,33.44,30.655
On,2006-07-09 12:59:00,2006-07-09 13:23:00,24.0,35.184000000000005,31.002
Off,2006-07-09 13:23:00,2006-07-09 13:32:00,9.0,34.63,31.377
On,2006-07-09 13:32:00,2006-07-09 13:55:00,23.0,35.975833333333334,31.066666666666663
Off,2006-07-09 13:55:00,2006-07-09 14:01:00,6.0,32.08,29.678571428571427
On,2006-07-09 14:01:00,2006-07-09 14:12:00,11.0,34.32416666666667,31.035833333333333
Off,2006-07-09 14:12:00,2006-07-09 14:21:00,9.0,33.44,30.883
On,2006-07-09 14:21:00,2006-07-09 14:35:00,14.0,35.71000000000001,31.815999999999995
Off,2006-07-09 14:35:00,2006-07-09 14:45:00,10.0,33.44,31.579090909090908
On,2006-07-09 14:45:00,2006-07-09 15:00:00,15.0,35.013125,30.96375
Off,2006-07-09 15:00:00,2006-07-09 15:10:00,10.0,31.89,30.715454545454545
On,2006-07-09 15:10:00,2006-07-09 15:24:00,14.0,34.91333333333333,31.42333333333333
Off,2006-07-09 15:24:00,2006-07-09 15:32:00,8.0,33.25,31.702222222222225
On,2006-07-09 15:32:00,2006-07-09 15:45:00,13.0,35.40571428571428,31.157857142857136
Off,2006-07-09 15:45:00,2006-07-09 15:52:00,7.0,34.43,32.155
On,2006-07-09 15:52:00,2006-07-09 16:03:00,11.0,35.884166666666665,32.2125
Off,2006-07-09 16:03:00,2006-07-09 16:11:00,8.0,31.7,30.79222222222222
On,2006-07-09 16:11:00,2006-07-09 16:22:00,11.0,34.439166666666665,30.876666666666665
Off,2006-07-09 16:22:00,2006-07-09 16:31:00,9.0,31.51,30.410000000000004
On,2006-07-09 16:31:00,2006-07-09 16:48:00,17.0,34.462777777777774,30.897777777777776
Off,2006-07-09 16:48:00,2006-07-09 16:59:00,11.0,32.47,31.2725
On,2006-07-09 16:59:00,2006-07-09 17:10:00,11.0,35.285,31.019166666666667
Off,2006-07-09 17:10:00,2006-07-09 17:15:00,5.0,32.08,30.401666666666667
On,2006-07-09 17:15:00,2006-07-09 17:32:00,17.0,34.26333333333333,30.48666666666667
Off,2006-07-09 17:32:00,2006-07-09 17:40:00,8.0,32.08,31.10888888888889
On,2006-07-09 17:40:00,2006-07-09 17:54:00,14.0,35.246,30.663333333333338
Off,2006-07-09 17:54:00,2006-07-09 18:01:00,7.0,31.7,29.69125
On,2006-07-09 18:01:00,2006-07-09 18:11:00,10.0,34.468181818181826,30.286363636363635
Off,2006-07-09 18:11:00,2006-07-09 18:22:00,11.0,31.32,30.62333333333333
On,2006-07-09 18:22:00,2006-07-09 18:39:00,17.0,34.99666666666666,30.44388888888889
Off,2006-07-09 18:39:00,2006-07-09 18:48:00,9.0,31.32,29.848000000000003
On,2006-07-09 18:48:00,2006-07-09 19:04:00,16.0,34.10058823529411,29.48176470588235
Off,2006-07-09 19:04:00,2006-07-09 19:19:00,15.0,30.18,29.588125
On,2006-07-09 19:19:00,2006-07-09 20:19:00,60.0,34.11475409836066,28.596885245901635
Off,2006-07-09 20:19:00,2006-07-09 20:30:00,11.0,28.7,27.465000000000003
On,2006-07-09 20:30:00,2006-07-09 20:44:00,14.0,33.10066666666668,27.18
Off,2006-07-09 20:44:00,2006-07-09 20:53:00,9.0,28.7,26.879999999999995
Nocturnal,2006-07-09 20:53:00,2006-07-10 07:09:00,616.0,30.312528363047004,23.56513776337115
Off,2006-07-10 07:09:00,2006-07-10 07:17:00,8.0,25.27,21.87
On,2006-07-10 07:17:00,2006-07-10 07:49:00,32.0,30.63272727272728,22.5169696969697
Off,2006-07-10 07:49:00,2006-07-10 07:58:00,9.0,26.16,23.384
On,2006-07-10 07:58:00,2006-07-10 08:19:00,21.0,30.859090909090916,23.833181818181814
Off,2006-07-10 08:19:00,2006-07-10 08:25:00,6.0,28.88,24.86428571428572
On,2006-07-10 08:25:00,2006-07-10 08:42:00,17.0,33.60166666666666,26.73
Off,2006-07-10 08:42:00,2006-07-10 08:53:00,11.0,30.37,27.705
On,2006-07-10 08:53:00,2006-07-10 09:07:00,14.0,34.175333333333334,28.122
Off,2006-07-10 09:07:00,2006-07-10 09:31:00,24.0,29.81,28.8012
On,2006-07-10 09:31:00,2006-07-10 10:11:00,40.0,33.38121951219512,30.35585365853659
Off,2006-07-10 10:11:00,2006-07-10 10:17:00,6.0,35.44,31.048571428571428
On,2006-07-10 10:17:00,2006-07-10 10:27:00,10.0,36.31818181818182,31.043636363636367
Off,2006-07-10 10:27:00,2006-07-10 10:36:00,9.0,34.83,31.130000000000003
On,2006-07-10 10:36:00,2006-07-10 10:50:00,14.0,36.11000000000001,31.497333333333327
Off,2006-07-10 10:50:00,2006-07-10 10:57:00,7.0,33.84,31.24875
On,2006-07-10 10:57:00,2006-07-10 12:29:00,92.0,36.45451612903226,32.41677419354839
Off,2006-07-10 12:29:00,2006-07-10 12:37:00,8.0,33.25,31.57333333333333
On,2006-07-10 12:37:00,2006-07-10 14:05:00,88.0,36.1638202247191,32.75191011235955
Off,2006-07-10 14:05:00,2006-07-10 14:15:00,10.0,33.05,32.03181818181818
On,2006-07-10 14:15:00,2006-07-10 14:23:00,8.0,35.43333333333333,32.66444444444444
Off,2006-07-10 14:23:00,2006-07-10 14:26:00,3.0,35.03,33.099999999999994
On,2006-07-10 14:26:00,2006-07-10 15:18:00,52.0,36.0422641509434,32.88169811320754
Off,2006-07-10 15:18:00,2006-07-10 15:26:00,8.0,34.04,32.68555555555555
On,2006-07-10 15:26:00,2006-07-10 15:31:00,5.0,35.82666666666666,32.98833333333334
Off,2006-07-10 15:31:00,2006-07-10 15:36:00,5.0,35.03,33.25
On,2006-07-10 15:36:00,2006-07-10 15:40:00,4.0,35.848,33.366
Off,2006-07-10 15:40:00,2006-07-10 15:46:00,6.0,34.43,32.857142857142854
On,2006-07-10 15:46:00,2006-07-10 15:59:00,13.0,35.46071428571429,33.373571428571424
Off,2006-07-10 15:59:00,2006-07-10 16:09:00,10.0,33.84,32.85909090909092
On,2006-07-10 16:09:00,2006-07-10 16:18:00,9.0,35.244,33.112
Off,2006-07-10 16:18:00,2006-07-10 16:27:00,9.0,34.83,33.287
On,2006-07-10 16:27:00,2006-07-10 16:35:00,8.0,36.30333333333333,32.57777777777777
Off,2006-07-10 16:35:00,2006-07-10 16:41:00,6.0,33.84,31.618571428571425
On,2006-07-10 16:41:00,2006-07-10 16:55:00,14.0,35.19933333333333,32.782000000000004
Off,2006-07-10 16:55:00,2006-07-10 17:06:00,11.0,34.63,33.1025
On,2006-07-10 17:06:00,2006-07-10 17:18:00,12.0,36.32692307692307,32.887692307692305
Off,2006-07-10 17:18:00,2006-07-10 17:26:00,8.0,34.04,32.70666666666667
On,2006-07-10 17:26:00,2006-07-10 17:36:00,10.0,35.81636363636364,33.35363636363636
Off,2006-07-10 17:36:00,2006-07-10 17:48:00,12.0,33.64,32.79692307692307
On,2006-07-10 17:48:00,2006-07-10 17:54:00,6.0,35.01428571428571,32.46714285714285
Off,2006-07-10 17:54:00,2006-07-10 17:59:00,5.0,34.04,31.7
On,2006-07-10 17:59:00,2006-07-10 18:13:00,14.0,35.837333333333326,31.879999999999995
Off,2006-07-10 18:13:00,2006-07-10 18:22:00,9.0,33.25,32.352999999999994
On,2006-07-10 18:22:00,2006-07-10 18:30:00,8.0,34.99555555555556,32.038888888888884
Off,2006-07-10 18:30:00,2006-07-10 18:47:00,17.0,32.28,31.85833333333333
On,2006-07-10 18:47:00,2006-07-10 19:01:00,14.0,36.18933333333334,31.953999999999997
Off,2006-07-10 19:01:00,2006-07-10 19:12:00,11.0,32.28,31.731666666666666
On,2006-07-10 19:12:00,2006-07-10 19:54:00,42.0,34.12511627906977,30.68093023255814
Off,2006-07-10 19:54:00,2006-07-10 20:00:00,6.0,30.75,29.81
Nocturnal,2006-07-10 20:00:00,2006-07-11 06:42:00,642.0,28.166780715396577,25.294805598755836
Off,2006-07-11 06:42:00,2006-07-11 06:45:00,3.0,28.7,23.51
On,2006-07-11 06:45:00,2006-07-11 06:55:00,10.0,31.1,23.55636363636364
Off,2006-07-11 06:55:00,2006-07-11 07:00:00,5.0,27.06,23.680000000000003
On,2006-07-11 07:00:00,2006-07-11 07:19:00,19.0,30.740500000000008,23.847999999999995
Off,2006-07-11 07:19:00,2006-07-11 07:22:00,3.0,28.51,24.03
On,2006-07-11 07:22:00,2006-07-11 07:30:00,8.0,30.293333333333333,24.17
Off,2006-07-11 07:30:00,2006-07-11 07:35:00,5.0,27.6,24.210000000000004
On,2006-07-11 07:35:00,2006-07-11 07:49:00,14.0,31.718000000000004,24.30133333333333
Off,2006-07-11 07:49:00,2006-07-11 07:54:00,5.0,28.15,24.47
On,2006-07-11 07:54:00,2006-07-11 08:17:00,23.0,32.02458333333333,24.91375
Off,2006-07-11 08:17:00,2006-07-11 08:24:00,7.0,28.51,25.9125
On,2006-07-11 08:24:00,2006-07-11 08:50:00,26.0,33.27074074074074,28.161851851851857
Off,2006-07-11 08:50:00,2006-07-11 08:58:00,8.0,29.07,28.61444444444444
On,2006-07-11 08:58:00,2006-07-11 09:08:00,10.0,32.86727272727273,28.965454545454545
Off,2006-07-11 09:08:00,2006-07-11 09:13:00,5.0,31.51,29.528333333333336
On,2006-07-11 09:13:00,2006-07-11 09:30:00,17.0,32.48111111111111,28.90333333333333
Off,2006-07-11 09:30:00,2006-07-11 09:35:00,5.0,31.51,29.406666666666663
On,2006-07-11 09:35:00,2006-07-11 09:50:00,15.0,34.061875,29.5425
Off,2006-07-11 09:50:00,2006-07-11 09:59:00,9.0,31.7,30.035000000000004
On,2006-07-11 09:59:00,2006-07-11 10:09:00,10.0,34.74,30.25090909090909
Off,2006-07-11 10:09:00,2006-07-11 10:15:00,6.0,32.86,30.58714285714285
On,2006-07-11 10:15:00,2006-07-11 10:25:00,10.0,35.160000000000004,30.75
Off,2006-07-11 10:25:00,2006-07-11 10:37:00,12.0,31.51,30.33
On,2006-07-11 10:37:00,2006-07-11 10:47:00,10.0,34.26636363636364,30.51
Off,2006-07-11 10:47:00,2006-07-11 10:53:00,6.0,33.84,31.428571428571427
On,2006-07-11 10:53:00,2006-07-11 11:02:00,9.0,35.94,31.798
Off,2006-07-11 11:02:00,2006-07-11 11:11:00,9.0,34.63,31.986
On,2006-07-11 11:11:00,2006-07-11 11:21:00,10.0,35.92363636363636,32.15363636363636
Off,2006-07-11 11:21:00,2006-07-11 11:27:00,6.0,34.23,31.595714285714283
On,2006-07-11 11:27:00,2006-07-11 11:36:00,9.0,36.099,31.666
Off,2006-07-11 11:36:00,2006-07-11 11:42:00,6.0,33.64,31.13142857142857
On,2006-07-11 11:42:00,2006-07-11 12:26:00,44.0,36.34844444444445,32.55955555555556
Off,2006-07-11 12:26:00,2006-07-11 12:32:00,6.0,33.44,31.26571428571429
On,2006-07-11 12:32:00,2006-07-11 12:39:00,7.0,34.88875,30.56
Off,2006-07-11 12:39:00,2006-07-11 12:44:00,5.0,31.7,30.40166666666667
On,2006-07-11 12:44:00,2006-07-11 13:06:00,22.0,35.80695652173913,32.805652173913046
Off,2006-07-11 13:06:00,2006-07-11 13:11:00,5.0,36.26,33.67333333333334
On,2006-07-11 13:11:00,2006-07-11 13:19:00,8.0,36.784444444444446,33.53
Off,2006-07-11 13:19:00,2006-07-11 13:25:00,6.0,35.44,33.30285714285714
On,2006-07-11 13:25:00,2006-07-11 13:57:00,32.0,36.78303030303031,33.947272727272725
Off,2006-07-11 13:57:00,2006-07-11 14:03:00,6.0,35.64,32.498571428571424
On,2006-07-11 14:03:00,2006-07-11 14:29:00,26.0,37.118148148148144,33.88444444444445
Off,2006-07-11 14:29:00,2006-07-11 14:37:00,8.0,36.67,34.056666666666665
On,2006-07-11 14:37:00,2006-07-11 14:43:00,6.0,37.41142857142857,34.09428571428571
Off,2006-07-11 14:43:00,2006-07-11 14:46:00,3.0,35.44,33.5925
On,2006-07-11 14:46:00,2006-07-11 14:52:00,6.0,35.760000000000005,33.528571428571425
Off,2006-07-11 14:52:00,2006-07-11 14:57:00,5.0,35.03,33.02
On,2006-07-11 14:57:00,2006-07-11 15:06:00,9.0,36.21900000000001,33.38399999999999
Off,2006-07-11 15:06:00,2006-07-11 15:12:00,6.0,34.83,33.47
On,2006-07-11 15:12:00,2006-07-11 15:28:00,16.0,35.61882352941176,33.572941176470586
Off,2006-07-11 15:28:00,2006-07-11 15:32:00,4.0,34.83,33.484
On,2006-07-11 15:32:00,2006-07-11 16:00:00,28.0,35.82241379310345,32.93551724137931
Off,2006-07-11 16:00:00,2006-07-11 16:05:00,5.0,31.51,30.37
On,2006-07-11 16:05:00,2006-07-11 16:47:00,42.0,33.57255813953488,29.48953488372093
Off,2006-07-11 16:47:00,2006-07-11 16:53:00,6.0,30.0,27.85714285714286
On,2006-07-11 16:53:00,2006-07-11 17:14:00,21.0,32.98227272727272,28.14636363636363
Off,2006-07-11 17:14:00,2006-07-11 17:23:00,9.0,29.81,29.086
On,2006-07-11 17:23:00,2006-07-11 17:40:00,17.0,33.23722222222222,29.50111111111111
Off,2006-07-11 17:40:00,2006-07-11 17:48:00,8.0,30.75,29.87111111111111
On,2006-07-11 17:48:00,2006-07-11 17:59:00,11.0,33.38666666666668,29.468333333333334
Off,2006-07-11 17:59:00,2006-07-11 18:17:00,18.0,30.56,29.879473684210527
On,2006-07-11 18:17:00,2006-07-11 18:34:00,17.0,34.217777777777776,29.72555555555556
Off,2006-07-11 18:34:00,2006-07-11 18:43:00,9.0,30.56,29.772
On,2006-07-11 18:43:00,2006-07-11 19:01:00,18.0,34.004210526315795,30.02684210526316
Off,2006-07-11 19:01:00,2006-07-11 19:15:00,14.0,30.18,29.574666666666666
On,2006-07-11 19:15:00,2006-07-11 19:26:00,11.0,32.71999999999999,29.424166666666668
Off,2006-07-11 19:26:00,2006-07-11 19:36:00,10.0,29.81,29.233636363636364
On,2006-07-11 19:36:00,2006-07-11 19:52:00,16.0,32.43705882352941,29.002352941176472
Off,2006-07-11 19:52:00,2006-07-11 19:59:00,7.0,29.81,28.8125
On,2006-07-11 19:59:00,2006-07-11 20:22:00,23.0,32.31041666666667,28.49625
Off,2006-07-11 20:22:00,2006-07-11 20:30:00,8.0,28.88,28.25
On,2006-07-11 20:30:00,2006-07-11 20:39:00,9.0,31.026,28.186
Off,2006-07-11 20:39:00,2006-07-11 20:48:00,9.0,28.51,28.093
Nocturnal,2006-07-11 20:48:00,2006-07-12 06:26:00,578.0,31.24998272884283,25.28402417962004
Off,2006-07-12 06:26:00,2006-07-12 06:32:00,6.0,27.24,23.86
