Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-29 22:11:00,2006-06-30 06:22:00,491.0,35.12075203252032,24.58130081300813
Off,2006-06-30 06:22:00,2006-06-30 06:34:00,12.0,32.08,22.940769230769227
On,2006-06-30 06:34:00,2006-06-30 06:41:00,7.0,36.6175,22.98
Off,2006-06-30 06:41:00,2006-06-30 06:48:00,7.0,29.07,22.98
On,2006-06-30 06:48:00,2006-06-30 06:59:00,11.0,34.07333333333333,22.98
Off,2006-06-30 06:59:00,2006-06-30 07:07:00,8.0,30.0,22.98
On,2006-06-30 07:07:00,2006-06-30 07:09:00,2.0,34.516666666666666,22.98
Off,2006-06-30 07:09:00,2006-06-30 07:11:00,2.0,33.84,23.1
On,2006-06-30 07:11:00,2006-06-30 07:21:00,10.0,36.5,23.317272727272723
Off,2006-06-30 07:21:00,2006-06-30 07:28:00,7.0,31.51,23.7925
On,2006-06-30 07:28:00,2006-06-30 07:53:00,25.0,37.14730769230769,24.49884615384616
Off,2006-06-30 07:53:00,2006-06-30 08:00:00,7.0,31.32,25.6
On,2006-06-30 08:00:00,2006-06-30 08:12:00,12.0,37.30615384615384,26.326153846153844
Off,2006-06-30 08:12:00,2006-06-30 08:21:00,9.0,30.56,26.952
On,2006-06-30 08:21:00,2006-06-30 08:42:00,21.0,37.925,28.11545454545455
Off,2006-06-30 08:42:00,2006-06-30 08:50:00,8.0,32.86,29.313333333333333
On,2006-06-30 08:50:00,2006-06-30 08:58:00,8.0,36.827777777777776,29.72555555555556
Off,2006-06-30 08:58:00,2006-06-30 09:08:00,10.0,33.25,29.963636363636365
On,2006-06-30 09:08:00,2006-06-30 09:19:00,11.0,38.165,30.90833333333333
Off,2006-06-30 09:19:00,2006-06-30 09:32:00,13.0,33.44,31.415
On,2006-06-30 09:32:00,2006-06-30 09:38:00,6.0,36.39714285714286,31.7
Off,2006-06-30 09:38:00,2006-06-30 09:49:00,11.0,33.05,32.32416666666666
On,2006-06-30 09:49:00,2006-06-30 09:59:00,10.0,36.36545454545455,32.980909090909094
Off,2006-06-30 09:59:00,2006-06-30 10:09:00,10.0,33.84,33.193636363636365
On,2006-06-30 10:09:00,2006-06-30 10:17:00,8.0,36.16555555555557,33.55111111111111
Off,2006-06-30 10:17:00,2006-06-30 10:31:00,14.0,34.63,33.61333333333334
On,2006-06-30 10:31:00,2006-06-30 10:37:00,6.0,38.24857142857144,33.78285714285714
Off,2006-06-30 10:37:00,2006-06-30 10:52:00,15.0,34.23,34.08562499999999
On,2006-06-30 10:52:00,2006-06-30 10:56:00,4.0,36.678,34.629999999999995
Off,2006-06-30 10:56:00,2006-06-30 11:04:00,8.0,35.03,34.85222222222222
On,2006-06-30 11:04:00,2006-06-30 11:44:00,40.0,36.85341463414634,35.15268292682927
Off,2006-06-30 11:44:00,2006-06-30 11:46:00,2.0,34.63,35.78
On,2006-06-30 11:46:00,2006-06-30 11:54:00,8.0,35.30555555555556,35.66444444444445
Off,2006-06-30 11:54:00,2006-06-30 12:06:00,12.0,34.83,35.50153846153846
On,2006-06-30 12:06:00,2006-06-30 12:10:00,4.0,35.77,35.236000000000004
Off,2006-06-30 12:10:00,2006-06-30 12:28:00,18.0,34.04,34.58631578947368
On,2006-06-30 12:28:00,2006-06-30 12:34:00,6.0,35.559999999999995,33.84
Off,2006-06-30 12:34:00,2006-06-30 12:43:00,9.0,34.83,34.931000000000004
On,2006-06-30 12:43:00,2006-06-30 12:51:00,8.0,36.010000000000005,35.39444444444444
Off,2006-06-30 12:51:00,2006-06-30 13:03:00,12.0,35.44,35.81615384615385
On,2006-06-30 13:03:00,2006-06-30 13:15:00,12.0,36.371538461538464,36.068461538461534
Off,2006-06-30 13:15:00,2006-06-30 13:18:00,3.0,36.26,36.5125
On,2006-06-30 13:18:00,2006-06-30 13:24:00,6.0,36.7,35.70285714285714
Off,2006-06-30 13:24:00,2006-06-30 13:31:00,7.0,35.24,35.08625
On,2006-06-30 13:31:00,2006-06-30 13:42:00,11.0,36.329166666666666,34.93083333333333
Off,2006-06-30 13:42:00,2006-06-30 13:51:00,9.0,35.64,35.72500000000001
On,2006-06-30 13:51:00,2006-06-30 14:10:00,19.0,37.5825,36.1965
