Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-07-03 21:26:00,2005-07-04 06:01:00,515.0,34.686550387596895,26.45558139534884
Off,2005-07-04 06:01:00,2005-07-04 06:17:00,16.0,27.06,25.29
On,2005-07-04 06:17:00,2005-07-04 06:22:00,5.0,33.75333333333333,25.355
Off,2005-07-04 06:22:00,2005-07-04 06:28:00,6.0,28.7,25.294285714285717
On,2005-07-04 06:28:00,2005-07-04 06:40:00,12.0,35.85769230769231,25.361538461538466
Off,2005-07-04 06:40:00,2005-07-04 06:45:00,5.0,28.88,25.29833333333333
On,2005-07-04 06:45:00,2005-07-04 07:06:00,21.0,33.64545454545454,25.29318181818182
Off,2005-07-04 07:06:00,2005-07-04 07:30:00,24.0,27.6,25.310800000000004
On,2005-07-04 07:30:00,2005-07-04 07:52:00,22.0,35.60130434782609,25.54260869565217
Off,2005-07-04 07:52:00,2005-07-04 08:06:00,14.0,27.96,25.872000000000007
On,2005-07-04 08:06:00,2005-07-04 08:22:00,16.0,35.67941176470588,26.350588235294115
Off,2005-07-04 08:22:00,2005-07-04 08:36:00,14.0,28.7,26.627999999999997
On,2005-07-04 08:36:00,2005-07-04 08:38:00,2.0,31.406666666666663,26.76
Off,2005-07-04 08:38:00,2005-07-04 08:42:00,4.0,28.33,26.880000000000003
On,2005-07-04 08:42:00,2005-07-04 08:57:00,15.0,35.543125,27.20625
Off,2005-07-04 08:57:00,2005-07-04 09:04:00,7.0,29.44,27.6
On,2005-07-04 09:04:00,2005-07-04 09:17:00,13.0,34.82357142857143,28.041428571428565
Off,2005-07-04 09:17:00,2005-07-04 09:26:00,9.0,31.13,28.42
On,2005-07-04 09:26:00,2005-07-04 09:34:00,8.0,33.544444444444444,28.86111111111111
Off,2005-07-04 09:34:00,2005-07-04 09:44:00,10.0,31.7,29.135454545454547
On,2005-07-04 09:44:00,2005-07-04 09:51:00,7.0,35.3975,29.23
Off,2005-07-04 09:51:00,2005-07-04 09:59:00,8.0,32.86,29.64444444444445
On,2005-07-04 09:59:00,2005-07-04 10:04:00,5.0,35.73499999999999,29.621666666666663
Off,2005-07-04 10:04:00,2005-07-04 10:15:00,11.0,32.66,29.700000000000003
On,2005-07-04 10:15:00,2005-07-04 10:50:00,35.0,35.58083333333334,30.302777777777774
Off,2005-07-04 10:50:00,2005-07-04 11:06:00,16.0,30.56,29.798823529411763
On,2005-07-04 11:06:00,2005-07-04 11:25:00,19.0,36.9245,30.0255
Off,2005-07-04 11:25:00,2005-07-04 11:31:00,6.0,34.23,30.424285714285716
On,2005-07-04 11:31:00,2005-07-04 11:35:00,4.0,35.24399999999999,30.598000000000003
Off,2005-07-04 11:35:00,2005-07-04 11:39:00,4.0,33.25,30.636000000000003
On,2005-07-04 11:39:00,2005-07-04 11:44:00,5.0,34.77333333333333,30.59166666666667
Off,2005-07-04 11:44:00,2005-07-04 11:48:00,4.0,33.44,30.826
On,2005-07-04 11:48:00,2005-07-04 11:52:00,4.0,34.88199999999999,30.978
Off,2005-07-04 11:52:00,2005-07-04 12:04:00,12.0,32.66,30.633076923076924
