Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-03-27 20:19:00,2006-03-28 06:23:00,604.0,21.61560330578512,11.218280991735536
Off,2006-03-28 06:23:00,2006-03-28 06:29:00,6.0,15.49,10.11
On,2006-03-28 06:29:00,2006-03-28 07:00:00,31.0,20.5284375,10.2853125
Off,2006-03-28 07:00:00,2006-03-28 07:05:00,5.0,16.84,10.761666666666663
On,2006-03-28 07:05:00,2006-03-28 07:13:00,8.0,19.93444444444445,10.994444444444444
Off,2006-03-28 07:13:00,2006-03-28 07:16:00,3.0,18.36,11.1625
On,2006-03-28 07:16:00,2006-03-28 07:47:00,31.0,23.5146875,13.963125000000002
Off,2006-03-28 07:47:00,2006-03-28 07:54:00,7.0,18.87,14.697500000000002
On,2006-03-28 07:54:00,2006-03-28 08:14:00,20.0,23.68571428571429,15.679523809523811
Off,2006-03-28 08:14:00,2006-03-28 08:19:00,5.0,20.74,16.895
On,2006-03-28 08:19:00,2006-03-28 08:29:00,10.0,23.680000000000003,16.685454545454544
Off,2006-03-28 08:29:00,2006-03-28 08:33:00,4.0,23.33,17.178000000000004
On,2006-03-28 08:33:00,2006-03-28 08:40:00,7.0,25.29375,17.137500000000003
Off,2006-03-28 08:40:00,2006-03-28 08:45:00,5.0,22.98,17.458333333333332
On,2006-03-28 08:45:00,2006-03-28 08:55:00,10.0,25.85909090909091,18.36
Off,2006-03-28 08:55:00,2006-03-28 09:01:00,6.0,23.51,18.554285714285715
On,2006-03-28 09:01:00,2006-03-28 10:34:00,93.0,25.27159574468085,20.29531914893617
Off,2006-03-28 10:34:00,2006-03-28 10:41:00,7.0,24.56,21.94625
On,2006-03-28 10:41:00,2006-03-28 10:59:00,18.0,28.45842105263157,22.592631578947373
Off,2006-03-28 10:59:00,2006-03-28 11:16:00,17.0,25.09,23.196666666666665
On,2006-03-28 11:16:00,2006-03-28 11:40:00,24.0,29.2588,23.7096
Off,2006-03-28 11:40:00,2006-03-28 11:56:00,16.0,26.7,23.30176470588235
On,2006-03-28 11:56:00,2006-03-28 12:16:00,20.0,30.343333333333334,24.552857142857142
Off,2006-03-28 12:16:00,2006-03-28 12:26:00,10.0,27.96,24.498181818181816
On,2006-03-28 12:26:00,2006-03-28 12:36:00,10.0,30.09363636363636,24.64181818181818
Off,2006-03-28 12:36:00,2006-03-28 12:45:00,9.0,29.25,25.162
On,2006-03-28 12:45:00,2006-03-28 13:04:00,19.0,31.970499999999987,25.649
Off,2006-03-28 13:04:00,2006-03-28 13:15:00,11.0,29.25,26.535
On,2006-03-28 13:15:00,2006-03-28 13:28:00,13.0,30.83571428571428,25.055
Off,2006-03-28 13:28:00,2006-03-28 13:35:00,7.0,29.44,25.8225
On,2006-03-28 13:35:00,2006-03-28 14:44:00,69.0,33.31942857142857,26.445857142857147
