Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-04-09 20:25:00,2005-04-10 06:58:00,633.0,29.296261829653,17.35219242902208
Off,2005-04-10 06:58:00,2005-04-10 07:11:00,13.0,24.56,15.159999999999998
On,2005-04-10 07:11:00,2005-04-10 07:27:00,16.0,28.532941176470587,15.160000000000002
Off,2005-04-10 07:27:00,2005-04-10 07:53:00,26.0,28.15,15.247777777777776
On,2005-04-10 07:53:00,2005-04-10 08:29:00,36.0,30.427027027027027,15.609459459459462
Off,2005-04-10 08:29:00,2005-04-10 08:37:00,8.0,25.98,16.075555555555557
On,2005-04-10 08:37:00,2005-04-10 09:07:00,30.0,28.731935483870977,16.796451612903226
Off,2005-04-10 09:07:00,2005-04-10 09:19:00,12.0,26.16,17.475384615384616
On,2005-04-10 09:19:00,2005-04-10 09:34:00,15.0,28.53375,17.85
Off,2005-04-10 09:34:00,2005-04-10 09:45:00,11.0,26.34,18.20416666666667
On,2005-04-10 09:45:00,2005-04-10 10:10:00,25.0,29.78807692307692,18.96153846153846
Off,2005-04-10 10:10:00,2005-04-10 10:16:00,6.0,28.33,19.50142857142857
On,2005-04-10 10:16:00,2005-04-10 10:27:00,11.0,29.811666666666667,19.790833333333328
Off,2005-04-10 10:27:00,2005-04-10 12:26:00,119.0,22.64,21.759083333333333
On,2005-04-10 12:26:00,2005-04-10 13:17:00,51.0,26.650961538461537,24.571730769230765
Off,2005-04-10 13:17:00,2005-04-10 13:26:00,9.0,29.25,24.383000000000003
On,2005-04-10 13:26:00,2005-04-10 14:35:00,69.0,33.27514285714287,28.226999999999997
Off,2005-04-10 14:35:00,2005-04-10 14:43:00,8.0,32.86,28.54222222222222
On,2005-04-10 14:43:00,2005-04-10 14:49:00,6.0,33.30428571428571,26.59714285714286
Off,2005-04-10 14:49:00,2005-04-10 15:00:00,11.0,31.89,26.31
On,2005-04-10 15:00:00,2005-04-10 15:08:00,8.0,33.208888888888886,27.32
Off,2005-04-10 15:08:00,2005-04-10 15:17:00,9.0,32.08,27.079
On,2005-04-10 15:17:00,2005-04-10 15:31:00,14.0,33.37133333333334,27.736666666666665
Off,2005-04-10 15:31:00,2005-04-10 15:40:00,9.0,32.66,27.514
On,2005-04-10 15:40:00,2005-04-10 15:57:00,17.0,33.733333333333334,28.40055555555556
Off,2005-04-10 15:57:00,2005-04-10 16:29:00,32.0,30.18,27.800303030303034
On,2005-04-10 16:29:00,2005-04-10 16:46:00,17.0,32.99166666666666,28.247777777777777
Off,2005-04-10 16:46:00,2005-04-10 16:52:00,6.0,32.66,28.35571428571428
On,2005-04-10 16:52:00,2005-04-10 17:08:00,16.0,33.73882352941176,27.97411764705882
Off,2005-04-10 17:08:00,2005-04-10 17:17:00,9.0,32.08,27.815999999999995
On,2005-04-10 17:17:00,2005-04-10 17:23:00,6.0,32.41428571428571,27.70285714285714
Off,2005-04-10 17:23:00,2005-04-10 17:32:00,9.0,31.13,27.366000000000003
On,2005-04-10 17:32:00,2005-04-10 17:39:00,7.0,32.4475,26.7675
Off,2005-04-10 17:39:00,2005-04-10 17:45:00,6.0,31.7,26.59714285714286
On,2005-04-10 17:45:00,2005-04-10 17:58:00,13.0,32.38642857142856,25.865
Off,2005-04-10 17:58:00,2005-04-10 18:05:00,7.0,30.75,25.39875
On,2005-04-10 18:05:00,2005-04-10 18:45:00,40.0,32.239999999999995,24.865853658536587
Off,2005-04-10 18:45:00,2005-04-10 18:58:00,13.0,28.15,24.095
On,2005-04-10 18:58:00,2005-04-10 19:20:00,22.0,30.659130434782615,23.559999999999995
Off,2005-04-10 19:20:00,2005-04-10 19:34:00,14.0,28.15,22.946666666666665
On,2005-04-10 19:34:00,2005-04-10 19:55:00,21.0,30.54181818181819,22.40090909090909
Off,2005-04-10 19:55:00,2005-04-11 07:17:00,682.0,14.15,15.435710102489018
Nocturnal,2005-04-11 07:17:00,2005-04-11 07:47:00,30.0,22.504838709677426,14.06225806451613
Off,2005-04-11 07:47:00,2005-04-11 07:55:00,8.0,24.38,14.69
On,2005-04-11 07:55:00,2005-04-11 08:28:00,33.0,27.38441176470588,15.408823529411764
Off,2005-04-11 08:28:00,2005-04-11 08:37:00,9.0,25.27,15.762000000000004
On,2005-04-11 08:37:00,2005-04-11 08:52:00,15.0,27.77875,15.946875
Off,2005-04-11 08:52:00,2005-04-11 08:58:00,6.0,27.24,16.26142857142857
On,2005-04-11 08:58:00,2005-04-11 09:27:00,29.0,29.19933333333334,17.052333333333333
Off,2005-04-11 09:27:00,2005-04-11 09:34:00,7.0,27.78,17.95625
On,2005-04-11 09:34:00,2005-04-11 10:03:00,29.0,30.44266666666667,18.683
Off,2005-04-11 10:03:00,2005-04-11 10:17:00,14.0,27.24,19.595333333333333
On,2005-04-11 10:17:00,2005-04-11 10:45:00,28.0,30.387931034482765,20.329655172413798
Off,2005-04-11 10:45:00,2005-04-11 10:53:00,8.0,28.15,20.986666666666665
On,2005-04-11 10:53:00,2005-04-11 11:19:00,26.0,30.88444444444445,21.44222222222222
Off,2005-04-11 11:19:00,2005-04-11 11:24:00,5.0,29.44,21.801666666666662
On,2005-04-11 11:24:00,2005-04-11 11:43:00,19.0,30.210999999999995,22.412
Off,2005-04-11 11:43:00,2005-04-11 11:53:00,10.0,28.33,22.87272727272727
On,2005-04-11 11:53:00,2005-04-11 12:05:00,12.0,30.00384615384615,23.238461538461536
Off,2005-04-11 12:05:00,2005-04-11 12:10:00,5.0,29.62,23.44833333333333
On,2005-04-11 12:10:00,2005-04-11 12:24:00,14.0,30.78066666666666,23.659333333333333
Off,2005-04-11 12:24:00,2005-04-11 12:32:00,8.0,30.56,23.934444444444445
On,2005-04-11 12:32:00,2005-04-11 15:18:00,166.0,34.227964071856285,28.199041916167666
Off,2005-04-11 15:18:00,2005-04-11 15:31:00,13.0,33.05,29.65
On,2005-04-11 15:31:00,2005-04-11 15:36:00,5.0,33.87166666666667,29.935
