Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-05-08 22:01:00,2005-05-09 06:29:00,508.0,30.43575638506876,19.98854616895874
Off,2005-05-09 06:29:00,2005-05-09 06:46:00,17.0,20.23,17.90666666666667
On,2005-05-09 06:46:00,2005-05-09 07:07:00,21.0,27.15590909090909,18.452727272727277
Off,2005-05-09 07:07:00,2005-05-09 07:17:00,10.0,22.81,18.19
On,2005-05-09 07:17:00,2005-05-09 07:48:00,31.0,28.62625,18.200625
Off,2005-05-09 07:48:00,2005-05-09 07:56:00,8.0,22.46,17.85
On,2005-05-09 07:56:00,2005-05-09 08:15:00,19.0,30.585500000000003,18.0965
Off,2005-05-09 08:15:00,2005-05-09 08:28:00,13.0,21.77,18.372142857142855
On,2005-05-09 08:28:00,2005-05-09 08:58:00,30.0,29.36967741935484,19.01258064516129
Off,2005-05-09 08:58:00,2005-05-09 09:15:00,17.0,24.91,19.53111111111112
On,2005-05-09 09:15:00,2005-05-09 09:25:00,10.0,27.42727272727273,19.642727272727274
Off,2005-05-09 09:25:00,2005-05-09 09:35:00,10.0,24.91,19.550000000000004
On,2005-05-09 09:35:00,2005-05-09 10:00:00,25.0,30.58923076923077,19.85076923076923
Off,2005-05-09 10:00:00,2005-05-09 10:15:00,15.0,23.51,20.1875
On,2005-05-09 10:15:00,2005-05-09 10:25:00,10.0,28.681818181818183,20.33818181818182
Off,2005-05-09 10:25:00,2005-05-09 10:37:00,12.0,24.03,20.753076923076925
On,2005-05-09 10:37:00,2005-05-09 11:14:00,37.0,31.460263157894744,20.971052631578942
Off,2005-05-09 11:14:00,2005-05-09 11:24:00,10.0,24.74,21.14727272727273
On,2005-05-09 11:24:00,2005-05-09 11:38:00,14.0,31.95733333333333,21.6
Off,2005-05-09 11:38:00,2005-05-09 11:48:00,10.0,26.88,22.23
On,2005-05-09 11:48:00,2005-05-09 11:56:00,8.0,29.43,22.715555555555557
Off,2005-05-09 11:56:00,2005-05-09 12:06:00,10.0,25.62,22.84272727272727
On,2005-05-09 12:06:00,2005-05-09 12:25:00,19.0,32.12949999999999,23.261499999999995
Off,2005-05-09 12:25:00,2005-05-09 12:36:00,11.0,26.88,23.6225
On,2005-05-09 12:36:00,2005-05-09 13:03:00,27.0,33.061071428571424,24.42964285714285
Off,2005-05-09 13:03:00,2005-05-09 13:11:00,8.0,29.25,25.18777777777778
On,2005-05-09 13:11:00,2005-05-09 13:51:00,40.0,33.47560975609756,26.138048780487807
Off,2005-05-09 13:51:00,2005-05-09 13:59:00,8.0,30.37,26.7
On,2005-05-09 13:59:00,2005-05-09 14:40:00,41.0,32.08142857142857,27.02142857142857
Off,2005-05-09 14:40:00,2005-05-09 14:50:00,10.0,30.56,27.37090909090909
On,2005-05-09 14:50:00,2005-05-09 15:03:00,13.0,33.35571428571429,27.95
Off,2005-05-09 15:03:00,2005-05-09 15:17:00,14.0,29.62,27.372000000000007
On,2005-05-09 15:17:00,2005-05-09 15:24:00,7.0,31.78,27.105
Off,2005-05-09 15:24:00,2005-05-09 15:29:00,5.0,29.81,26.790000000000003
On,2005-05-09 15:29:00,2005-05-09 15:48:00,19.0,32.4105,27.7555
Off,2005-05-09 15:48:00,2005-05-09 15:54:00,6.0,31.13,28.381428571428568
On,2005-05-09 15:54:00,2005-05-09 16:01:00,7.0,32.545,28.10125
Off,2005-05-09 16:01:00,2005-05-09 16:07:00,6.0,30.37,28.22571428571429
On,2005-05-09 16:07:00,2005-05-09 16:32:00,25.0,33.12576923076923,27.95038461538462
Off,2005-05-09 16:32:00,2005-05-09 16:41:00,9.0,29.62,27.98
