Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-05-15 20:51:00,2005-05-16 06:32:00,581.0,26.65560137457045,23.011769759450168
Off,2005-05-16 06:32:00,2005-05-16 06:40:00,8.0,22.64,21.08333333333333
On,2005-05-16 06:40:00,2005-05-16 07:10:00,30.0,25.09,21.112258064516126
Off,2005-05-16 07:10:00,2005-05-16 07:41:00,31.0,22.12,21.2865625
On,2005-05-16 07:41:00,2005-05-16 08:44:00,63.0,25.62125,22.2165625
Off,2005-05-16 08:44:00,2005-05-16 09:03:00,19.0,25.09,23.402
On,2005-05-16 09:03:00,2005-05-16 09:21:00,18.0,27.43105263157895,24.09578947368421
Off,2005-05-16 09:21:00,2005-05-16 09:39:00,18.0,26.7,24.446315789473683
On,2005-05-16 09:39:00,2005-05-16 09:57:00,18.0,27.902631578947368,25.378947368421056
Off,2005-05-16 09:57:00,2005-05-16 10:14:00,17.0,27.96,26.090000000000003
On,2005-05-16 10:14:00,2005-05-16 10:49:00,35.0,29.465555555555557,26.68
Off,2005-05-16 10:49:00,2005-05-16 11:01:00,12.0,28.33,26.52
On,2005-05-16 11:01:00,2005-05-16 11:19:00,18.0,29.975789473684216,27.164210526315788
Off,2005-05-16 11:19:00,2005-05-16 11:34:00,15.0,28.15,27.33
On,2005-05-16 11:34:00,2005-05-16 11:47:00,13.0,30.31571428571428,27.30428571428572
Off,2005-05-16 11:47:00,2005-05-16 11:58:00,11.0,29.25,27.585
On,2005-05-16 11:58:00,2005-05-16 12:09:00,11.0,30.80083333333333,27.9175
Off,2005-05-16 12:09:00,2005-05-16 12:20:00,11.0,30.0,28.21
On,2005-05-16 12:20:00,2005-05-16 12:37:00,17.0,31.451666666666668,29.015555555555554
Off,2005-05-16 12:37:00,2005-05-16 12:43:00,6.0,31.13,29.33142857142857
On,2005-05-16 12:43:00,2005-05-16 12:52:00,9.0,31.588,29.269
Off,2005-05-16 12:52:00,2005-05-16 13:00:00,8.0,31.13,29.27111111111111
On,2005-05-16 13:00:00,2005-05-16 13:08:00,8.0,32.23555555555556,29.664444444444445
Off,2005-05-16 13:08:00,2005-05-16 13:13:00,5.0,32.28,30.278333333333336
On,2005-05-16 13:13:00,2005-05-16 13:23:00,10.0,33.843636363636364,31.32
Off,2005-05-16 13:23:00,2005-05-16 13:32:00,9.0,32.66,31.130000000000003
On,2005-05-16 13:32:00,2005-05-16 13:44:00,12.0,34.254615384615384,31.26153846153846
Off,2005-05-16 13:44:00,2005-05-16 13:49:00,5.0,34.43,31.32
On,2005-05-16 13:49:00,2005-05-16 14:32:00,43.0,36.411363636363646,32.18636363636364
Off,2005-05-16 14:32:00,2005-05-16 14:46:00,14.0,33.25,31.156
On,2005-05-16 14:46:00,2005-05-16 15:07:00,21.0,34.98363636363637,31.397727272727284
