Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-09 20:54:00,2006-06-10 06:05:00,551.0,35.72389492753624,26.754402173913043
Off,2006-06-10 06:05:00,2006-06-10 06:10:00,5.0,33.05,24.74
On,2006-06-10 06:10:00,2006-06-10 06:22:00,12.0,34.69615384615384,24.684615384615388
Off,2006-06-10 06:22:00,2006-06-10 06:27:00,5.0,32.08,24.56
On,2006-06-10 06:27:00,2006-06-10 06:48:00,21.0,36.89681818181818,24.63363636363636
Off,2006-06-10 06:48:00,2006-06-10 06:57:00,9.0,33.84,24.704
On,2006-06-10 06:57:00,2006-06-10 07:24:00,27.0,37.63142857142857,24.812857142857144
Off,2006-06-10 07:24:00,2006-06-10 07:43:00,19.0,31.7,24.928000000000004
On,2006-06-10 07:43:00,2006-06-10 08:05:00,22.0,34.522608695652174,25.08217391304348
Off,2006-06-10 08:05:00,2006-06-10 08:16:00,11.0,32.47,25.620000000000005
On,2006-06-10 08:16:00,2006-06-10 08:27:00,11.0,34.42583333333334,26.069999999999997
Off,2006-06-10 08:27:00,2006-06-10 08:30:00,3.0,37.08,26.475
On,2006-06-10 08:30:00,2006-06-10 09:03:00,33.0,36.24441176470589,27.282941176470587
Off,2006-06-10 09:03:00,2006-06-10 09:09:00,6.0,34.63,28.041428571428572
On,2006-06-10 09:09:00,2006-06-10 09:22:00,13.0,35.917857142857144,28.672142857142852
Off,2006-06-10 09:22:00,2006-06-10 09:30:00,8.0,35.24,28.76
On,2006-06-10 09:30:00,2006-06-10 09:41:00,11.0,36.3625,29.68583333333333
Off,2006-06-10 09:41:00,2006-06-10 09:53:00,12.0,35.44,30.313076923076924
On,2006-06-10 09:53:00,2006-06-10 10:01:00,8.0,37.3,30.98222222222222
Off,2006-06-10 10:01:00,2006-06-10 10:13:00,12.0,35.64,30.503846153846155
On,2006-06-10 10:13:00,2006-06-10 13:25:00,192.0,37.57129533678757,33.72424870466322
Off,2006-06-10 13:25:00,2006-06-10 13:38:00,13.0,37.5,35.74571428571429
On,2006-06-10 13:38:00,2006-06-10 16:54:00,196.0,38.02060913705584,35.95751269035532
Off,2006-06-10 16:54:00,2006-06-10 17:06:00,12.0,36.26,35.06538461538461
On,2006-06-10 17:06:00,2006-06-10 17:10:00,4.0,37.3,34.67
Off,2006-06-10 17:10:00,2006-06-10 17:26:00,16.0,36.05,34.300588235294114
On,2006-06-10 17:26:00,2006-06-10 17:46:00,20.0,37.21333333333333,34.7347619047619
Off,2006-06-10 17:46:00,2006-06-10 17:58:00,12.0,35.85,34.53769230769231
On,2006-06-10 17:58:00,2006-06-10 18:11:00,13.0,36.71571428571429,34.12214285714287
Off,2006-06-10 18:11:00,2006-06-10 18:32:00,21.0,35.44,33.97636363636365
On,2006-06-10 18:32:00,2006-06-10 18:40:00,8.0,36.67,33.84
Off,2006-06-10 18:40:00,2006-06-10 18:54:00,14.0,35.44,33.54933333333334
On,2006-06-10 18:54:00,2006-06-10 19:07:00,13.0,38.19642857142858,32.98214285714286
Off,2006-06-10 19:07:00,2006-06-10 19:19:00,12.0,35.24,32.86000000000001
On,2006-06-10 19:19:00,2006-06-10 19:25:00,6.0,36.08285714285714,32.88714285714286
