Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-05-14 17:55:00,2005-05-15 06:42:00,767.0,23.905390625,22.84798177083333
Off,2005-05-15 06:42:00,2005-05-15 06:52:00,10.0,29.25,23.81090909090909
On,2005-05-15 06:52:00,2005-05-15 07:20:00,28.0,32.10793103448275,24.340689655172408
Off,2005-05-15 07:20:00,2005-05-15 07:41:00,21.0,30.37,24.72863636363637
On,2005-05-15 07:41:00,2005-05-15 07:49:00,8.0,31.91555555555556,25.188888888888886
Off,2005-05-15 07:49:00,2005-05-15 07:56:00,7.0,31.7,25.442500000000003
On,2005-05-15 07:56:00,2005-05-15 08:10:00,14.0,33.62133333333333,25.860000000000007
Off,2005-05-15 08:10:00,2005-05-15 08:23:00,13.0,32.86,26.35285714285714
On,2005-05-15 08:23:00,2005-05-15 08:28:00,5.0,33.775,26.13
Off,2005-05-15 08:28:00,2005-05-15 08:37:00,9.0,32.47,25.496
On,2005-05-15 08:37:00,2005-05-15 09:00:00,23.0,34.67041666666666,25.807916666666667
Off,2005-05-15 09:00:00,2005-05-15 09:14:00,14.0,34.23,26.411999999999995
On,2005-05-15 09:14:00,2005-05-15 09:30:00,16.0,35.72882352941176,27.59705882352941
Off,2005-05-15 09:30:00,2005-05-15 09:32:00,2.0,36.05,29.126666666666665
On,2005-05-15 09:32:00,2005-05-15 09:40:00,8.0,37.62555555555556,29.08888888888889
Off,2005-05-15 09:40:00,2005-05-15 09:43:00,3.0,37.71,28.93
On,2005-05-15 09:43:00,2005-05-15 09:47:00,4.0,37.964,29.328000000000003
Off,2005-05-15 09:47:00,2005-05-15 09:49:00,2.0,36.88,29.316666666666663
On,2005-05-15 09:49:00,2005-05-15 09:53:00,4.0,37.632,29.7
Off,2005-05-15 09:53:00,2005-05-15 09:55:00,2.0,37.92,29.686666666666667
On,2005-05-15 09:55:00,2005-05-15 10:27:00,32.0,39.258787878787885,30.084242424242422
Off,2005-05-15 10:27:00,2005-05-15 10:32:00,5.0,38.56,29.75
On,2005-05-15 10:32:00,2005-05-15 10:46:00,14.0,39.05200000000001,29.886000000000003
Off,2005-05-15 10:46:00,2005-05-15 10:50:00,4.0,36.05,29.364
On,2005-05-15 10:50:00,2005-05-15 10:54:00,4.0,37.25599999999999,28.956
Off,2005-05-15 10:54:00,2005-05-15 10:57:00,3.0,37.5,29.762500000000003
On,2005-05-15 10:57:00,2005-05-15 10:59:00,2.0,37.92333333333334,29.996666666666663
Off,2005-05-15 10:59:00,2005-05-15 11:02:00,3.0,37.29,30.94
On,2005-05-15 11:02:00,2005-05-15 11:09:00,7.0,38.61750000000001,31.225
Off,2005-05-15 11:09:00,2005-05-15 11:11:00,2.0,37.92,31.44666666666667
On,2005-05-15 11:11:00,2005-05-15 11:16:00,5.0,38.45833333333333,31.605
Off,2005-05-15 11:16:00,2005-05-15 11:19:00,3.0,35.64,31.5575
On,2005-05-15 11:19:00,2005-05-15 11:22:00,3.0,35.8475,30.325000000000003
Off,2005-05-15 11:22:00,2005-05-15 11:24:00,2.0,35.24,29.81
On,2005-05-15 11:24:00,2005-05-15 11:30:00,6.0,36.05571428571429,29.277142857142856
Off,2005-05-15 11:30:00,2005-05-15 11:33:00,3.0,36.05,29.39
On,2005-05-15 11:33:00,2005-05-15 11:48:00,15.0,38.75375,30.526875
Off,2005-05-15 11:48:00,2005-05-15 11:50:00,2.0,39.86,30.94
On,2005-05-15 11:50:00,2005-05-15 11:54:00,4.0,40.66,31.548
Off,2005-05-15 11:54:00,2005-05-15 12:00:00,6.0,39.64,31.83714285714285
On,2005-05-15 12:00:00,2005-05-15 12:01:00,1.0,39.97,31.7
Off,2005-05-15 12:01:00,2005-05-15 12:03:00,2.0,39.43,31.51
On,2005-05-15 12:03:00,2005-05-15 12:06:00,3.0,40.0825,31.4625
Off,2005-05-15 12:06:00,2005-05-15 12:08:00,2.0,39.43,31.00333333333333
On,2005-05-15 12:08:00,2005-05-15 12:18:00,10.0,39.03454545454546,31.458181818181814
Off,2005-05-15 12:18:00,2005-05-15 12:22:00,4.0,37.5,31.358
On,2005-05-15 12:22:00,2005-05-15 12:28:00,6.0,38.260000000000005,31.13
Off,2005-05-15 12:28:00,2005-05-15 12:33:00,5.0,37.5,30.655
On,2005-05-15 12:33:00,2005-05-15 12:35:00,2.0,37.85333333333333,30.94
Off,2005-05-15 12:35:00,2005-05-15 12:40:00,5.0,36.67,30.971666666666664
On,2005-05-15 12:40:00,2005-05-15 12:49:00,9.0,37.399,31.016
Off,2005-05-15 12:49:00,2005-05-15 12:52:00,3.0,36.67,31.32
On,2005-05-15 12:52:00,2005-05-15 13:05:00,13.0,37.75928571428572,32.02928571428571
Off,2005-05-15 13:05:00,2005-05-15 13:12:00,7.0,34.23,31.82125
On,2005-05-15 13:12:00,2005-05-15 13:20:00,8.0,35.972222222222214,31.55333333333333
Off,2005-05-15 13:20:00,2005-05-15 13:23:00,3.0,36.26,31.845
On,2005-05-15 13:23:00,2005-05-15 13:55:00,32.0,37.42545454545454,32.3578787878788
Off,2005-05-15 13:55:00,2005-05-15 14:11:00,16.0,32.66,31.378235294117644
On,2005-05-15 14:11:00,2005-05-15 14:17:00,6.0,33.98714285714286,30.69571428571428
Off,2005-05-15 14:17:00,2005-05-15 14:42:00,25.0,31.89,30.54807692307692
On,2005-05-15 14:42:00,2005-05-15 15:17:00,35.0,36.7536111111111,31.93361111111111
Off,2005-05-15 15:17:00,2005-05-15 15:24:00,7.0,36.26,31.628750000000004
On,2005-05-15 15:24:00,2005-05-15 15:57:00,33.0,36.83588235294118,32.602058823529404
Off,2005-05-15 15:57:00,2005-05-15 16:04:00,7.0,36.46,32.7125
On,2005-05-15 16:04:00,2005-05-15 16:13:00,9.0,37.16700000000001,31.969
Off,2005-05-15 16:13:00,2005-05-15 16:32:00,19.0,32.28,30.8735
On,2005-05-15 16:32:00,2005-05-15 16:37:00,5.0,33.516666666666666,30.180000000000003
Off,2005-05-15 16:37:00,2005-05-15 16:45:00,8.0,32.08,30.056666666666665
On,2005-05-15 16:45:00,2005-05-15 16:55:00,10.0,33.59090909090909,29.671818181818185
Off,2005-05-15 16:55:00,2005-05-15 17:13:00,18.0,30.75,29.350526315789477
On,2005-05-15 17:13:00,2005-05-15 17:25:00,12.0,32.69769230769231,29.293846153846157
Off,2005-05-15 17:25:00,2005-05-15 17:38:00,13.0,31.32,29.253571428571423
On,2005-05-15 17:38:00,2005-05-15 17:54:00,16.0,33.298235294117646,29.13235294117647
Off,2005-05-15 17:54:00,2005-05-15 18:07:00,13.0,31.7,28.75142857142857
On,2005-05-15 18:07:00,2005-05-15 18:17:00,10.0,32.57636363636364,28.613636363636363
Off,2005-05-15 18:17:00,2005-05-15 18:33:00,16.0,30.75,28.481764705882348
On,2005-05-15 18:33:00,2005-05-15 18:49:00,16.0,31.939411764705884,28.331176470588236
Off,2005-05-15 18:49:00,2005-05-15 19:00:00,11.0,30.75,28.589166666666667
On,2005-05-15 19:00:00,2005-05-15 19:08:00,8.0,31.467777777777776,28.35
Off,2005-05-15 19:08:00,2005-05-15 19:18:00,10.0,30.37,28.24727272727273
On,2005-05-15 19:18:00,2005-05-15 19:37:00,19.0,30.98750000000001,27.573
Off,2005-05-15 19:37:00,2005-05-15 19:55:00,18.0,29.62,27.20210526315789
On,2005-05-15 19:55:00,2005-05-15 20:02:00,7.0,30.09,26.88
Off,2005-05-15 20:02:00,2005-05-15 20:51:00,49.0,26.7,26.3832
Nocturnal,2005-05-15 20:51:00,2005-05-16 06:21:00,570.0,27.47155866900175,22.21628721541156
Off,2005-05-16 06:21:00,2005-05-16 06:32:00,11.0,29.07,24.929166666666664
On,2005-05-16 06:32:00,2005-05-16 06:44:00,12.0,32.93230769230769,25.995384615384616
Off,2005-05-16 06:44:00,2005-05-16 06:52:00,8.0,32.86,26.16
On,2005-05-16 06:52:00,2005-05-16 07:06:00,14.0,36.95066666666666,25.480666666666664
Off,2005-05-16 07:06:00,2005-05-16 07:16:00,10.0,34.23,25.50909090909091
On,2005-05-16 07:16:00,2005-05-16 07:33:00,17.0,39.69833333333335,26.3
