Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-02 20:40:00,2006-06-03 06:45:00,605.0,34.46232673267327,24.11519801980198
Off,2006-06-03 06:45:00,2006-06-03 06:52:00,7.0,31.32,22.35375
On,2006-06-03 06:52:00,2006-06-03 07:16:00,24.0,34.4396,23.040800000000004
Off,2006-06-03 07:16:00,2006-06-03 07:24:00,8.0,32.66,24.091111111111115
On,2006-06-03 07:24:00,2006-06-03 07:43:00,19.0,34.8725,24.446500000000004
Off,2006-06-03 07:43:00,2006-06-03 07:53:00,10.0,32.66,24.89818181818182
On,2006-06-03 07:53:00,2006-06-03 07:59:00,6.0,33.50285714285714,25.365714285714287
Off,2006-06-03 07:59:00,2006-06-03 08:06:00,7.0,31.7,25.20125
On,2006-06-03 08:06:00,2006-06-03 08:37:00,31.0,34.713125000000005,25.7459375
Off,2006-06-03 08:37:00,2006-06-03 08:49:00,12.0,32.86,26.921538461538464
On,2006-06-03 08:49:00,2006-06-03 09:06:00,17.0,34.48444444444445,27.410000000000004
Off,2006-06-03 09:06:00,2006-06-03 09:17:00,11.0,32.47,27.105
On,2006-06-03 09:17:00,2006-06-03 09:31:00,14.0,34.80266666666667,27.204000000000004
Off,2006-06-03 09:31:00,2006-06-03 09:38:00,7.0,33.84,27.85
On,2006-06-03 09:38:00,2006-06-03 09:49:00,11.0,34.987500000000004,28.5125
Off,2006-06-03 09:49:00,2006-06-03 09:53:00,4.0,34.04,27.818
On,2006-06-03 09:53:00,2006-06-03 10:01:00,8.0,34.90111111111111,28.18777777777778
Off,2006-06-03 10:01:00,2006-06-03 10:05:00,4.0,34.23,28.772
On,2006-06-03 10:05:00,2006-06-03 10:20:00,15.0,35.59625,29.02125
Off,2006-06-03 10:20:00,2006-06-03 10:31:00,11.0,34.83,29.2225
On,2006-06-03 10:31:00,2006-06-03 10:38:00,7.0,35.61875,29.8575
Off,2006-06-03 10:38:00,2006-06-03 10:41:00,3.0,35.44,29.6675
On,2006-06-03 10:41:00,2006-06-03 10:51:00,10.0,36.14727272727273,30.64727272727273
Off,2006-06-03 10:51:00,2006-06-03 11:00:00,9.0,35.64,30.997
On,2006-06-03 11:00:00,2006-06-03 11:14:00,14.0,36.93333333333333,30.19
Off,2006-06-03 11:14:00,2006-06-03 11:23:00,9.0,32.47,28.513
On,2006-06-03 11:23:00,2006-06-03 11:28:00,5.0,34.245,28.24
Off,2006-06-03 11:28:00,2006-06-03 11:32:00,4.0,34.23,27.962
On,2006-06-03 11:32:00,2006-06-03 11:36:00,4.0,36.342,27.492
Off,2006-06-03 11:36:00,2006-06-03 11:42:00,6.0,35.24,25.422857142857143
On,2006-06-03 11:42:00,2006-06-03 12:06:00,24.0,37.1428,23.4792
Off,2006-06-03 12:06:00,2006-06-03 12:09:00,3.0,35.24,22.98
On,2006-06-03 12:09:00,2006-06-03 12:14:00,5.0,36.02,22.98
Off,2006-06-03 12:14:00,2006-06-03 12:17:00,3.0,33.25,22.8525
On,2006-06-03 12:17:00,2006-06-03 12:26:00,9.0,35.224000000000004,22.725
Off,2006-06-03 12:26:00,2006-06-03 12:30:00,4.0,33.44,22.64
On,2006-06-03 12:30:00,2006-06-03 13:03:00,33.0,34.59294117647059,22.215294117647066
Off,2006-06-03 13:03:00,2006-06-03 13:08:00,5.0,29.44,22.23333333333333
On,2006-06-03 13:08:00,2006-06-03 14:09:00,61.0,34.00725806451614,21.97032258064516
Off,2006-06-03 14:09:00,2006-06-03 14:15:00,6.0,33.05,21.551428571428573
On,2006-06-03 14:15:00,2006-06-03 14:31:00,16.0,34.43352941176471,21.34
Off,2006-06-03 14:31:00,2006-06-03 14:37:00,6.0,29.62,21.107142857142858
On,2006-06-03 14:37:00,2006-06-03 15:01:00,24.0,33.9988,20.9984
Off,2006-06-03 15:01:00,2006-06-03 15:09:00,8.0,27.06,20.966666666666665
On,2006-06-03 15:09:00,2006-06-03 15:33:00,24.0,34.4308,21.3184
Off,2006-06-03 15:33:00,2006-06-03 15:39:00,6.0,29.25,21.69714285714286
On,2006-06-03 15:39:00,2006-06-03 15:55:00,16.0,33.38058823529412,22.831764705882357
Off,2006-06-03 15:55:00,2006-06-03 16:00:00,5.0,30.0,23.51
On,2006-06-03 16:00:00,2006-06-03 16:14:00,14.0,32.45,23.60066666666667
Off,2006-06-03 16:14:00,2006-06-03 16:20:00,6.0,28.88,23.358571428571427
On,2006-06-03 16:20:00,2006-06-03 16:39:00,19.0,33.4845,23.49
Off,2006-06-03 16:39:00,2006-06-03 16:46:00,7.0,30.37,23.68
On,2006-06-03 16:46:00,2006-06-03 17:01:00,15.0,33.468125,23.834375
Off,2006-06-03 17:01:00,2006-06-03 17:07:00,6.0,29.44,24.132857142857144
On,2006-06-03 17:07:00,2006-06-03 17:17:00,10.0,32.59090909090909,24.160000000000004
Off,2006-06-03 17:17:00,2006-06-03 17:21:00,4.0,30.75,24.346
On,2006-06-03 17:21:00,2006-06-03 17:41:00,20.0,32.919047619047625,24.43142857142857
Off,2006-06-03 17:41:00,2006-06-03 17:46:00,5.0,29.62,24.5
On,2006-06-03 17:46:00,2006-06-03 18:15:00,29.0,33.88866666666666,24.608
Off,2006-06-03 18:15:00,2006-06-03 18:22:00,7.0,28.88,24.84625
On,2006-06-03 18:22:00,2006-06-03 18:49:00,27.0,33.605000000000004,24.94214285714285
Off,2006-06-03 18:49:00,2006-06-03 18:55:00,6.0,29.07,25.09
On,2006-06-03 18:55:00,2006-06-03 19:01:00,6.0,32.364285714285714,25.19142857142857
Off,2006-06-03 19:01:00,2006-06-03 19:04:00,3.0,33.44,25.44
On,2006-06-03 19:04:00,2006-06-03 19:10:00,6.0,35.098571428571425,25.645714285714288
Off,2006-06-03 19:10:00,2006-06-03 19:16:00,6.0,30.75,25.67142857142857
On,2006-06-03 19:16:00,2006-06-03 19:51:00,35.0,34.41416666666667,25.44305555555556
Off,2006-06-03 19:51:00,2006-06-03 19:57:00,6.0,30.18,25.09
On,2006-06-03 19:57:00,2006-06-03 20:13:00,16.0,34.49,25.09
Off,2006-06-03 20:13:00,2006-06-03 20:24:00,11.0,28.7,25.03
Nocturnal,2006-06-03 20:24:00,2006-06-04 06:33:00,609.0,34.48918032786885,22.760131147540985
Off,2006-06-04 06:33:00,2006-06-04 06:41:00,8.0,27.78,21.58111111111111
On,2006-06-04 06:41:00,2006-06-04 07:21:00,40.0,34.77073170731707,22.059024390243906
Off,2006-06-04 07:21:00,2006-06-04 07:28:00,7.0,30.37,22.29
On,2006-06-04 07:28:00,2006-06-04 08:32:00,64.0,35.177846153846154,23.03
Off,2006-06-04 08:32:00,2006-06-04 08:39:00,7.0,31.13,24.25125
On,2006-06-04 08:39:00,2006-06-04 08:56:00,17.0,34.876666666666665,25.100555555555555
Off,2006-06-04 08:56:00,2006-06-04 09:04:00,8.0,32.08,25.88
On,2006-06-04 09:04:00,2006-06-04 09:22:00,18.0,35.87947368421053,26.652631578947368
Off,2006-06-04 09:22:00,2006-06-04 09:34:00,12.0,33.05,27.866153846153846
On,2006-06-04 09:34:00,2006-06-04 09:43:00,9.0,36.015,28.844
Off,2006-06-04 09:43:00,2006-06-04 09:56:00,13.0,33.05,28.55214285714285
On,2006-06-04 09:56:00,2006-06-04 10:27:00,31.0,35.43,29.590937500000003
Off,2006-06-04 10:27:00,2006-06-04 10:32:00,5.0,33.84,29.935
On,2006-06-04 10:32:00,2006-06-04 10:37:00,5.0,34.77,30.183333333333337
Off,2006-06-04 10:37:00,2006-06-04 10:41:00,4.0,34.23,30.182
On,2006-06-04 10:41:00,2006-06-04 11:07:00,26.0,36.11518518518518,30.86333333333333
Off,2006-06-04 11:07:00,2006-06-04 11:18:00,11.0,35.44,31.399166666666662
On,2006-06-04 11:18:00,2006-06-04 11:29:00,11.0,36.638333333333335,31.066666666666663
Off,2006-06-04 11:29:00,2006-06-04 11:37:00,8.0,33.44,30.49666666666667
On,2006-06-04 11:37:00,2006-06-04 11:56:00,19.0,36.286,31.149000000000008
Off,2006-06-04 11:56:00,2006-06-04 12:10:00,14.0,33.64,31.32
On,2006-06-04 12:10:00,2006-06-04 12:20:00,10.0,35.85454545454545,31.59636363636364
Off,2006-06-04 12:20:00,2006-06-04 12:23:00,3.0,35.64,31.605
On,2006-06-04 12:23:00,2006-06-04 12:59:00,36.0,36.80432432432433,32.627567567567574
Off,2006-06-04 12:59:00,2006-06-04 13:06:00,7.0,35.44,32.80875
On,2006-06-04 13:06:00,2006-06-04 13:29:00,23.0,36.81,32.85791666666666
Off,2006-06-04 13:29:00,2006-06-04 13:33:00,4.0,34.83,31.93
On,2006-06-04 13:33:00,2006-06-04 13:46:00,13.0,35.86214285714285,32.67642857142857
Off,2006-06-04 13:46:00,2006-06-04 13:49:00,3.0,35.03,32.2275
