Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-05-18 21:24:00,2006-05-18 23:27:00,123.0,37.455887096774205,23.01346774193548
Off,2006-05-18 23:27:00,2006-05-18 23:37:00,10.0,25.98,22.18181818181818
Nocturnal,2006-05-18 23:37:00,2006-05-19 00:52:00,75.0,36.56052631578947,21.85578947368421
Off,2006-05-19 00:52:00,2006-05-19 01:08:00,16.0,23.16,21.234117647058827
Nocturnal,2006-05-19 01:08:00,2006-05-19 06:12:00,304.0,38.2099344262295,20.974491803278685
Off,2006-05-19 06:12:00,2006-05-19 06:15:00,3.0,30.37,20.06
On,2006-05-19 06:15:00,2006-05-19 06:36:00,21.0,37.38727272727272,19.34909090909091
Off,2006-05-19 06:36:00,2006-05-19 06:39:00,3.0,30.37,19.1675
On,2006-05-19 06:39:00,2006-05-19 06:45:00,6.0,33.41142857142857,19.282857142857143
Off,2006-05-19 06:45:00,2006-05-19 06:47:00,2.0,29.81,19.04
On,2006-05-19 06:47:00,2006-05-19 06:57:00,10.0,35.39636363636364,18.947272727272725
Off,2006-05-19 06:57:00,2006-05-19 07:01:00,4.0,27.78,19.142000000000003
On,2006-05-19 07:01:00,2006-05-19 07:24:00,23.0,38.192083333333336,19.68458333333333
Off,2006-05-19 07:24:00,2006-05-19 07:32:00,8.0,26.16,20.928888888888885
On,2006-05-19 07:32:00,2006-05-19 07:38:00,6.0,33.028571428571425,21.28142857142857
Off,2006-05-19 07:38:00,2006-05-19 07:40:00,2.0,33.84,21.486666666666668
On,2006-05-19 07:40:00,2006-05-19 07:44:00,4.0,37.61800000000001,21.842
Off,2006-05-19 07:44:00,2006-05-19 07:46:00,2.0,35.03,22.006666666666664
On,2006-05-19 07:46:00,2006-05-19 08:04:00,18.0,37.81842105263159,22.437894736842104
Off,2006-05-19 08:04:00,2006-05-19 08:09:00,5.0,27.24,24.12
On,2006-05-19 08:09:00,2006-05-19 08:31:00,22.0,37.63913043478261,22.90913043478261
Off,2006-05-19 08:31:00,2006-05-19 08:34:00,3.0,32.86,23.33
On,2006-05-19 08:34:00,2006-05-19 08:52:00,18.0,38.8,23.987368421052636
Off,2006-05-19 08:52:00,2006-05-19 08:58:00,6.0,26.88,24.08142857142857
