Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-04-01 17:18:00,2005-04-02 05:52:00,754.0,23.03268874172185,19.19486092715232
Off,2005-04-02 05:52:00,2005-04-03 06:00:00,8.0,13.81,15.622698412698414
On,2005-04-03 06:00:00,2005-04-03 06:15:00,15.0,16.914375,8.675625
Off,2005-04-03 06:15:00,2005-04-03 06:19:00,4.0,16.17,8.512
On,2005-04-03 06:19:00,2005-04-03 06:29:00,10.0,17.546363636363637,8.379090909090907
Off,2005-04-03 06:29:00,2005-04-03 06:35:00,6.0,15.66,8.312857142857144
On,2005-04-03 06:35:00,2005-04-03 07:04:00,29.0,18.48133333333333,8.495
Off,2005-04-03 07:04:00,2005-04-03 07:18:00,14.0,13.98,8.954000000000002
On,2005-04-03 07:18:00,2005-04-03 07:35:00,17.0,16.32777777777778,9.77
Off,2005-04-03 07:35:00,2005-04-03 07:40:00,5.0,17.01,10.986666666666666
On,2005-04-03 07:40:00,2005-04-03 08:21:00,41.0,20.417857142857144,12.207142857142856
Off,2005-04-03 08:21:00,2005-04-03 08:26:00,5.0,18.36,12.781666666666668
On,2005-04-03 08:26:00,2005-04-03 08:51:00,25.0,19.83115384615385,13.078846153846154
Off,2005-04-03 08:51:00,2005-04-03 09:01:00,10.0,16.17,13.647272727272728
On,2005-04-03 09:01:00,2005-04-03 09:08:00,7.0,17.17875,13.8325
Off,2005-04-03 09:08:00,2005-04-03 09:13:00,5.0,17.35,14.065
On,2005-04-03 09:13:00,2005-04-03 09:43:00,30.0,20.22870967741936,14.449032258064516
Off,2005-04-03 09:43:00,2005-04-03 09:53:00,10.0,18.19,15.036363636363635
On,2005-04-03 09:53:00,2005-04-03 10:14:00,21.0,20.809545454545454,15.418181818181823
Off,2005-04-03 10:14:00,2005-04-03 10:19:00,5.0,21.26,15.801666666666668
On,2005-04-03 10:19:00,2005-04-03 10:39:00,20.0,22.35809523809524,16.086190476190477
Off,2005-04-03 10:39:00,2005-04-03 10:47:00,8.0,20.57,16.443333333333335
On,2005-04-03 10:47:00,2005-04-03 10:53:00,6.0,20.765714285714285,16.332857142857144
Off,2005-04-03 10:53:00,2005-04-03 11:14:00,21.0,19.72,16.654545454545456
On,2005-04-03 11:14:00,2005-04-03 11:27:00,13.0,21.467857142857145,17.202857142857145
Off,2005-04-03 11:27:00,2005-04-03 11:35:00,8.0,18.36,17.19888888888889
On,2005-04-03 11:35:00,2005-04-03 12:05:00,30.0,22.121290322580645,18.05903225806452
Off,2005-04-03 12:05:00,2005-04-03 12:39:00,34.0,19.04,18.840857142857143
On,2005-04-03 12:39:00,2005-04-03 13:09:00,30.0,22.018064516129023,19.818709677419356
Off,2005-04-03 13:09:00,2005-04-03 13:15:00,6.0,21.77,20.132857142857144
On,2005-04-03 13:15:00,2005-04-03 13:30:00,15.0,24.3725,20.635
Off,2005-04-03 13:30:00,2005-04-03 13:38:00,8.0,23.16,21.50555555555556
On,2005-04-03 13:38:00,2005-04-03 13:42:00,4.0,23.892,21.634
Off,2005-04-03 13:42:00,2005-04-03 13:56:00,14.0,22.81,21.418000000000003
On,2005-04-03 13:56:00,2005-04-03 14:19:00,23.0,25.63958333333333,22.812916666666663
Off,2005-04-03 14:19:00,2005-04-03 14:29:00,10.0,24.56,22.85727272727273
On,2005-04-03 14:29:00,2005-04-03 16:01:00,92.0,27.530645161290323,24.295698924731177
Off,2005-04-03 16:01:00,2005-04-03 16:08:00,7.0,26.7,24.07625
On,2005-04-03 16:08:00,2005-04-03 16:21:00,13.0,28.926428571428573,24.8
Off,2005-04-03 16:21:00,2005-04-03 16:34:00,13.0,25.98,23.358571428571423
On,2005-04-03 16:34:00,2005-04-03 16:43:00,9.0,27.168,22.569
Off,2005-04-03 16:43:00,2005-04-03 16:48:00,5.0,25.62,22.346666666666664
On,2005-04-03 16:48:00,2005-04-03 17:03:00,15.0,27.0375,22.15125
Off,2005-04-03 17:03:00,2005-04-03 17:11:00,8.0,25.8,21.93
On,2005-04-03 17:11:00,2005-04-03 17:33:00,22.0,27.19478260869565,21.77956521739131
Off,2005-04-03 17:33:00,2005-04-03 17:38:00,5.0,25.8,21.6
On,2005-04-03 17:38:00,2005-04-03 17:54:00,16.0,26.763529411764708,21.358235294117645
Off,2005-04-03 17:54:00,2005-04-03 18:06:00,12.0,24.91,21.163846153846155
On,2005-04-03 18:06:00,2005-04-03 18:59:00,53.0,27.290370370370372,20.43777777777778
Off,2005-04-03 18:59:00,2005-04-03 19:10:00,11.0,24.74,19.224166666666665
