Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-06-19 22:01:00,2005-06-20 06:26:00,505.0,28.40009881422924,23.06782608695652
Off,2005-06-20 06:26:00,2005-06-20 06:33:00,7.0,24.21,21.08
On,2005-06-20 06:33:00,2005-06-20 06:46:00,13.0,27.49714285714285,21.07999999999999
Off,2005-06-20 06:46:00,2005-06-20 06:51:00,5.0,24.91,21.02333333333333
On,2005-06-20 06:51:00,2005-06-20 07:04:00,13.0,28.75214285714286,21.15714285714285
Off,2005-06-20 07:04:00,2005-06-20 07:09:00,5.0,25.62,21.26
On,2005-06-20 07:09:00,2005-06-20 07:28:00,19.0,29.353,21.61
Off,2005-06-20 07:28:00,2005-06-20 07:37:00,9.0,25.62,22.982
On,2005-06-20 07:37:00,2005-06-20 08:01:00,24.0,28.9404,23.48
Off,2005-06-20 08:01:00,2005-06-20 08:05:00,4.0,27.78,23.892000000000003
On,2005-06-20 08:05:00,2005-06-20 08:27:00,22.0,30.5708695652174,24.37608695652174
Off,2005-06-20 08:27:00,2005-06-20 08:33:00,6.0,28.33,25.44142857142857
On,2005-06-20 08:33:00,2005-06-20 08:48:00,15.0,30.6325,26.115
Off,2005-06-20 08:48:00,2005-06-20 08:55:00,7.0,29.44,26.61
On,2005-06-20 08:55:00,2005-06-20 09:33:00,38.0,32.71871794871795,26.96307692307692
Off,2005-06-20 09:33:00,2005-06-20 09:42:00,9.0,31.13,27.709000000000003
On,2005-06-20 09:42:00,2005-06-20 10:15:00,33.0,33.08941176470588,28.230000000000004
Off,2005-06-20 10:15:00,2005-06-20 10:22:00,7.0,31.13,28.630000000000003
On,2005-06-20 10:22:00,2005-06-20 10:41:00,19.0,33.837,28.8925
Off,2005-06-20 10:41:00,2005-06-20 10:49:00,8.0,32.28,28.55444444444445
On,2005-06-20 10:49:00,2005-06-20 11:06:00,17.0,34.028888888888886,29.92611111111111
Off,2005-06-20 11:06:00,2005-06-20 11:11:00,5.0,33.05,29.251666666666665
On,2005-06-20 11:11:00,2005-06-20 12:02:00,51.0,36.87134615384615,30.618653846153848
Off,2005-06-20 12:02:00,2005-06-20 12:42:00,40.0,33.64,30.98170731707317
On,2005-06-20 12:42:00,2005-06-20 13:02:00,20.0,35.37380952380953,32.21571428571429
Off,2005-06-20 13:02:00,2005-06-20 13:13:00,11.0,33.25,30.67083333333333
On,2005-06-20 13:13:00,2005-06-20 14:37:00,84.0,36.39470588235295,32.644705882352945
Off,2005-06-20 14:37:00,2005-06-20 14:49:00,12.0,35.85,31.63076923076923
On,2005-06-20 14:49:00,2005-06-20 14:57:00,8.0,36.44,32.68555555555556
Off,2005-06-20 14:57:00,2005-06-20 15:06:00,9.0,36.26,32.761
On,2005-06-20 15:06:00,2005-06-20 15:20:00,14.0,37.236,32.522666666666666
Off,2005-06-20 15:20:00,2005-06-20 15:27:00,7.0,35.03,31.9175
On,2005-06-20 15:27:00,2005-06-20 16:33:00,66.0,36.040000000000006,32.82089552238806
Off,2005-06-20 16:33:00,2005-06-20 16:41:00,8.0,34.04,30.265555555555554
On,2005-06-20 16:41:00,2005-06-20 16:55:00,14.0,35.292,32.44533333333333
Off,2005-06-20 16:55:00,2005-06-20 17:01:00,6.0,33.44,30.19142857142857
On,2005-06-20 17:01:00,2005-06-20 18:35:00,94.0,35.02873684210527,32.69663157894737
Off,2005-06-20 18:35:00,2005-06-20 18:46:00,11.0,33.44,31.0825
On,2005-06-20 18:46:00,2005-06-20 20:44:00,118.0,33.92983193277311,28.25336134453781
Off,2005-06-20 20:44:00,2005-06-20 20:58:00,14.0,29.44,26.12400000000001
Nocturnal,2005-06-20 20:58:00,2005-06-21 06:07:00,549.0,30.85023636363636,23.187527272727277
Off,2005-06-21 06:07:00,2005-06-21 06:14:00,7.0,27.42,21.95
On,2005-06-21 06:14:00,2005-06-21 06:34:00,20.0,30.8852380952381,21.95809523809524
Off,2005-06-21 06:34:00,2005-06-21 06:44:00,10.0,26.7,21.96545454545454
On,2005-06-21 06:44:00,2005-06-21 06:50:00,6.0,28.91857142857143,21.95
Off,2005-06-21 06:50:00,2005-06-21 06:55:00,5.0,27.96,21.95
On,2005-06-21 06:55:00,2005-06-21 07:10:00,15.0,30.310625,21.981875
Off,2005-06-21 07:10:00,2005-06-21 07:16:00,6.0,27.6,22.095714285714287
On,2005-06-21 07:16:00,2005-06-21 07:50:00,34.0,30.682857142857145,22.46542857142857
Off,2005-06-21 07:50:00,2005-06-21 07:59:00,9.0,29.44,23.298
On,2005-06-21 07:59:00,2005-06-21 08:22:00,23.0,32.45916666666667,24.31916666666667
Off,2005-06-21 08:22:00,2005-06-21 08:33:00,11.0,30.18,25.1625
On,2005-06-21 08:33:00,2005-06-21 08:59:00,26.0,33.07333333333333,25.84037037037037
Off,2005-06-21 08:59:00,2005-06-21 09:08:00,9.0,31.13,26.826
On,2005-06-21 09:08:00,2005-06-21 09:23:00,15.0,32.924375,27.1275
Off,2005-06-21 09:23:00,2005-06-21 09:31:00,8.0,31.89,27.18
On,2005-06-21 09:31:00,2005-06-21 09:45:00,14.0,33.11866666666666,27.869333333333323
Off,2005-06-21 09:45:00,2005-06-21 09:49:00,4.0,32.47,28.184000000000005
On,2005-06-21 09:49:00,2005-06-21 11:28:00,99.0,35.0595,29.55569999999999
Off,2005-06-21 11:28:00,2005-06-21 11:31:00,3.0,35.64,29.485
On,2005-06-21 11:31:00,2005-06-21 12:42:00,71.0,35.90847222222222,30.88888888888889
Off,2005-06-21 12:42:00,2005-06-21 12:56:00,14.0,35.03,31.434666666666665
On,2005-06-21 12:56:00,2005-06-21 13:13:00,17.0,35.77888888888889,32.39
Off,2005-06-21 13:13:00,2005-06-21 13:21:00,8.0,35.44,32.99
On,2005-06-21 13:21:00,2005-06-21 13:37:00,16.0,36.50117647058824,33.045882352941184
Off,2005-06-21 13:37:00,2005-06-21 13:43:00,6.0,36.26,32.36
On,2005-06-21 13:43:00,2005-06-21 14:06:00,23.0,37.094166666666666,32.55583333333333
Off,2005-06-21 14:06:00,2005-06-21 14:13:00,7.0,35.44,31.20125
On,2005-06-21 14:13:00,2005-06-21 16:00:00,107.0,37.575462962962966,33.150370370370375
Off,2005-06-21 16:00:00,2005-06-21 16:10:00,10.0,34.83,33.46909090909091
On,2005-06-21 16:10:00,2005-06-21 16:20:00,10.0,35.79363636363637,32.43545454545454
Off,2005-06-21 16:20:00,2005-06-21 16:26:00,6.0,35.44,32.55571428571429
On,2005-06-21 16:26:00,2005-06-21 16:53:00,27.0,36.199642857142855,30.68964285714286
Off,2005-06-21 16:53:00,2005-06-21 17:04:00,11.0,32.86,28.60583333333333
On,2005-06-21 17:04:00,2005-06-21 17:33:00,29.0,34.40533333333333,27.468333333333327
Off,2005-06-21 17:33:00,2005-06-21 17:43:00,10.0,31.89,27.01090909090909
On,2005-06-21 17:43:00,2005-06-21 18:00:00,17.0,33.43444444444444,26.8
Off,2005-06-21 18:00:00,2005-06-21 18:07:00,7.0,31.13,26.655
On,2005-06-21 18:07:00,2005-06-21 18:18:00,11.0,32.395833333333336,26.97
Off,2005-06-21 18:18:00,2005-06-21 18:23:00,5.0,32.28,27.180000000000003
On,2005-06-21 18:23:00,2005-06-21 18:41:00,18.0,33.37105263157895,27.24
Off,2005-06-21 18:41:00,2005-06-21 18:49:00,8.0,30.56,27.56
On,2005-06-21 18:49:00,2005-06-21 19:10:00,21.0,33.35409090909091,28.883636363636366
Off,2005-06-21 19:10:00,2005-06-21 19:21:00,11.0,32.66,28.635833333333327
On,2005-06-21 19:21:00,2005-06-21 20:27:00,66.0,34.1334328358209,27.153283582089557
Off,2005-06-21 20:27:00,2005-06-21 20:35:00,8.0,30.18,25.58
On,2005-06-21 20:35:00,2005-06-21 20:45:00,10.0,31.495454545454542,25.57090909090909
Off,2005-06-21 20:45:00,2005-06-21 20:56:00,11.0,29.44,25.354166666666668
Nocturnal,2005-06-21 20:56:00,2005-06-22 06:20:00,564.0,31.26865486725664,23.34355752212389
Off,2005-06-22 06:20:00,2005-06-22 06:29:00,9.0,28.88,22.341
On,2005-06-22 06:29:00,2005-06-22 06:46:00,17.0,31.987222222222226,22.35611111111111
Off,2005-06-22 06:46:00,2005-06-22 06:53:00,7.0,30.0,22.43875
On,2005-06-22 06:53:00,2005-06-22 07:05:00,12.0,31.58307692307692,22.46153846153846
Off,2005-06-22 07:05:00,2005-06-22 07:12:00,7.0,28.51,22.7675
On,2005-06-22 07:12:00,2005-06-22 07:26:00,14.0,32.256,23.436
Off,2005-06-22 07:26:00,2005-06-22 07:34:00,8.0,29.62,23.64444444444445
On,2005-06-22 07:34:00,2005-06-22 07:54:00,20.0,32.99809523809524,25.39619047619048
Off,2005-06-22 07:54:00,2005-06-22 08:00:00,6.0,32.08,26.314285714285717
On,2005-06-22 08:00:00,2005-06-22 08:11:00,11.0,33.395,26.744999999999997
Off,2005-06-22 08:11:00,2005-06-22 08:21:00,10.0,31.51,26.929090909090917
On,2005-06-22 08:21:00,2005-06-22 08:36:00,15.0,33.81125,27.0825
Off,2005-06-22 08:36:00,2005-06-22 08:42:00,6.0,32.08,27.47142857142857
On,2005-06-22 08:42:00,2005-06-22 08:51:00,9.0,33.84499999999999,28.202
Off,2005-06-22 08:51:00,2005-06-22 09:02:00,11.0,32.28,28.1775
On,2005-06-22 09:02:00,2005-06-22 09:11:00,9.0,34.26,28.55
Off,2005-06-22 09:11:00,2005-06-22 09:19:00,8.0,33.05,28.760000000000005
On,2005-06-22 09:19:00,2005-06-22 09:33:00,14.0,34.12666666666668,29.17933333333333
Off,2005-06-22 09:33:00,2005-06-22 09:44:00,11.0,32.47,29.424166666666665
On,2005-06-22 09:44:00,2005-06-22 11:42:00,118.0,35.67596638655463,30.57655462184873
Off,2005-06-22 11:42:00,2005-06-22 11:52:00,10.0,33.84,29.674545454545456
On,2005-06-22 11:52:00,2005-06-22 12:02:00,10.0,34.944545454545455,29.54
Off,2005-06-22 12:02:00,2005-06-22 12:11:00,9.0,33.44,30.071
On,2005-06-22 12:11:00,2005-06-22 12:28:00,17.0,35.559444444444445,32.019444444444446
Off,2005-06-22 12:28:00,2005-06-22 12:38:00,10.0,33.84,30.04818181818182
