Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-04-22 21:18:00,2005-04-23 06:33:00,555.0,29.83102517985611,13.036420863309353
Off,2005-04-23 06:33:00,2005-04-23 06:46:00,13.0,21.08,11.569285714285718
On,2005-04-23 06:46:00,2005-04-23 06:56:00,10.0,25.68636363636364,11.460000000000004
Off,2005-04-23 06:56:00,2005-04-23 07:01:00,5.0,22.81,11.545000000000002
On,2005-04-23 07:01:00,2005-04-23 07:12:00,11.0,28.387500000000003,11.545
Off,2005-04-23 07:12:00,2005-04-23 07:20:00,8.0,22.46,11.61111111111111
On,2005-04-23 07:20:00,2005-04-23 07:33:00,13.0,31.09928571428572,11.508571428571427
Off,2005-04-23 07:33:00,2005-04-23 07:43:00,10.0,22.46,11.336363636363638
On,2005-04-23 07:43:00,2005-04-23 08:14:00,31.0,26.931875,11.146562499999998
Off,2005-04-23 08:14:00,2005-04-23 08:25:00,11.0,19.21,11.135833333333336
On,2005-04-23 08:25:00,2005-04-23 08:46:00,21.0,26.669545454545457,11.345454545454547
Off,2005-04-23 08:46:00,2005-04-23 08:58:00,12.0,19.55,11.355384615384612
On,2005-04-23 08:58:00,2005-04-23 09:11:00,13.0,26.33428571428572,11.581428571428573
Off,2005-04-23 09:11:00,2005-04-23 09:15:00,4.0,23.68,11.868
On,2005-04-23 09:15:00,2005-04-23 09:25:00,10.0,31.18818181818182,12.057272727272728
Off,2005-04-23 09:25:00,2005-04-23 09:38:00,13.0,21.26,12.060714285714289
On,2005-04-23 09:38:00,2005-04-23 10:07:00,29.0,30.776,11.938333333333338
Off,2005-04-23 10:07:00,2005-04-23 10:21:00,14.0,22.98,11.607333333333337
On,2005-04-23 10:21:00,2005-04-23 10:38:00,17.0,27.295,11.395555555555555
Off,2005-04-23 10:38:00,2005-04-23 10:46:00,8.0,19.55,11.30888888888889
On,2005-04-23 10:46:00,2005-04-23 11:09:00,23.0,27.960416666666664,11.254583333333333
Off,2005-04-23 11:09:00,2005-04-23 11:15:00,6.0,22.81,11.005714285714287
On,2005-04-23 11:15:00,2005-04-23 11:38:00,23.0,27.765416666666667,10.90875
Off,2005-04-23 11:38:00,2005-04-23 11:45:00,7.0,21.95,10.915
On,2005-04-23 11:45:00,2005-04-23 11:58:00,13.0,26.342142857142857,11.289999999999996
Off,2005-04-23 11:58:00,2005-04-23 12:08:00,10.0,21.95,11.490909090909092
On,2005-04-23 12:08:00,2005-04-23 12:17:00,9.0,28.242,11.749
Off,2005-04-23 12:17:00,2005-04-23 12:25:00,8.0,23.68,11.8
On,2005-04-23 12:25:00,2005-04-23 12:39:00,14.0,29.03066666666666,12.336666666666666
Off,2005-04-23 12:39:00,2005-04-23 12:44:00,5.0,25.27,13.171666666666669
On,2005-04-23 12:44:00,2005-04-23 12:57:00,13.0,29.74142857142857,13.407142857142857
Off,2005-04-23 12:57:00,2005-04-23 13:04:00,7.0,24.91,13.875
On,2005-04-23 13:04:00,2005-04-23 13:11:00,7.0,29.33125,13.9375
Off,2005-04-23 13:11:00,2005-04-23 13:18:00,7.0,25.09,14.2975
On,2005-04-23 13:18:00,2005-04-23 13:30:00,12.0,32.573846153846155,14.820000000000002
Off,2005-04-23 13:30:00,2005-04-23 13:38:00,8.0,26.52,15.343333333333334
On,2005-04-23 13:38:00,2005-04-23 14:01:00,23.0,33.647083333333335,15.542500000000002
Off,2005-04-23 14:01:00,2005-04-23 14:08:00,7.0,26.34,15.16
On,2005-04-23 14:08:00,2005-04-23 14:15:00,7.0,29.39,14.7775
Off,2005-04-23 14:15:00,2005-04-23 14:36:00,21.0,25.62,15.271818181818183
On,2005-04-23 14:36:00,2005-04-23 14:50:00,14.0,31.89,16.301333333333332
Off,2005-04-23 14:50:00,2005-04-23 15:01:00,11.0,28.88,17.009999999999998
On,2005-04-23 15:01:00,2005-04-23 15:09:00,8.0,31.489999999999995,16.991111111111113
Off,2005-04-23 15:09:00,2005-04-23 15:14:00,5.0,28.7,17.123333333333335
On,2005-04-23 15:14:00,2005-04-23 15:17:00,3.0,32.4075,17.009999999999998
Off,2005-04-23 15:17:00,2005-04-23 15:20:00,3.0,30.0,17.387500000000003
On,2005-04-23 15:20:00,2005-04-23 15:32:00,12.0,33.99538461538462,17.745384615384616
Off,2005-04-23 15:32:00,2005-04-23 15:37:00,5.0,29.81,18.161666666666665
On,2005-04-23 15:37:00,2005-04-23 15:44:00,7.0,32.68375,17.9775
Off,2005-04-23 15:44:00,2005-04-23 15:56:00,12.0,27.6,17.758461538461535
On,2005-04-23 15:56:00,2005-04-23 16:23:00,27.0,32.01821428571428,18.32357142857143
Off,2005-04-23 16:23:00,2005-04-23 16:28:00,5.0,30.18,18.756666666666668
