Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-04-04 20:55:51,2006-04-05 06:53:51,598.0,25.632754590984977,15.402270450751251
Off,2006-04-05 06:53:51,2006-04-05 07:06:51,13.0,16.67,12.097857142857146
On,2006-04-05 07:06:51,2006-04-05 07:24:51,18.0,25.11736842105263,11.965789473684213
Off,2006-04-05 07:24:51,2006-04-05 07:34:51,10.0,15.16,12.11818181818182
On,2006-04-05 07:34:51,2006-04-05 07:48:51,14.0,24.755333333333333,11.821333333333332
Off,2006-04-05 07:48:51,2006-04-05 07:57:51,9.0,18.53,12.082
On,2006-04-05 07:57:51,2006-04-05 08:02:51,5.0,21.75666666666667,11.996666666666668
Off,2006-04-05 08:02:51,2006-04-05 08:07:51,5.0,19.72,12.158333333333331
On,2006-04-05 08:07:51,2006-04-05 08:14:51,7.0,24.82125,12.47
Off,2006-04-05 08:14:51,2006-04-05 08:20:51,6.0,19.38,13.142857142857142
On,2006-04-05 08:20:51,2006-04-05 08:34:51,14.0,25.997333333333334,14.071333333333335
Off,2006-04-05 08:34:51,2006-04-05 08:40:51,6.0,19.72,15.11142857142857
On,2006-04-05 08:40:51,2006-04-05 08:54:51,14.0,26.414,15.67466666666667
Off,2006-04-05 08:54:51,2006-04-05 09:03:51,9.0,20.57,16.433
On,2006-04-05 09:03:51,2006-04-05 09:18:51,15.0,27.956875,17.26125
Off,2006-04-05 09:18:51,2006-04-05 09:25:51,7.0,22.29,17.85
On,2006-04-05 09:25:51,2006-04-05 09:42:51,17.0,28.13111111111111,18.426111111111112
Off,2006-04-05 09:42:51,2006-04-05 09:56:51,14.0,21.95,18.722666666666665
On,2006-04-05 09:56:51,2006-04-05 10:20:51,24.0,29.493200000000005,20.073600000000003
Off,2006-04-05 10:20:51,2006-04-05 10:42:51,22.0,22.46,20.81434782608696
On,2006-04-05 10:42:51,2006-04-05 10:58:51,16.0,29.23235294117647,21.48941176470588
Off,2006-04-05 10:58:51,2006-04-05 11:09:51,11.0,26.52,22.433333333333334
