Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-01 20:51:00,2006-06-02 03:17:00,386.0,28.870826873385013,23.429844961240303
Off,2006-06-02 03:17:00,2006-06-02 05:56:00,159.0,21.77,21.9843125
On,2006-06-02 05:56:00,2006-06-02 06:28:00,32.0,25.58484848484849,21.90636363636364
Off,2006-06-02 06:28:00,2006-06-02 06:38:00,10.0,24.74,21.95
On,2006-06-02 06:38:00,2006-06-02 06:44:00,6.0,27.03714285714286,21.95
Off,2006-06-02 06:44:00,2006-06-02 06:55:00,11.0,25.27,21.935
On,2006-06-02 06:55:00,2006-06-02 07:13:00,18.0,27.767368421052627,22.40947368421053
Off,2006-06-02 07:13:00,2006-06-02 07:24:00,11.0,25.8,22.880833333333328
On,2006-06-02 07:24:00,2006-06-02 07:38:00,14.0,30.62133333333333,23.309999999999995
Off,2006-06-02 07:38:00,2006-06-02 07:42:00,4.0,28.51,23.646000000000004
On,2006-06-02 07:42:00,2006-06-02 07:58:00,16.0,30.275294117647064,24.125882352941176
Off,2006-06-02 07:58:00,2006-06-02 08:06:00,8.0,27.78,24.58
On,2006-06-02 08:06:00,2006-06-02 08:39:00,33.0,31.28941176470589,25.067941176470597
Off,2006-06-02 08:39:00,2006-06-02 08:50:00,11.0,28.7,25.77
On,2006-06-02 08:50:00,2006-06-02 09:03:00,13.0,30.979285714285712,26.571428571428573
Off,2006-06-02 09:03:00,2006-06-02 09:07:00,4.0,30.75,27.132
On,2006-06-02 09:07:00,2006-06-02 09:28:00,21.0,32.349545454545456,27.223636363636363
Off,2006-06-02 09:28:00,2006-06-02 09:45:00,17.0,29.44,27.641111111111112
On,2006-06-02 09:45:00,2006-06-02 09:53:00,8.0,31.314444444444444,27.86333333333333
Off,2006-06-02 09:53:00,2006-06-02 10:03:00,10.0,29.44,27.485454545454548
On,2006-06-02 10:03:00,2006-06-02 10:29:00,26.0,32.81259259259259,27.645185185185188
Off,2006-06-02 10:29:00,2006-06-02 10:41:00,12.0,30.0,28.52846153846154
On,2006-06-02 10:41:00,2006-06-02 11:01:00,20.0,33.0,29.971428571428564
Off,2006-06-02 11:01:00,2006-06-02 11:13:00,12.0,30.56,30.089230769230767
On,2006-06-02 11:13:00,2006-06-02 11:22:00,9.0,32.922,28.698999999999995
Off,2006-06-02 11:22:00,2006-06-02 11:32:00,10.0,30.94,29.545454545454547
On,2006-06-02 11:32:00,2006-06-02 13:02:00,90.0,33.90395604395604,32.011208791208794
Off,2006-06-02 13:02:00,2006-06-02 13:17:00,15.0,30.37,31.335625
On,2006-06-02 13:17:00,2006-06-02 13:53:00,36.0,34.07324324324323,32.80675675675676
