Nest_ID,Día,Month_Nest,Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Mimus_polyglottos_ALS107_06,2006-07-08,July,Nocturnal,2006-07-08 18:58:00,2006-07-08 20:48:00,110.0,32.21405405405405,27.37135135135135
Mimus_polyglottos_ALS107_06,2006-07-08,July,Off,2006-07-08 20:48:00,2006-07-08 20:55:00,7.0,27.24,25.8225
Mimus_polyglottos_ALS107_06,2006-07-08,July,Nocturnal,2006-07-08 20:55:00,2006-07-09 06:42:00,587.0,29.58192176870748,21.4322619047619
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 06:42:00,2006-07-09 06:50:00,8.0,22.98,18.397777777777776
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 06:50:00,2006-07-09 07:15:00,25.0,28.857692307692307,18.58230769230769
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 07:15:00,2006-07-09 07:19:00,4.0,24.03,19.04
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 07:19:00,2006-07-09 08:13:00,54.0,29.029090909090908,20.65090909090909
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 08:13:00,2006-07-09 08:18:00,5.0,24.91,21.74333333333333
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 08:18:00,2006-07-09 08:40:00,22.0,30.595652173913034,23.95434782608696
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 08:40:00,2006-07-09 08:47:00,7.0,28.15,25.0025
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 08:47:00,2006-07-09 08:57:00,10.0,31.17909090909092,25.55909090909091
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 08:57:00,2006-07-09 09:03:00,6.0,28.88,26.10857142857143
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 09:03:00,2006-07-09 09:25:00,22.0,32.74739130434782,26.20695652173913
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 09:25:00,2006-07-09 09:31:00,6.0,30.75,26.88
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 09:31:00,2006-07-09 09:37:00,6.0,32.777142857142856,26.982857142857146
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 09:37:00,2006-07-09 09:44:00,7.0,30.18,27.33
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 09:44:00,2006-07-09 09:59:00,15.0,33.9125,27.99875
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 09:59:00,2006-07-09 10:04:00,5.0,31.51,27.72
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 10:04:00,2006-07-09 10:13:00,9.0,33.356,28.367
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 10:13:00,2006-07-09 10:18:00,5.0,32.08,28.48333333333333
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 10:18:00,2006-07-09 10:30:00,12.0,34.58538461538462,28.442307692307686
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 10:30:00,2006-07-09 10:39:00,9.0,32.28,28.884
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 10:39:00,2006-07-09 10:46:00,7.0,34.295,29.09
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 10:46:00,2006-07-09 10:53:00,7.0,33.25,29.53
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 10:53:00,2006-07-09 11:05:00,12.0,34.74461538461539,29.23692307692308
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 11:05:00,2006-07-09 11:14:00,9.0,33.25,29.792
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 11:14:00,2006-07-09 11:25:00,11.0,35.345000000000006,29.855833333333337
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 11:25:00,2006-07-09 11:34:00,9.0,32.66,30.034
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 11:34:00,2006-07-09 11:49:00,15.0,35.400625000000005,30.47875
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 11:49:00,2006-07-09 11:55:00,6.0,34.04,30.58714285714285
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 11:55:00,2006-07-09 12:25:00,30.0,35.00225806451612,29.52967741935484
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 12:25:00,2006-07-09 12:33:00,8.0,32.47,30.456666666666667
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 12:33:00,2006-07-09 12:40:00,7.0,34.5625,31.13
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 12:40:00,2006-07-09 12:45:00,5.0,34.43,31.47833333333333
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 12:45:00,2006-07-09 12:54:00,9.0,35.629000000000005,31.282
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 12:54:00,2006-07-09 12:59:00,5.0,33.44,30.655
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 12:59:00,2006-07-09 13:23:00,24.0,35.184000000000005,31.002
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 13:23:00,2006-07-09 13:32:00,9.0,34.63,31.377
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 13:32:00,2006-07-09 13:55:00,23.0,35.975833333333334,31.066666666666663
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 13:55:00,2006-07-09 14:01:00,6.0,32.08,29.678571428571427
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 14:01:00,2006-07-09 14:12:00,11.0,34.32416666666667,31.035833333333333
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 14:12:00,2006-07-09 14:21:00,9.0,33.44,30.883
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 14:21:00,2006-07-09 14:35:00,14.0,35.71000000000001,31.815999999999995
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 14:35:00,2006-07-09 14:45:00,10.0,33.44,31.579090909090908
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 14:45:00,2006-07-09 15:00:00,15.0,35.013125,30.96375
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 15:00:00,2006-07-09 15:10:00,10.0,31.89,30.715454545454545
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 15:10:00,2006-07-09 15:24:00,14.0,34.91333333333333,31.42333333333333
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 15:24:00,2006-07-09 15:32:00,8.0,33.25,31.702222222222225
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 15:32:00,2006-07-09 15:45:00,13.0,35.40571428571428,31.157857142857136
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 15:45:00,2006-07-09 15:52:00,7.0,34.43,32.155
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 15:52:00,2006-07-09 16:03:00,11.0,35.884166666666665,32.2125
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 16:03:00,2006-07-09 16:11:00,8.0,31.7,30.79222222222222
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 16:11:00,2006-07-09 16:22:00,11.0,34.439166666666665,30.876666666666665
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 16:22:00,2006-07-09 16:31:00,9.0,31.51,30.410000000000004
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 16:31:00,2006-07-09 16:48:00,17.0,34.462777777777774,30.897777777777776
Mimus_polyglottos_ALS107_06,2006-07-09,July,Off,2006-07-09 16:48:00,2006-07-09 16:59:00,11.0,32.47,31.2725
Mimus_polyglottos_ALS107_06,2006-07-09,July,On,2006-07-09 16:59:00,2006-07-09 17:10:00,11.0,35.285,31.019166666666667
