Nest_ID,Pro_On,Pro_Off,N_On,Month_Nest,Temp_On,Pro_Nocturnal,Attenct_On
Mimus_polyglottos_TR_SW_rec_center,18.394736842105264,12.706666666666667,19.0,May,28.04331901741765,434.25,0.6206573917908561
Mimus_polyglottos_SD245_05,21.319277108433734,9.36046511627907,27.666666666666668,June,34.928646391427854,583.1428571428571,0.701089049063043
Mimus_polyglottos_TR_by_softball_field,11.63063063063063,7.879765395894428,41.625,April,31.659229681444625,542.5,0.5847386596036362
Mimus_polyglottos_SD310_05_Control,28.692307692307693,11.502793296089385,18.77777777777778,July,31.776457822629197,524.9230769230769,0.6898019420717629
Mimus_polyglottos_TR_98_05_Control,29.84390243902439,9.32394366197183,22.77777777777778,June,33.29984937589017,402.2307692307692,0.7198034031841222
Mimus_polyglottos_SD44_05,22.0979381443299,11.0,24.25,April,27.411476768553268,627.7777777777778,0.6724126881542204
Mimus_polyglottos_SD47_05,23.813186813186814,11.010526315789473,22.75,April,27.936615786452432,614.4,0.6834289021397613
Mimus_polyglottos_SD10_05,18.341463414634145,8.736220472440944,30.75,April,27.48812965720126,548.4,0.6107222918548204
Mimus_polyglottos_MH3_06,13.891304347826088,4.914893617021277,46.0,May,37.48874259608594,221.75,0.5419847328244275
Mimus_polyglottos_GL126_05_AG_RG,26.530973451327434,12.794871794871796,22.6,July,36.72108387941918,543.3333333333334,0.6779888642800639
Mimus_polyglottos_GL132_05_BA_BB,17.75,8.76923076923077,29.333333333333332,July,34.81569764135284,410.0,0.6832300551452523
Mimus_polyglottos_GL125_05,12.901785714285714,10.056768558951966,37.333333333333336,July,36.91933553694399,238.85714285714286,0.5078774533427689
Mimus_polyglottos_GL116_05,15.213559322033898,7.993399339933993,36.875,June,33.786719205641226,559.3333333333334,0.6571004116289978
Mimus_polyglottos_GL123_05,14.540322580645162,10.505882352941176,35.42857142857143,July,34.513168338074124,356.5833333333333,0.5511230714145571
Mimus_polyglottos_GL98_05,18.492753623188406,9.128571428571428,34.5,June,32.51094459110665,227.22222222222223,0.6027969650788074
Mimus_polyglottos_GL68_05_Cotrol,28.91566265060241,13.19186046511628,20.75,May,29.810670420463453,544.7777777777778,0.6873416050247287
Mimus_polyglottos_GL72_05_Control,23.977064220183486,11.089285714285714,24.22222222222222,May,34.51678196953749,651.8,0.682509280490046
Mimus_polyglottos_GL20_05,22.831932773109244,12.555984555984557,21.636363636363637,April,29.06343704953304,154.825,0.5212074182971379
Mimus_polyglottos_GL27_05,23.343589743589742,9.829268292682928,24.375,May,26.18999319973814,315.11764705882354,0.6449766943426236
Mimus_polyglottos_GL51_05_Control,21.983922829581992,9.055374592833877,28.272727272727273,May,32.43353630668055,332.42105263157896,0.6464916235332915
Mimus_polyglottos_GL10_05,40.37837837837838,17.575,12.333333333333334,April,26.477073527847427,700.75,0.6982743326546662
Mimus_polyglottos_GL17_05,19.85185185185185,12.025,27.0,April,32.09342548700546,572.3636363636364,0.6458425023408619
Mimus_polyglottos_GL8_05,,,,April,,788.0,0.0
Mimus_polyglottos_GL13_05,21.51829268292683,9.178571428571429,27.333333333333332,April,32.73325440694521,432.1111111111111,0.6631218848985198
Mimus_polyglottos_GL7_05,19.538888888888888,11.709677419354838,25.714285714285715,April,26.181607625141357,636.75,0.6339632574403332
M_polyglottos_GL142_05_AG_RB,12.738683127572017,6.738430583501006,44.18181818181818,July,34.502659137081906,464.14285714285717,0.6226943075415349
M_polyglottos_TR108_05,17.63274336283186,9.52155172413793,32.285714285714285,June,35.989687843130966,483.1111111111111,0.6355356297387716
M_polyglottos_GL129_05_BA_RBL,13.166666666666666,10.38,24.0,July,37.17455300663419,718.6666666666666,0.5827919653524491
Mimus_polyglottos_GL_76_05,20.61111111111111,11.459893048128341,25.714285714285715,May,36.21202847925629,619.875,0.6635532692910912
M_Polyglottos_GL120_05,18.50955414012739,9.104938271604938,31.4,July,35.59481253459741,472.57142857142856,0.638378812516301
M_polyglottos_GL119_05,24.389830508474578,11.885245901639344,23.6,July,32.70391890303426,436.57142857142856,0.643694205104331
M_Polyglottos_GL112_05_Control,20.302919708029197,9.157142857142857,30.444444444444443,June,33.4089001640493,284.375,0.6461539429119818
M_Polyglottos_GL_133_05_AY-YBL,13.237113402061855,13.47,32.333333333333336,July,33.775874555993354,450.8,0.5030920138279463
M_polyglottos_GL69_06_AY_GG,26.829268292682926,14.744186046511627,20.5,May,36.57512131032362,567.6666666666666,0.6565275095837819
M_polyglottos_GL_82_05_AR_YY,17.707112970711297,10.210526315789474,29.875,June,34.09583383459106,443.4166666666667,0.6020897916429694
M_Polyglottos_GL_101_05,23.26530612244898,10.794117647058824,24.5,June,32.59319016579028,574.8,0.6856516351043085
M_polyglottos_GL_110_05,41.06349206349206,10.686567164179104,15.75,June,31.271917613541092,603.2,0.8183973184988169
M_Polyglottos_GL_81_05_Control,19.91219512195122,8.660377358490566,29.285714285714285,June,34.22924830786046,415.54545454545456,0.6489813966609853
M_polyglottlos_SD293_05_YA_YB,21.18348623853211,9.424778761061948,27.25,June,34.13853629074997,556.0,0.6963057600680052
M_polyglottlos_GL35_06_Control_BA_RB,28.706806282722514,9.535,21.22222222222222,April,33.3535297630795,510.6363636363636,0.7274495360860556
Mimus_polyglottos_SD12_06_AB_YY,18.373417721518987,7.457055214723926,28.727272727272727,March,36.21903427103997,495.6875,0.6729389675349587
Mimus_polyglottos_SD30_06,16.517073170731706,10.265402843601896,29.285714285714285,March,32.81435953173671,392.0769230769231,0.5855771649932077
M_polyglottlos_JU43_06,23.373056994818654,6.985,27.571428571428573,June,33.38464623175201,334.7857142857143,0.6929996972849616
M_Polyglottos___Jill_06,18.494505494505493,9.22340425531915,30.333333333333332,April,35.94510714700295,441.75,0.668696745106479
M_Polyglottos___MP1_06,33.31333333333333,10.158227848101266,18.75,April,30.683103938062885,553.0,0.7470392573695687
M_Polyglottos__ALS44_06_Control_BA_BB,36.90909090909091,11.370967741935484,17.6,May,34.252439040914794,539.4545454545455,0.7744581008449105
M_Polyglottos__JU30_06,16.390243902439025,7.261904761904762,36.44444444444444,June,35.42162682295564,410.5,0.6533337548089538
M_Polyglottos__JU30_06_0,16.047457627118643,7.304635761589404,36.875,June,35.292677087021424,503.8,0.6623296361304604
M_polyglottos_ALS_Police_Bands,14.741935483870968,11.90625,31.0,June,36.055243210315425,583.0,0.5552855407047388
M_polyglottos_GL_2_06_YA_RBL,16.39673913043478,10.263157894736842,30.666666666666668,March,30.3589466602736,596.0,0.6309737648293513
M_Polyglottos_GL_8_06,28.375586854460092,8.502242152466367,21.3,March,32.63298346821311,458.6,0.7468718019125518
M_Polyglottos_ALS101_06,27.240875912408757,10.802721088435375,19.571428571428573,July,34.91331223523013,484.09090909090907,0.6548236763187191
M_Polyglottos_GL_59_06_AR_GY,20.242105263157896,7.453608247422681,31.666666666666668,May,36.37830797414216,413.4,0.7288865803506899
M_Polyglottos_GL47_06_AY_BR,17.82608695652174,7.360153256704981,31.625,April,33.13941161212044,633.6666666666666,0.7120656082942197
M_Polyglottos_GL53_06_AR_RPK,21.383783783783784,7.706806282722513,26.428571428571427,April,30.58203306931121,486.6666666666667,0.7358114335122394
M_Polyglottos_GL57_06,21.33884297520661,9.852,26.88888888888889,May,31.92159370195614,592.4,0.6859938476272668
M_polyglottos_GL63_06,25.50955414012739,11.781818181818181,19.625,May,31.662943960165435,598.2222222222222,0.6734639277009573
M_polyglottos_GL93_06_Control_AR_GY,41.110497237569064,9.75531914893617,18.1,June,34.44176321698767,436.61538461538464,0.8192197348722414
M_Polyglottos_GL97_06_AR_YBL,22.124031007751938,13.95910780669145,23.454545454545453,June,34.092589467312685,566.25,0.6117418384536639
M_polyglottos_JU10_06_Control_AB_RPK,31.35593220338983,10.146739130434783,19.666666666666668,April,30.249823401809937,512.3,0.7610069125761681
M_Polyglottos_JU_21_06,17.70098039215686,10.80568720379147,29.142857142857142,May,37.08811146959017,594.125,0.6312630118923147
M_polyglottos_JU2_06_Control,27.729411764705883,9.775280898876405,21.25,April,32.81556171353475,583.6,0.7493843359652237
M_polyglottos_JU40_06ABL_YW,13.87864077669903,7.398104265402844,41.2,June,36.52889843477037,509.3333333333333,0.6538803386659815
M_polyglottos_JU35_06_ABL_BW,22.367875647668395,10.733333333333333,24.125,June,34.05872198119966,456.22222222222223,0.8896088301758702
M_polyglottos_JU51_06,39.80612244897959,10.555555555555555,19.6,July,35.33252801991628,464.1666666666667,0.7801555305533096
M_Polyglottos_MH26_06_Scienlibrarybands,15.782608695652174,6.516949152542373,38.333333333333336,June,35.33910297931762,579.25,0.7162209129104301
M_polyglottos_JU54_06_Control,15.064625850340136,8.390728476821192,36.75,July,37.366517282800594,361.92857142857144,0.6117416558192627
M_Polyglottos_SD39_06,17.548872180451127,9.083636363636364,29.555555555555557,March,33.99811888913327,244.44,0.5430057998814705
M_Polyglottos_MH29_06,20.34027777777778,9.271523178807946,28.8,July,34.9489518661226,263.09090909090907,0.6461090751215572
M_polyglottos_SD264_05_Control,15.388157894736842,7.1923076923076925,38.0,June,32.560237417298595,467.3333333333333,0.6476474866189628
Mimus_polyglottos__JU1_06,15.794444444444444,10.446236559139784,30.0,April,30.197269136608913,490.77777777777777,0.5670651799003515
Mimus_polyglottos__JU45_06,70.82051282051282,14.30232558139535,9.75,June,34.337000138569934,594.6,0.8324592075357816
Mimus_polyglottos__JU12_06,20.619834710743802,6.216,30.25,April,30.160534596547105,621.3333333333334,0.7697507668425169
Mimus_polyglottos__JU50_06,26.694444444444443,8.32,24.0,July,35.13425028012921,587.75,0.7623265306263814
Mimus_polyglottos__MH14_06,21.55982905982906,12.156378600823045,26.0,June,33.91317910713399,553.0,0.6421376945501237
Mimus_polyglottos_ALS87_06.,17.56779661016949,10.203252032520325,23.6,June,34.9165626439198,765.6666666666666,0.6429410536176874
Mimus_polyglottos_ALS107_06,19.081180811808117,8.544483985765124,30.11111111111111,July,33.928799764973256,503.6666666666667,0.6794277891828007
Mimus_polyglottos_ALS111_06,22.658227848101266,12.036363636363637,22.571428571428573,July,35.34435125693418,643.375,0.655994642415914
Mimus_polyglottos_GL13_06_AR_YG,30.2972972972973,11.569620253164556,18.5,March,28.620864089194257,451.57142857142856,0.6557847782941187
Mimus_polyglottos_GL94_06_AR_YW,37.90909090909091,10.241379310344827,18.333333333333332,June,35.933044170027266,314.5,0.7878930261848933
Mimus_polyglottos_JU_11_06,36.95180722891566,10.568181818181818,16.6,April,30.96369734243127,566.1666666666666,0.7791965756505522
Mimus_polyglottos_JU25_06_AR_BY,20.662337662337663,10.248447204968944,25.666666666666668,June,34.387346323863326,504.6666666666667,0.6351001505194619
