#,date,tempe,ambient
1,06/29/06 09:01:00 PM,33.84,27.96
2,06/29/06 09:02:00 PM,33.64,27.78
3,06/29/06 09:03:00 PM,33.64,27.78
4,06/29/06 09:04:00 PM,33.64,27.6
5,06/29/06 09:05:00 PM,33.64,27.6
6,06/29/06 09:06:00 PM,33.64,27.6
7,06/29/06 09:07:00 PM,33.64,27.42
8,06/29/06 09:08:00 PM,33.25,27.6
9,06/29/06 09:09:00 PM,32.66,27.42
10,06/29/06 09:10:00 PM,32.47,27.42
11,06/29/06 09:11:00 PM,32.28,27.6
12,06/29/06 09:12:00 PM,32.28,27.6
13,06/29/06 09:13:00 PM,32.08,27.78
14,06/29/06 09:14:00 PM,32.08,27.78
15,06/29/06 09:15:00 PM,32.47,27.78
16,06/29/06 09:16:00 PM,32.66,27.78
17,06/29/06 09:17:00 PM,32.86,27.78
18,06/29/06 09:18:00 PM,32.86,27.6
19,06/29/06 09:19:00 PM,33.05,27.6
20,06/29/06 09:20:00 PM,33.05,27.78
21,06/29/06 09:21:00 PM,33.05,27.6
22,06/29/06 09:22:00 PM,33.05,27.6
23,06/29/06 09:23:00 PM,32.86,27.42
24,06/29/06 09:24:00 PM,33.44,27.6
25,06/29/06 09:25:00 PM,33.44,27.6
26,06/29/06 09:26:00 PM,33.44,27.6
27,06/29/06 09:27:00 PM,33.44,27.78
28,06/29/06 09:28:00 PM,33.44,27.78
29,06/29/06 09:29:00 PM,33.44,27.78
30,06/29/06 09:30:00 PM,33.64,27.78
31,06/29/06 09:31:00 PM,33.64,27.78
32,06/29/06 09:32:00 PM,33.64,27.6
33,06/29/06 09:33:00 PM,33.84,27.6
34,06/29/06 09:34:00 PM,33.84,27.6
35,06/29/06 09:35:00 PM,33.84,27.6
36,06/29/06 09:36:00 PM,33.84,27.6
37,06/29/06 09:37:00 PM,33.84,27.6
38,06/29/06 09:38:00 PM,33.64,27.6
39,06/29/06 09:39:00 PM,33.64,27.6
40,06/29/06 09:40:00 PM,33.64,27.6
41,06/29/06 09:41:00 PM,33.64,27.6
42,06/29/06 09:42:00 PM,33.64,27.6
43,06/29/06 09:43:00 PM,33.64,27.6
44,06/29/06 09:44:00 PM,33.64,27.6
45,06/29/06 09:45:00 PM,33.64,27.6
46,06/29/06 09:46:00 PM,33.25,27.6
47,06/29/06 09:47:00 PM,33.25,27.6
48,06/29/06 09:48:00 PM,33.44,27.6
49,06/29/06 09:49:00 PM,33.25,27.42
50,06/29/06 09:50:00 PM,33.25,27.42
51,06/29/06 09:51:00 PM,33.25,27.42
52,06/29/06 09:52:00 PM,33.25,27.42
53,06/29/06 09:53:00 PM,33.05,27.42
54,06/29/06 09:54:00 PM,33.05,27.6
55,06/29/06 09:55:00 PM,33.05,27.42
56,06/29/06 09:56:00 PM,32.66,27.42
57,06/29/06 09:57:00 PM,32.47,27.42
58,06/29/06 09:58:00 PM,32.66,27.24
59,06/29/06 09:59:00 PM,33.05,27.24
60,06/29/06 10:00:00 PM,33.05,27.06
61,06/29/06 10:01:00 PM,33.25,27.06
62,06/29/06 10:02:00 PM,33.44,27.06
63,06/29/06 10:03:00 PM,33.44,26.88
64,06/29/06 10:04:00 PM,33.44,26.88
65,06/29/06 10:05:00 PM,33.64,27.06
66,06/29/06 10:06:00 PM,33.64,27.06
67,06/29/06 10:07:00 PM,33.64,27.06
68,06/29/06 10:08:00 PM,33.64,27.24
69,06/29/06 10:09:00 PM,33.64,27.24
70,06/29/06 10:10:00 PM,33.64,27.24
71,06/29/06 10:11:00 PM,33.64,27.06
72,06/29/06 10:12:00 PM,33.64,27.06
73,06/29/06 10:13:00 PM,33.64,27.06
