Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-06-29 21:01:00,2006-06-30 06:26:00,565.0,32.368303886925794,25.155812720848054
Off,2006-06-30 06:26:00,2006-06-30 06:36:00,10.0,30.18,23.16
On,2006-06-30 06:36:00,2006-06-30 06:53:00,17.0,33.49722222222223,23.32055555555555
Off,2006-06-30 06:53:00,2006-06-30 06:59:00,6.0,31.32,23.330000000000002
On,2006-06-30 06:59:00,2006-06-30 07:26:00,27.0,32.4675,23.487857142857138
Off,2006-06-30 07:26:00,2006-06-30 07:33:00,7.0,30.56,23.7475
On,2006-06-30 07:33:00,2006-06-30 07:41:00,8.0,33.26111111111111,24.071111111111108
Off,2006-06-30 07:41:00,2006-06-30 07:50:00,9.0,31.89,24.47
On,2006-06-30 07:50:00,2006-06-30 08:01:00,11.0,33.09,24.826666666666664
Off,2006-06-30 08:01:00,2006-06-30 08:06:00,5.0,31.7,25.27
On,2006-06-30 08:06:00,2006-06-30 08:27:00,21.0,33.723636363636366,25.595909090909085
Off,2006-06-30 08:27:00,2006-06-30 08:35:00,8.0,30.94,25.94
On,2006-06-30 08:35:00,2006-06-30 08:45:00,10.0,33.99272727272727,26.274545454545454
Off,2006-06-30 08:45:00,2006-06-30 08:51:00,6.0,31.89,26.46857142857143
On,2006-06-30 08:51:00,2006-06-30 09:02:00,11.0,34.332499999999996,26.505
Off,2006-06-30 09:02:00,2006-06-30 09:08:00,6.0,32.86,27.137142857142862
On,2006-06-30 09:08:00,2006-06-30 09:23:00,15.0,34.760625000000005,27.58875
Off,2006-06-30 09:23:00,2006-06-30 09:31:00,8.0,32.86,27.962222222222223
On,2006-06-30 09:31:00,2006-06-30 09:41:00,10.0,35.346363636363634,28.732727272727274
Off,2006-06-30 09:41:00,2006-06-30 09:51:00,10.0,34.04,29.675454545454546
On,2006-06-30 09:51:00,2006-06-30 10:07:00,16.0,36.18117647058824,30.117058823529415
Off,2006-06-30 10:07:00,2006-06-30 10:21:00,14.0,31.51,30.257333333333335
On,2006-06-30 10:21:00,2006-06-30 10:37:00,16.0,35.61941176470588,30.783529411764707
Off,2006-06-30 10:37:00,2006-06-30 10:44:00,7.0,35.44,31.20125
On,2006-06-30 10:44:00,2006-06-30 18:26:00,462.0,37.18015118790497,34.97892008639309
Off,2006-06-30 18:26:00,2006-06-30 18:42:00,16.0,35.85,34.747647058823524
On,2006-06-30 18:42:00,2006-06-30 18:47:00,5.0,36.535,34.498333333333335
