#,date,tempe,ambient
1,04/26/06 08:31:00 PM,33.05,22.12
2,04/26/06 08:32:00 PM,33.05,22.12
3,04/26/06 08:33:00 PM,33.05,22.12
4,04/26/06 08:34:00 PM,33.05,22.12
5,04/26/06 08:35:00 PM,33.05,22.12
6,04/26/06 08:36:00 PM,33.05,22.12
7,04/26/06 08:37:00 PM,33.25,22.12
8,04/26/06 08:38:00 PM,33.25,21.95
9,04/26/06 08:39:00 PM,33.25,22.12
10,04/26/06 08:40:00 PM,33.25,21.95
11,04/26/06 08:41:00 PM,33.25,21.95
12,04/26/06 08:42:00 PM,33.05,21.95
13,04/26/06 08:43:00 PM,33.05,21.95
14,04/26/06 08:44:00 PM,33.05,21.95
15,04/26/06 08:45:00 PM,33.05,21.95
16,04/26/06 08:46:00 PM,33.05,21.95
17,04/26/06 08:47:00 PM,33.05,21.95
18,04/26/06 08:48:00 PM,32.86,21.95
19,04/26/06 08:49:00 PM,32.86,21.95
20,04/26/06 08:50:00 PM,32.86,21.95
21,04/26/06 08:51:00 PM,32.86,21.95
22,04/26/06 08:52:00 PM,32.86,21.95
23,04/26/06 08:53:00 PM,32.86,21.95
24,04/26/06 08:54:00 PM,32.86,21.95
25,04/26/06 08:55:00 PM,32.86,21.77
26,04/26/06 08:56:00 PM,32.66,21.95
27,04/26/06 08:57:00 PM,32.86,21.77
28,04/26/06 08:58:00 PM,32.66,21.77
29,04/26/06 08:59:00 PM,32.66,21.77
30,04/26/06 09:00:00 PM,32.66,21.77
31,04/26/06 09:01:00 PM,32.66,21.77
32,04/26/06 09:02:00 PM,32.66,21.77
33,04/26/06 09:03:00 PM,32.86,21.77
34,04/26/06 09:04:00 PM,32.86,21.95
35,04/26/06 09:05:00 PM,32.86,21.95
36,04/26/06 09:06:00 PM,32.86,21.95
37,04/26/06 09:07:00 PM,32.86,21.95
38,04/26/06 09:08:00 PM,32.86,21.95
39,04/26/06 09:09:00 PM,32.86,21.95
40,04/26/06 09:10:00 PM,32.66,21.95
41,04/26/06 09:11:00 PM,32.08,21.95
