#,date,tempe,ambient
1,05/12/06 08:31:00 PM,30.18,22.46
2,05/12/06 08:32:00 PM,30.37,22.46
3,05/12/06 08:33:00 PM,30.56,22.29
4,05/12/06 08:34:00 PM,30.56,22.29
5,05/12/06 08:35:00 PM,30.18,22.29
6,05/12/06 08:36:00 PM,29.81,22.29
7,05/12/06 08:37:00 PM,29.62,22.29
8,05/12/06 08:38:00 PM,29.44,22.29
9,05/12/06 08:39:00 PM,29.44,22.29
10,05/12/06 08:40:00 PM,29.25,22.29
11,05/12/06 08:41:00 PM,29.25,22.29
12,05/12/06 08:42:00 PM,29.07,22.29
13,05/12/06 08:43:00 PM,29.07,22.29
14,05/12/06 08:44:00 PM,28.88,22.12
15,05/12/06 08:45:00 PM,28.88,22.12
16,05/12/06 08:46:00 PM,28.88,22.12
17,05/12/06 08:47:00 PM,28.88,22.12
18,05/12/06 08:48:00 PM,28.7,22.12
19,05/12/06 08:49:00 PM,28.7,22.12
20,05/12/06 08:50:00 PM,28.7,22.12
21,05/12/06 08:51:00 PM,28.7,22.12
22,05/12/06 08:52:00 PM,28.7,22.12
23,05/12/06 08:53:00 PM,28.7,22.12
24,05/12/06 08:54:00 PM,28.7,22.12
25,05/12/06 08:55:00 PM,28.7,22.12
26,05/12/06 08:56:00 PM,28.7,22.12
27,05/12/06 08:57:00 PM,28.7,22.12
28,05/12/06 08:58:00 PM,28.7,22.12
29,05/12/06 08:59:00 PM,28.7,21.95
30,05/12/06 09:00:00 PM,28.7,21.95
31,05/12/06 09:01:00 PM,28.51,21.95
32,05/12/06 09:02:00 PM,28.51,21.95
33,05/12/06 09:03:00 PM,28.51,21.95
34,05/12/06 09:04:00 PM,28.33,21.95
35,05/12/06 09:05:00 PM,28.33,21.95
36,05/12/06 09:06:00 PM,28.33,21.95
37,05/12/06 09:07:00 PM,28.15,21.95
38,05/12/06 09:08:00 PM,28.15,21.95
39,05/12/06 09:09:00 PM,28.15,21.95
40,05/12/06 09:10:00 PM,28.15,21.77
41,05/12/06 09:11:00 PM,28.15,21.77
42,05/12/06 09:12:00 PM,28.15,21.77
43,05/12/06 09:13:00 PM,27.96,21.77
44,05/12/06 09:14:00 PM,27.96,21.77
45,05/12/06 09:15:00 PM,27.96,21.6
46,05/12/06 09:16:00 PM,27.96,21.77
47,05/12/06 09:17:00 PM,27.96,21.6
48,05/12/06 09:18:00 PM,27.96,21.6
49,05/12/06 09:19:00 PM,27.96,21.6
50,05/12/06 09:20:00 PM,27.96,21.6
51,05/12/06 09:21:00 PM,27.78,21.77
52,05/12/06 09:22:00 PM,27.78,21.6
53,05/12/06 09:23:00 PM,27.78,21.6
54,05/12/06 09:24:00 PM,27.78,21.6
55,05/12/06 09:25:00 PM,27.78,21.6
56,05/12/06 09:26:00 PM,27.78,21.6
57,05/12/06 09:27:00 PM,27.78,21.6
58,05/12/06 09:28:00 PM,27.78,21.6
59,05/12/06 09:29:00 PM,27.78,21.6
60,05/12/06 09:30:00 PM,27.78,21.6
61,05/12/06 09:31:00 PM,27.78,21.6
62,05/12/06 09:32:00 PM,27.96,21.6
63,05/12/06 09:33:00 PM,27.96,21.6
64,05/12/06 09:34:00 PM,27.96,21.6
65,05/12/06 09:35:00 PM,27.96,21.6
66,05/12/06 09:36:00 PM,28.15,21.6
67,05/12/06 09:37:00 PM,28.15,21.6
68,05/12/06 09:38:00 PM,28.15,21.6
69,05/12/06 09:39:00 PM,28.33,21.6
70,05/12/06 09:40:00 PM,28.33,21.6
71,05/12/06 09:41:00 PM,28.33,21.6
72,05/12/06 09:42:00 PM,28.33,21.43
73,05/12/06 09:43:00 PM,28.33,21.43
74,05/12/06 09:44:00 PM,28.15,21.43
75,05/12/06 09:45:00 PM,28.51,21.43
76,05/12/06 09:46:00 PM,28.51,21.43
77,05/12/06 09:47:00 PM,28.7,21.43
78,05/12/06 09:48:00 PM,28.7,21.43
79,05/12/06 09:49:00 PM,28.7,21.43
80,05/12/06 09:50:00 PM,28.7,21.26
81,05/12/06 09:51:00 PM,28.7,21.26
82,05/12/06 09:52:00 PM,28.7,21.26
83,05/12/06 09:53:00 PM,28.51,21.26
84,05/12/06 09:54:00 PM,28.51,21.26
85,05/12/06 09:55:00 PM,28.51,21.26
86,05/12/06 09:56:00 PM,28.51,21.08
87,05/12/06 09:57:00 PM,28.51,21.08
88,05/12/06 09:58:00 PM,28.51,21.26
89,05/12/06 09:59:00 PM,28.33,21.26
90,05/12/06 10:00:00 PM,28.33,21.26
91,05/12/06 10:01:00 PM,28.51,21.26
92,05/12/06 10:02:00 PM,28.51,21.08
93,05/12/06 10:03:00 PM,28.51,21.26
94,05/12/06 10:04:00 PM,28.51,21.26
95,05/12/06 10:05:00 PM,28.51,21.08
96,05/12/06 10:06:00 PM,28.51,21.08
97,05/12/06 10:07:00 PM,28.33,21.26
98,05/12/06 10:08:00 PM,28.51,21.08
99,05/12/06 10:09:00 PM,28.51,21.08
100,05/12/06 10:10:00 PM,28.51,21.08
101,05/12/06 10:11:00 PM,28.7,21.08
102,05/12/06 10:12:00 PM,28.7,21.08
103,05/12/06 10:13:00 PM,28.7,21.08
104,05/12/06 10:14:00 PM,28.7,21.08
105,05/12/06 10:15:00 PM,28.51,20.91
106,05/12/06 10:16:00 PM,28.7,20.91
107,05/12/06 10:17:00 PM,28.7,20.91
108,05/12/06 10:18:00 PM,28.7,20.91
109,05/12/06 10:19:00 PM,28.7,20.91
110,05/12/06 10:20:00 PM,28.7,20.91
111,05/12/06 10:21:00 PM,28.7,20.91
112,05/12/06 10:22:00 PM,28.7,20.91
113,05/12/06 10:23:00 PM,28.7,20.91
114,05/12/06 10:24:00 PM,28.7,20.91
115,05/12/06 10:25:00 PM,28.7,20.91
116,05/12/06 10:26:00 PM,28.7,20.91
117,05/12/06 10:27:00 PM,28.7,20.91
118,05/12/06 10:28:00 PM,28.7,20.91
119,05/12/06 10:29:00 PM,28.7,20.91
120,05/12/06 10:30:00 PM,28.7,20.91
121,05/12/06 10:31:00 PM,28.33,20.91
122,05/12/06 10:32:00 PM,28.33,20.91
123,05/12/06 10:33:00 PM,28.33,20.91
124,05/12/06 10:34:00 PM,28.33,20.74
125,05/12/06 10:35:00 PM,28.33,20.74
126,05/12/06 10:36:00 PM,28.33,20.74
127,05/12/06 10:37:00 PM,28.15,20.74
128,05/12/06 10:38:00 PM,28.15,20.74
129,05/12/06 10:39:00 PM,28.15,20.74
130,05/12/06 10:40:00 PM,28.15,20.74
131,05/12/06 10:41:00 PM,28.15,20.57
132,05/12/06 10:42:00 PM,28.15,20.74
133,05/12/06 10:43:00 PM,28.15,20.57
134,05/12/06 10:44:00 PM,28.15,20.74
135,05/12/06 10:45:00 PM,28.15,20.57
136,05/12/06 10:46:00 PM,28.15,20.57
137,05/12/06 10:47:00 PM,28.15,20.57
138,05/12/06 10:48:00 PM,28.15,20.57
139,05/12/06 10:49:00 PM,28.15,20.57
140,05/12/06 10:50:00 PM,28.15,20.57
141,05/12/06 10:51:00 PM,28.15,20.57
142,05/12/06 10:52:00 PM,28.15,20.57
143,05/12/06 10:53:00 PM,28.15,20.4
144,05/12/06 10:54:00 PM,28.15,20.57
145,05/12/06 10:55:00 PM,27.96,20.57
146,05/12/06 10:56:00 PM,27.96,20.57
147,05/12/06 10:57:00 PM,27.96,20.4
148,05/12/06 10:58:00 PM,28.15,20.4
149,05/12/06 10:59:00 PM,28.15,20.4
150,05/12/06 11:00:00 PM,28.33,20.4
151,05/12/06 11:01:00 PM,28.33,20.4
152,05/12/06 11:02:00 PM,28.33,20.4
153,05/12/06 11:03:00 PM,28.33,20.4
154,05/12/06 11:04:00 PM,28.33,20.4
155,05/12/06 11:05:00 PM,28.33,20.4
156,05/12/06 11:06:00 PM,28.33,20.4
157,05/12/06 11:07:00 PM,28.33,20.23
158,05/12/06 11:08:00 PM,28.33,20.23
159,05/12/06 11:09:00 PM,28.33,20.23
160,05/12/06 11:10:00 PM,28.33,20.23
