#,date,tempe,ambient
1,06/13/06 09:01:00 PM,28.51,24.21
2,06/13/06 09:02:00 PM,28.51,24.21
3,06/13/06 09:03:00 PM,28.33,24.21
4,06/13/06 09:04:00 PM,28.15,24.21
5,06/13/06 09:05:00 PM,27.96,24.21
6,06/13/06 09:06:00 PM,28.33,24.21
7,06/13/06 09:07:00 PM,28.33,24.21
8,06/13/06 09:08:00 PM,28.33,24.21
9,06/13/06 09:09:00 PM,28.33,24.21
10,06/13/06 09:10:00 PM,28.51,24.21
11,06/13/06 09:11:00 PM,28.51,24.21
12,06/13/06 09:12:00 PM,28.51,24.21
13,06/13/06 09:13:00 PM,28.51,24.21
14,06/13/06 09:14:00 PM,28.51,24.21
15,06/13/06 09:15:00 PM,28.51,24.38
16,06/13/06 09:16:00 PM,28.33,24.21
17,06/13/06 09:17:00 PM,28.33,24.21
18,06/13/06 09:18:00 PM,28.33,24.21
19,06/13/06 09:19:00 PM,28.33,24.21
20,06/13/06 09:20:00 PM,28.15,24.21
21,06/13/06 09:21:00 PM,28.15,24.21
22,06/13/06 09:22:00 PM,28.15,24.21
23,06/13/06 09:23:00 PM,28.15,24.21
24,06/13/06 09:24:00 PM,28.15,24.38
25,06/13/06 09:25:00 PM,27.96,24.21
26,06/13/06 09:26:00 PM,28.15,24.21
27,06/13/06 09:27:00 PM,28.15,24.21
28,06/13/06 09:28:00 PM,28.15,24.21
29,06/13/06 09:29:00 PM,28.15,24.38
30,06/13/06 09:30:00 PM,28.15,24.38
31,06/13/06 09:31:00 PM,28.15,24.38
32,06/13/06 09:32:00 PM,28.15,24.38
33,06/13/06 09:33:00 PM,28.15,24.38
34,06/13/06 09:34:00 PM,28.15,24.38
35,06/13/06 09:35:00 PM,28.15,24.38
36,06/13/06 09:36:00 PM,28.15,24.38
37,06/13/06 09:37:00 PM,28.15,24.38
38,06/13/06 09:38:00 PM,28.15,24.21
39,06/13/06 09:39:00 PM,28.15,24.21
40,06/13/06 09:40:00 PM,28.15,24.21
41,06/13/06 09:41:00 PM,28.15,24.21
42,06/13/06 09:42:00 PM,28.15,24.21
43,06/13/06 09:43:00 PM,27.96,24.21
44,06/13/06 09:44:00 PM,27.96,24.21
45,06/13/06 09:45:00 PM,27.96,24.21
46,06/13/06 09:46:00 PM,27.96,24.21
47,06/13/06 09:47:00 PM,27.96,24.21
48,06/13/06 09:48:00 PM,27.96,24.21
49,06/13/06 09:49:00 PM,27.96,24.21
50,06/13/06 09:50:00 PM,27.96,24.21
51,06/13/06 09:51:00 PM,27.78,24.21
52,06/13/06 09:52:00 PM,27.78,24.21
53,06/13/06 09:53:00 PM,27.96,24.21
54,06/13/06 09:54:00 PM,28.15,24.21
55,06/13/06 09:55:00 PM,28.15,24.21
56,06/13/06 09:56:00 PM,28.15,24.21
57,06/13/06 09:57:00 PM,28.15,24.21
58,06/13/06 09:58:00 PM,28.15,24.21
59,06/13/06 09:59:00 PM,28.33,24.03
60,06/13/06 10:00:00 PM,28.33,24.03
61,06/13/06 10:01:00 PM,28.51,24.03
62,06/13/06 10:02:00 PM,28.51,24.03
63,06/13/06 10:03:00 PM,28.51,24.21
64,06/13/06 10:04:00 PM,28.51,24.21
65,06/13/06 10:05:00 PM,28.51,24.21
66,06/13/06 10:06:00 PM,28.51,24.21
67,06/13/06 10:07:00 PM,28.51,24.21
68,06/13/06 10:08:00 PM,28.51,24.21
69,06/13/06 10:09:00 PM,28.51,24.21
70,06/13/06 10:10:00 PM,28.51,24.03
71,06/13/06 10:11:00 PM,28.33,24.03
72,06/13/06 10:12:00 PM,28.33,24.03
73,06/13/06 10:13:00 PM,28.33,24.03
74,06/13/06 10:14:00 PM,28.33,24.03
75,06/13/06 10:15:00 PM,28.33,24.21
76,06/13/06 10:16:00 PM,28.33,24.21
77,06/13/06 10:17:00 PM,28.33,24.21
78,06/13/06 10:18:00 PM,28.33,24.21
79,06/13/06 10:19:00 PM,28.51,24.21
80,06/13/06 10:20:00 PM,28.51,24.21
81,06/13/06 10:21:00 PM,28.51,24.21
82,06/13/06 10:22:00 PM,28.51,24.21
83,06/13/06 10:23:00 PM,28.51,24.21
84,06/13/06 10:24:00 PM,28.51,24.21
85,06/13/06 10:25:00 PM,28.51,24.21
86,06/13/06 10:26:00 PM,28.51,24.21
87,06/13/06 10:27:00 PM,28.88,24.21
88,06/13/06 10:28:00 PM,29.07,24.21
89,06/13/06 10:29:00 PM,29.07,24.03
90,06/13/06 10:30:00 PM,29.07,24.03
91,06/13/06 10:31:00 PM,29.07,24.03
92,06/13/06 10:32:00 PM,29.07,24.03
93,06/13/06 10:33:00 PM,29.07,24.03
94,06/13/06 10:34:00 PM,29.07,24.03
95,06/13/06 10:35:00 PM,29.07,24.03
96,06/13/06 10:36:00 PM,29.07,24.03
97,06/13/06 10:37:00 PM,28.88,24.03
98,06/13/06 10:38:00 PM,28.88,24.21
99,06/13/06 10:39:00 PM,28.88,24.21
100,06/13/06 10:40:00 PM,28.88,24.21
101,06/13/06 10:41:00 PM,28.88,24.21
102,06/13/06 10:42:00 PM,28.7,24.21
103,06/13/06 10:43:00 PM,28.33,24.03
104,06/13/06 10:44:00 PM,28.33,24.21
105,06/13/06 10:45:00 PM,28.33,24.21
106,06/13/06 10:46:00 PM,28.33,24.03
107,06/13/06 10:47:00 PM,28.33,24.03
108,06/13/06 10:48:00 PM,28.33,24.03
109,06/13/06 10:49:00 PM,28.33,24.03
110,06/13/06 10:50:00 PM,28.33,24.03
111,06/13/06 10:51:00 PM,28.15,24.03
112,06/13/06 10:52:00 PM,28.15,24.03
113,06/13/06 10:53:00 PM,28.15,24.03
114,06/13/06 10:54:00 PM,27.96,24.03
115,06/13/06 10:55:00 PM,27.96,24.03
116,06/13/06 10:56:00 PM,27.96,24.03
117,06/13/06 10:57:00 PM,27.78,24.21
118,06/13/06 10:58:00 PM,27.78,24.03
119,06/13/06 10:59:00 PM,27.78,24.03
120,06/13/06 11:00:00 PM,27.78,24.03
121,06/13/06 11:01:00 PM,27.6,24.21
