Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-13 21:01:00,2006-06-14 06:34:00,573.0,28.94162020905923,24.368658536585368
Off,2006-06-14 06:34:00,2006-06-14 06:41:00,7.0,26.7,24.12
On,2006-06-14 06:41:00,2006-06-14 06:59:00,18.0,30.8678947368421,23.97631578947368
Off,2006-06-14 06:59:00,2006-06-14 07:07:00,8.0,26.52,24.071111111111115
On,2006-06-14 07:07:00,2006-06-14 07:21:00,14.0,28.788666666666664,23.98733333333333
Off,2006-06-14 07:21:00,2006-06-14 07:33:00,12.0,26.16,24.38
On,2006-06-14 07:33:00,2006-06-14 07:52:00,19.0,28.502,24.524
Off,2006-06-14 07:52:00,2006-06-14 08:01:00,9.0,27.24,24.613999999999997
On,2006-06-14 08:01:00,2006-06-14 08:16:00,15.0,30.420625,24.77
Off,2006-06-14 08:16:00,2006-06-14 08:21:00,5.0,28.15,24.91
On,2006-06-14 08:21:00,2006-06-14 08:31:00,10.0,30.824545454545454,25.05727272727273
Off,2006-06-14 08:31:00,2006-06-14 08:36:00,5.0,28.51,25.26833333333333
On,2006-06-14 08:36:00,2006-06-14 09:10:00,34.0,31.905142857142852,25.428571428571427
Off,2006-06-14 09:10:00,2006-06-14 09:19:00,9.0,28.88,25.944
On,2006-06-14 09:19:00,2006-06-14 09:40:00,21.0,31.884090909090922,26.012727272727275
Off,2006-06-14 09:40:00,2006-06-14 09:47:00,7.0,29.07,26.07
On,2006-06-14 09:47:00,2006-06-14 09:55:00,8.0,30.606666666666666,26.200000000000003
Off,2006-06-14 09:55:00,2006-06-14 10:00:00,5.0,29.25,25.89
On,2006-06-14 10:00:00,2006-06-14 10:19:00,19.0,32.616,25.988999999999997
Off,2006-06-14 10:19:00,2006-06-14 10:30:00,11.0,28.15,25.83000000000001
On,2006-06-14 10:30:00,2006-06-14 10:45:00,15.0,33.315,26.295
Off,2006-06-14 10:45:00,2006-06-14 10:55:00,10.0,29.07,26.683636363636364
On,2006-06-14 10:55:00,2006-06-14 11:10:00,15.0,32.6025,26.666249999999998
Off,2006-06-14 11:10:00,2006-06-14 11:16:00,6.0,30.56,27.060000000000002
On,2006-06-14 11:16:00,2006-06-14 11:26:00,10.0,33.18181818181818,27.04363636363636
