Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2005-06-16 23:01:00,2005-06-17 06:27:00,446.0,27.402863534675618,24.44364653243848
Off,2005-06-17 06:27:00,2005-06-17 06:36:00,9.0,25.98,24.508000000000003
On,2005-06-17 06:36:00,2005-06-17 06:43:00,7.0,27.22125,24.25
Off,2005-06-17 06:43:00,2005-06-17 06:53:00,10.0,27.78,24.624545454545455
On,2005-06-17 06:53:00,2005-06-17 06:57:00,4.0,28.332,24.91
Off,2005-06-17 06:57:00,2005-06-17 07:04:00,7.0,26.7,24.693749999999998
On,2005-06-17 07:04:00,2005-06-17 07:37:00,33.0,29.343235294117648,25.366470588235295
Off,2005-06-17 07:37:00,2005-06-17 08:11:00,34.0,26.88,25.797714285714285
On,2005-06-17 08:11:00,2005-06-17 08:42:00,31.0,29.292500000000004,25.1065625
Off,2005-06-17 08:42:00,2005-06-17 08:54:00,12.0,26.7,24.27615384615385
On,2005-06-17 08:54:00,2005-06-17 09:12:00,18.0,29.204210526315784,25.23052631578948
Off,2005-06-17 09:12:00,2005-06-17 09:31:00,19.0,28.15,25.971000000000004
On,2005-06-17 09:31:00,2005-06-17 09:52:00,21.0,31.63545454545455,26.929090909090906
Off,2005-06-17 09:52:00,2005-06-17 10:03:00,11.0,30.56,27.135
On,2005-06-17 10:03:00,2005-06-17 10:46:00,43.0,33.26977272727274,27.79272727272727
Off,2005-06-17 10:46:00,2005-06-17 10:59:00,13.0,30.0,28.54285714285714
On,2005-06-17 10:59:00,2005-06-17 11:24:00,25.0,33.526923076923076,29.23
Off,2005-06-17 11:24:00,2005-06-17 11:36:00,12.0,30.94,28.88230769230769
On,2005-06-17 11:36:00,2005-06-17 12:04:00,28.0,34.34827586206896,29.48448275862069
Off,2005-06-17 12:04:00,2005-06-17 12:12:00,8.0,31.7,29.915555555555557
On,2005-06-17 12:12:00,2005-06-17 12:56:00,44.0,33.230666666666664,31.22222222222222
Off,2005-06-17 12:56:00,2005-06-17 13:02:00,6.0,30.37,31.075714285714287
On,2005-06-17 13:02:00,2005-06-17 13:07:00,5.0,31.933333333333337,30.37
Off,2005-06-17 13:07:00,2005-06-17 13:10:00,3.0,32.86,30.7975
On,2005-06-17 13:10:00,2005-06-17 13:16:00,6.0,33.755714285714284,31.509999999999998
Off,2005-06-17 13:16:00,2005-06-17 13:21:00,5.0,33.25,32.14833333333333
On,2005-06-17 13:21:00,2005-06-17 14:38:00,77.0,34.08307692307693,33.24076923076924
Off,2005-06-17 14:38:00,2005-06-17 14:43:00,5.0,32.28,32.18
On,2005-06-17 14:43:00,2005-06-17 14:57:00,14.0,32.872,32.6
Off,2005-06-17 14:57:00,2005-06-17 15:05:00,8.0,33.05,32.986666666666665
On,2005-06-17 15:05:00,2005-06-17 15:32:00,27.0,34.222142857142856,32.89892857142857
Off,2005-06-17 15:32:00,2005-06-17 15:44:00,12.0,31.32,31.993076923076917
On,2005-06-17 15:44:00,2005-06-17 16:03:00,19.0,33.344,32.79100000000001
Off,2005-06-17 16:03:00,2005-06-17 16:15:00,12.0,32.08,33.09615384615384
On,2005-06-17 16:15:00,2005-06-17 16:31:00,16.0,33.97235294117647,33.04058823529412
Off,2005-06-17 16:31:00,2005-06-17 16:42:00,11.0,32.86,32.777499999999996
On,2005-06-17 16:42:00,2005-06-17 17:15:00,33.0,34.797941176470594,33.03117647058824
Off,2005-06-17 17:15:00,2005-06-17 17:32:00,17.0,33.25,33.542222222222215
On,2005-06-17 17:32:00,2005-06-17 17:57:00,25.0,36.00307692307692,33.551538461538456
Off,2005-06-17 17:57:00,2005-06-17 18:09:00,12.0,32.28,33.009230769230776
On,2005-06-17 18:09:00,2005-06-17 18:24:00,15.0,35.18375,32.86
Off,2005-06-17 18:24:00,2005-06-17 18:41:00,17.0,31.89,32.62055555555556
On,2005-06-17 18:41:00,2005-06-17 18:54:00,13.0,34.17071428571428,32.49714285714286
Off,2005-06-17 18:54:00,2005-06-17 19:05:00,11.0,31.89,32.11583333333333
On,2005-06-17 19:05:00,2005-06-17 19:15:00,10.0,33.21636363636364,32.25909090909091
Off,2005-06-17 19:15:00,2005-06-17 19:22:00,7.0,32.28,32.18
On,2005-06-17 19:22:00,2005-06-17 19:37:00,15.0,35.021875,31.91375
Off,2005-06-17 19:37:00,2005-06-17 19:49:00,12.0,31.13,31.24692307692308
On,2005-06-17 19:49:00,2005-06-17 20:11:00,22.0,34.18739130434783,30.873913043478268
Off,2005-06-17 20:11:00,2005-06-17 20:15:00,4.0,32.08,30.296
Nocturnal,2005-06-17 20:15:00,2005-06-18 06:20:00,605.0,29.573498349834985,26.59589108910891
Off,2005-06-18 06:20:00,2005-06-18 06:27:00,7.0,26.88,24.9575
On,2005-06-18 06:27:00,2005-06-18 07:00:00,33.0,30.847647058823526,25.200294117647058
Off,2005-06-18 07:00:00,2005-06-18 07:13:00,13.0,28.15,25.27928571428571
On,2005-06-18 07:13:00,2005-06-18 07:27:00,14.0,30.473333333333326,25.430666666666664
Off,2005-06-18 07:27:00,2005-06-18 07:39:00,12.0,27.42,25.18538461538461
On,2005-06-18 07:39:00,2005-06-18 07:55:00,16.0,30.01529411764706,25.453529411764706
Off,2005-06-18 07:55:00,2005-06-18 08:05:00,10.0,28.15,25.636363636363637
On,2005-06-18 08:05:00,2005-06-18 08:33:00,28.0,31.44068965517242,26.321379310344835
Off,2005-06-18 08:33:00,2005-06-18 08:42:00,9.0,27.96,25.890000000000004
On,2005-06-18 08:42:00,2005-06-18 08:58:00,16.0,30.527647058823533,25.905882352941177
Off,2005-06-18 08:58:00,2005-06-18 09:12:00,14.0,28.33,26.12400000000001
On,2005-06-18 09:12:00,2005-06-18 09:17:00,5.0,30.694999999999993,26.429999999999996
Off,2005-06-18 09:17:00,2005-06-18 09:22:00,5.0,29.81,26.7
On,2005-06-18 09:22:00,2005-06-18 09:48:00,26.0,32.51185185185185,27.649259259259253
Off,2005-06-18 09:48:00,2005-06-18 10:03:00,15.0,30.18,28.12625
On,2005-06-18 10:03:00,2005-06-18 10:24:00,21.0,33.19227272727274,27.927272727272722
