Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-07-03 20:03:00,2005-07-03 20:11:00,8.0,31.531111111111116,28.510000000000005
Off,2005-07-03 20:11:00,2005-07-03 20:15:00,4.0,30.75,28.51
On,2005-07-03 20:15:00,2005-07-03 20:23:00,8.0,31.61777777777778,28.470000000000002
Off,2005-07-03 20:23:00,2005-07-03 20:42:00,19.0,29.07,28.275999999999993
On,2005-07-03 20:42:00,2005-07-03 20:47:00,5.0,29.845,28.150000000000002
Off,2005-07-03 20:47:00,2005-07-03 20:53:00,6.0,29.62,28.014285714285716
Nocturnal,2005-07-03 20:53:00,2005-07-04 06:13:00,560.0,31.912531194295894,26.387486631016046
Off,2005-07-04 06:13:00,2005-07-04 06:20:00,7.0,29.07,25.44
On,2005-07-04 06:20:00,2005-07-04 06:41:00,21.0,31.710000000000004,25.44
Off,2005-07-04 06:41:00,2005-07-04 06:51:00,10.0,29.07,25.44
On,2005-07-04 06:51:00,2005-07-04 07:11:00,20.0,31.663809523809526,25.431904761904764
Off,2005-07-04 07:11:00,2005-07-04 07:43:00,32.0,27.06,25.55454545454546
On,2005-07-04 07:43:00,2005-07-04 08:08:00,25.0,31.665384615384614,25.73769230769231
Off,2005-07-04 08:08:00,2005-07-04 08:17:00,9.0,29.81,26.394
On,2005-07-04 08:17:00,2005-07-04 08:28:00,11.0,32.0275,27.874166666666664
Off,2005-07-04 08:28:00,2005-07-04 08:37:00,9.0,31.89,28.770999999999997
On,2005-07-04 08:37:00,2005-07-04 08:49:00,12.0,34.033846153846156,29.322307692307692
Off,2005-07-04 08:49:00,2005-07-04 09:01:00,12.0,32.86,29.941538461538464
On,2005-07-04 09:01:00,2005-07-04 09:08:00,7.0,34.51625,29.88125
Off,2005-07-04 09:08:00,2005-07-04 09:12:00,4.0,34.04,30.108000000000004
On,2005-07-04 09:12:00,2005-07-04 09:16:00,4.0,34.796,30.256
Off,2005-07-04 09:16:00,2005-07-04 09:26:00,10.0,31.89,30.166363636363634
On,2005-07-04 09:26:00,2005-07-04 09:38:00,12.0,34.03923076923077,30.91076923076923
Off,2005-07-04 09:38:00,2005-07-04 09:49:00,11.0,32.28,30.892500000000002
On,2005-07-04 09:49:00,2005-07-04 10:03:00,14.0,33.528000000000006,30.826000000000004
Off,2005-07-04 10:03:00,2005-07-04 10:14:00,11.0,32.47,30.971666666666664
On,2005-07-04 10:14:00,2005-07-04 10:21:00,7.0,33.71625,30.82125
Off,2005-07-04 10:21:00,2005-07-04 10:33:00,12.0,32.66,31.77307692307692
On,2005-07-04 10:33:00,2005-07-04 10:49:00,16.0,33.73529411764706,31.745882352941173
Off,2005-07-04 10:49:00,2005-07-04 10:57:00,8.0,32.47,31.32
On,2005-07-04 10:57:00,2005-07-04 11:05:00,8.0,33.42555555555556,30.016666666666666
Off,2005-07-04 11:05:00,2005-07-04 11:17:00,12.0,32.28,30.696923076923074
On,2005-07-04 11:17:00,2005-07-04 11:25:00,8.0,33.361111111111114,32.29666666666666
Off,2005-07-04 11:25:00,2005-07-04 11:37:00,12.0,32.66,32.216153846153844
On,2005-07-04 11:37:00,2005-07-04 11:44:00,7.0,33.47125,31.7725
Off,2005-07-04 11:44:00,2005-07-04 11:50:00,6.0,32.86,31.975714285714286
On,2005-07-04 11:50:00,2005-07-04 11:56:00,6.0,33.501428571428576,32.00285714285714
Off,2005-07-04 11:56:00,2005-07-04 12:07:00,11.0,31.51,30.924166666666665
On,2005-07-04 12:07:00,2005-07-04 12:18:00,11.0,33.30250000000001,31.385833333333334
Off,2005-07-04 12:18:00,2005-07-04 12:31:00,13.0,32.86,32.830000000000005
On,2005-07-04 12:31:00,2005-07-04 12:40:00,9.0,33.93900000000001,33.111000000000004
Off,2005-07-04 12:40:00,2005-07-04 12:49:00,9.0,32.86,32.491
On,2005-07-04 12:49:00,2005-07-04 13:01:00,12.0,34.09846153846154,32.54538461538462
Off,2005-07-04 13:01:00,2005-07-04 13:14:00,13.0,31.51,31.877857142857142
On,2005-07-04 13:14:00,2005-07-04 13:20:00,6.0,33.36857142857143,31.29285714285714
