Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-06-06 07:01:00,2005-06-06 07:21:00,20.0,33.691428571428574,23.741904761904763
Off,2005-06-06 07:21:00,2005-06-06 07:26:00,5.0,28.51,23.740000000000006
On,2005-06-06 07:26:00,2005-06-06 07:34:00,8.0,32.01111111111111,23.643333333333334
Off,2005-06-06 07:34:00,2005-06-06 07:39:00,5.0,28.88,23.8
On,2005-06-06 07:39:00,2005-06-06 08:02:00,23.0,34.98791666666667,24.222916666666663
Off,2005-06-06 08:02:00,2005-06-06 08:08:00,6.0,29.07,24.56
On,2005-06-06 08:08:00,2005-06-06 08:17:00,9.0,32.257,24.433999999999997
Off,2005-06-06 08:17:00,2005-06-06 08:24:00,7.0,28.7,24.27375
On,2005-06-06 08:24:00,2005-06-06 08:34:00,10.0,32.50090909090909,24.12727272727273
Off,2005-06-06 08:34:00,2005-06-06 08:43:00,9.0,28.7,24.433999999999997
On,2005-06-06 08:43:00,2005-06-06 08:55:00,12.0,31.61615384615385,24.435384615384613
Off,2005-06-06 08:55:00,2005-06-06 09:02:00,7.0,28.7,24.605
On,2005-06-06 09:02:00,2005-06-06 09:10:00,8.0,32.33777777777778,24.419999999999998
Off,2005-06-06 09:10:00,2005-06-06 09:12:00,2.0,32.08,24.56
On,2005-06-06 09:12:00,2005-06-06 09:18:00,6.0,34.27,24.71142857142857
Off,2005-06-06 09:18:00,2005-06-06 09:24:00,6.0,30.0,24.835714285714285
On,2005-06-06 09:24:00,2005-06-06 09:39:00,15.0,34.243750000000006,24.790625
Off,2005-06-06 09:39:00,2005-06-06 09:46:00,7.0,30.0,24.9575
On,2005-06-06 09:46:00,2005-06-06 10:01:00,15.0,34.088125000000005,24.943749999999998
Off,2005-06-06 10:01:00,2005-06-06 10:08:00,7.0,30.75,25.1575
On,2005-06-06 10:08:00,2005-06-06 10:30:00,22.0,34.76782608695652,25.606521739130436
Off,2005-06-06 10:30:00,2005-06-06 10:35:00,5.0,31.32,25.89
On,2005-06-06 10:35:00,2005-06-06 10:48:00,13.0,34.36571428571429,25.915714285714294
Off,2005-06-06 10:48:00,2005-06-06 10:58:00,10.0,34.63,26.094545454545457
On,2005-06-06 10:58:00,2005-06-06 11:01:00,3.0,35.3425,25.8
Off,2005-06-06 11:01:00,2005-06-06 11:03:00,2.0,34.63,25.74
On,2005-06-06 11:03:00,2005-06-06 11:05:00,2.0,36.123333333333335,25.86
Off,2005-06-06 11:05:00,2005-06-06 11:12:00,7.0,33.25,25.8675
On,2005-06-06 11:12:00,2005-06-06 11:25:00,13.0,35.07357142857143,25.710000000000004
Off,2005-06-06 11:25:00,2005-06-06 11:38:00,13.0,30.37,25.62071428571429
On,2005-06-06 11:38:00,2005-06-06 11:52:00,14.0,32.524,25.884000000000007
Off,2005-06-06 11:52:00,2005-06-06 12:09:00,17.0,32.28,26.449999999999996
On,2005-06-06 12:09:00,2005-06-06 12:25:00,16.0,34.09882352941176,26.28705882352941
Off,2005-06-06 12:25:00,2005-06-06 12:29:00,4.0,31.89,26.7
On,2005-06-06 12:29:00,2005-06-06 12:33:00,4.0,32.982,26.7
Off,2005-06-06 12:33:00,2005-06-06 12:37:00,4.0,32.08,26.7
On,2005-06-06 12:37:00,2005-06-06 12:45:00,8.0,34.19888888888889,26.599999999999998
Off,2005-06-06 12:45:00,2005-06-06 12:55:00,10.0,32.47,27.223636363636366
On,2005-06-06 12:55:00,2005-06-06 13:05:00,10.0,34.87727272727272,27.125454545454545
Off,2005-06-06 13:05:00,2005-06-06 13:14:00,9.0,31.32,26.844
On,2005-06-06 13:14:00,2005-06-06 13:34:00,20.0,34.823809523809516,26.897142857142853
Off,2005-06-06 13:34:00,2005-06-06 13:40:00,6.0,32.66,27.00857142857143
On,2005-06-06 13:40:00,2005-06-06 13:53:00,13.0,34.57214285714285,27.060000000000002
Off,2005-06-06 13:53:00,2005-06-06 14:03:00,10.0,31.32,27.10909090909091
On,2005-06-06 14:03:00,2005-06-06 14:14:00,11.0,34.72583333333333,27.225000000000005
Off,2005-06-06 14:14:00,2005-06-06 14:24:00,10.0,31.89,27.6
On,2005-06-06 14:24:00,2005-06-06 14:30:00,6.0,34.36,27.599999999999998
Off,2005-06-06 14:30:00,2005-06-06 14:43:00,13.0,31.32,27.51
On,2005-06-06 14:43:00,2005-06-06 15:01:00,18.0,34.87421052631579,27.609473684210524
Off,2005-06-06 15:01:00,2005-06-06 15:11:00,10.0,32.66,27.730909090909087
On,2005-06-06 15:11:00,2005-06-06 15:24:00,13.0,35.199285714285715,27.54857142857143
Off,2005-06-06 15:24:00,2005-06-06 15:30:00,6.0,32.86,27.91142857142857
On,2005-06-06 15:30:00,2005-06-06 15:44:00,14.0,35.330666666666666,27.684000000000008
Off,2005-06-06 15:44:00,2005-06-06 15:52:00,8.0,32.66,27.6
On,2005-06-06 15:52:00,2005-06-06 16:04:00,12.0,35.01076923076924,27.82307692307692
Off,2005-06-06 16:04:00,2005-06-06 16:20:00,16.0,32.28,27.907647058823528
On,2005-06-06 16:20:00,2005-06-06 16:28:00,8.0,33.84222222222222,28.002222222222223
Off,2005-06-06 16:28:00,2005-06-06 16:31:00,3.0,33.64,28.285
On,2005-06-06 16:31:00,2005-06-06 16:51:00,20.0,34.16857142857143,28.42428571428572
Off,2005-06-06 16:51:00,2005-06-06 17:02:00,11.0,32.28,28.36083333333333
On,2005-06-06 17:02:00,2005-06-06 17:09:00,7.0,34.902499999999996,28.465000000000003
Off,2005-06-06 17:09:00,2005-06-06 17:18:00,9.0,31.13,28.294
On,2005-06-06 17:18:00,2005-06-06 17:29:00,11.0,33.635,28.39
Off,2005-06-06 17:29:00,2005-06-06 17:34:00,5.0,32.66,28.39
On,2005-06-06 17:34:00,2005-06-06 17:45:00,11.0,34.910000000000004,27.991666666666664
Off,2005-06-06 17:45:00,2005-06-06 17:50:00,5.0,32.47,27.960000000000004
On,2005-06-06 17:50:00,2005-06-06 18:19:00,29.0,35.712999999999994,27.907666666666668
Off,2005-06-06 18:19:00,2005-06-06 18:27:00,8.0,31.89,28.024444444444445
On,2005-06-06 18:27:00,2005-06-06 18:46:00,19.0,35.481500000000004,27.627000000000002
Off,2005-06-06 18:46:00,2005-06-06 18:57:00,11.0,30.37,27.480000000000004
On,2005-06-06 18:57:00,2005-06-06 19:22:00,25.0,35.66730769230769,27.419999999999998
Off,2005-06-06 19:22:00,2005-06-06 19:31:00,9.0,30.56,27.113999999999997
On,2005-06-06 19:31:00,2005-06-06 19:48:00,17.0,35.31888888888889,26.959999999999997
Off,2005-06-06 19:48:00,2005-06-06 19:58:00,10.0,30.75,26.94545454545454
On,2005-06-06 19:58:00,2005-06-06 20:01:00,3.0,31.655,26.88
Off,2005-06-06 20:01:00,2005-06-06 20:05:00,4.0,30.18,26.880000000000003
On,2005-06-06 20:05:00,2005-06-06 20:11:00,6.0,33.56999999999999,26.88
Off,2005-06-06 20:11:00,2005-06-06 20:18:00,7.0,30.37,26.835
On,2005-06-06 20:18:00,2005-06-06 20:45:00,27.0,32.856428571428566,25.67428571428572
Off,2005-06-06 20:45:00,2005-06-06 20:49:00,4.0,30.0,25.09
On,2005-06-06 20:49:00,2005-06-06 21:54:00,65.0,34.80924242424242,24.447878787878793
Off,2005-06-06 21:54:00,2005-06-06 22:10:00,16.0,31.89,24.299411764705884
Nocturnal,2005-06-06 22:10:00,2005-06-07 01:13:00,183.0,33.208858695652175,23.690217391304348
Off,2005-06-07 01:13:00,2005-06-07 01:31:00,18.0,31.51,23.527894736842104
Nocturnal,2005-06-07 01:31:00,2005-06-07 02:36:00,65.0,34.44272727272727,23.369848484848482
Off,2005-06-07 02:36:00,2005-06-07 03:20:00,44.0,30.94,22.94044444444444
Nocturnal,2005-06-07 03:20:00,2005-06-07 06:22:00,182.0,33.22765027322405,23.102185792349726
Off,2005-06-07 06:22:00,2005-06-07 06:32:00,10.0,26.7,22.717272727272725
On,2005-06-07 06:32:00,2005-06-07 06:53:00,21.0,35.146818181818176,22.825454545454548
Off,2005-06-07 06:53:00,2005-06-07 07:00:00,7.0,28.88,22.895000000000003
On,2005-06-07 07:00:00,2005-06-07 08:01:00,61.0,33.934677419354834,22.62306451612904
Off,2005-06-07 08:01:00,2005-06-07 08:08:00,7.0,27.78,23.2025
On,2005-06-07 08:08:00,2005-06-07 08:21:00,13.0,32.09357142857142,23.258571428571425
Off,2005-06-07 08:21:00,2005-06-07 08:26:00,5.0,29.44,23.65166666666667
On,2005-06-07 08:26:00,2005-06-07 08:39:00,13.0,34.63642857142857,24.02
Off,2005-06-07 08:39:00,2005-06-07 08:45:00,6.0,29.25,24.560000000000002
On,2005-06-07 08:45:00,2005-06-07 08:49:00,4.0,32.702,24.703999999999997
Off,2005-06-07 08:49:00,2005-06-07 09:06:00,17.0,27.78,24.73
On,2005-06-07 09:06:00,2005-06-07 09:35:00,29.0,33.77400000000001,25.29766666666666
Off,2005-06-07 09:35:00,2005-06-07 09:44:00,9.0,30.37,25.908000000000005
On,2005-06-07 09:44:00,2005-06-07 09:54:00,10.0,33.53090909090909,25.816363636363636
Off,2005-06-07 09:54:00,2005-06-07 10:02:00,8.0,30.94,25.98
On,2005-06-07 10:02:00,2005-06-07 10:11:00,9.0,35.242,25.962
Off,2005-06-07 10:11:00,2005-06-07 10:19:00,8.0,31.32,26.24
On,2005-06-07 10:19:00,2005-06-07 10:26:00,7.0,34.32625,26.4975
Off,2005-06-07 10:26:00,2005-06-07 10:35:00,9.0,31.51,26.43
On,2005-06-07 10:35:00,2005-06-07 10:44:00,9.0,34.167,26.753999999999998
Off,2005-06-07 10:44:00,2005-06-07 10:51:00,7.0,32.47,27.442500000000003
On,2005-06-07 10:51:00,2005-06-07 11:24:00,33.0,35.984117647058824,27.606764705882355
Off,2005-06-07 11:24:00,2005-06-07 11:35:00,11.0,30.18,27.855833333333333
On,2005-06-07 11:35:00,2005-06-07 11:43:00,8.0,34.18222222222222,28.084444444444443
Off,2005-06-07 11:43:00,2005-06-07 11:53:00,10.0,30.0,27.914545454545454
On,2005-06-07 11:53:00,2005-06-07 12:05:00,12.0,34.839999999999996,28.020769230769226
Off,2005-06-07 12:05:00,2005-06-07 12:18:00,13.0,31.13,28.239285714285703
On,2005-06-07 12:18:00,2005-06-07 12:24:00,6.0,33.06428571428571,27.960000000000004
Off,2005-06-07 12:24:00,2005-06-07 12:31:00,7.0,32.08,28.39875
On,2005-06-07 12:31:00,2005-06-07 12:40:00,9.0,36.105000000000004,28.975
Off,2005-06-07 12:40:00,2005-06-07 12:47:00,7.0,33.25,29.0225
On,2005-06-07 12:47:00,2005-06-07 12:57:00,10.0,34.451818181818176,29.034545454545455
Off,2005-06-07 12:57:00,2005-06-07 13:02:00,5.0,32.47,29.159999999999997
On,2005-06-07 13:02:00,2005-06-07 13:15:00,13.0,34.43357142857143,29.254285714285714
Off,2005-06-07 13:15:00,2005-06-07 13:22:00,7.0,33.44,29.277500000000003
On,2005-06-07 13:22:00,2005-06-07 13:29:00,7.0,34.387499999999996,29.485
Off,2005-06-07 13:29:00,2005-06-07 13:35:00,6.0,31.7,29.17428571428571
On,2005-06-07 13:35:00,2005-06-07 13:49:00,14.0,34.388,28.919999999999998
Off,2005-06-07 13:49:00,2005-06-07 13:53:00,4.0,32.47,29.177999999999997
On,2005-06-07 13:53:00,2005-06-07 14:16:00,23.0,34.60458333333333,29.927916666666665
Off,2005-06-07 14:16:00,2005-06-07 14:25:00,9.0,31.89,30.145
On,2005-06-07 14:25:00,2005-06-07 14:45:00,20.0,33.040952380952376,30.327142857142853
Off,2005-06-07 14:45:00,2005-06-07 14:53:00,8.0,30.94,30.285555555555554
On,2005-06-07 14:53:00,2005-06-07 15:34:00,41.0,34.477619047619044,30.76809523809524
Off,2005-06-07 15:34:00,2005-06-07 15:42:00,8.0,33.64,30.77111111111111
On,2005-06-07 15:42:00,2005-06-07 15:59:00,17.0,36.33166666666668,30.285555555555554
Off,2005-06-07 15:59:00,2005-06-07 16:07:00,8.0,33.64,30.45444444444444
