Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-05-21 20:01:00,2006-05-21 20:12:00,11.0,34.847500000000004,30.120833333333334
Off,2006-05-21 20:12:00,2006-05-21 20:40:00,28.0,29.07,29.291724137931045
Nocturnal,2006-05-21 20:40:00,2006-05-22 06:10:00,570.0,27.861401050788093,23.604290718038527
Off,2006-05-22 06:10:00,2006-05-22 06:19:00,9.0,22.98,20.451
On,2006-05-22 06:19:00,2006-05-22 06:28:00,9.0,24.527,20.4
Off,2006-05-22 06:28:00,2006-05-22 06:36:00,8.0,23.51,20.4
On,2006-05-22 06:36:00,2006-05-22 06:48:00,12.0,27.046153846153842,20.57
Off,2006-05-22 06:48:00,2006-05-22 06:55:00,7.0,23.86,20.74
On,2006-05-22 06:55:00,2006-05-22 07:06:00,11.0,27.71166666666667,20.980833333333326
Off,2006-05-22 07:06:00,2006-05-22 07:11:00,5.0,25.98,21.230000000000004
On,2006-05-22 07:11:00,2006-05-22 07:31:00,20.0,28.913809523809526,21.173809523809524
Off,2006-05-22 07:31:00,2006-05-22 07:41:00,10.0,25.27,21.491818181818182
On,2006-05-22 07:41:00,2006-05-22 07:54:00,13.0,27.37214285714285,21.785714285714285
Off,2006-05-22 07:54:00,2006-05-22 08:00:00,6.0,25.09,21.998571428571427
On,2006-05-22 08:00:00,2006-05-22 08:30:00,30.0,28.811935483870965,22.12
Off,2006-05-22 08:30:00,2006-05-22 08:46:00,16.0,27.24,22.43176470588235
On,2006-05-22 08:46:00,2006-05-22 08:54:00,8.0,27.865555555555556,22.772222222222222
Off,2006-05-22 08:54:00,2006-05-22 09:05:00,11.0,27.06,23.215
On,2006-05-22 09:05:00,2006-05-22 09:19:00,14.0,29.244666666666667,24.255333333333333
Off,2006-05-22 09:19:00,2006-05-22 09:26:00,7.0,28.7,24.604999999999997
On,2006-05-22 09:26:00,2006-05-22 09:35:00,9.0,30.155,24.931
Off,2006-05-22 09:35:00,2006-05-22 09:42:00,7.0,30.0,25.846249999999998
On,2006-05-22 09:42:00,2006-05-22 10:00:00,18.0,32.94736842105264,26.7
Off,2006-05-22 10:00:00,2006-05-22 10:09:00,9.0,30.37,26.933999999999997
On,2006-05-22 10:09:00,2006-05-22 10:29:00,20.0,33.77285714285714,28.52904761904762
Off,2006-05-22 10:29:00,2006-05-22 10:34:00,5.0,33.64,28.881666666666664
On,2006-05-22 10:34:00,2006-05-22 12:49:00,135.0,37.04904411764706,32.83102941176471
Off,2006-05-22 12:49:00,2006-05-22 13:02:00,13.0,38.35,34.60428571428572
On,2006-05-22 13:02:00,2006-05-22 16:47:00,225.0,37.97407079646018,35.32008849557522
