#,date,tempe,ambient
1,06/09/06 08:01:00 PM,35.03,30.56
2,06/09/06 08:02:00 PM,34.43,30.56
3,06/09/06 08:03:00 PM,34.23,30.37
4,06/09/06 08:04:00 PM,35.03,30.37
5,06/09/06 08:05:00 PM,34.83,30.37
6,06/09/06 08:06:00 PM,35.24,30.37
7,06/09/06 08:07:00 PM,34.43,30.18
8,06/09/06 08:08:00 PM,34.04,30.18
9,06/09/06 08:09:00 PM,33.64,30.18
10,06/09/06 08:10:00 PM,33.44,30.18
11,06/09/06 08:11:00 PM,33.25,30.18
12,06/09/06 08:12:00 PM,34.04,30.18
13,06/09/06 08:13:00 PM,34.43,30.18
14,06/09/06 08:14:00 PM,35.64,30.0
15,06/09/06 08:15:00 PM,36.67,30.0
16,06/09/06 08:16:00 PM,37.29,30.0
17,06/09/06 08:17:00 PM,37.71,30.0
18,06/09/06 08:18:00 PM,37.92,30.0
19,06/09/06 08:19:00 PM,38.14,30.0
20,06/09/06 08:20:00 PM,38.35,29.81
21,06/09/06 08:21:00 PM,38.14,29.81
22,06/09/06 08:22:00 PM,37.5,29.81
23,06/09/06 08:23:00 PM,37.29,29.81
24,06/09/06 08:24:00 PM,35.85,29.81
25,06/09/06 08:25:00 PM,34.83,29.81
26,06/09/06 08:26:00 PM,34.04,29.62
27,06/09/06 08:27:00 PM,33.64,29.62
28,06/09/06 08:28:00 PM,33.44,29.62
29,06/09/06 08:29:00 PM,33.25,29.62
30,06/09/06 08:30:00 PM,34.23,29.62
31,06/09/06 08:31:00 PM,34.43,29.62
32,06/09/06 08:32:00 PM,34.04,29.44
33,06/09/06 08:33:00 PM,33.64,29.44
34,06/09/06 08:34:00 PM,33.25,29.44
35,06/09/06 08:35:00 PM,32.86,29.44
36,06/09/06 08:36:00 PM,32.86,29.44
37,06/09/06 08:37:00 PM,32.66,29.44
38,06/09/06 08:38:00 PM,32.47,29.44
39,06/09/06 08:39:00 PM,32.47,29.44
40,06/09/06 08:40:00 PM,32.28,29.25
41,06/09/06 08:41:00 PM,32.28,29.25
42,06/09/06 08:42:00 PM,32.28,29.25
43,06/09/06 08:43:00 PM,34.04,29.25
44,06/09/06 08:44:00 PM,35.24,29.25
45,06/09/06 08:45:00 PM,36.05,29.25
46,06/09/06 08:46:00 PM,36.46,29.25
47,06/09/06 08:47:00 PM,36.88,29.25
48,06/09/06 08:48:00 PM,36.88,29.25
49,06/09/06 08:49:00 PM,36.88,29.07
50,06/09/06 08:50:00 PM,36.88,29.07
51,06/09/06 08:51:00 PM,36.26,29.07
52,06/09/06 08:52:00 PM,36.46,29.07
53,06/09/06 08:53:00 PM,36.46,29.07
54,06/09/06 08:54:00 PM,36.67,29.07
55,06/09/06 08:55:00 PM,36.67,29.07
56,06/09/06 08:56:00 PM,36.67,29.07
57,06/09/06 08:57:00 PM,36.46,29.07
58,06/09/06 08:58:00 PM,36.46,29.07
59,06/09/06 08:59:00 PM,35.64,29.07
60,06/09/06 09:00:00 PM,35.85,29.07
61,06/09/06 09:01:00 PM,35.85,28.88
62,06/09/06 09:02:00 PM,36.05,28.88
63,06/09/06 09:03:00 PM,35.85,28.88
64,06/09/06 09:04:00 PM,35.64,28.88
65,06/09/06 09:05:00 PM,35.64,28.88
66,06/09/06 09:06:00 PM,35.64,28.88
67,06/09/06 09:07:00 PM,35.44,28.88
68,06/09/06 09:08:00 PM,35.24,28.88
69,06/09/06 09:09:00 PM,34.83,28.88
70,06/09/06 09:10:00 PM,34.83,28.7
71,06/09/06 09:11:00 PM,35.24,28.7
72,06/09/06 09:12:00 PM,35.24,28.7
73,06/09/06 09:13:00 PM,35.44,28.7
74,06/09/06 09:14:00 PM,35.44,28.7
75,06/09/06 09:15:00 PM,35.44,28.7
76,06/09/06 09:16:00 PM,35.24,28.7
77,06/09/06 09:17:00 PM,34.83,28.7
78,06/09/06 09:18:00 PM,34.43,28.7
79,06/09/06 09:19:00 PM,34.23,28.51
80,06/09/06 09:20:00 PM,34.23,28.7
81,06/09/06 09:21:00 PM,34.23,28.7
82,06/09/06 09:22:00 PM,34.23,28.7
83,06/09/06 09:23:00 PM,34.63,28.51
84,06/09/06 09:24:00 PM,35.03,28.51
85,06/09/06 09:25:00 PM,35.24,28.51
86,06/09/06 09:26:00 PM,35.44,28.51
87,06/09/06 09:27:00 PM,35.44,28.51
88,06/09/06 09:28:00 PM,35.64,28.51
89,06/09/06 09:29:00 PM,35.64,28.51
90,06/09/06 09:30:00 PM,35.85,28.51
91,06/09/06 09:31:00 PM,35.85,28.51
92,06/09/06 09:32:00 PM,35.85,28.51
93,06/09/06 09:33:00 PM,35.85,28.51
94,06/09/06 09:34:00 PM,35.85,28.51
95,06/09/06 09:35:00 PM,35.85,28.33
96,06/09/06 09:36:00 PM,35.85,28.33
97,06/09/06 09:37:00 PM,35.85,28.33
98,06/09/06 09:38:00 PM,35.85,28.33
99,06/09/06 09:39:00 PM,35.85,28.33
100,06/09/06 09:40:00 PM,35.85,28.33
101,06/09/06 09:41:00 PM,35.85,28.33
102,06/09/06 09:42:00 PM,35.64,28.15
103,06/09/06 09:43:00 PM,35.64,28.15
104,06/09/06 09:44:00 PM,35.44,28.15
105,06/09/06 09:45:00 PM,35.44,28.15
106,06/09/06 09:46:00 PM,35.44,28.15
107,06/09/06 09:47:00 PM,35.44,28.15
108,06/09/06 09:48:00 PM,35.44,28.15
109,06/09/06 09:49:00 PM,35.44,28.15
110,06/09/06 09:50:00 PM,35.44,28.15
111,06/09/06 09:51:00 PM,35.44,27.96
112,06/09/06 09:52:00 PM,35.64,27.96
113,06/09/06 09:53:00 PM,35.64,27.96
114,06/09/06 09:54:00 PM,35.64,27.96
115,06/09/06 09:55:00 PM,35.44,27.96
116,06/09/06 09:56:00 PM,35.24,27.96
117,06/09/06 09:57:00 PM,35.24,27.96
118,06/09/06 09:58:00 PM,35.24,27.96
119,06/09/06 09:59:00 PM,35.24,27.96
120,06/09/06 10:00:00 PM,35.03,27.96
121,06/09/06 10:01:00 PM,34.83,27.96
122,06/09/06 10:02:00 PM,34.83,27.78
123,06/09/06 10:03:00 PM,34.83,27.78
124,06/09/06 10:04:00 PM,34.63,27.78
125,06/09/06 10:05:00 PM,34.63,27.78
126,06/09/06 10:06:00 PM,34.63,27.78
127,06/09/06 10:07:00 PM,34.43,27.78
128,06/09/06 10:08:00 PM,34.43,27.78
129,06/09/06 10:09:00 PM,34.63,27.78
130,06/09/06 10:10:00 PM,35.03,27.78
131,06/09/06 10:11:00 PM,35.24,27.78
132,06/09/06 10:12:00 PM,35.44,27.78
133,06/09/06 10:13:00 PM,35.44,27.6
134,06/09/06 10:14:00 PM,35.44,27.6
135,06/09/06 10:15:00 PM,35.44,27.6
136,06/09/06 10:16:00 PM,35.24,27.6
137,06/09/06 10:17:00 PM,35.24,27.42
138,06/09/06 10:18:00 PM,35.03,27.42
139,06/09/06 10:19:00 PM,35.24,27.42
140,06/09/06 10:20:00 PM,35.24,27.42
141,06/09/06 10:21:00 PM,35.44,27.42
142,06/09/06 10:22:00 PM,35.44,27.42
143,06/09/06 10:23:00 PM,35.44,27.42
144,06/09/06 10:24:00 PM,35.64,27.42
145,06/09/06 10:25:00 PM,35.64,27.42
146,06/09/06 10:26:00 PM,35.64,27.42
147,06/09/06 10:27:00 PM,35.64,27.42
148,06/09/06 10:28:00 PM,35.64,27.42
149,06/09/06 10:29:00 PM,35.64,27.24
150,06/09/06 10:30:00 PM,35.64,27.24
151,06/09/06 10:31:00 PM,35.64,27.24
152,06/09/06 10:32:00 PM,35.64,27.24
153,06/09/06 10:33:00 PM,35.64,27.24
154,06/09/06 10:34:00 PM,35.64,27.24
155,06/09/06 10:35:00 PM,35.24,27.24
156,06/09/06 10:36:00 PM,35.03,27.24
157,06/09/06 10:37:00 PM,34.83,27.06
158,06/09/06 10:38:00 PM,34.83,27.06
159,06/09/06 10:39:00 PM,34.83,27.06
160,06/09/06 10:40:00 PM,34.83,27.06
161,06/09/06 10:41:00 PM,35.03,27.06
162,06/09/06 10:42:00 PM,35.03,27.06
163,06/09/06 10:43:00 PM,35.03,27.06
164,06/09/06 10:44:00 PM,35.03,27.06
165,06/09/06 10:45:00 PM,35.03,27.06
166,06/09/06 10:46:00 PM,35.24,27.06
167,06/09/06 10:47:00 PM,35.44,27.06
168,06/09/06 10:48:00 PM,35.64,27.06
169,06/09/06 10:49:00 PM,35.44,27.06
170,06/09/06 10:50:00 PM,35.44,27.06
171,06/09/06 10:51:00 PM,35.44,26.88
172,06/09/06 10:52:00 PM,35.44,26.88
173,06/09/06 10:53:00 PM,35.44,26.88
174,06/09/06 10:54:00 PM,35.44,26.88
175,06/09/06 10:55:00 PM,35.64,26.88
176,06/09/06 10:56:00 PM,35.64,26.88
177,06/09/06 10:57:00 PM,35.64,26.88
178,06/09/06 10:58:00 PM,35.64,26.88
179,06/09/06 10:59:00 PM,35.64,26.88
180,06/09/06 11:00:00 PM,35.64,26.7
181,06/09/06 11:01:00 PM,35.64,26.7
182,06/09/06 11:02:00 PM,35.64,26.88
183,06/09/06 11:03:00 PM,35.64,26.7
184,06/09/06 11:04:00 PM,35.64,26.88
185,06/09/06 11:05:00 PM,35.64,26.7
186,06/09/06 11:06:00 PM,35.64,26.7
187,06/09/06 11:07:00 PM,35.64,26.7
188,06/09/06 11:08:00 PM,35.64,26.7
189,06/09/06 11:09:00 PM,35.64,26.7
190,06/09/06 11:10:00 PM,35.64,26.7
191,06/09/06 11:11:00 PM,35.64,26.7
