Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-06-09 20:01:00,2006-06-09 20:07:00,6.0,34.74571428571429,30.397142857142857
Off,2006-06-09 20:07:00,2006-06-09 20:11:00,4.0,33.25,30.18
On,2006-06-09 20:11:00,2006-06-09 20:23:00,12.0,36.643846153846155,29.983076923076922
Off,2006-06-09 20:23:00,2006-06-09 20:29:00,6.0,33.25,29.701428571428572
On,2006-06-09 20:29:00,2006-06-09 20:33:00,4.0,33.91799999999999,29.548000000000002
Off,2006-06-09 20:33:00,2006-06-09 20:41:00,8.0,32.28,29.397777777777776
Nocturnal,2006-06-09 20:41:00,2006-06-10 06:22:00,581.0,35.198865979381445,25.96740549828179
Off,2006-06-10 06:22:00,2006-06-10 06:31:00,9.0,30.37,24.174
On,2006-06-10 06:31:00,2006-06-10 06:55:00,24.0,35.4244,24.138
Off,2006-06-10 06:55:00,2006-06-10 07:02:00,7.0,30.56,24.21
On,2006-06-10 07:02:00,2006-06-10 07:10:00,8.0,34.65222222222222,24.304444444444446
Off,2006-06-10 07:10:00,2006-06-10 07:17:00,7.0,30.0,24.38
On,2006-06-10 07:17:00,2006-06-10 07:38:00,21.0,36.566818181818185,24.388181818181817
Off,2006-06-10 07:38:00,2006-06-10 07:44:00,6.0,32.66,24.56
On,2006-06-10 07:44:00,2006-06-10 07:57:00,13.0,36.300714285714285,24.812142857142852
Off,2006-06-10 07:57:00,2006-06-10 08:04:00,7.0,31.89,25.0
On,2006-06-10 08:04:00,2006-06-10 08:21:00,17.0,35.66666666666667,25.376111111111115
Off,2006-06-10 08:21:00,2006-06-10 08:32:00,11.0,32.08,26.070000000000004
On,2006-06-10 08:32:00,2006-06-10 08:52:00,20.0,36.076190476190476,25.063809523809525
Off,2006-06-10 08:52:00,2006-06-10 09:02:00,10.0,32.28,25.09
On,2006-06-10 09:02:00,2006-06-10 09:38:00,36.0,35.144594594594594,26.00594594594594
Off,2006-06-10 09:38:00,2006-06-10 09:50:00,12.0,32.28,27.627692307692307
On,2006-06-10 09:50:00,2006-06-10 10:02:00,12.0,36.10384615384615,28.03230769230769
Off,2006-06-10 10:02:00,2006-06-10 10:10:00,8.0,33.44,28.33
On,2006-06-10 10:10:00,2006-06-10 10:24:00,14.0,36.98066666666667,29.11733333333333
Off,2006-06-10 10:24:00,2006-06-10 10:39:00,15.0,34.23,30.030625
On,2006-06-10 10:39:00,2006-06-10 10:51:00,12.0,37.40769230769231,30.443076923076923
Off,2006-06-10 10:51:00,2006-06-10 11:01:00,10.0,36.05,30.732727272727274
On,2006-06-10 11:01:00,2006-06-10 11:07:00,6.0,36.99857142857143,31.59142857142857
Off,2006-06-10 11:07:00,2006-06-10 11:18:00,11.0,36.05,31.889999999999997
On,2006-06-10 11:18:00,2006-06-10 11:28:00,10.0,37.23727272727273,32.1890909090909
Off,2006-06-10 11:28:00,2006-06-10 11:45:00,17.0,35.24,32.69555555555555
On,2006-06-10 11:45:00,2006-06-10 11:57:00,12.0,37.28692307692308,32.751538461538466
Off,2006-06-10 11:57:00,2006-06-10 12:04:00,7.0,36.05,33.246249999999996
On,2006-06-10 12:04:00,2006-06-10 12:10:00,6.0,36.82,33.46857142857142
Off,2006-06-10 12:10:00,2006-06-10 12:17:00,7.0,36.46,33.665000000000006
On,2006-06-10 12:17:00,2006-06-10 13:20:00,63.0,37.6790625,34.500625
Off,2006-06-10 13:20:00,2006-06-10 13:31:00,11.0,37.08,35.37166666666667
On,2006-06-10 13:31:00,2006-06-10 13:45:00,14.0,38.16733333333333,35.904
Off,2006-06-10 13:45:00,2006-06-10 13:57:00,12.0,37.5,35.58307692307692
On,2006-06-10 13:57:00,2006-06-10 14:03:00,6.0,38.28857142857144,35.23714285714286
Off,2006-06-10 14:03:00,2006-06-10 14:08:00,5.0,37.71,36.36
On,2006-06-10 14:08:00,2006-06-10 15:54:00,106.0,38.62803738317758,36.42317757009346
Off,2006-06-10 15:54:00,2006-06-10 16:01:00,7.0,38.35,36.59125
On,2006-06-10 16:01:00,2006-06-10 16:06:00,5.0,39.06666666666666,36.428333333333335
Off,2006-06-10 16:06:00,2006-06-10 16:23:00,17.0,37.29,35.371666666666655
On,2006-06-10 16:23:00,2006-06-10 16:29:00,6.0,38.13714285714286,35.55714285714286
Off,2006-06-10 16:29:00,2006-06-10 16:41:00,12.0,37.29,35.4376923076923
On,2006-06-10 16:41:00,2006-06-10 16:51:00,10.0,38.197272727272725,35.22090909090909
Off,2006-06-10 16:51:00,2006-06-10 17:02:00,11.0,36.46,34.005
