#,date,tempe,ambient
1,04/27/06 08:01:00 AM,32.47,21.26
2,04/27/06 08:02:00 AM,32.66,21.43
3,04/27/06 08:03:00 AM,32.86,21.43
4,04/27/06 08:04:00 AM,32.28,21.43
5,04/27/06 08:05:00 AM,33.25,21.6
6,04/27/06 08:06:00 AM,34.04,21.6
7,04/27/06 08:07:00 AM,34.63,21.6
8,04/27/06 08:08:00 AM,35.03,21.6
9,04/27/06 08:09:00 AM,34.23,21.6
10,04/27/06 08:10:00 AM,35.03,21.77
11,04/27/06 08:11:00 AM,35.85,21.77
12,04/27/06 08:12:00 AM,36.46,21.77
13,04/27/06 08:13:00 AM,34.83,21.77
14,04/27/06 08:14:00 AM,35.44,21.95
15,04/27/06 08:15:00 AM,35.64,21.77
16,04/27/06 08:16:00 AM,35.85,21.77
17,04/27/06 08:17:00 AM,35.85,21.95
18,04/27/06 08:18:00 AM,35.85,21.95
19,04/27/06 08:19:00 AM,35.85,21.95
20,04/27/06 08:20:00 AM,33.64,21.95
21,04/27/06 08:21:00 AM,30.94,21.95
22,04/27/06 08:22:00 AM,28.88,21.43
23,04/27/06 08:23:00 AM,27.6,21.26
24,04/27/06 08:24:00 AM,26.52,21.08
25,04/27/06 08:25:00 AM,26.88,21.08
26,04/27/06 08:26:00 AM,31.13,21.08
27,04/27/06 08:27:00 AM,34.04,21.26
28,04/27/06 08:28:00 AM,33.05,21.08
29,04/27/06 08:29:00 AM,32.66,21.08
30,04/27/06 08:30:00 AM,35.03,21.08
31,04/27/06 08:31:00 AM,36.67,20.91
32,04/27/06 08:32:00 AM,37.71,21.08
33,04/27/06 08:33:00 AM,38.14,21.08
34,04/27/06 08:34:00 AM,38.35,21.26
35,04/27/06 08:35:00 AM,38.78,21.26
36,04/27/06 08:36:00 AM,38.78,21.26
37,04/27/06 08:37:00 AM,38.99,21.43
38,04/27/06 08:38:00 AM,38.14,21.43
39,04/27/06 08:39:00 AM,36.05,21.6
40,04/27/06 08:40:00 AM,36.05,21.43
41,04/27/06 08:41:00 AM,36.26,21.26
42,04/27/06 08:42:00 AM,36.46,21.26
43,04/27/06 08:43:00 AM,36.46,21.43
44,04/27/06 08:44:00 AM,36.46,21.43
45,04/27/06 08:45:00 AM,36.46,21.6
46,04/27/06 08:46:00 AM,36.46,21.77
47,04/27/06 08:47:00 AM,34.83,21.6
48,04/27/06 08:48:00 AM,35.44,21.43
49,04/27/06 08:49:00 AM,35.64,21.43
50,04/27/06 08:50:00 AM,35.44,21.08
51,04/27/06 08:51:00 AM,35.44,21.08
52,04/27/06 08:52:00 AM,35.64,20.91
53,04/27/06 08:53:00 AM,33.25,20.91
54,04/27/06 08:54:00 AM,30.94,20.91
55,04/27/06 08:55:00 AM,29.25,20.91
56,04/27/06 08:56:00 AM,27.6,20.74
57,04/27/06 08:57:00 AM,31.7,20.57
58,04/27/06 08:58:00 AM,35.03,20.57
59,04/27/06 08:59:00 AM,37.08,20.57
60,04/27/06 09:00:00 AM,37.92,20.57
61,04/27/06 09:01:00 AM,38.56,20.74
62,04/27/06 09:02:00 AM,38.78,20.74
63,04/27/06 09:03:00 AM,38.78,20.57
64,04/27/06 09:04:00 AM,38.99,20.57
65,04/27/06 09:05:00 AM,38.99,20.74
66,04/27/06 09:06:00 AM,39.21,20.91
67,04/27/06 09:07:00 AM,37.08,21.08
68,04/27/06 09:08:00 AM,36.46,20.91
69,04/27/06 09:09:00 AM,37.08,20.74
70,04/27/06 09:10:00 AM,37.5,20.74
71,04/27/06 09:11:00 AM,37.92,20.91
72,04/27/06 09:12:00 AM,38.14,20.91
73,04/27/06 09:13:00 AM,38.14,20.91
74,04/27/06 09:14:00 AM,36.05,21.08
75,04/27/06 09:15:00 AM,35.64,21.08
76,04/27/06 09:16:00 AM,35.03,20.91
77,04/27/06 09:17:00 AM,34.83,20.91
78,04/27/06 09:18:00 AM,32.47,20.91
79,04/27/06 09:19:00 AM,30.56,20.91
80,04/27/06 09:20:00 AM,29.07,20.91
81,04/27/06 09:21:00 AM,27.96,20.91
82,04/27/06 09:22:00 AM,26.52,20.91
83,04/27/06 09:23:00 AM,25.8,20.91
84,04/27/06 09:24:00 AM,25.62,21.08
85,04/27/06 09:25:00 AM,27.96,21.08
86,04/27/06 09:26:00 AM,30.18,21.08
87,04/27/06 09:27:00 AM,31.89,21.08
88,04/27/06 09:28:00 AM,33.25,20.91
89,04/27/06 09:29:00 AM,34.23,20.91
90,04/27/06 09:30:00 AM,34.83,20.91
91,04/27/06 09:31:00 AM,35.24,20.91
92,04/27/06 09:32:00 AM,35.44,20.91
93,04/27/06 09:33:00 AM,35.44,20.91
94,04/27/06 09:34:00 AM,35.64,20.91
95,04/27/06 09:35:00 AM,35.64,21.08
96,04/27/06 09:36:00 AM,35.64,21.26
97,04/27/06 09:37:00 AM,35.44,21.26
98,04/27/06 09:38:00 AM,33.84,21.26
99,04/27/06 09:39:00 AM,34.63,21.26
100,04/27/06 09:40:00 AM,33.84,21.26
101,04/27/06 09:41:00 AM,34.63,21.43
102,04/27/06 09:42:00 AM,35.24,21.26
103,04/27/06 09:43:00 AM,35.44,21.08
104,04/27/06 09:44:00 AM,33.44,20.91
105,04/27/06 09:45:00 AM,33.64,20.91
106,04/27/06 09:46:00 AM,34.04,20.91
107,04/27/06 09:47:00 AM,34.23,20.91
108,04/27/06 09:48:00 AM,34.23,20.91
109,04/27/06 09:49:00 AM,34.23,20.91
110,04/27/06 09:50:00 AM,33.64,20.91
111,04/27/06 09:51:00 AM,33.25,20.91
112,04/27/06 09:52:00 AM,34.04,20.91
113,04/27/06 09:53:00 AM,34.63,20.91
114,04/27/06 09:54:00 AM,35.03,20.91
115,04/27/06 09:55:00 AM,35.24,21.08
116,04/27/06 09:56:00 AM,34.83,21.08
117,04/27/06 09:57:00 AM,32.86,21.08
118,04/27/06 09:58:00 AM,30.94,21.08
119,04/27/06 09:59:00 AM,29.25,21.26
120,04/27/06 10:00:00 AM,27.96,21.08
121,04/27/06 10:01:00 AM,26.7,21.08
122,04/27/06 10:02:00 AM,26.52,20.91
123,04/27/06 10:03:00 AM,26.88,21.08
124,04/27/06 10:04:00 AM,27.78,21.08
125,04/27/06 10:05:00 AM,29.07,21.08
126,04/27/06 10:06:00 AM,30.18,21.08
127,04/27/06 10:07:00 AM,31.32,21.08
128,04/27/06 10:08:00 AM,32.08,21.08
129,04/27/06 10:09:00 AM,32.66,21.08
130,04/27/06 10:10:00 AM,33.25,21.26
131,04/27/06 10:11:00 AM,32.86,21.26
132,04/27/06 10:12:00 AM,33.44,21.26
133,04/27/06 10:13:00 AM,33.84,21.26
134,04/27/06 10:14:00 AM,34.23,21.26
135,04/27/06 10:15:00 AM,34.63,21.26
136,04/27/06 10:16:00 AM,34.83,21.26
137,04/27/06 10:17:00 AM,34.83,21.43
138,04/27/06 10:18:00 AM,34.83,21.6
139,04/27/06 10:19:00 AM,34.83,21.6
140,04/27/06 10:20:00 AM,35.03,21.6
141,04/27/06 10:21:00 AM,35.03,21.6
142,04/27/06 10:22:00 AM,35.03,21.6
143,04/27/06 10:23:00 AM,35.03,21.6
144,04/27/06 10:24:00 AM,35.03,21.6
145,04/27/06 10:25:00 AM,35.03,21.6
146,04/27/06 10:26:00 AM,35.24,21.77
147,04/27/06 10:27:00 AM,35.03,21.77
148,04/27/06 10:28:00 AM,35.03,21.95
149,04/27/06 10:29:00 AM,34.83,21.95
150,04/27/06 10:30:00 AM,35.24,21.95
151,04/27/06 10:31:00 AM,35.64,21.77
152,04/27/06 10:32:00 AM,35.64,21.95
153,04/27/06 10:33:00 AM,35.85,21.95
154,04/27/06 10:34:00 AM,35.85,22.12
155,04/27/06 10:35:00 AM,35.85,22.12
156,04/27/06 10:36:00 AM,35.64,22.12
157,04/27/06 10:37:00 AM,34.83,21.95
158,04/27/06 10:38:00 AM,34.63,21.95
159,04/27/06 10:39:00 AM,34.23,21.95
160,04/27/06 10:40:00 AM,34.43,22.12
161,04/27/06 10:41:00 AM,34.63,22.12
162,04/27/06 10:42:00 AM,34.83,21.95
163,04/27/06 10:43:00 AM,35.03,22.12
164,04/27/06 10:44:00 AM,35.03,22.12
165,04/27/06 10:45:00 AM,35.24,22.29
166,04/27/06 10:46:00 AM,34.04,22.29
167,04/27/06 10:47:00 AM,33.84,22.29
168,04/27/06 10:48:00 AM,34.04,22.46
169,04/27/06 10:49:00 AM,34.04,22.64
170,04/27/06 10:50:00 AM,34.04,22.98
171,04/27/06 10:51:00 AM,34.04,22.98
172,04/27/06 10:52:00 AM,34.04,22.81
173,04/27/06 10:53:00 AM,33.64,22.98
174,04/27/06 10:54:00 AM,34.63,22.98
175,04/27/06 10:55:00 AM,35.24,23.33
176,04/27/06 10:56:00 AM,35.85,23.51
177,04/27/06 10:57:00 AM,36.05,23.16
178,04/27/06 10:58:00 AM,34.43,22.98
179,04/27/06 10:59:00 AM,34.63,22.98
180,04/27/06 11:00:00 AM,34.63,22.98
181,04/27/06 11:01:00 AM,32.86,22.98
182,04/27/06 11:02:00 AM,31.13,22.81
183,04/27/06 11:03:00 AM,29.81,22.81
184,04/27/06 11:04:00 AM,28.51,22.81
185,04/27/06 11:05:00 AM,27.6,22.64
186,04/27/06 11:06:00 AM,27.06,22.64
187,04/27/06 11:07:00 AM,26.52,22.64
188,04/27/06 11:08:00 AM,25.8,22.64
189,04/27/06 11:09:00 AM,25.27,22.64
190,04/27/06 11:10:00 AM,24.91,22.64
191,04/27/06 11:11:00 AM,24.56,22.81
192,04/27/06 11:12:00 AM,24.56,22.81
193,04/27/06 11:13:00 AM,27.42,22.64
194,04/27/06 11:14:00 AM,29.81,22.81
195,04/27/06 11:15:00 AM,31.51,22.98
196,04/27/06 11:16:00 AM,32.66,22.98
