#,date,tempe,ambient
1,07/03/05 06:01:00 PM,29.25,30.18
2,07/03/05 06:02:00 PM,29.25,30.0
3,07/03/05 06:03:00 PM,29.44,30.0
4,07/03/05 06:04:00 PM,29.44,30.18
5,07/03/05 06:05:00 PM,29.62,30.18
6,07/03/05 06:06:00 PM,29.62,30.18
7,07/03/05 06:07:00 PM,29.81,30.18
8,07/03/05 06:08:00 PM,29.81,30.18
9,07/03/05 06:09:00 PM,30.0,30.18
10,07/03/05 06:10:00 PM,30.18,30.37
11,07/03/05 06:11:00 PM,30.37,30.56
12,07/03/05 06:12:00 PM,30.37,30.75
13,07/03/05 06:13:00 PM,30.18,30.37
14,07/03/05 06:14:00 PM,30.18,30.37
15,07/03/05 06:15:00 PM,30.18,30.56
16,07/03/05 06:16:00 PM,30.0,30.37
17,07/03/05 06:17:00 PM,29.81,30.37
18,07/03/05 06:18:00 PM,29.81,30.56
19,07/03/05 06:19:00 PM,30.18,30.75
20,07/03/05 06:20:00 PM,30.0,30.75
21,07/03/05 06:21:00 PM,29.81,30.56
22,07/03/05 06:22:00 PM,29.81,30.56
23,07/03/05 06:23:00 PM,29.62,30.56
24,07/03/05 06:24:00 PM,29.62,30.37
25,07/03/05 06:25:00 PM,29.62,30.18
26,07/03/05 06:26:00 PM,29.44,30.37
27,07/03/05 06:27:00 PM,29.44,30.18
28,07/03/05 06:28:00 PM,29.25,30.18
29,07/03/05 06:29:00 PM,29.07,30.0
30,07/03/05 06:30:00 PM,29.07,30.0
31,07/03/05 06:31:00 PM,28.88,29.81
32,07/03/05 06:32:00 PM,28.88,29.81
33,07/03/05 06:33:00 PM,28.7,29.62
34,07/03/05 06:34:00 PM,28.7,29.62
35,07/03/05 06:35:00 PM,28.88,29.62
36,07/03/05 06:36:00 PM,29.25,30.0
37,07/03/05 06:37:00 PM,29.62,30.0
38,07/03/05 06:38:00 PM,30.0,30.18
39,07/03/05 06:39:00 PM,30.0,30.18
40,07/03/05 06:40:00 PM,30.18,30.0
41,07/03/05 06:41:00 PM,30.37,30.0
42,07/03/05 06:42:00 PM,30.56,30.0
43,07/03/05 06:43:00 PM,30.37,29.81
44,07/03/05 06:44:00 PM,30.0,29.81
45,07/03/05 06:45:00 PM,30.0,29.81
46,07/03/05 06:46:00 PM,29.81,29.81
47,07/03/05 06:47:00 PM,29.81,30.0
48,07/03/05 06:48:00 PM,29.62,29.81
49,07/03/05 06:49:00 PM,29.62,29.81
50,07/03/05 06:50:00 PM,29.44,29.81
51,07/03/05 06:51:00 PM,29.44,29.81
52,07/03/05 06:52:00 PM,29.25,29.81
53,07/03/05 06:53:00 PM,29.25,29.62
54,07/03/05 06:54:00 PM,29.44,29.62
55,07/03/05 06:55:00 PM,29.81,29.62
56,07/03/05 06:56:00 PM,30.18,29.62
57,07/03/05 06:57:00 PM,30.37,29.62
58,07/03/05 06:58:00 PM,30.56,29.62
59,07/03/05 06:59:00 PM,30.75,29.44
60,07/03/05 07:00:00 PM,30.75,29.44
61,07/03/05 07:01:00 PM,30.75,29.44
62,07/03/05 07:02:00 PM,30.75,29.44
63,07/03/05 07:03:00 PM,30.75,29.44
64,07/03/05 07:04:00 PM,30.75,29.44
65,07/03/05 07:05:00 PM,30.75,29.44
66,07/03/05 07:06:00 PM,30.56,29.44
67,07/03/05 07:07:00 PM,30.18,29.44
68,07/03/05 07:08:00 PM,29.81,29.44
69,07/03/05 07:09:00 PM,29.62,29.44
70,07/03/05 07:10:00 PM,29.62,29.44
71,07/03/05 07:11:00 PM,29.44,29.44
72,07/03/05 07:12:00 PM,29.44,29.44
73,07/03/05 07:13:00 PM,29.44,29.62
74,07/03/05 07:14:00 PM,29.44,29.62
75,07/03/05 07:15:00 PM,29.62,29.62
76,07/03/05 07:16:00 PM,30.18,30.0
77,07/03/05 07:17:00 PM,30.56,30.0
78,07/03/05 07:18:00 PM,30.75,30.18
79,07/03/05 07:19:00 PM,30.75,30.0
80,07/03/05 07:20:00 PM,30.75,30.0
81,07/03/05 07:21:00 PM,30.75,30.0
82,07/03/05 07:22:00 PM,30.75,30.0
83,07/03/05 07:23:00 PM,30.75,30.18
84,07/03/05 07:24:00 PM,30.56,30.18
85,07/03/05 07:25:00 PM,30.37,30.18
86,07/03/05 07:26:00 PM,30.18,30.18
87,07/03/05 07:27:00 PM,30.0,30.0
88,07/03/05 07:28:00 PM,29.81,29.81
89,07/03/05 07:29:00 PM,29.81,29.81
90,07/03/05 07:30:00 PM,29.81,29.81
91,07/03/05 07:31:00 PM,29.62,29.62
92,07/03/05 07:32:00 PM,29.81,29.62
93,07/03/05 07:33:00 PM,29.81,29.62
94,07/03/05 07:34:00 PM,29.62,29.62
95,07/03/05 07:35:00 PM,29.81,29.62
96,07/03/05 07:36:00 PM,30.0,29.62
97,07/03/05 07:37:00 PM,30.18,29.81
98,07/03/05 07:38:00 PM,30.56,29.81
99,07/03/05 07:39:00 PM,30.56,29.81
100,07/03/05 07:40:00 PM,30.18,29.81
101,07/03/05 07:41:00 PM,30.0,29.81
102,07/03/05 07:42:00 PM,29.81,29.81
103,07/03/05 07:43:00 PM,29.81,29.81
104,07/03/05 07:44:00 PM,30.0,30.0
105,07/03/05 07:45:00 PM,30.0,30.18
106,07/03/05 07:46:00 PM,29.81,30.18
107,07/03/05 07:47:00 PM,29.81,30.18
108,07/03/05 07:48:00 PM,29.81,30.18
109,07/03/05 07:49:00 PM,29.81,30.18
110,07/03/05 07:50:00 PM,29.81,30.18
111,07/03/05 07:51:00 PM,29.62,30.18
112,07/03/05 07:52:00 PM,29.62,30.0
113,07/03/05 07:53:00 PM,29.44,29.81
114,07/03/05 07:54:00 PM,29.25,29.81
115,07/03/05 07:55:00 PM,29.07,29.62
