#,date,tempe,ambient
1,04/16/06 10:01:00 AM,32.66,24.91
2,04/16/06 10:02:00 AM,32.86,25.09
3,04/16/06 10:03:00 AM,33.44,25.62
4,04/16/06 10:04:00 AM,34.04,25.8
5,04/16/06 10:05:00 AM,34.04,25.27
6,04/16/06 10:06:00 AM,33.84,24.56
7,04/16/06 10:07:00 AM,33.25,24.56
8,04/16/06 10:08:00 AM,32.66,24.91
9,04/16/06 10:09:00 AM,32.28,24.74
10,04/16/06 10:10:00 AM,31.7,24.91
11,04/16/06 10:11:00 AM,31.32,25.27
12,04/16/06 10:12:00 AM,31.7,25.27
13,04/16/06 10:13:00 AM,32.08,25.44
14,04/16/06 10:14:00 AM,32.66,25.62
15,04/16/06 10:15:00 AM,31.7,25.62
16,04/16/06 10:16:00 AM,31.7,25.62
17,04/16/06 10:17:00 AM,32.08,25.27
18,04/16/06 10:18:00 AM,32.08,25.27
19,04/16/06 10:19:00 AM,33.84,25.62
20,04/16/06 10:20:00 AM,34.83,25.62
21,04/16/06 10:21:00 AM,35.03,25.62
22,04/16/06 10:22:00 AM,34.43,25.44
23,04/16/06 10:23:00 AM,34.83,25.62
24,04/16/06 10:24:00 AM,34.43,26.34
25,04/16/06 10:25:00 AM,34.43,26.52
26,04/16/06 10:26:00 AM,34.43,26.52
27,04/16/06 10:27:00 AM,34.43,26.52
28,04/16/06 10:28:00 AM,34.63,26.52
29,04/16/06 10:29:00 AM,34.83,26.52
30,04/16/06 10:30:00 AM,34.83,26.52
31,04/16/06 10:31:00 AM,35.03,26.7
32,04/16/06 10:32:00 AM,34.83,26.88
33,04/16/06 10:33:00 AM,34.63,27.06
34,04/16/06 10:34:00 AM,33.84,26.7
35,04/16/06 10:35:00 AM,33.64,26.7
36,04/16/06 10:36:00 AM,32.47,26.52
37,04/16/06 10:37:00 AM,32.08,26.7
38,04/16/06 10:38:00 AM,32.08,27.06
39,04/16/06 10:39:00 AM,31.89,27.42
40,04/16/06 10:40:00 AM,32.08,27.6
41,04/16/06 10:41:00 AM,32.47,27.24
42,04/16/06 10:42:00 AM,32.86,26.88
43,04/16/06 10:43:00 AM,31.51,26.7
44,04/16/06 10:44:00 AM,30.94,26.88
45,04/16/06 10:45:00 AM,31.51,27.06
46,04/16/06 10:46:00 AM,31.51,27.24
47,04/16/06 10:47:00 AM,31.51,27.6
48,04/16/06 10:48:00 AM,30.94,27.42
49,04/16/06 10:49:00 AM,31.32,27.06
50,04/16/06 10:50:00 AM,31.7,27.78
51,04/16/06 10:51:00 AM,31.89,28.51
52,04/16/06 10:52:00 AM,32.66,28.88
