Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-06-09 10:01:00,2006-06-09 10:09:00,8.0,36.05222222222223,28.779999999999998
Off,2006-06-09 10:09:00,2006-06-09 10:16:00,7.0,34.63,29.253750000000004
On,2006-06-09 10:16:00,2006-06-09 10:23:00,7.0,35.135000000000005,29.645000000000003
Off,2006-06-09 10:23:00,2006-06-09 10:27:00,4.0,35.03,29.886000000000003
On,2006-06-09 10:27:00,2006-06-09 10:37:00,10.0,35.64454545454545,30.321818181818184
Off,2006-06-09 10:37:00,2006-06-09 10:44:00,7.0,35.64,30.845
On,2006-06-09 10:44:00,2006-06-09 16:11:00,327.0,37.3952743902439,34.21481707317073
Off,2006-06-09 16:11:00,2006-06-09 16:18:00,7.0,36.88,34.48
On,2006-06-09 16:18:00,2006-06-09 17:49:00,91.0,37.80489130434783,34.67597826086957
Off,2006-06-09 17:49:00,2006-06-09 17:59:00,10.0,36.67,33.839999999999996
On,2006-06-09 17:59:00,2006-06-09 18:07:00,8.0,37.43111111111111,33.64
Off,2006-06-09 18:07:00,2006-06-09 18:24:00,17.0,35.85,33.728888888888896
On,2006-06-09 18:24:00,2006-06-09 18:32:00,8.0,36.92222222222222,33.528888888888886
Off,2006-06-09 18:32:00,2006-06-09 18:43:00,11.0,35.85,33.182500000000005
On,2006-06-09 18:43:00,2006-06-09 18:54:00,11.0,37.018333333333324,33.16583333333333
Off,2006-06-09 18:54:00,2006-06-09 19:04:00,10.0,36.46,33.07181818181818
On,2006-06-09 19:04:00,2006-06-09 19:13:00,9.0,37.632,32.604
Off,2006-06-09 19:13:00,2006-06-09 19:23:00,10.0,36.05,32.099090909090904
On,2006-06-09 19:23:00,2006-06-09 19:34:00,11.0,37.155,31.7
Off,2006-06-09 19:34:00,2006-06-09 19:43:00,9.0,35.64,31.452999999999996
On,2006-06-09 19:43:00,2006-06-09 19:56:00,13.0,37.106428571428566,31.035
Off,2006-06-09 19:56:00,2006-06-09 20:11:00,15.0,34.83,30.7025
On,2006-06-09 20:11:00,2006-06-09 20:29:00,18.0,36.607368421052634,30.223157894736843
Off,2006-06-09 20:29:00,2006-06-09 20:46:00,17.0,33.05,29.644444444444446
Nocturnal,2006-06-09 20:46:00,2006-06-10 06:19:00,573.0,37.63907665505227,26.024198606271774
Off,2006-06-10 06:19:00,2006-06-10 06:23:00,4.0,32.47,24.137999999999998
On,2006-06-10 06:23:00,2006-06-10 06:35:00,12.0,37.03846153846153,24.029999999999998
Off,2006-06-10 06:35:00,2006-06-10 06:37:00,2.0,35.85,24.150000000000002
On,2006-06-10 06:37:00,2006-06-10 06:42:00,5.0,36.70499999999999,24.210000000000004
Off,2006-06-10 06:42:00,2006-06-10 06:46:00,4.0,33.64,24.21
On,2006-06-10 06:46:00,2006-06-10 07:00:00,14.0,37.403999999999996,24.206666666666667
Off,2006-06-10 07:00:00,2006-06-10 07:07:00,7.0,32.47,24.447499999999998
On,2006-06-10 07:07:00,2006-06-10 07:22:00,15.0,37.594375,24.54875
Off,2006-06-10 07:22:00,2006-06-10 07:27:00,5.0,33.84,24.5
On,2006-06-10 07:27:00,2006-06-10 07:54:00,27.0,37.80142857142857,24.723928571428566
Off,2006-06-10 07:54:00,2006-06-10 08:00:00,6.0,33.64,24.91
On,2006-06-10 08:00:00,2006-06-10 08:17:00,17.0,36.99888888888889,25.149999999999995
Off,2006-06-10 08:17:00,2006-06-10 08:23:00,6.0,33.05,25.19142857142857
On,2006-06-10 08:23:00,2006-06-10 08:54:00,31.0,36.038124999999994,25.755000000000003
Off,2006-06-10 08:54:00,2006-06-10 09:02:00,8.0,33.44,26.28
On,2006-06-10 09:02:00,2006-06-10 09:13:00,11.0,36.25083333333334,26.534999999999997
Off,2006-06-10 09:13:00,2006-06-10 09:20:00,7.0,33.84,27.0375
On,2006-06-10 09:20:00,2006-06-10 09:29:00,9.0,36.929,27.420000000000005
Off,2006-06-10 09:29:00,2006-06-10 09:39:00,10.0,33.44,27.763636363636362
On,2006-06-10 09:39:00,2006-06-10 09:54:00,15.0,36.613749999999996,28.249374999999997
Off,2006-06-10 09:54:00,2006-06-10 10:02:00,8.0,34.83,28.966666666666665
On,2006-06-10 10:02:00,2006-06-10 10:17:00,15.0,37.641875,29.751875
Off,2006-06-10 10:17:00,2006-06-10 10:30:00,13.0,34.83,30.465714285714284
