Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-06-24 18:29:00,2005-06-24 18:47:00,18.0,37.08263157894737,30.271578947368415
Off,2005-06-24 18:47:00,2005-06-24 18:59:00,12.0,33.64,29.795384615384616
On,2005-06-24 18:59:00,2005-06-24 20:28:00,89.0,36.14611111111112,27.672444444444448
Off,2005-06-24 20:28:00,2005-06-24 20:43:00,15.0,30.56,26.25
On,2005-06-24 20:43:00,2005-06-24 20:50:00,7.0,32.167500000000004,26.0925
Off,2005-06-24 20:50:00,2005-06-24 21:01:00,11.0,30.0,25.92
Nocturnal,2005-06-24 21:01:00,2005-06-25 06:37:00,576.0,32.96450606585788,22.939740034662044
Off,2005-06-25 06:37:00,2005-06-25 06:47:00,10.0,26.88,22.07363636363636
On,2005-06-25 06:47:00,2005-06-25 07:24:00,37.0,32.52973684210525,22.111052631578946
Off,2005-06-25 07:24:00,2005-06-25 07:31:00,7.0,28.15,22.29
On,2005-06-25 07:31:00,2005-06-25 07:56:00,25.0,33.46615384615385,22.490000000000002
Off,2005-06-25 07:56:00,2005-06-25 08:07:00,11.0,27.96,22.69666666666667
On,2005-06-25 08:07:00,2005-06-25 08:42:00,35.0,34.05138888888889,23.075000000000006
Off,2005-06-25 08:42:00,2005-06-25 08:47:00,5.0,29.81,23.301666666666666
On,2005-06-25 08:47:00,2005-06-25 08:55:00,8.0,33.276666666666664,23.428888888888892
Off,2005-06-25 08:55:00,2005-06-25 09:01:00,6.0,29.07,23.680000000000003
On,2005-06-25 09:01:00,2005-06-25 09:05:00,4.0,31.426,23.892000000000003
Off,2005-06-25 09:05:00,2005-06-25 09:09:00,4.0,30.0,24.102
On,2005-06-25 09:09:00,2005-06-25 09:35:00,26.0,34.65037037037037,24.319259259259265
Off,2005-06-25 09:35:00,2005-06-25 09:41:00,6.0,30.0,24.885714285714283
On,2005-06-25 09:41:00,2005-06-25 09:57:00,16.0,34.33235294117647,25.20294117647059
Off,2005-06-25 09:57:00,2005-06-25 10:08:00,11.0,29.62,25.060000000000002
