Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-06-27 11:01:00,2006-06-27 11:36:00,35.0,34.85277777777778,23.07194444444444
Off,2006-06-27 11:36:00,2006-06-27 11:42:00,6.0,28.7,22.858571428571427
On,2006-06-27 11:42:00,2006-06-27 12:06:00,24.0,33.9176,22.8796
Off,2006-06-27 12:06:00,2006-06-27 12:19:00,13.0,27.24,23.120714285714282
On,2006-06-27 12:19:00,2006-06-27 12:51:00,32.0,33.60727272727273,23.654848484848486
Off,2006-06-27 12:51:00,2006-06-27 13:27:00,36.0,26.7,25.07594594594594
On,2006-06-27 13:27:00,2006-06-27 13:50:00,23.0,32.68666666666667,26.1375
Off,2006-06-27 13:50:00,2006-06-27 14:00:00,10.0,27.96,26.58545454545455
On,2006-06-27 14:00:00,2006-06-27 14:09:00,9.0,31.764000000000003,27.222
Off,2006-06-27 14:09:00,2006-06-27 14:17:00,8.0,28.7,27.26
On,2006-06-27 14:17:00,2006-06-27 14:37:00,20.0,34.22428571428572,27.557142857142853
Off,2006-06-27 14:37:00,2006-06-27 14:45:00,8.0,29.07,28.066666666666666
On,2006-06-27 14:45:00,2006-06-27 15:03:00,18.0,37.60210526315789,29.038947368421052
Off,2006-06-27 15:03:00,2006-06-27 15:25:00,22.0,27.96,29.16695652173913
On,2006-06-27 15:25:00,2006-06-27 15:45:00,20.0,34.44,27.882857142857148
Off,2006-06-27 15:45:00,2006-06-27 16:02:00,17.0,28.33,27.42
On,2006-06-27 16:02:00,2006-06-27 16:19:00,17.0,36.94555555555556,27.86222222222222
Off,2006-06-27 16:19:00,2006-06-27 16:26:00,7.0,30.0,28.585
On,2006-06-27 16:26:00,2006-06-27 16:39:00,13.0,37.61071428571429,28.711428571428566
Off,2006-06-27 16:39:00,2006-06-27 16:47:00,8.0,30.56,29.046666666666667
On,2006-06-27 16:47:00,2006-06-27 16:50:00,3.0,34.15,29.715
Off,2006-06-27 16:50:00,2006-06-27 16:55:00,5.0,31.13,29.810000000000002
On,2006-06-27 16:55:00,2006-06-27 17:07:00,12.0,37.599999999999994,29.72307692307692
Off,2006-06-27 17:07:00,2006-06-27 17:17:00,10.0,30.56,29.860909090909093
On,2006-06-27 17:17:00,2006-06-27 17:32:00,15.0,37.08562500000001,30.23
Off,2006-06-27 17:32:00,2006-06-27 17:43:00,11.0,30.94,30.528333333333336
On,2006-06-27 17:43:00,2006-06-27 18:04:00,21.0,34.57681818181818,29.978181818181817
Off,2006-06-27 18:04:00,2006-06-27 18:11:00,7.0,30.37,29.4375
On,2006-06-27 18:11:00,2006-06-27 18:26:00,15.0,36.5325,30.075625
Off,2006-06-27 18:26:00,2006-06-27 18:32:00,6.0,30.75,30.025714285714287
On,2006-06-27 18:32:00,2006-06-27 19:00:00,28.0,37.66655172413793,27.17172413793103
Off,2006-06-27 19:00:00,2006-06-27 19:16:00,16.0,30.0,24.049999999999997
On,2006-06-27 19:16:00,2006-06-27 19:37:00,21.0,31.144999999999996,23.038181818181815
Off,2006-06-27 19:37:00,2006-06-27 19:48:00,11.0,25.27,23.084166666666665
On,2006-06-27 19:48:00,2006-06-27 20:02:00,14.0,31.834,22.97266666666667
Off,2006-06-27 20:02:00,2006-06-27 20:08:00,6.0,27.42,23.08285714285714
On,2006-06-27 20:08:00,2006-06-27 20:24:00,16.0,32.80235294117647,22.83
Off,2006-06-27 20:24:00,2006-06-27 20:29:00,5.0,29.07,22.951666666666668
On,2006-06-27 20:29:00,2006-06-27 20:40:00,11.0,33.775833333333324,22.88083333333333
Off,2006-06-27 20:40:00,2006-06-27 20:44:00,4.0,29.25,22.81
Nocturnal,2006-06-27 20:44:00,2006-06-28 06:50:00,606.0,36.21367380560132,23.07250411861614
Off,2006-06-28 06:50:00,2006-06-28 06:58:00,8.0,29.25,23.486666666666665
On,2006-06-28 06:58:00,2006-06-28 07:33:00,35.0,36.91777777777777,23.803333333333335
Off,2006-06-28 07:33:00,2006-06-28 07:40:00,7.0,28.7,24.2525
On,2006-06-28 07:40:00,2006-06-28 08:07:00,27.0,36.67107142857143,25.246428571428567
Off,2006-06-28 08:07:00,2006-06-28 08:19:00,12.0,28.88,25.980000000000004
On,2006-06-28 08:19:00,2006-06-28 08:29:00,10.0,35.46454545454546,25.99636363636364
Off,2006-06-28 08:29:00,2006-06-28 08:36:00,7.0,31.7,26.43
On,2006-06-28 08:36:00,2006-06-28 08:47:00,11.0,36.31583333333334,26.789999999999996
Off,2006-06-28 08:47:00,2006-06-28 08:51:00,4.0,29.44,27.24
On,2006-06-28 08:51:00,2006-06-28 09:06:00,15.0,37.464375000000004,27.6
Off,2006-06-28 09:06:00,2006-06-28 09:27:00,21.0,27.78,28.161818181818184
On,2006-06-28 09:27:00,2006-06-28 09:46:00,19.0,35.47,29.021000000000004
Off,2006-06-28 09:46:00,2006-06-28 09:59:00,13.0,28.88,30.050714285714285
On,2006-06-28 09:59:00,2006-06-28 10:19:00,20.0,38.43857142857143,30.071428571428566
Off,2006-06-28 10:19:00,2006-06-28 10:32:00,13.0,30.0,31.11857142857142
On,2006-06-28 10:32:00,2006-06-28 10:34:00,2.0,32.90333333333333,30.813333333333333
Off,2006-06-28 10:34:00,2006-06-28 10:42:00,8.0,29.62,31.04555555555556
On,2006-06-28 10:42:00,2006-06-28 11:15:00,33.0,36.14411764705883,31.399117647058823
Off,2006-06-28 11:15:00,2006-06-28 11:30:00,15.0,29.44,30.75
On,2006-06-28 11:30:00,2006-06-28 12:00:00,30.0,35.07387096774193,31.628064516129033
Off,2006-06-28 12:00:00,2006-06-28 12:16:00,16.0,30.18,30.98470588235294
On,2006-06-28 12:16:00,2006-06-28 12:30:00,14.0,36.108,31.016000000000002
Off,2006-06-28 12:30:00,2006-06-28 12:49:00,19.0,30.56,31.329500000000003
On,2006-06-28 12:49:00,2006-06-28 12:58:00,9.0,38.260000000000005,31.778999999999996
Off,2006-06-28 12:58:00,2006-06-28 13:18:00,20.0,31.7,33.39999999999999
On,2006-06-28 13:18:00,2006-06-28 13:38:00,20.0,34.65857142857143,30.894285714285708
Off,2006-06-28 13:38:00,2006-06-28 13:46:00,8.0,31.13,31.702222222222222
On,2006-06-28 13:46:00,2006-06-28 13:57:00,11.0,34.0775,32.549166666666665
Off,2006-06-28 13:57:00,2006-06-28 14:09:00,12.0,31.32,32.97846153846154
On,2006-06-28 14:09:00,2006-06-28 14:16:00,7.0,35.6725,32.88375
Off,2006-06-28 14:16:00,2006-06-28 14:21:00,5.0,32.66,33.150000000000006
On,2006-06-28 14:21:00,2006-06-28 14:29:00,8.0,36.668888888888894,32.77333333333334
Off,2006-06-28 14:29:00,2006-06-28 14:41:00,12.0,33.05,33.293076923076924
On,2006-06-28 14:41:00,2006-06-28 14:46:00,5.0,35.14666666666667,33.53999999999999
Off,2006-06-28 14:46:00,2006-06-28 15:08:00,22.0,31.32,33.33347826086956
On,2006-06-28 15:08:00,2006-06-28 15:16:00,8.0,34.375555555555565,33.14
Off,2006-06-28 15:16:00,2006-06-28 15:19:00,3.0,35.64,33.59
On,2006-06-28 15:19:00,2006-06-28 15:24:00,5.0,37.421666666666674,33.70666666666667
Off,2006-06-28 15:24:00,2006-06-28 15:31:00,7.0,34.04,32.83625
On,2006-06-28 15:31:00,2006-06-28 15:39:00,8.0,35.08555555555556,32.57888888888889
Off,2006-06-28 15:39:00,2006-06-28 15:50:00,11.0,31.51,33.0525
On,2006-06-28 15:50:00,2006-06-28 16:07:00,17.0,36.12722222222222,33.37777777777778
Off,2006-06-28 16:07:00,2006-06-28 16:24:00,17.0,32.08,33.36666666666667
On,2006-06-28 16:24:00,2006-06-28 16:36:00,12.0,35.926153846153845,33.57923076923077
Off,2006-06-28 16:36:00,2006-06-28 16:45:00,9.0,32.08,33.189
On,2006-06-28 16:45:00,2006-06-28 16:51:00,6.0,35.544285714285714,32.52428571428571
Off,2006-06-28 16:51:00,2006-06-28 17:18:00,27.0,31.89,32.64928571428571
On,2006-06-28 17:18:00,2006-06-28 17:27:00,9.0,37.934,32.17999999999999
Off,2006-06-28 17:27:00,2006-06-28 17:38:00,11.0,32.47,31.779166666666665
On,2006-06-28 17:38:00,2006-06-28 17:43:00,5.0,37.589999999999996,31.668333333333333
