Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-07-03 18:01:00,2005-07-03 18:04:00,3.0,36.9825,31.130000000000003
Off,2005-07-03 18:04:00,2005-07-03 18:12:00,8.0,34.43,31.404444444444444
On,2005-07-03 18:12:00,2005-07-03 18:19:00,7.0,36.24375,31.20125
Off,2005-07-03 18:19:00,2005-07-03 18:25:00,6.0,34.23,31.184285714285714
On,2005-07-03 18:25:00,2005-07-03 18:48:00,23.0,38.112500000000004,30.272916666666664
Off,2005-07-03 18:48:00,2005-07-03 18:55:00,7.0,34.23,29.345
On,2005-07-03 18:55:00,2005-07-03 19:03:00,8.0,36.813333333333325,29.272222222222222
Off,2005-07-03 19:03:00,2005-07-03 19:24:00,21.0,32.86,29.523636363636353
On,2005-07-03 19:24:00,2005-07-03 19:33:00,9.0,37.629000000000005,30.427
Off,2005-07-03 19:33:00,2005-07-03 20:07:00,34.0,31.51,29.43457142857143
On,2005-07-03 20:07:00,2005-07-03 20:29:00,22.0,37.91652173913043,28.64217391304348
Off,2005-07-03 20:29:00,2005-07-03 20:32:00,3.0,36.26,28.419999999999998
On,2005-07-03 20:32:00,2005-07-03 20:38:00,6.0,37.63285714285714,28.32999999999999
Off,2005-07-03 20:38:00,2005-07-03 20:46:00,8.0,34.43,28.23
On,2005-07-03 20:46:00,2005-07-03 20:49:00,3.0,35.3425,28.15
Off,2005-07-03 20:49:00,2005-07-03 20:55:00,6.0,33.44,28.150000000000002
On,2005-07-03 20:55:00,2005-07-03 21:12:00,17.0,37.62722222222223,28.054999999999996
Off,2005-07-03 21:12:00,2005-07-03 21:32:00,20.0,36.26,27.951428571428572
On,2005-07-03 21:32:00,2005-07-03 21:56:00,24.0,38.0908,27.9104
Off,2005-07-03 21:56:00,2005-07-03 22:09:00,13.0,36.88,27.792857142857137
On,2005-07-03 22:09:00,2005-07-03 22:36:00,27.0,38.43964285714286,27.78
Off,2005-07-03 22:36:00,2005-07-03 22:40:00,4.0,37.71,27.672000000000004
On,2005-07-03 22:40:00,2005-07-03 23:15:00,35.0,38.09,27.590000000000003
Off,2005-07-03 23:15:00,2005-07-03 23:46:00,31.0,34.43,27.31875
Nocturnal,2005-07-03 23:46:00,2005-07-04 06:12:00,386.0,37.476873385012915,26.271627906976743
Off,2005-07-04 06:12:00,2005-07-04 06:30:00,18.0,29.62,25.406842105263152
On,2005-07-04 06:30:00,2005-07-04 06:36:00,6.0,34.888571428571424,25.294285714285714
Off,2005-07-04 06:36:00,2005-07-04 06:38:00,2.0,34.83,25.44
On,2005-07-04 06:38:00,2005-07-04 06:44:00,6.0,37.152857142857144,25.415714285714284
Off,2005-07-04 06:44:00,2005-07-04 06:46:00,2.0,36.67,25.44
On,2005-07-04 06:46:00,2005-07-04 06:50:00,4.0,37.632,25.44
Off,2005-07-04 06:50:00,2005-07-04 07:00:00,10.0,30.94,25.39363636363636
On,2005-07-04 07:00:00,2005-07-04 07:12:00,12.0,37.0223076923077,25.661538461538466
Off,2005-07-04 07:12:00,2005-07-04 07:21:00,9.0,32.86,25.548000000000002
On,2005-07-04 07:21:00,2005-07-04 07:39:00,18.0,37.40631578947369,25.951578947368418
