#,date,tempe,ambient
1,05/14/06 08:01:00 PM,31.51,25.44
2,05/14/06 08:02:00 PM,31.32,25.44
3,05/14/06 08:03:00 PM,31.32,25.44
4,05/14/06 08:04:00 PM,31.13,25.27
5,05/14/06 08:05:00 PM,31.13,25.27
6,05/14/06 08:06:00 PM,31.13,25.27
7,05/14/06 08:07:00 PM,31.13,25.27
8,05/14/06 08:08:00 PM,31.13,25.27
9,05/14/06 08:09:00 PM,31.13,25.09
10,05/14/06 08:10:00 PM,30.94,25.09
11,05/14/06 08:11:00 PM,30.37,25.09
12,05/14/06 08:12:00 PM,29.81,25.09
13,05/14/06 08:13:00 PM,29.44,24.91
14,05/14/06 08:14:00 PM,28.88,24.91
15,05/14/06 08:15:00 PM,28.7,24.91
16,05/14/06 08:16:00 PM,28.51,24.91
17,05/14/06 08:17:00 PM,28.15,24.91
18,05/14/06 08:18:00 PM,27.96,24.91
19,05/14/06 08:19:00 PM,27.78,24.74
20,05/14/06 08:20:00 PM,27.6,24.74
21,05/14/06 08:21:00 PM,27.6,24.74
22,05/14/06 08:22:00 PM,27.42,24.74
23,05/14/06 08:23:00 PM,27.24,24.56
24,05/14/06 08:24:00 PM,27.24,24.56
25,05/14/06 08:25:00 PM,27.96,24.56
26,05/14/06 08:26:00 PM,28.7,24.56
27,05/14/06 08:27:00 PM,29.07,24.56
28,05/14/06 08:28:00 PM,29.44,24.56
29,05/14/06 08:29:00 PM,29.81,24.56
30,05/14/06 08:30:00 PM,29.81,24.38
31,05/14/06 08:31:00 PM,30.0,24.38
32,05/14/06 08:32:00 PM,30.18,24.38
33,05/14/06 08:33:00 PM,30.37,24.38
34,05/14/06 08:34:00 PM,30.56,24.38
35,05/14/06 08:35:00 PM,30.56,24.38
36,05/14/06 08:36:00 PM,30.75,24.38
37,05/14/06 08:37:00 PM,30.75,24.38
38,05/14/06 08:38:00 PM,30.94,24.38
39,05/14/06 08:39:00 PM,30.94,24.38
40,05/14/06 08:40:00 PM,30.94,24.38
41,05/14/06 08:41:00 PM,30.94,24.21
42,05/14/06 08:42:00 PM,30.94,24.21
43,05/14/06 08:43:00 PM,30.94,24.21
44,05/14/06 08:44:00 PM,30.94,24.21
45,05/14/06 08:45:00 PM,30.94,24.21
46,05/14/06 08:46:00 PM,30.94,24.03
47,05/14/06 08:47:00 PM,30.94,24.03
48,05/14/06 08:48:00 PM,30.94,24.03
49,05/14/06 08:49:00 PM,30.94,24.03
50,05/14/06 08:50:00 PM,30.94,24.03
51,05/14/06 08:51:00 PM,30.94,24.03
52,05/14/06 08:52:00 PM,30.75,24.03
53,05/14/06 08:53:00 PM,30.75,23.86
54,05/14/06 08:54:00 PM,30.75,23.86
55,05/14/06 08:55:00 PM,30.75,23.86
56,05/14/06 08:56:00 PM,30.75,23.86
57,05/14/06 08:57:00 PM,30.75,23.86
58,05/14/06 08:58:00 PM,30.75,23.86
59,05/14/06 08:59:00 PM,30.56,23.86
