Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-05-14 20:01:00,2006-05-14 20:09:00,8.0,31.214444444444446,25.30666666666667
Off,2006-05-14 20:09:00,2006-05-14 20:23:00,14.0,27.24,24.889333333333337
Nocturnal,2006-05-14 20:23:00,2006-05-15 07:36:00,673.0,28.70114243323442,20.7519881305638
Off,2006-05-15 07:36:00,2006-05-15 07:47:00,11.0,22.64,19.83333333333333
On,2006-05-15 07:47:00,2006-05-15 08:05:00,18.0,27.640526315789476,20.194210526315786
Off,2006-05-15 08:05:00,2006-05-15 08:10:00,5.0,24.74,20.485
On,2006-05-15 08:10:00,2006-05-15 08:38:00,28.0,28.726551724137924,21.149655172413787
Off,2006-05-15 08:38:00,2006-05-15 08:46:00,8.0,24.38,21.714444444444446
On,2006-05-15 08:46:00,2006-05-15 09:16:00,30.0,30.3,22.352580645161286
Off,2006-05-15 09:16:00,2006-05-15 09:30:00,14.0,24.91,23.054000000000006
On,2006-05-15 09:30:00,2006-05-15 09:41:00,11.0,29.228333333333335,23.434166666666666
Off,2006-05-15 09:41:00,2006-05-15 09:50:00,9.0,25.8,23.927
On,2006-05-15 09:50:00,2006-05-15 09:59:00,9.0,28.867,24.174
Off,2006-05-15 09:59:00,2006-05-15 10:07:00,8.0,26.52,24.423333333333332
On,2006-05-15 10:07:00,2006-05-15 10:31:00,24.0,32.739200000000004,24.8932
Off,2006-05-15 10:31:00,2006-05-15 10:50:00,19.0,26.34,25.213
On,2006-05-15 10:50:00,2006-05-15 11:01:00,11.0,30.7075,25.725000000000005
Off,2006-05-15 11:01:00,2006-05-15 11:11:00,10.0,27.06,25.865454545454543
On,2006-05-15 11:11:00,2006-05-15 11:31:00,20.0,31.23,26.434285714285714
Off,2006-05-15 11:31:00,2006-05-15 11:47:00,16.0,28.33,27.33529411764706
On,2006-05-15 11:47:00,2006-05-15 11:55:00,8.0,30.853333333333335,28.452222222222222
Off,2006-05-15 11:55:00,2006-05-15 12:07:00,12.0,29.44,28.469999999999995
On,2006-05-15 12:07:00,2006-05-15 12:19:00,12.0,32.85615384615385,28.670769230769224
Off,2006-05-15 12:19:00,2006-05-15 12:39:00,20.0,30.37,29.122380952380954
On,2006-05-15 12:39:00,2006-05-15 12:56:00,17.0,31.760000000000005,29.831666666666667
Off,2006-05-15 12:56:00,2006-05-15 13:08:00,12.0,32.47,30.88153846153846
On,2006-05-15 13:08:00,2006-05-15 13:19:00,11.0,33.76,31.050833333333333
Off,2006-05-15 13:19:00,2006-05-15 13:28:00,9.0,32.28,31.207
On,2006-05-15 13:28:00,2006-05-15 13:36:00,8.0,33.974444444444444,30.70888888888889
Off,2006-05-15 13:36:00,2006-05-15 13:44:00,8.0,33.25,30.939999999999998
On,2006-05-15 13:44:00,2006-05-15 14:47:00,63.0,34.6228125,31.701874999999998
Off,2006-05-15 14:47:00,2006-05-15 14:52:00,5.0,32.08,30.595
On,2006-05-15 14:52:00,2006-05-15 15:02:00,10.0,34.13636363636363,30.976363636363637
Off,2006-05-15 15:02:00,2006-05-15 15:08:00,6.0,32.66,31.538571428571426
On,2006-05-15 15:08:00,2006-05-15 15:26:00,18.0,34.27315789473684,31.042105263157897
Off,2006-05-15 15:26:00,2006-05-15 15:36:00,10.0,31.13,30.90727272727273
On,2006-05-15 15:36:00,2006-05-15 15:42:00,6.0,33.04142857142857,29.464285714285715
Off,2006-05-15 15:42:00,2006-05-15 15:52:00,10.0,30.18,29.068181818181817
On,2006-05-15 15:52:00,2006-05-15 16:08:00,16.0,34.68764705882353,30.154705882352943
Off,2006-05-15 16:08:00,2006-05-15 16:19:00,11.0,32.08,31.611666666666668
On,2006-05-15 16:19:00,2006-05-15 16:33:00,14.0,34.876666666666665,31.45933333333333
Off,2006-05-15 16:33:00,2006-05-15 16:49:00,16.0,33.05,32.03941176470589
On,2006-05-15 16:49:00,2006-05-15 16:59:00,10.0,35.43181818181818,32.29545454545455
Off,2006-05-15 16:59:00,2006-05-15 17:10:00,11.0,32.08,32.05416666666667
On,2006-05-15 17:10:00,2006-05-15 17:19:00,9.0,34.086,31.357999999999997
Off,2006-05-15 17:19:00,2006-05-15 17:29:00,10.0,32.86,31.96090909090909
On,2006-05-15 17:29:00,2006-05-15 17:41:00,12.0,34.94230769230769,31.480769230769226
Off,2006-05-15 17:41:00,2006-05-15 17:54:00,13.0,31.51,30.99642857142857
On,2006-05-15 17:54:00,2006-05-15 18:17:00,23.0,33.96375,29.09833333333333
Off,2006-05-15 18:17:00,2006-05-15 18:30:00,13.0,29.44,29.46642857142857
On,2006-05-15 18:30:00,2006-05-15 18:52:00,22.0,33.05434782608696,29.309565217391313
Off,2006-05-15 18:52:00,2006-05-15 19:09:00,17.0,29.81,28.667777777777776
On,2006-05-15 19:09:00,2006-05-15 19:22:00,13.0,32.97071428571428,27.472142857142863
Off,2006-05-15 19:22:00,2006-05-15 19:35:00,13.0,28.33,26.789999999999996
On,2006-05-15 19:35:00,2006-05-15 19:54:00,19.0,32.053,26.241000000000003
Off,2006-05-15 19:54:00,2006-05-15 20:05:00,11.0,27.96,25.680000000000003
On,2006-05-15 20:05:00,2006-05-15 20:13:00,8.0,29.741111111111113,25.441111111111113
Off,2006-05-15 20:13:00,2006-05-15 20:34:00,21.0,26.34,25.098181818181818
Nocturnal,2006-05-15 20:34:00,2006-05-16 07:34:00,660.0,27.73036308623298,19.946717095310138
Off,2006-05-16 07:34:00,2006-05-16 07:39:00,5.0,22.81,17.01
On,2006-05-16 07:39:00,2006-05-16 08:19:00,40.0,26.95487804878049,17.37560975609756
Off,2006-05-16 08:19:00,2006-05-16 08:27:00,8.0,21.6,17.774444444444445
On,2006-05-16 08:27:00,2006-05-16 08:45:00,18.0,26.96947368421053,17.84105263157895
Off,2006-05-16 08:45:00,2006-05-16 08:50:00,5.0,23.86,17.680000000000003
On,2006-05-16 08:50:00,2006-05-16 09:22:00,32.0,26.34121212121212,17.5569696969697
Off,2006-05-16 09:22:00,2006-05-16 09:28:00,6.0,22.81,17.465714285714288
