Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-05-19 05:57:00,2006-05-19 06:06:00,9.0,35.64,19.21
Off,2006-05-19 06:06:00,2006-05-19 06:15:00,9.0,31.51,19.142
On,2006-05-19 06:15:00,2006-05-19 06:30:00,15.0,34.522499999999994,19.04
Off,2006-05-19 06:30:00,2006-05-19 06:35:00,5.0,33.25,19.039999999999996
On,2006-05-19 06:35:00,2006-05-19 06:54:00,19.0,35.516999999999996,19.040000000000003
Off,2006-05-19 06:54:00,2006-05-19 07:02:00,8.0,33.44,19.04
On,2006-05-19 07:02:00,2006-05-19 07:15:00,13.0,35.14000000000001,19.076428571428572
Off,2006-05-19 07:15:00,2006-05-19 07:22:00,7.0,32.86,19.231250000000003
On,2006-05-19 07:22:00,2006-05-19 07:57:00,35.0,35.58194444444444,19.757777777777775
Off,2006-05-19 07:57:00,2006-05-19 08:06:00,9.0,33.05,20.484999999999996
On,2006-05-19 08:06:00,2006-05-19 08:32:00,26.0,35.474814814814806,21.13555555555556
Off,2006-05-19 08:32:00,2006-05-19 08:39:00,7.0,33.25,21.81625
On,2006-05-19 08:39:00,2006-05-19 08:49:00,10.0,34.41818181818182,22.22818181818182
Off,2006-05-19 08:49:00,2006-05-19 08:57:00,8.0,33.05,22.694444444444443
On,2006-05-19 08:57:00,2006-05-19 09:14:00,17.0,35.74555555555556,23.49722222222222
Off,2006-05-19 09:14:00,2006-05-19 09:21:00,7.0,35.03,24.605
On,2006-05-19 09:21:00,2006-05-19 09:34:00,13.0,36.33357142857143,25.418571428571433
Off,2006-05-19 09:34:00,2006-05-19 09:41:00,7.0,35.85,26.4075
On,2006-05-19 09:41:00,2006-05-19 10:43:00,62.0,36.95301587301587,30.299523809523812
Off,2006-05-19 10:43:00,2006-05-19 11:00:00,17.0,34.83,31.966666666666672
On,2006-05-19 11:00:00,2006-05-19 11:13:00,13.0,36.68714285714287,31.686428571428568
Off,2006-05-19 11:13:00,2006-05-19 11:20:00,7.0,35.85,31.3675
On,2006-05-19 11:20:00,2006-05-19 14:20:00,180.0,37.14812154696132,33.11486187845304
Off,2006-05-19 14:20:00,2006-05-19 14:24:00,4.0,36.88,33.878
On,2006-05-19 14:24:00,2006-05-19 14:32:00,8.0,37.40777777777778,32.879999999999995
Off,2006-05-19 14:32:00,2006-05-19 14:36:00,4.0,36.88,32.507999999999996
On,2006-05-19 14:36:00,2006-05-19 14:42:00,6.0,37.292857142857144,32.47
Off,2006-05-19 14:42:00,2006-05-19 14:45:00,3.0,37.29,32.6125
On,2006-05-19 14:45:00,2006-05-19 14:55:00,10.0,37.72909090909091,32.68181818181818
Off,2006-05-19 14:55:00,2006-05-19 15:06:00,11.0,35.85,32.32583333333333
On,2006-05-19 15:06:00,2006-05-19 15:28:00,22.0,36.98391304347825,32.41956521739131
Off,2006-05-19 15:28:00,2006-05-19 15:44:00,16.0,35.44,32.36705882352941
On,2006-05-19 15:44:00,2006-05-19 15:54:00,10.0,36.728181818181824,31.665454545454544
Off,2006-05-19 15:54:00,2006-05-19 16:07:00,13.0,35.64,31.482857142857142
On,2006-05-19 16:07:00,2006-05-19 16:20:00,13.0,36.79071428571428,30.845
Off,2006-05-19 16:20:00,2006-05-19 16:28:00,8.0,36.26,31.10888888888889
On,2006-05-19 16:28:00,2006-05-19 16:36:00,8.0,36.922222222222224,31.130000000000003
Off,2006-05-19 16:36:00,2006-05-19 16:46:00,10.0,35.64,31.13
On,2006-05-19 16:46:00,2006-05-19 17:13:00,27.0,37.248571428571424,30.804285714285715
Off,2006-05-19 17:13:00,2006-05-19 17:21:00,8.0,36.67,30.433333333333337
On,2006-05-19 17:21:00,2006-05-19 17:39:00,18.0,37.23631578947368,30.25999999999999
Off,2006-05-19 17:39:00,2006-05-19 17:46:00,7.0,36.05,30.09
On,2006-05-19 17:46:00,2006-05-19 17:55:00,9.0,36.753,29.643
Off,2006-05-19 17:55:00,2006-05-19 18:13:00,18.0,34.83,30.03526315789474
On,2006-05-19 18:13:00,2006-05-19 18:25:00,12.0,36.11923076923077,29.73692307692308
Off,2006-05-19 18:25:00,2006-05-19 18:38:00,13.0,34.63,29.542857142857144
On,2006-05-19 18:38:00,2006-05-19 18:51:00,13.0,36.511428571428574,29.412857142857145
Off,2006-05-19 18:51:00,2006-05-19 19:03:00,12.0,35.44,29.03923076923077
On,2006-05-19 19:03:00,2006-05-19 19:33:00,30.0,37.414838709677426,28.567419354838716
Off,2006-05-19 19:33:00,2006-05-19 19:45:00,12.0,35.44,28.062307692307687
On,2006-05-19 19:45:00,2006-05-19 20:01:00,16.0,36.72,27.74823529411765
