Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-09 20:53:00,2006-06-10 06:18:00,565.0,32.283745583038865,26.451590106007068
Off,2006-06-10 06:18:00,2006-06-10 06:32:00,14.0,26.34,24.38
On,2006-06-10 06:32:00,2006-06-10 06:45:00,13.0,28.027142857142856,24.38
Off,2006-06-10 06:45:00,2006-06-10 06:54:00,9.0,27.96,24.38
On,2006-06-10 06:54:00,2006-06-10 07:11:00,17.0,29.70888888888889,24.459999999999997
Off,2006-06-10 07:11:00,2006-06-10 07:29:00,18.0,27.42,24.56
On,2006-06-10 07:29:00,2006-06-10 07:56:00,27.0,30.964642857142856,24.84321428571428
Off,2006-06-10 07:56:00,2006-06-10 08:12:00,16.0,27.24,24.91
On,2006-06-10 08:12:00,2006-06-10 08:30:00,18.0,29.115789473684206,25.00473684210526
Off,2006-06-10 08:30:00,2006-06-10 08:41:00,11.0,28.15,25.149999999999995
On,2006-06-10 08:41:00,2006-06-10 09:06:00,25.0,30.914615384615388,25.539230769230773
Off,2006-06-10 09:06:00,2006-06-10 09:15:00,9.0,28.88,26.034
On,2006-06-10 09:15:00,2006-06-10 09:47:00,32.0,31.391818181818184,26.416363636363638
Off,2006-06-10 09:47:00,2006-06-10 10:03:00,16.0,29.44,26.795294117647057
On,2006-06-10 10:03:00,2006-06-10 10:48:00,45.0,32.57630434782608,27.537608695652185
Off,2006-06-10 10:48:00,2006-06-10 11:09:00,21.0,30.94,28.665
On,2006-06-10 11:09:00,2006-06-10 12:26:00,77.0,34.222948717948725,29.99833333333334
Off,2006-06-10 12:26:00,2006-06-10 12:40:00,14.0,33.84,31.433999999999994
On,2006-06-10 12:40:00,2006-06-10 12:53:00,13.0,35.42214285714286,31.99857142857142
Off,2006-06-10 12:53:00,2006-06-10 13:07:00,14.0,33.84,32.44333333333332
On,2006-06-10 13:07:00,2006-06-10 19:43:00,396.0,36.90146095717884,34.90576826196474
Off,2006-06-10 19:43:00,2006-06-10 20:01:00,18.0,33.25,32.02263157894737
On,2006-06-10 20:01:00,2006-06-10 20:33:00,32.0,34.695151515151515,31.521515151515153
Off,2006-06-10 20:33:00,2006-06-10 20:51:00,18.0,31.32,30.80999999999999
Nocturnal,2006-06-10 20:51:00,2006-06-11 06:14:00,563.0,33.5647340425532,27.00122340425532
Off,2006-06-11 06:14:00,2006-06-11 06:27:00,13.0,29.81,24.740000000000002
On,2006-06-11 06:27:00,2006-06-11 06:34:00,7.0,31.49125,24.74
Off,2006-06-11 06:34:00,2006-06-11 06:40:00,6.0,28.33,24.740000000000002
On,2006-06-11 06:40:00,2006-06-11 07:11:00,31.0,33.956250000000004,24.723124999999996
Off,2006-06-11 07:11:00,2006-06-11 07:20:00,9.0,29.62,24.740000000000002
On,2006-06-11 07:20:00,2006-06-11 07:43:00,23.0,33.54375,24.9275
Off,2006-06-11 07:43:00,2006-06-11 07:54:00,11.0,30.0,25.194999999999997
On,2006-06-11 07:54:00,2006-06-11 08:09:00,15.0,32.549375,25.47625
Off,2006-06-11 08:09:00,2006-06-11 08:15:00,6.0,29.44,25.645714285714288
On,2006-06-11 08:15:00,2006-06-11 08:27:00,12.0,32.885384615384616,25.89692307692308
Off,2006-06-11 08:27:00,2006-06-11 08:39:00,12.0,29.07,26.160000000000007
On,2006-06-11 08:39:00,2006-06-11 08:58:00,19.0,33.298500000000004,26.483999999999998
Off,2006-06-11 08:58:00,2006-06-11 09:04:00,6.0,32.08,26.828571428571426
On,2006-06-11 09:04:00,2006-06-11 09:43:00,39.0,33.91875,27.320999999999998
Off,2006-06-11 09:43:00,2006-06-11 09:47:00,4.0,30.94,27.78
On,2006-06-11 09:47:00,2006-06-11 10:20:00,33.0,35.03147058823529,28.260000000000005
Off,2006-06-11 10:20:00,2006-06-11 10:30:00,10.0,33.05,28.7
On,2006-06-11 10:30:00,2006-06-11 10:53:00,23.0,34.93833333333333,29.13625
Off,2006-06-11 10:53:00,2006-06-11 11:01:00,8.0,32.28,29.560000000000002
On,2006-06-11 11:01:00,2006-06-11 11:25:00,24.0,35.2532,30.041600000000003
Off,2006-06-11 11:25:00,2006-06-11 11:31:00,6.0,33.84,30.505714285714284
On,2006-06-11 11:31:00,2006-06-11 12:08:00,37.0,35.988157894736844,30.935000000000013
Off,2006-06-11 12:08:00,2006-06-11 12:20:00,12.0,33.64,31.305384615384614
On,2006-06-11 12:20:00,2006-06-11 12:35:00,15.0,36.793749999999996,31.81875
Off,2006-06-11 12:35:00,2006-06-11 12:45:00,10.0,34.83,32.34727272727273
On,2006-06-11 12:45:00,2006-06-11 12:57:00,12.0,36.80076923076923,32.616153846153836
Off,2006-06-11 12:57:00,2006-06-11 13:10:00,13.0,34.43,32.53785714285714
On,2006-06-11 13:10:00,2006-06-11 13:42:00,32.0,36.84636363636365,33.392121212121204
Off,2006-06-11 13:42:00,2006-06-11 13:56:00,14.0,36.26,34.206
On,2006-06-11 13:56:00,2006-06-11 14:15:00,19.0,37.669,34.1645
Off,2006-06-11 14:15:00,2006-06-11 14:27:00,12.0,35.24,33.62461538461538
On,2006-06-11 14:27:00,2006-06-11 14:40:00,13.0,36.27857142857143,33.782857142857154
Off,2006-06-11 14:40:00,2006-06-11 14:49:00,9.0,35.64,34.038
On,2006-06-11 14:49:00,2006-06-11 15:11:00,22.0,37.012173913043476,34.64130434782608
Off,2006-06-11 15:11:00,2006-06-11 15:21:00,10.0,35.03,33.586363636363636
On,2006-06-11 15:21:00,2006-06-11 19:45:00,264.0,33.2997358490566,26.711811320754716
Off,2006-06-11 19:45:00,2006-06-11 20:13:00,28.0,28.33,24.59103448275861
On,2006-06-11 20:13:00,2006-06-11 20:33:00,20.0,31.327142857142857,24.68857142857143
Off,2006-06-11 20:33:00,2006-06-11 20:46:00,13.0,28.7,24.585714285714285
On,2006-06-11 20:46:00,2006-06-11 20:51:00,5.0,29.849999999999998,24.74
Off,2006-06-11 20:51:00,2006-06-11 20:59:00,8.0,29.07,24.834444444444443
Nocturnal,2006-06-11 20:59:00,2006-06-12 06:27:00,568.0,33.53376098418278,24.87456942003515
Off,2006-06-12 06:27:00,2006-06-12 06:37:00,10.0,30.0,24.030000000000005
On,2006-06-12 06:37:00,2006-06-12 06:45:00,8.0,32.85777777777777,24.090000000000003
Off,2006-06-12 06:45:00,2006-06-12 06:55:00,10.0,27.96,24.111818181818183
On,2006-06-12 06:55:00,2006-06-12 07:11:00,16.0,33.54882352941177,24.11470588235294
Off,2006-06-12 07:11:00,2006-06-12 07:21:00,10.0,29.62,24.21
On,2006-06-12 07:21:00,2006-06-12 07:33:00,12.0,33.97538461538461,24.209999999999997
Off,2006-06-12 07:33:00,2006-06-12 07:42:00,9.0,29.25,24.244000000000003
On,2006-06-12 07:42:00,2006-06-12 08:16:00,34.0,34.616,24.531142857142857
Off,2006-06-12 08:16:00,2006-06-12 08:26:00,10.0,29.81,24.69090909090909
On,2006-06-12 08:26:00,2006-06-12 08:56:00,30.0,35.027741935483874,24.981935483870974
Off,2006-06-12 08:56:00,2006-06-12 09:07:00,11.0,30.56,25.075000000000003
On,2006-06-12 09:07:00,2006-06-12 09:47:00,40.0,33.813170731707324,25.128780487804878
Off,2006-06-12 09:47:00,2006-06-12 09:54:00,7.0,31.32,25.3975
On,2006-06-12 09:54:00,2006-06-12 11:14:00,80.0,34.87395061728395,25.481975308641974
Off,2006-06-12 11:14:00,2006-06-12 11:25:00,11.0,31.13,25.326666666666668
On,2006-06-12 11:25:00,2006-06-12 11:34:00,9.0,33.178,25.494
Off,2006-06-12 11:34:00,2006-06-12 11:39:00,5.0,32.47,25.62
On,2006-06-12 11:39:00,2006-06-12 12:00:00,21.0,35.19863636363636,25.78363636363637
Off,2006-06-12 12:00:00,2006-06-12 12:09:00,9.0,32.08,25.836000000000002
On,2006-06-12 12:09:00,2006-06-12 12:45:00,36.0,35.274864864864874,25.931351351351356
Off,2006-06-12 12:45:00,2006-06-12 12:55:00,10.0,29.62,25.980000000000004
On,2006-06-12 12:55:00,2006-06-12 13:21:00,26.0,33.51222222222222,25.88666666666666
Off,2006-06-12 13:21:00,2006-06-12 13:28:00,7.0,31.89,25.7325
On,2006-06-12 13:28:00,2006-06-12 13:58:00,30.0,35.479354838709675,25.431935483870976
Off,2006-06-12 13:58:00,2006-06-12 14:04:00,6.0,31.7,24.912857142857145
On,2006-06-12 14:04:00,2006-06-12 14:39:00,35.0,33.76583333333334,24.28138888888889
Off,2006-06-12 14:39:00,2006-06-12 14:51:00,12.0,29.44,24.209999999999997
On,2006-06-12 14:51:00,2006-06-12 16:10:00,79.0,33.844375,23.599749999999997
Off,2006-06-12 16:10:00,2006-06-12 16:16:00,6.0,29.07,22.785714285714285
On,2006-06-12 16:16:00,2006-06-12 17:28:00,72.0,31.16438356164384,22.4186301369863
Off,2006-06-12 17:28:00,2006-06-12 17:48:00,20.0,26.52,22.241428571428578
On,2006-06-12 17:48:00,2006-06-12 19:56:00,128.0,29.500155038759694,22.113023255813953
Off,2006-06-12 19:56:00,2006-06-12 20:15:00,19.0,24.03,21.259999999999998
On,2006-06-12 20:15:00,2006-06-12 20:18:00,3.0,26.5275,21.26
Off,2006-06-12 20:18:00,2006-06-12 20:25:00,7.0,24.21,21.26
On,2006-06-12 20:25:00,2006-06-12 20:29:00,4.0,25.562,21.26
Off,2006-06-12 20:29:00,2006-06-12 20:37:00,8.0,24.91,21.26
Nocturnal,2006-06-12 20:37:00,2006-06-12 22:56:00,139.0,27.85435714285714,20.862499999999997
Off,2006-06-12 22:56:00,2006-06-12 23:02:00,6.0,25.62,20.569999999999997
Nocturnal,2006-06-12 23:02:00,2006-06-13 06:19:00,437.0,29.56821917808219,22.18917808219178
Off,2006-06-13 06:19:00,2006-06-13 06:27:00,8.0,28.88,23.08
On,2006-06-13 06:27:00,2006-06-13 07:01:00,34.0,30.909428571428577,22.966285714285718
Off,2006-06-13 07:01:00,2006-06-13 07:07:00,6.0,28.51,22.979999999999997
On,2006-06-13 07:07:00,2006-06-13 07:54:00,47.0,31.436458333333334,23.025833333333335
Off,2006-06-13 07:54:00,2006-06-13 08:01:00,7.0,27.96,22.98
On,2006-06-13 08:01:00,2006-06-13 08:59:00,58.0,30.819830508474574,22.746610169491532
Off,2006-06-13 08:59:00,2006-06-13 09:08:00,9.0,27.78,22.826999999999998
On,2006-06-13 09:08:00,2006-06-13 09:36:00,28.0,31.659655172413792,22.96379310344828
Off,2006-06-13 09:36:00,2006-06-13 09:41:00,5.0,29.25,22.923333333333332
On,2006-06-13 09:41:00,2006-06-13 10:03:00,22.0,31.858260869565207,22.780434782608694
Off,2006-06-13 10:03:00,2006-06-13 10:07:00,4.0,28.15,22.844
On,2006-06-13 10:07:00,2006-06-13 10:25:00,18.0,31.87210526315789,22.881578947368425
Off,2006-06-13 10:25:00,2006-06-13 10:31:00,6.0,29.25,23.005714285714284
On,2006-06-13 10:31:00,2006-06-13 10:47:00,16.0,31.614705882352943,22.82
Off,2006-06-13 10:47:00,2006-06-13 10:54:00,7.0,28.88,22.7675
On,2006-06-13 10:54:00,2006-06-13 12:21:00,87.0,31.318295454545453,22.79840909090909
Off,2006-06-13 12:21:00,2006-06-13 12:24:00,3.0,28.88,22.895
On,2006-06-13 12:24:00,2006-06-13 14:00:00,96.0,30.426391752577317,22.59701030927835
Off,2006-06-13 14:00:00,2006-06-13 14:05:00,5.0,28.88,22.460000000000004
On,2006-06-13 14:05:00,2006-06-13 15:17:00,72.0,31.11684931506849,22.616575342465755
Off,2006-06-13 15:17:00,2006-06-13 15:22:00,5.0,28.15,22.61
On,2006-06-13 15:22:00,2006-06-13 15:43:00,21.0,30.030000000000005,22.76363636363637
Off,2006-06-13 15:43:00,2006-06-13 15:46:00,3.0,28.88,22.8525
On,2006-06-13 15:46:00,2006-06-13 16:23:00,37.0,30.607105263157887,23.015526315789465
Off,2006-06-13 16:23:00,2006-06-13 16:28:00,5.0,27.42,22.81
On,2006-06-13 16:28:00,2006-06-13 18:06:00,98.0,29.803030303030297,23.10464646464646
Off,2006-06-13 18:06:00,2006-06-13 18:10:00,4.0,28.51,22.946
On,2006-06-13 18:10:00,2006-06-13 19:20:00,70.0,29.993661971830996,23.036760563380284
Off,2006-06-13 19:20:00,2006-06-13 19:29:00,9.0,27.78,23.329999999999995
On,2006-06-13 19:29:00,2006-06-13 19:42:00,13.0,28.715,23.23285714285714
Off,2006-06-13 19:42:00,2006-06-13 19:47:00,5.0,28.33,23.33
On,2006-06-13 19:47:00,2006-06-13 20:09:00,22.0,30.303913043478268,23.439565217391305
Off,2006-06-13 20:09:00,2006-06-13 20:16:00,7.0,29.44,23.51
On,2006-06-13 20:16:00,2006-06-13 20:27:00,11.0,30.515,23.609166666666667
Off,2006-06-13 20:27:00,2006-06-13 20:34:00,7.0,29.62,23.68
On,2006-06-13 20:34:00,2006-06-13 20:44:00,10.0,31.234545454545454,23.729090909090914
Off,2006-06-13 20:44:00,2006-06-13 20:53:00,9.0,29.44,23.860000000000003
Nocturnal,2006-06-13 20:53:00,2006-06-14 06:35:00,582.0,33.27128644939965,24.100411663807893
Off,2006-06-14 06:35:00,2006-06-14 06:46:00,11.0,29.44,23.359999999999996
On,2006-06-14 06:46:00,2006-06-14 07:55:00,69.0,32.623571428571445,23.254571428571424
Off,2006-06-14 07:55:00,2006-06-14 08:01:00,6.0,31.89,23.60714285714286
On,2006-06-14 08:01:00,2006-06-14 08:14:00,13.0,32.818571428571424,23.680000000000003
Off,2006-06-14 08:14:00,2006-06-14 08:21:00,7.0,30.94,23.68
On,2006-06-14 08:21:00,2006-06-14 09:24:00,63.0,33.29734375,24.040156250000003
Off,2006-06-14 09:24:00,2006-06-14 09:33:00,9.0,30.56,24.38
On,2006-06-14 09:33:00,2006-06-14 10:04:00,31.0,32.9253125,24.666874999999997
Off,2006-06-14 10:04:00,2006-06-14 10:11:00,7.0,31.7,24.74
On,2006-06-14 10:11:00,2006-06-14 10:28:00,17.0,32.78333333333333,24.766666666666666
Off,2006-06-14 10:28:00,2006-06-14 10:37:00,9.0,29.44,24.807
On,2006-06-14 10:37:00,2006-06-14 11:01:00,24.0,32.4304,25.174400000000002
Off,2006-06-14 11:01:00,2006-06-14 11:05:00,4.0,31.89,25.44
On,2006-06-14 11:05:00,2006-06-14 11:37:00,32.0,33.267272727272726,25.63090909090909
Off,2006-06-14 11:37:00,2006-06-14 11:45:00,8.0,29.81,25.839999999999996
On,2006-06-14 11:45:00,2006-06-14 12:06:00,21.0,33.1159090909091,26.290909090909096
Off,2006-06-14 12:06:00,2006-06-14 12:19:00,13.0,31.7,26.892857142857142
On,2006-06-14 12:19:00,2006-06-14 13:02:00,43.0,33.77931818181818,27.31363636363636
Off,2006-06-14 13:02:00,2006-06-14 13:08:00,6.0,32.66,27.702857142857145
On,2006-06-14 13:08:00,2006-06-14 13:31:00,23.0,33.749583333333334,28.23
Off,2006-06-14 13:31:00,2006-06-14 13:39:00,8.0,33.25,29.12888888888889
