#,date,tempe,ambient
1,06/19/05 08:01:00 PM,30.56,27.6
2,06/19/05 08:02:00 PM,30.56,27.6
3,06/19/05 08:03:00 PM,30.56,27.6
4,06/19/05 08:04:00 PM,30.56,27.6
5,06/19/05 08:05:00 PM,30.18,27.6
6,06/19/05 08:06:00 PM,29.62,27.6
7,06/19/05 08:07:00 PM,29.25,27.6
8,06/19/05 08:08:00 PM,29.07,27.6
9,06/19/05 08:09:00 PM,28.88,27.6
10,06/19/05 08:10:00 PM,28.7,27.6
11,06/19/05 08:11:00 PM,28.7,27.6
12,06/19/05 08:12:00 PM,28.51,27.42
13,06/19/05 08:13:00 PM,28.33,27.42
14,06/19/05 08:14:00 PM,28.33,27.42
15,06/19/05 08:15:00 PM,28.15,27.24
16,06/19/05 08:16:00 PM,27.96,27.24
17,06/19/05 08:17:00 PM,28.33,27.24
18,06/19/05 08:18:00 PM,28.88,27.06
19,06/19/05 08:19:00 PM,29.25,27.06
20,06/19/05 08:20:00 PM,29.44,27.06
21,06/19/05 08:21:00 PM,29.81,27.06
22,06/19/05 08:22:00 PM,29.81,26.88
23,06/19/05 08:23:00 PM,30.0,26.88
24,06/19/05 08:24:00 PM,30.0,26.88
25,06/19/05 08:25:00 PM,30.18,26.88
26,06/19/05 08:26:00 PM,29.81,26.88
27,06/19/05 08:27:00 PM,29.25,26.88
28,06/19/05 08:28:00 PM,28.88,26.88
29,06/19/05 08:29:00 PM,28.51,26.88
30,06/19/05 08:30:00 PM,28.15,26.7
31,06/19/05 08:31:00 PM,27.96,26.7
32,06/19/05 08:32:00 PM,27.96,26.7
33,06/19/05 08:33:00 PM,27.78,26.7
34,06/19/05 08:34:00 PM,27.6,26.7
35,06/19/05 08:35:00 PM,27.42,26.52
36,06/19/05 08:36:00 PM,27.24,26.52
37,06/19/05 08:37:00 PM,27.24,26.52
38,06/19/05 08:38:00 PM,27.06,26.34
39,06/19/05 08:39:00 PM,26.88,26.34
40,06/19/05 08:40:00 PM,26.88,26.16
41,06/19/05 08:41:00 PM,26.7,26.16
42,06/19/05 08:42:00 PM,26.7,26.16
43,06/19/05 08:43:00 PM,26.7,26.16
44,06/19/05 08:44:00 PM,26.52,26.16
45,06/19/05 08:45:00 PM,26.52,26.16
46,06/19/05 08:46:00 PM,26.52,25.98
47,06/19/05 08:47:00 PM,26.52,25.98
48,06/19/05 08:48:00 PM,26.52,25.98
49,06/19/05 08:49:00 PM,26.52,25.98
50,06/19/05 08:50:00 PM,27.24,25.98
51,06/19/05 08:51:00 PM,27.78,25.8
52,06/19/05 08:52:00 PM,27.96,25.8
53,06/19/05 08:53:00 PM,28.33,25.8
54,06/19/05 08:54:00 PM,28.15,25.8
55,06/19/05 08:55:00 PM,28.15,25.8
56,06/19/05 08:56:00 PM,28.33,25.8
57,06/19/05 08:57:00 PM,28.51,25.8
58,06/19/05 08:58:00 PM,28.51,25.8
59,06/19/05 08:59:00 PM,28.51,25.8
60,06/19/05 09:00:00 PM,28.7,25.8
61,06/19/05 09:01:00 PM,28.7,25.8
62,06/19/05 09:02:00 PM,28.7,25.8
63,06/19/05 09:03:00 PM,28.88,25.8
64,06/19/05 09:04:00 PM,28.51,25.8
65,06/19/05 09:05:00 PM,28.51,25.8
66,06/19/05 09:06:00 PM,28.51,25.8
67,06/19/05 09:07:00 PM,28.51,25.8
68,06/19/05 09:08:00 PM,28.7,25.8
69,06/19/05 09:09:00 PM,28.7,25.8
70,06/19/05 09:10:00 PM,28.7,25.8
71,06/19/05 09:11:00 PM,28.51,25.8
72,06/19/05 09:12:00 PM,28.51,25.8
73,06/19/05 09:13:00 PM,28.51,25.8
74,06/19/05 09:14:00 PM,28.51,25.8
75,06/19/05 09:15:00 PM,28.33,25.8
76,06/19/05 09:16:00 PM,28.33,25.8
77,06/19/05 09:17:00 PM,28.33,25.98
78,06/19/05 09:18:00 PM,28.51,25.98
79,06/19/05 09:19:00 PM,28.51,25.98
80,06/19/05 09:20:00 PM,28.7,25.98
81,06/19/05 09:21:00 PM,28.7,26.16
82,06/19/05 09:22:00 PM,28.7,26.16
83,06/19/05 09:23:00 PM,28.7,26.16
84,06/19/05 09:24:00 PM,28.7,26.16
85,06/19/05 09:25:00 PM,28.7,26.16
86,06/19/05 09:26:00 PM,28.7,26.16
87,06/19/05 09:27:00 PM,28.7,26.34
88,06/19/05 09:28:00 PM,28.7,26.34
89,06/19/05 09:29:00 PM,28.7,26.16
90,06/19/05 09:30:00 PM,28.51,26.16
91,06/19/05 09:31:00 PM,28.51,26.16
92,06/19/05 09:32:00 PM,28.51,26.16
93,06/19/05 09:33:00 PM,28.51,26.16
