Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2005-06-19 20:16:00,2005-06-19 20:26:00,10.0,29.40636363636364,27.01090909090909
Off,2005-06-19 20:26:00,2005-06-19 20:46:00,20.0,26.52,26.485714285714288
Nocturnal,2005-06-19 20:46:00,2005-06-20 06:17:00,571.0,26.538356643356643,23.818286713286714
Off,2005-06-20 06:17:00,2005-06-20 06:21:00,4.0,22.46,21.6
On,2005-06-20 06:21:00,2005-06-20 06:28:00,7.0,23.94875,21.515
Off,2005-06-20 06:28:00,2005-06-20 06:36:00,8.0,22.29,21.694444444444443
On,2005-06-20 06:36:00,2005-06-20 07:11:00,35.0,24.837777777777777,21.70527777777778
Off,2005-06-20 07:11:00,2005-06-20 07:16:00,5.0,22.98,21.92
On,2005-06-20 07:16:00,2005-06-20 08:24:00,68.0,25.929130434782614,22.981014492753626
Off,2005-06-20 08:24:00,2005-06-20 08:32:00,8.0,26.7,24.66
On,2005-06-20 08:32:00,2005-06-20 08:55:00,23.0,28.317916666666665,25.377499999999998
Off,2005-06-20 08:55:00,2005-06-20 09:00:00,5.0,27.96,26.13
On,2005-06-20 09:00:00,2005-06-20 10:40:00,100.0,29.91247524752475,27.611485148514852
Off,2005-06-20 10:40:00,2005-06-20 10:54:00,14.0,29.81,28.93133333333333
On,2005-06-20 10:54:00,2005-06-20 11:07:00,13.0,32.067142857142855,29.48071428571428
Off,2005-06-20 11:07:00,2005-06-20 11:15:00,8.0,30.56,29.54222222222222
On,2005-06-20 11:15:00,2005-06-20 12:32:00,77.0,33.89705128205129,30.864230769230772
Off,2005-06-20 12:32:00,2005-06-20 12:36:00,4.0,31.89,31.32
On,2005-06-20 12:36:00,2005-06-20 12:51:00,15.0,33.128125,31.557499999999997
Off,2005-06-20 12:51:00,2005-06-20 12:54:00,3.0,32.66,31.652500000000003
On,2005-06-20 12:54:00,2005-06-20 13:05:00,11.0,33.51083333333333,31.797500000000003
Off,2005-06-20 13:05:00,2005-06-20 13:18:00,13.0,32.08,31.64642857142857
On,2005-06-20 13:18:00,2005-06-20 13:47:00,29.0,34.333666666666666,32.59966666666667
Off,2005-06-20 13:47:00,2005-06-20 13:56:00,9.0,32.47,32.88
On,2005-06-20 13:56:00,2005-06-20 14:58:00,62.0,34.40761904761905,33.372063492063496
Off,2005-06-20 14:58:00,2005-06-20 15:19:00,21.0,31.51,31.762727272727282
On,2005-06-20 15:19:00,2005-06-20 15:27:00,8.0,32.36555555555556,31.659999999999993
Off,2005-06-20 15:27:00,2005-06-20 15:37:00,10.0,32.08,32.13636363636363
