#,date,tempe,ambient
1,03/21/06 07:01:00 PM,23.86,23.33
2,03/21/06 07:02:00 PM,23.86,23.33
3,03/21/06 07:03:00 PM,23.68,23.33
4,03/21/06 07:04:00 PM,23.68,23.16
5,03/21/06 07:05:00 PM,23.68,23.16
6,03/21/06 07:06:00 PM,23.68,23.16
7,03/21/06 07:07:00 PM,23.68,23.16
8,03/21/06 07:08:00 PM,23.68,23.16
9,03/21/06 07:09:00 PM,23.51,23.16
10,03/21/06 07:10:00 PM,23.51,23.16
11,03/21/06 07:11:00 PM,23.51,23.16
12,03/21/06 07:12:00 PM,23.51,23.16
13,03/21/06 07:13:00 PM,23.51,23.16
14,03/21/06 07:14:00 PM,23.51,23.16
15,03/21/06 07:15:00 PM,23.51,23.16
16,03/21/06 07:16:00 PM,23.51,22.98
17,03/21/06 07:17:00 PM,23.51,22.98
18,03/21/06 07:18:00 PM,23.51,22.98
19,03/21/06 07:19:00 PM,23.33,22.98
20,03/21/06 07:20:00 PM,23.33,22.98
21,03/21/06 07:21:00 PM,23.33,22.98
22,03/21/06 07:22:00 PM,23.33,22.98
23,03/21/06 07:23:00 PM,23.33,22.98
24,03/21/06 07:24:00 PM,23.16,22.98
25,03/21/06 07:25:00 PM,23.16,22.98
26,03/21/06 07:26:00 PM,23.16,22.81
27,03/21/06 07:27:00 PM,23.16,22.81
28,03/21/06 07:28:00 PM,23.16,22.81
29,03/21/06 07:29:00 PM,23.16,22.81
30,03/21/06 07:30:00 PM,23.16,22.81
31,03/21/06 07:31:00 PM,22.98,22.81
32,03/21/06 07:32:00 PM,22.98,22.81
33,03/21/06 07:33:00 PM,22.98,22.81
34,03/21/06 07:34:00 PM,22.98,22.81
35,03/21/06 07:35:00 PM,22.98,22.81
36,03/21/06 07:36:00 PM,22.98,22.81
37,03/21/06 07:37:00 PM,22.98,22.64
38,03/21/06 07:38:00 PM,24.74,22.64
39,03/21/06 07:39:00 PM,26.16,22.64
40,03/21/06 07:40:00 PM,27.6,22.64
41,03/21/06 07:41:00 PM,28.7,22.64
42,03/21/06 07:42:00 PM,29.62,22.64
43,03/21/06 07:43:00 PM,30.37,22.64
44,03/21/06 07:44:00 PM,31.13,22.64
45,03/21/06 07:45:00 PM,31.7,22.64
46,03/21/06 07:46:00 PM,32.08,22.46
47,03/21/06 07:47:00 PM,32.66,22.46
