Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-03-21 19:37:00,2006-03-22 06:27:00,650.0,31.112427035330263,17.023333333333333
Off,2006-03-22 06:27:00,2006-03-22 06:37:00,10.0,20.74,12.346363636363636
On,2006-03-22 06:37:00,2006-03-22 06:50:00,13.0,26.25714285714286,12.215
Off,2006-03-22 06:50:00,2006-03-22 06:54:00,4.0,22.81,12.13
On,2006-03-22 06:54:00,2006-03-22 07:10:00,16.0,27.45764705882353,12.160000000000002
Off,2006-03-22 07:10:00,2006-03-22 07:19:00,9.0,20.23,12.385000000000002
On,2006-03-22 07:19:00,2006-03-22 07:29:00,10.0,25.574545454545454,12.562727272727273
Off,2006-03-22 07:29:00,2006-03-22 07:34:00,5.0,23.86,12.976666666666667
On,2006-03-22 07:34:00,2006-03-22 07:40:00,6.0,27.015714285714278,13.597142857142858
Off,2006-03-22 07:40:00,2006-03-22 07:47:00,7.0,22.46,14.5075
On,2006-03-22 07:47:00,2006-03-22 07:50:00,3.0,24.2575,15.367500000000001
Off,2006-03-22 07:50:00,2006-03-22 08:01:00,11.0,20.23,15.548333333333334
On,2006-03-22 08:01:00,2006-03-22 08:20:00,19.0,26.8125,14.232500000000002
Off,2006-03-22 08:20:00,2006-03-22 08:24:00,4.0,23.68,13.878
On,2006-03-22 08:24:00,2006-03-22 08:29:00,5.0,27.311666666666667,14.036666666666669
Off,2006-03-22 08:29:00,2006-03-22 08:34:00,5.0,23.86,14.401666666666669
On,2006-03-22 08:34:00,2006-03-22 08:45:00,11.0,27.624166666666667,14.765000000000002
Off,2006-03-22 08:45:00,2006-03-22 08:51:00,6.0,23.68,15.304285714285713
On,2006-03-22 08:51:00,2006-03-22 08:55:00,4.0,25.74,15.693999999999999
Off,2006-03-22 08:55:00,2006-03-22 08:59:00,4.0,24.38,15.762
On,2006-03-22 08:59:00,2006-03-22 09:08:00,9.0,27.166000000000004,15.626
Off,2006-03-22 09:08:00,2006-03-22 09:13:00,5.0,23.68,16.05666666666667
On,2006-03-22 09:13:00,2006-03-22 09:27:00,14.0,29.938666666666666,16.122
Off,2006-03-22 09:27:00,2006-03-22 09:33:00,6.0,24.56,16.431428571428572
On,2006-03-22 09:33:00,2006-03-22 09:41:00,8.0,28.432222222222222,17.198888888888888
Off,2006-03-22 09:41:00,2006-03-22 09:43:00,2.0,27.42,17.293333333333333
On,2006-03-22 09:43:00,2006-03-22 09:51:00,8.0,29.721111111111114,17.513333333333335
Off,2006-03-22 09:51:00,2006-03-22 09:56:00,5.0,24.38,17.651666666666667
On,2006-03-22 09:56:00,2006-03-22 09:59:00,3.0,26.935,17.765
Off,2006-03-22 09:59:00,2006-03-22 10:03:00,4.0,26.52,18.156
On,2006-03-22 10:03:00,2006-03-22 10:09:00,6.0,28.48857142857143,18.14142857142857
Off,2006-03-22 10:09:00,2006-03-22 10:15:00,6.0,25.44,18.165714285714284
On,2006-03-22 10:15:00,2006-03-22 10:20:00,5.0,26.91,17.963333333333335
Off,2006-03-22 10:20:00,2006-03-22 10:23:00,3.0,25.8,18.5725
On,2006-03-22 10:23:00,2006-03-22 10:28:00,5.0,27.73,18.756666666666668
Off,2006-03-22 10:28:00,2006-03-22 10:30:00,2.0,27.06,19.04
On,2006-03-22 10:30:00,2006-03-22 10:37:00,7.0,28.84375,19.55
Off,2006-03-22 10:37:00,2006-03-22 10:39:00,2.0,28.33,19.55
On,2006-03-22 10:39:00,2006-03-22 10:49:00,10.0,30.41272727272727,20.09090909090909
Off,2006-03-22 10:49:00,2006-03-22 10:54:00,5.0,27.96,21.373333333333335
On,2006-03-22 10:54:00,2006-03-22 11:01:00,7.0,29.698749999999997,24.5475
Off,2006-03-22 11:01:00,2006-03-22 11:05:00,4.0,28.88,25.026
On,2006-03-22 11:05:00,2006-03-22 11:21:00,16.0,31.33588235294118,20.874117647058824
