#,date,tempe,ambient
1,06/20/06 01:01:00 PM,36.46,33.25
2,06/20/06 01:02:00 PM,36.26,33.44
3,06/20/06 01:03:00 PM,37.5,33.64
4,06/20/06 01:04:00 PM,37.29,33.25
5,06/20/06 01:05:00 PM,36.05,32.86
6,06/20/06 01:06:00 PM,35.03,32.47
7,06/20/06 01:07:00 PM,34.43,32.28
8,06/20/06 01:08:00 PM,34.04,32.08
9,06/20/06 01:09:00 PM,33.64,31.89
10,06/20/06 01:10:00 PM,34.04,31.89
11,06/20/06 01:11:00 PM,33.64,31.7
12,06/20/06 01:12:00 PM,34.23,32.08
13,06/20/06 01:13:00 PM,37.5,32.08
14,06/20/06 01:14:00 PM,37.71,32.08
15,06/20/06 01:15:00 PM,38.35,32.28
16,06/20/06 01:16:00 PM,38.78,32.47
17,06/20/06 01:17:00 PM,38.56,32.86
18,06/20/06 01:18:00 PM,38.99,33.25
19,06/20/06 01:19:00 PM,39.21,33.64
20,06/20/06 01:20:00 PM,38.14,33.64
21,06/20/06 01:21:00 PM,37.71,34.04
22,06/20/06 01:22:00 PM,37.29,34.43
23,06/20/06 01:23:00 PM,36.88,34.43
24,06/20/06 01:24:00 PM,37.08,34.63
25,06/20/06 01:25:00 PM,37.08,34.83
26,06/20/06 01:26:00 PM,36.88,34.83
27,06/20/06 01:27:00 PM,36.88,34.83
28,06/20/06 01:28:00 PM,36.88,34.63
29,06/20/06 01:29:00 PM,36.67,34.43
30,06/20/06 01:30:00 PM,36.26,33.64
31,06/20/06 01:31:00 PM,37.5,33.25
32,06/20/06 01:32:00 PM,38.35,33.25
33,06/20/06 01:33:00 PM,38.35,33.05
34,06/20/06 01:34:00 PM,38.78,33.05
35,06/20/06 01:35:00 PM,38.78,32.66
36,06/20/06 01:36:00 PM,38.78,32.28
37,06/20/06 01:37:00 PM,38.56,32.08
38,06/20/06 01:38:00 PM,38.56,32.08
39,06/20/06 01:39:00 PM,38.35,32.08
40,06/20/06 01:40:00 PM,37.5,31.89
41,06/20/06 01:41:00 PM,36.88,31.89
42,06/20/06 01:42:00 PM,36.05,31.89
43,06/20/06 01:43:00 PM,35.44,31.89
44,06/20/06 01:44:00 PM,34.83,31.7
45,06/20/06 01:45:00 PM,34.43,31.51
46,06/20/06 01:46:00 PM,33.84,31.51
47,06/20/06 01:47:00 PM,33.44,31.51
48,06/20/06 01:48:00 PM,33.05,31.32
49,06/20/06 01:49:00 PM,32.86,31.32
50,06/20/06 01:50:00 PM,32.66,31.13
51,06/20/06 01:51:00 PM,32.47,31.13
52,06/20/06 01:52:00 PM,32.47,31.13
53,06/20/06 01:53:00 PM,32.28,31.32
54,06/20/06 01:54:00 PM,32.28,31.32
55,06/20/06 01:55:00 PM,32.28,31.51
56,06/20/06 01:56:00 PM,32.08,31.51
57,06/20/06 01:57:00 PM,32.28,31.51
58,06/20/06 01:58:00 PM,32.28,31.51
59,06/20/06 01:59:00 PM,32.47,31.51
60,06/20/06 02:00:00 PM,32.47,31.51
61,06/20/06 02:01:00 PM,33.05,31.7
62,06/20/06 02:02:00 PM,33.64,31.89
63,06/20/06 02:03:00 PM,34.04,32.28
64,06/20/06 02:04:00 PM,34.43,32.47
65,06/20/06 02:05:00 PM,34.83,32.86
66,06/20/06 02:06:00 PM,34.83,32.86
67,06/20/06 02:07:00 PM,34.63,33.05
68,06/20/06 02:08:00 PM,34.83,33.25
69,06/20/06 02:09:00 PM,36.26,33.44
70,06/20/06 02:10:00 PM,37.29,33.44
71,06/20/06 02:11:00 PM,38.14,33.64
72,06/20/06 02:12:00 PM,38.56,33.64
73,06/20/06 02:13:00 PM,38.99,33.64
74,06/20/06 02:14:00 PM,39.21,34.04
75,06/20/06 02:15:00 PM,38.78,33.84
76,06/20/06 02:16:00 PM,38.99,34.04
77,06/20/06 02:17:00 PM,39.21,34.23
78,06/20/06 02:18:00 PM,39.21,34.23
79,06/20/06 02:19:00 PM,39.43,34.23
80,06/20/06 02:20:00 PM,38.78,34.43
81,06/20/06 02:21:00 PM,39.64,34.63
82,06/20/06 02:22:00 PM,39.64,34.63
83,06/20/06 02:23:00 PM,39.43,34.63
84,06/20/06 02:24:00 PM,38.78,34.63
85,06/20/06 02:25:00 PM,37.92,34.63
86,06/20/06 02:26:00 PM,36.67,34.43
87,06/20/06 02:27:00 PM,35.85,34.04
88,06/20/06 02:28:00 PM,35.24,33.64
89,06/20/06 02:29:00 PM,34.83,33.25
90,06/20/06 02:30:00 PM,34.23,33.05
91,06/20/06 02:31:00 PM,33.84,32.66
92,06/20/06 02:32:00 PM,33.84,32.66
93,06/20/06 02:33:00 PM,34.43,33.05
94,06/20/06 02:34:00 PM,38.56,33.44
95,06/20/06 02:35:00 PM,39.64,33.84
96,06/20/06 02:36:00 PM,40.08,34.04
97,06/20/06 02:37:00 PM,40.08,33.64
98,06/20/06 02:38:00 PM,40.08,33.44
99,06/20/06 02:39:00 PM,39.21,33.64
100,06/20/06 02:40:00 PM,39.21,33.44
101,06/20/06 02:41:00 PM,38.78,33.44
102,06/20/06 02:42:00 PM,38.56,33.25
103,06/20/06 02:43:00 PM,37.71,33.05
104,06/20/06 02:44:00 PM,36.46,33.05
105,06/20/06 02:45:00 PM,36.05,33.05
106,06/20/06 02:46:00 PM,36.88,32.66
107,06/20/06 02:47:00 PM,37.29,32.47
108,06/20/06 02:48:00 PM,37.5,32.28
109,06/20/06 02:49:00 PM,37.5,32.08
110,06/20/06 02:50:00 PM,37.29,32.08
111,06/20/06 02:51:00 PM,37.08,32.08
112,06/20/06 02:52:00 PM,37.08,31.89
113,06/20/06 02:53:00 PM,37.29,31.89
114,06/20/06 02:54:00 PM,37.29,31.51
115,06/20/06 02:55:00 PM,37.29,31.13
116,06/20/06 02:56:00 PM,36.88,31.13
117,06/20/06 02:57:00 PM,37.08,31.13
118,06/20/06 02:58:00 PM,36.88,31.13
119,06/20/06 02:59:00 PM,36.46,31.13
120,06/20/06 03:00:00 PM,36.46,30.94
121,06/20/06 03:01:00 PM,36.05,30.75
122,06/20/06 03:02:00 PM,35.64,30.75
123,06/20/06 03:03:00 PM,35.44,30.56
124,06/20/06 03:04:00 PM,35.03,30.56
125,06/20/06 03:05:00 PM,35.03,30.56
126,06/20/06 03:06:00 PM,35.03,30.75
127,06/20/06 03:07:00 PM,35.24,30.75
128,06/20/06 03:08:00 PM,35.24,30.94
129,06/20/06 03:09:00 PM,35.44,31.13
130,06/20/06 03:10:00 PM,35.44,31.32
131,06/20/06 03:11:00 PM,35.64,31.32
132,06/20/06 03:12:00 PM,35.64,31.32
133,06/20/06 03:13:00 PM,35.64,31.13
134,06/20/06 03:14:00 PM,35.44,31.13
135,06/20/06 03:15:00 PM,35.03,31.13
136,06/20/06 03:16:00 PM,35.03,31.13
137,06/20/06 03:17:00 PM,35.24,31.13
138,06/20/06 03:18:00 PM,35.24,30.94
139,06/20/06 03:19:00 PM,35.24,31.13
140,06/20/06 03:20:00 PM,35.24,30.94
141,06/20/06 03:21:00 PM,35.24,31.13
142,06/20/06 03:22:00 PM,34.63,31.13
143,06/20/06 03:23:00 PM,34.04,30.94
144,06/20/06 03:24:00 PM,33.64,30.94
145,06/20/06 03:25:00 PM,33.64,31.13
146,06/20/06 03:26:00 PM,34.04,31.51
147,06/20/06 03:27:00 PM,34.43,31.7
148,06/20/06 03:28:00 PM,34.23,31.89
149,06/20/06 03:29:00 PM,34.63,32.08
150,06/20/06 03:30:00 PM,34.83,32.28
151,06/20/06 03:31:00 PM,35.03,32.66
152,06/20/06 03:32:00 PM,35.03,32.66
153,06/20/06 03:33:00 PM,35.03,32.66
154,06/20/06 03:34:00 PM,35.24,32.66
155,06/20/06 03:35:00 PM,35.24,32.86
156,06/20/06 03:36:00 PM,35.44,33.05
157,06/20/06 03:37:00 PM,37.5,33.25
158,06/20/06 03:38:00 PM,39.21,33.25
159,06/20/06 03:39:00 PM,39.64,33.25
160,06/20/06 03:40:00 PM,40.3,33.44
161,06/20/06 03:41:00 PM,39.86,33.64
162,06/20/06 03:42:00 PM,38.56,33.64
163,06/20/06 03:43:00 PM,37.92,33.84
164,06/20/06 03:44:00 PM,37.29,33.64
165,06/20/06 03:45:00 PM,37.08,33.44
166,06/20/06 03:46:00 PM,36.88,33.25
167,06/20/06 03:47:00 PM,36.88,33.05
168,06/20/06 03:48:00 PM,39.43,33.25
169,06/20/06 03:49:00 PM,39.86,33.25
170,06/20/06 03:50:00 PM,38.99,33.64
171,06/20/06 03:51:00 PM,37.92,33.84
172,06/20/06 03:52:00 PM,37.08,33.84
173,06/20/06 03:53:00 PM,38.78,33.84
174,06/20/06 03:54:00 PM,37.92,34.04
175,06/20/06 03:55:00 PM,37.29,34.04
176,06/20/06 03:56:00 PM,36.26,33.64
177,06/20/06 03:57:00 PM,37.5,33.25
178,06/20/06 03:58:00 PM,37.92,33.44
179,06/20/06 03:59:00 PM,37.5,33.25
180,06/20/06 04:00:00 PM,37.08,33.05
181,06/20/06 04:01:00 PM,36.67,33.25
182,06/20/06 04:02:00 PM,36.05,33.25
183,06/20/06 04:03:00 PM,35.44,33.05
184,06/20/06 04:04:00 PM,35.24,33.05
185,06/20/06 04:05:00 PM,35.44,33.44
186,06/20/06 04:06:00 PM,35.64,33.44
187,06/20/06 04:07:00 PM,35.64,33.64
188,06/20/06 04:08:00 PM,35.64,33.84
189,06/20/06 04:09:00 PM,35.64,33.64
190,06/20/06 04:10:00 PM,35.64,33.64
191,06/20/06 04:11:00 PM,35.64,33.64
192,06/20/06 04:12:00 PM,35.64,33.64
193,06/20/06 04:13:00 PM,35.64,33.84
194,06/20/06 04:14:00 PM,35.44,33.84
195,06/20/06 04:15:00 PM,35.24,33.64
196,06/20/06 04:16:00 PM,36.46,33.44
197,06/20/06 04:17:00 PM,37.29,33.84
198,06/20/06 04:18:00 PM,38.14,34.04
199,06/20/06 04:19:00 PM,38.78,33.84
200,06/20/06 04:20:00 PM,38.56,34.23
201,06/20/06 04:21:00 PM,37.92,34.04
202,06/20/06 04:22:00 PM,37.5,34.23
203,06/20/06 04:23:00 PM,37.08,34.43
204,06/20/06 04:24:00 PM,37.5,34.43
205,06/20/06 04:25:00 PM,37.5,34.63
206,06/20/06 04:26:00 PM,37.08,34.83
207,06/20/06 04:27:00 PM,36.88,35.03
208,06/20/06 04:28:00 PM,36.88,34.83
209,06/20/06 04:29:00 PM,36.88,34.43
210,06/20/06 04:30:00 PM,36.88,34.23
211,06/20/06 04:31:00 PM,36.67,34.04
212,06/20/06 04:32:00 PM,36.46,33.84
213,06/20/06 04:33:00 PM,36.26,33.84
214,06/20/06 04:34:00 PM,35.85,33.84
215,06/20/06 04:35:00 PM,35.64,33.64
216,06/20/06 04:36:00 PM,35.64,33.64
217,06/20/06 04:37:00 PM,35.64,33.84
218,06/20/06 04:38:00 PM,35.85,34.23
219,06/20/06 04:39:00 PM,35.85,34.23
220,06/20/06 04:40:00 PM,35.64,34.04
221,06/20/06 04:41:00 PM,35.85,33.84
222,06/20/06 04:42:00 PM,36.88,33.64
223,06/20/06 04:43:00 PM,37.29,33.64
224,06/20/06 04:44:00 PM,38.14,33.44
225,06/20/06 04:45:00 PM,37.5,33.64
226,06/20/06 04:46:00 PM,38.14,33.84
227,06/20/06 04:47:00 PM,38.78,33.84
228,06/20/06 04:48:00 PM,38.78,34.04
229,06/20/06 04:49:00 PM,38.78,34.23
230,06/20/06 04:50:00 PM,38.78,34.23
231,06/20/06 04:51:00 PM,38.35,34.23
232,06/20/06 04:52:00 PM,37.5,34.23
