Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-06-22 21:01:00,2006-06-23 06:13:00,552.0,37.02466546112116,25.976365280289333
Off,2006-06-23 06:13:00,2006-06-23 06:20:00,7.0,29.62,24.165
On,2006-06-23 06:20:00,2006-06-23 06:26:00,6.0,33.55428571428571,24.03
Off,2006-06-23 06:26:00,2006-06-23 06:29:00,3.0,31.32,24.03
On,2006-06-23 06:29:00,2006-06-23 06:48:00,19.0,36.022000000000006,24.012999999999998
Off,2006-06-23 06:48:00,2006-06-23 06:53:00,5.0,30.18,24.03
On,2006-06-23 06:53:00,2006-06-23 07:08:00,15.0,35.1075,23.9875
Off,2006-06-23 07:08:00,2006-06-23 07:12:00,4.0,31.13,24.03
On,2006-06-23 07:12:00,2006-06-23 07:33:00,21.0,35.87136363636363,24.67136363636364
Off,2006-06-23 07:33:00,2006-06-23 07:40:00,7.0,29.07,25.0225
On,2006-06-23 07:40:00,2006-06-23 07:48:00,8.0,33.42444444444445,25.266666666666666
Off,2006-06-23 07:48:00,2006-06-23 07:53:00,5.0,30.56,25.680000000000003
On,2006-06-23 07:53:00,2006-06-23 08:06:00,13.0,36.24857142857143,26.172857142857136
Off,2006-06-23 08:06:00,2006-06-23 08:08:00,2.0,34.23,26.400000000000002
On,2006-06-23 08:08:00,2006-06-23 08:35:00,27.0,36.35785714285714,26.976428571428574
Off,2006-06-23 08:35:00,2006-06-23 08:42:00,7.0,31.7,27.645000000000003
On,2006-06-23 08:42:00,2006-06-23 08:52:00,10.0,36.592727272727274,27.845454545454547
Off,2006-06-23 08:52:00,2006-06-23 08:56:00,4.0,33.25,27.96
On,2006-06-23 08:56:00,2006-06-23 09:05:00,9.0,35.657,27.872000000000003
Off,2006-06-23 09:05:00,2006-06-23 09:11:00,6.0,31.89,27.72857142857143
On,2006-06-23 09:11:00,2006-06-23 09:18:00,7.0,36.3275,27.96125
Off,2006-06-23 09:18:00,2006-06-23 09:24:00,6.0,31.32,28.042857142857144
On,2006-06-23 09:24:00,2006-06-23 09:41:00,17.0,36.76611111111111,28.176666666666662
Off,2006-06-23 09:41:00,2006-06-23 09:44:00,3.0,33.84,28.8375
On,2006-06-23 09:44:00,2006-06-23 09:49:00,5.0,36.355,29.03833333333333
Off,2006-06-23 09:49:00,2006-06-23 09:56:00,7.0,33.64,28.95125
On,2006-06-23 09:56:00,2006-06-23 10:05:00,9.0,36.891999999999996,28.975
Off,2006-06-23 10:05:00,2006-06-23 10:10:00,5.0,33.25,29.03833333333333
On,2006-06-23 10:10:00,2006-06-23 10:16:00,6.0,36.22571428571428,29.095714285714283
Off,2006-06-23 10:16:00,2006-06-23 10:19:00,3.0,34.43,29.3
On,2006-06-23 10:19:00,2006-06-23 10:33:00,14.0,37.87133333333334,29.326666666666664
Off,2006-06-23 10:33:00,2006-06-23 10:42:00,9.0,33.44,29.327999999999996
On,2006-06-23 10:42:00,2006-06-23 10:49:00,7.0,37.08625,29.622500000000002
Off,2006-06-23 10:49:00,2006-06-23 10:52:00,3.0,36.88,29.715
On,2006-06-23 10:52:00,2006-06-23 10:58:00,6.0,38.292857142857144,29.86428571428571
Off,2006-06-23 10:58:00,2006-06-23 11:01:00,3.0,35.24,30.1825
On,2006-06-23 11:01:00,2006-06-23 11:09:00,8.0,37.96111111111111,30.581111111111113
Off,2006-06-23 11:09:00,2006-06-23 11:15:00,6.0,34.23,30.804285714285715
On,2006-06-23 11:15:00,2006-06-23 11:25:00,10.0,38.10272727272727,31.09545454545454
Off,2006-06-23 11:25:00,2006-06-23 11:33:00,8.0,34.23,31.256666666666668
On,2006-06-23 11:33:00,2006-06-23 11:50:00,17.0,37.221666666666664,31.626111111111115
Off,2006-06-23 11:50:00,2006-06-23 11:55:00,5.0,35.64,31.794999999999998
On,2006-06-23 11:55:00,2006-06-23 12:06:00,11.0,37.8575,31.937499999999996
Off,2006-06-23 12:06:00,2006-06-23 12:15:00,9.0,34.63,31.681
On,2006-06-23 12:15:00,2006-06-23 12:27:00,12.0,37.40461538461538,31.90461538461538
Off,2006-06-23 12:27:00,2006-06-23 12:31:00,4.0,35.03,31.738
On,2006-06-23 12:31:00,2006-06-23 12:37:00,6.0,37.18857142857143,31.974285714285713
Off,2006-06-23 12:37:00,2006-06-23 12:46:00,9.0,34.43,32.178
On,2006-06-23 12:46:00,2006-06-23 13:02:00,16.0,38.30058823529412,32.57588235294117
Off,2006-06-23 13:02:00,2006-06-23 13:07:00,5.0,36.46,33.675000000000004
On,2006-06-23 13:07:00,2006-06-23 13:16:00,9.0,37.230000000000004,33.346
Off,2006-06-23 13:16:00,2006-06-23 13:25:00,9.0,35.03,33.307
On,2006-06-23 13:25:00,2006-06-23 13:37:00,12.0,38.44384615384615,33.26230769230769
Off,2006-06-23 13:37:00,2006-06-23 13:42:00,5.0,35.85,33.050000000000004
On,2006-06-23 13:42:00,2006-06-23 13:50:00,8.0,36.836666666666666,33.313333333333325
Off,2006-06-23 13:50:00,2006-06-23 13:52:00,2.0,36.88,33.84
On,2006-06-23 13:52:00,2006-06-23 14:01:00,9.0,37.968,33.779999999999994
Off,2006-06-23 14:01:00,2006-06-23 14:08:00,7.0,35.85,33.175
On,2006-06-23 14:08:00,2006-06-23 14:20:00,12.0,38.69615384615384,33.9
Off,2006-06-23 14:20:00,2006-06-23 14:24:00,4.0,37.08,34.71
On,2006-06-23 14:24:00,2006-06-23 14:46:00,22.0,38.10956521739131,34.53434782608694
Off,2006-06-23 14:46:00,2006-06-23 14:55:00,9.0,36.05,33.916999999999994
On,2006-06-23 14:55:00,2006-06-23 15:16:00,21.0,39.003181818181815,34.13545454545454
Off,2006-06-23 15:16:00,2006-06-23 15:24:00,8.0,37.5,34.69666666666667
On,2006-06-23 15:24:00,2006-06-23 15:33:00,9.0,39.302,34.41100000000001
Off,2006-06-23 15:33:00,2006-06-23 15:47:00,14.0,35.44,33.522666666666666
On,2006-06-23 15:47:00,2006-06-23 16:02:00,15.0,38.61,33.915625
Off,2006-06-23 16:02:00,2006-06-23 16:13:00,11.0,37.29,35.1025
On,2006-06-23 16:13:00,2006-06-23 16:22:00,9.0,39.236000000000004,34.653000000000006
Off,2006-06-23 16:22:00,2006-06-23 16:30:00,8.0,37.92,34.99
On,2006-06-23 16:30:00,2006-06-23 16:40:00,10.0,38.74181818181818,34.79363636363635
Off,2006-06-23 16:40:00,2006-06-23 16:46:00,6.0,38.56,35.18000000000001
On,2006-06-23 16:46:00,2006-06-23 16:52:00,6.0,38.99285714285714,35.09
Off,2006-06-23 16:52:00,2006-06-23 16:57:00,5.0,37.71,35.0
On,2006-06-23 16:57:00,2006-06-23 17:19:00,22.0,38.65826086956521,34.982608695652175
Off,2006-06-23 17:19:00,2006-06-23 17:28:00,9.0,36.05,34.15500000000001
On,2006-06-23 17:28:00,2006-06-23 17:38:00,10.0,38.420909090909085,34.484545454545454
Off,2006-06-23 17:38:00,2006-06-23 17:47:00,9.0,37.29,34.65
On,2006-06-23 17:47:00,2006-06-23 17:53:00,6.0,38.75285714285714,34.85857142857143
Off,2006-06-23 17:53:00,2006-06-23 17:59:00,6.0,36.67,34.17857142857142
On,2006-06-23 17:59:00,2006-06-23 18:13:00,14.0,38.57066666666666,33.52133333333333
Off,2006-06-23 18:13:00,2006-06-23 18:20:00,7.0,35.03,32.93125
On,2006-06-23 18:20:00,2006-06-23 18:25:00,5.0,37.413333333333334,32.92333333333334
Off,2006-06-23 18:25:00,2006-06-23 18:28:00,3.0,35.85,32.86
On,2006-06-23 18:28:00,2006-06-23 18:38:00,10.0,38.41909090909091,32.714545454545444
Off,2006-06-23 18:38:00,2006-06-23 18:41:00,3.0,35.44,32.76
On,2006-06-23 18:41:00,2006-06-23 18:47:00,6.0,37.635714285714286,32.551428571428566
Off,2006-06-23 18:47:00,2006-06-23 18:57:00,10.0,34.83,32.626363636363635
On,2006-06-23 18:57:00,2006-06-23 19:08:00,11.0,38.15333333333333,32.32666666666666
Off,2006-06-23 19:08:00,2006-06-23 19:10:00,2.0,35.64,32.08
On,2006-06-23 19:10:00,2006-06-23 19:17:00,7.0,37.43875,31.985
Off,2006-06-23 19:17:00,2006-06-23 19:20:00,3.0,36.46,31.985
On,2006-06-23 19:20:00,2006-06-23 19:27:00,7.0,38.2975,31.771250000000002
Off,2006-06-23 19:27:00,2006-06-23 19:35:00,8.0,33.64,31.531111111111116
On,2006-06-23 19:35:00,2006-06-23 19:45:00,10.0,37.83272727272728,31.423636363636362
Off,2006-06-23 19:45:00,2006-06-23 19:49:00,4.0,34.04,31.32
On,2006-06-23 19:49:00,2006-06-23 19:54:00,5.0,37.03666666666667,31.256666666666664
Off,2006-06-23 19:54:00,2006-06-23 19:59:00,5.0,33.64,30.94
On,2006-06-23 19:59:00,2006-06-23 20:12:00,13.0,37.415,30.627857142857145
Off,2006-06-23 20:12:00,2006-06-23 20:14:00,2.0,34.63,30.37
On,2006-06-23 20:14:00,2006-06-23 20:21:00,7.0,36.78125,30.25125
Off,2006-06-23 20:21:00,2006-06-23 20:26:00,5.0,32.66,30.180000000000003
On,2006-06-23 20:26:00,2006-06-23 20:36:00,10.0,36.86545454545455,29.91181818181818
Off,2006-06-23 20:36:00,2006-06-23 20:40:00,4.0,32.66,29.695999999999998
On,2006-06-23 20:40:00,2006-06-23 20:50:00,10.0,35.737272727272725,29.505454545454544
Off,2006-06-23 20:50:00,2006-06-23 20:57:00,7.0,30.75,29.2975
Nocturnal,2006-06-23 20:57:00,2006-06-24 06:09:00,552.0,35.3725678119349,25.77338155515371
Off,2006-06-24 06:09:00,2006-06-24 06:15:00,6.0,29.44,24.15857142857143
On,2006-06-24 06:15:00,2006-06-24 06:26:00,11.0,35.901666666666664,24.044999999999998
Off,2006-06-24 06:26:00,2006-06-24 06:29:00,3.0,32.08,24.03
On,2006-06-24 06:29:00,2006-06-24 06:48:00,19.0,36.294,24.058
Off,2006-06-24 06:48:00,2006-06-24 06:53:00,5.0,30.37,23.86
