Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
On,2006-06-30 20:01:00,2006-06-30 20:15:00,14.0,34.318,30.208000000000002
Off,2006-06-30 20:15:00,2006-06-30 20:56:00,41.0,30.0,29.226666666666667
Nocturnal,2006-06-30 20:56:00,2006-07-01 06:28:00,572.0,33.39917975567191,24.27083769633508
Off,2006-07-01 06:28:00,2006-07-01 06:44:00,16.0,27.24,21.95
On,2006-07-01 06:44:00,2006-07-01 06:55:00,11.0,31.724166666666665,22.049166666666668
Off,2006-07-01 06:55:00,2006-07-01 07:01:00,6.0,30.0,22.12
On,2006-07-01 07:01:00,2006-07-01 07:11:00,10.0,32.66636363636364,22.683636363636364
Off,2006-07-01 07:11:00,2006-07-01 07:17:00,6.0,30.37,23.307142857142853
On,2006-07-01 07:17:00,2006-07-01 07:48:00,31.0,33.1528125,24.1546875
Off,2006-07-01 07:48:00,2006-07-01 08:01:00,13.0,30.94,25.406428571428574
On,2006-07-01 08:01:00,2006-07-01 08:13:00,12.0,34.61846153846154,26.1323076923077
Off,2006-07-01 08:13:00,2006-07-01 08:22:00,9.0,31.89,26.232
On,2006-07-01 08:22:00,2006-07-01 08:40:00,18.0,34.427368421052634,26.35894736842105
Off,2006-07-01 08:40:00,2006-07-01 08:56:00,16.0,32.47,26.91176470588235
On,2006-07-01 08:56:00,2006-07-01 09:09:00,13.0,34.96785714285714,27.689999999999998
Off,2006-07-01 09:09:00,2006-07-01 09:25:00,16.0,33.25,27.88764705882353
On,2006-07-01 09:25:00,2006-07-01 09:34:00,9.0,34.742000000000004,28.79
Off,2006-07-01 09:34:00,2006-07-01 09:45:00,11.0,34.04,29.143333333333334
On,2006-07-01 09:45:00,2006-07-01 09:55:00,10.0,36.267272727272726,29.63818181818182
Off,2006-07-01 09:55:00,2006-07-01 10:04:00,9.0,35.24,30.014
On,2006-07-01 10:04:00,2006-07-01 10:16:00,12.0,36.73384615384616,30.518461538461533
Off,2006-07-01 10:16:00,2006-07-01 10:24:00,8.0,35.44,30.897777777777776
On,2006-07-01 10:24:00,2006-07-01 11:22:00,58.0,36.693220338983046,31.70542372881356
Off,2006-07-01 11:22:00,2006-07-01 11:43:00,21.0,35.85,32.62863636363637
On,2006-07-01 11:43:00,2006-07-01 18:15:00,392.0,36.5312213740458,34.04888040712468
Off,2006-07-01 18:15:00,2006-07-01 18:39:00,24.0,34.43,32.216
On,2006-07-01 18:39:00,2006-07-01 19:39:00,60.0,36.6749180327869,30.968032786885246
Off,2006-07-01 19:39:00,2006-07-01 19:52:00,13.0,32.66,30.023571428571426
On,2006-07-01 19:52:00,2006-07-01 20:02:00,10.0,33.920909090909085,29.723636363636363
Off,2006-07-01 20:02:00,2006-07-01 20:16:00,14.0,31.13,29.326666666666664
On,2006-07-01 20:16:00,2006-07-01 20:42:00,26.0,35.26222222222222,28.50074074074074
Off,2006-07-01 20:42:00,2006-07-01 20:56:00,14.0,31.7,27.9
Nocturnal,2006-07-01 20:56:00,2006-07-02 06:37:00,581.0,32.91931271477663,24.45262886597938
Off,2006-07-02 06:37:00,2006-07-02 06:53:00,16.0,27.78,22.64
On,2006-07-02 06:53:00,2006-07-02 07:17:00,24.0,33.9452,22.934
Off,2006-07-02 07:17:00,2006-07-02 07:29:00,12.0,29.81,23.344615384615377
On,2006-07-02 07:29:00,2006-07-02 07:46:00,17.0,34.462222222222216,23.73111111111111
Off,2006-07-02 07:46:00,2006-07-02 07:54:00,8.0,31.13,24.130000000000003
On,2006-07-02 07:54:00,2006-07-02 08:10:00,16.0,34.30117647058824,24.601764705882353
Off,2006-07-02 08:10:00,2006-07-02 08:23:00,13.0,31.32,25.089999999999996
On,2006-07-02 08:23:00,2006-07-02 09:23:00,60.0,34.09590163934426,26.13655737704918
Off,2006-07-02 09:23:00,2006-07-02 09:46:00,23.0,30.56,26.819999999999997
On,2006-07-02 09:46:00,2006-07-02 10:01:00,15.0,33.408125,27.04875
Off,2006-07-02 10:01:00,2006-07-02 10:09:00,8.0,32.47,27.34
On,2006-07-02 10:09:00,2006-07-02 10:50:00,41.0,34.1654761904762,28.225238095238097
Off,2006-07-02 10:50:00,2006-07-02 10:58:00,8.0,32.66,28.43
On,2006-07-02 10:58:00,2006-07-02 11:14:00,16.0,34.794117647058826,28.654117647058822
Off,2006-07-02 11:14:00,2006-07-02 11:24:00,10.0,33.05,28.817272727272723
On,2006-07-02 11:24:00,2006-07-02 12:14:00,50.0,35.038039215686275,29.588627450980393
Off,2006-07-02 12:14:00,2006-07-02 12:25:00,11.0,33.05,30.325
On,2006-07-02 12:25:00,2006-07-02 15:27:00,182.0,36.16803278688525,32.95792349726776
Off,2006-07-02 15:27:00,2006-07-02 15:32:00,5.0,37.08,35.236666666666665
On,2006-07-02 15:32:00,2006-07-02 16:01:00,29.0,37.74833333333333,34.96066666666666
Off,2006-07-02 16:01:00,2006-07-02 16:09:00,8.0,36.46,33.68444444444444
On,2006-07-02 16:09:00,2006-07-02 16:18:00,9.0,37.229,34.55200000000001
Off,2006-07-02 16:18:00,2006-07-02 16:31:00,13.0,36.05,33.62785714285714
On,2006-07-02 16:31:00,2006-07-02 17:25:00,54.0,35.63490909090908,31.660545454545453
Off,2006-07-02 17:25:00,2006-07-02 17:32:00,7.0,34.43,26.115000000000002
On,2006-07-02 17:32:00,2006-07-02 17:41:00,9.0,35.217,25.818
Off,2006-07-02 17:41:00,2006-07-02 17:45:00,4.0,33.25,25.619999999999997
On,2006-07-02 17:45:00,2006-07-02 17:55:00,10.0,34.512727272727275,25.185454545454547
Off,2006-07-02 17:55:00,2006-07-02 18:06:00,11.0,26.34,24.017500000000002
On,2006-07-02 18:06:00,2006-07-02 18:28:00,22.0,32.99869565217391,23.14434782608696
Off,2006-07-02 18:28:00,2006-07-02 18:36:00,8.0,30.37,22.866666666666664
On,2006-07-02 18:36:00,2006-07-02 18:46:00,10.0,34.27,23.204545454545453
Off,2006-07-02 18:46:00,2006-07-02 18:55:00,9.0,27.78,23.544
On,2006-07-02 18:55:00,2006-07-02 19:12:00,17.0,33.97666666666666,23.731111111111108
Off,2006-07-02 19:12:00,2006-07-02 19:22:00,10.0,28.51,23.680000000000003
On,2006-07-02 19:22:00,2006-07-02 19:28:00,6.0,30.65285714285714,23.83142857142857
Off,2006-07-02 19:28:00,2006-07-02 19:34:00,6.0,28.15,24.03
On,2006-07-02 19:34:00,2006-07-02 19:49:00,15.0,33.7525,24.263125000000002
Off,2006-07-02 19:49:00,2006-07-02 19:55:00,6.0,29.81,24.210000000000004
On,2006-07-02 19:55:00,2006-07-02 20:03:00,8.0,34.08444444444444,24.21
Off,2006-07-02 20:03:00,2006-07-02 20:18:00,15.0,27.06,24.08625
